,Player,Nation,Pos,Squad,Age,Born,90s,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
18,Marcos Alonso,es  ESP,DF,Barcelona,32-045,1990,6.9,1,3,1,33.3,0.44,0.15,0.33,1.00,12.4,0,0,0,0.8,0.8,0.26,+0.2,+0.2
19,Carlos Álvarez,es  ESP,FW,Sevilla,19-189,2003,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,
20,Gastón Álvarez,uy  URU,DF,Getafe,22-324,2000,6.3,2,2,2,100.0,0.32,0.32,1.00,1.00,9.5,0,0,0,0.4,0.4,0.20,+1.6,+1.6
21,Yeray Álvarez,es  ESP,DF,Athletic Club,28-018,1995,16.4,1,6,1,16.7,0.37,0.06,0.17,1.00,17.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6
22,Amath,sn  SEN,"MF,FW",Mallorca,26-210,1996,5.2,1,10,4,40.0,1.93,0.77,0.10,0.25,15.3,0,0,0,1.0,1.0,0.10,0.0,0.0
23,Jordan Amavi,fr  FRA,DF,Getafe,28-339,1994,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
24,Fabrizio Angileri,ar  ARG,DF,Getafe,28-333,1994,5.7,0,3,0,0.0,0.53,0.00,0.00,,23.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
25,Anuar,ma  MAR,"MF,FW",Valladolid,28-027,1995,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,13.0,0,0,0,0.3,0.3,0.12,+0.7,+0.7
26,Mauro Arambarri,uy  URU,MF,Getafe,27-134,1995,6.5,0,6,0,0.0,0.92,0.00,0.00,,27.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2
27,Ronald Araújo,uy  URU,DF,Barcelona,23-341,1999,9.5,0,6,0,0.0,0.63,0.00,0.00,,12.7,0,0,0,0.7,0.7,0.12,-0.7,-0.7
28,Roberto Arroyo,es  ESP,MF,Valladolid,19-170,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
29,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-282,1998,3.3,0,3,1,33.3,0.90,0.30,0.00,0.00,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
30,Sergio Asenjo,es  ESP,GK,Valladolid,33-228,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
31,Marco Asensio,es  ESP,"FW,MF",Real Madrid,27-021,1996,5.6,2,21,6,28.6,3.78,1.08,0.10,0.33,22.3,2,0,1,3.1,2.3,0.11,-1.1,-0.3
32,Iago Aspas,es  ESP,FW,Celta Vigo,35-194,1987,18.5,9,42,19,45.2,2.27,1.03,0.19,0.42,19.1,4,1,2,6.5,4.9,0.12,+2.5,+3.1
33,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-238,1989,0.1,0,1,0,0.0,10.00,0.00,0.00,,12.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1
34,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,29-005,1994,12.9,7,40,18,45.0,3.10,1.40,0.13,0.28,22.2,0,2,3,5.5,3.1,0.08,+1.5,+1.9
35,Iddrisu Baba,gh  GHA,MF,Mallorca,27-020,1996,10.4,0,6,0,0.0,0.58,0.00,0.00,,23.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
36,Srđan Babić,rs  SRB,DF,Almería,26-295,1996,16.5,1,3,2,66.7,0.18,0.12,0.33,0.50,5.4,0,0,0,0.6,0.6,0.20,+0.4,+0.4
37,Loïc Bade,fr  FRA,DF,Sevilla,22-306,2000,4.0,0,1,0,0.0,0.25,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
38,Édgar Badía,es  ESP,GK,Elche,30-364,1992,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
39,Alex Baena,es  ESP,"MF,FW",Villarreal,21-206,2001,11.5,4,34,13,38.2,2.95,1.13,0.12,0.31,23.4,0,0,0,1.8,1.8,0.05,+2.2,+2.2
40,Alejandro Balde,es  ESP,DF,Barcelona,19-116,2003,13.4,0,6,2,33.3,0.45,0.15,0.00,0.00,22.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
41,Mikel Balenziaga,es  ESP,DF,Athletic Club,34-347,1988,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
42,Iván Balliu,al  ALB,DF,Rayo Vallecano,31-041,1992,19.9,0,5,1,20.0,0.25,0.05,0.00,0.00,17.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
43,Léo Baptistão,br  BRA,"FW,MF",Almería,30-169,1992,10.5,3,31,9,29.0,2.94,0.85,0.10,0.33,15.1,0,0,0,2.9,2.9,0.09,+0.1,+0.1
44,Keidi Bare,al  ALB,MF,Espanyol,25-167,1997,3.7,0,4,2,50.0,1.09,0.55,0.00,0.00,16.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5
45,Kike Barja,es  ESP,"FW,MF",Osasuna,25-316,1997,4.3,1,4,3,75.0,0.93,0.70,0.25,0.33,17.7,0,0,0,0.2,0.2,0.05,+0.8,+0.8
46,Ander Barrenetxea,es  ESP,"FW,DF",Real Sociedad,21-046,2001,2.1,1,2,2,100.0,0.94,0.94,0.50,0.50,11.1,0,0,0,0.8,0.8,0.38,+0.2,+0.2
47,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-241,2003,3.0,0,5,2,40.0,1.67,0.67,0.00,0.00,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
48,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-214,1991,7.3,0,2,0,0.0,0.27,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
49,Bebé,cv  CPV,FW,Rayo Vallecano,32-214,1990,0.7,0,4,0,0.0,6.00,0.00,0.00,,32.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
50,Héctor Bellerín,es  ESP,DF,Barcelona,27-329,1995,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
51,Fran Beltrán,es  ESP,MF,Celta Vigo,24-008,1999,17.9,0,16,1,6.3,0.89,0.06,0.00,0.00,26.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6
52,Karim Benzema,fr  FRA,FW,Real Madrid,35-054,1987,11.6,9,47,16,34.0,4.04,1.38,0.13,0.38,16.2,2,3,4,9.6,6.1,0.13,-0.6,-0.1
53,Yuri Berchiche,es  ESP,DF,Athletic Club,33-001,1990,10.5,0,13,3,23.1,1.24,0.29,0.00,0.00,22.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
54,Álex Berenguer,es  ESP,FW,Athletic Club,27-222,1995,14.7,3,30,10,33.3,2.04,0.68,0.10,0.30,16.8,1,0,0,2.9,2.9,0.10,+0.1,+0.1
55,Pedro Bigas,es  ESP,DF,Elche,32-149,1990,14.2,0,12,5,41.7,0.85,0.35,0.00,0.00,19.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8
56,El Bilal Touré,ml  MLI,FW,Almería,21-131,2001,10.0,4,22,10,45.5,2.20,1.00,0.18,0.40,11.0,0,0,0,4.4,4.4,0.20,-0.4,-0.4
57,Blanco,es  ESP,MF,Cádiz,22-203,2000,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
58,Lautaro Blanco,ar  ARG,"MF,DF",Elche,23-357,1999,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
59,Theo Bongonda,cd  COD,MF,Cádiz,27-083,1995,8.0,2,18,4,22.2,2.25,0.50,0.11,0.50,23.0,1,0,0,1.7,1.7,0.09,+0.3,+0.3
60,Wassim Boullif,es  ESP,"DF,MF",Espanyol,18-008,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
61,Yassine Bounou,ma  MAR,GK,Sevilla,31-312,1991,17.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
62,Lucas Boyé,ar  ARG,FW,Elche,26-348,1996,13.5,1,27,8,29.6,2.00,0.59,0.04,0.13,16.3,1,0,1,3.6,2.8,0.10,-2.6,-1.8
63,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-251,1991,13.2,5,28,14,50.0,2.12,1.06,0.18,0.36,16.4,1,0,0,4.7,4.7,0.17,+0.3,+0.3
64,Juan Brandáriz,es  ESP,DF,Almería,23-346,1999,7.3,1,2,1,50.0,0.27,0.14,0.50,1.00,6.8,0,0,0,0.4,0.4,0.18,+0.6,+0.6
65,Darko Brašanac,rs  SRB,MF,Osasuna,30-364,1992,8.3,1,6,3,50.0,0.72,0.36,0.17,0.33,14.3,0,0,0,0.6,0.6,0.09,+0.4,+0.4
66,Claudio Bravo,cl  CHI,GK,Betis,39-304,1983,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
67,Bryan,es  ESP,MF,Sevilla,22-000,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
68,Ante Budimir,hr  CRO,FW,Osasuna,31-204,1991,9.6,2,28,7,25.0,2.91,0.73,0.07,0.29,11.6,0,0,0,3.1,3.1,0.11,-1.1,-1.1
69,Santiago Bueno,uy  URU,DF,Girona,24-094,1998,18.9,0,11,2,18.2,0.58,0.11,0.00,0.00,12.4,0,0,0,1.1,1.1,0.10,-1.1,-1.1
70,Sergio Busquets,es  ESP,MF,Barcelona,34-210,1988,14.5,0,4,1,25.0,0.28,0.07,0.00,0.00,23.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
71,Leandro Cabrera,uy  URU,DF,Espanyol,31-239,1991,18.3,0,14,3,21.4,0.77,0.16,0.00,0.00,9.6,0,0,0,1.6,1.6,0.11,-1.6,-1.6
72,Cala,es  ESP,DF,Cádiz,33-077,1989,1.5,0,1,0,0.0,0.66,0.00,0.00,,13.2,0,0,0,0.0,0.0,0.05,0.0,0.0
73,Fernando Calero,es  ESP,"DF,MF",Espanyol,27-150,1995,13.1,0,4,1,25.0,0.31,0.08,0.00,0.00,10.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3
74,Eduardo Camavinga,fr  FRA,"MF,DF",Real Madrid,20-093,2002,10.2,0,12,1,8.3,1.18,0.10,0.00,0.00,23.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5
75,Sergio Camello,es  ESP,FW,Rayo Vallecano,22-001,2001,15.9,5,41,12,29.3,2.58,0.75,0.12,0.42,15.1,0,0,0,4.2,4.2,0.10,+0.8,+0.8
76,Sergio Canales,es  ESP,"MF,FW",Betis,31-360,1991,15.2,2,20,5,25.0,1.32,0.33,0.10,0.40,21.0,5,0,0,1.9,1.9,0.10,+0.1,+0.1
77,Ander Capa,es  ESP,"MF,FW",Athletic Club,31-003,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
78,Étienne Capoue,fr  FRA,MF,Villarreal,34-215,1988,13.0,0,14,5,35.7,1.07,0.38,0.00,0.00,19.4,0,0,0,1.6,1.6,0.12,-1.6,-1.6
79,Isaac Carcelen,es  ESP,DF,Cádiz,29-294,1993,10.7,0,3,0,0.0,0.28,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
80,Juan Carlos,es  ESP,GK,Girona,35-022,1988,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
81,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,29-160,1993,10.8,1,28,9,32.1,2.60,0.84,0.04,0.11,17.1,0,0,0,2.6,2.6,0.09,-1.6,-1.6
82,Dani Carvajal,es  ESP,DF,Real Madrid,31-031,1992,12.0,0,6,0,0.0,0.50,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
83,William Carvalho,pt  POR,MF,Betis,30-310,1992,15.0,2,14,5,35.7,0.94,0.33,0.14,0.40,13.8,0,0,0,2.0,2.0,0.14,0.0,0.0
84,Casemiro,br  BRA,MF,Real Madrid,30-353,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
85,Valentín Castellanos,ar  ARG,FW,Girona,24-131,1998,15.8,4,43,12,27.9,2.73,0.76,0.07,0.25,16.6,0,1,1,4.4,3.7,0.08,-0.4,-0.7
86,Samu Castillejo,es  ESP,FW,Valencia,28-024,1995,9.9,2,25,6,24.0,2.52,0.61,0.08,0.33,18.3,2,0,0,1.7,1.7,0.07,+0.3,+0.3
87,Catena,es  ESP,DF,Rayo Vallecano,28-106,1994,19.0,1,5,3,60.0,0.26,0.16,0.20,0.33,7.6,0,0,0,0.5,0.5,0.10,+0.5,+0.5
88,Edinson Cavani,uy  URU,FW,Valencia,35-362,1987,10.3,5,22,7,31.8,2.13,0.68,0.14,0.43,15.5,2,2,3,5.2,2.8,0.13,-0.2,+0.2
89,Dani Ceballos,es  ESP,MF,Real Madrid,26-188,1996,6.3,0,6,2,33.3,0.95,0.32,0.00,0.00,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
90,Franco Cervi,ar  ARG,MF,Celta Vigo,28-261,1994,14.6,0,17,4,23.5,1.16,0.27,0.00,0.00,20.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0
91,Pep Chavarría,es  ESP,"FW,DF",Rayo Vallecano,24-307,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
92,Andreas Christensen,dk  DEN,DF,Barcelona,26-307,1996,8.0,0,3,2,66.7,0.37,0.25,0.00,0.00,15.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
93,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-265,1999,11.2,1,24,6,25.0,2.14,0.54,0.04,0.17,19.1,0,0,0,1.9,1.9,0.08,-0.9,-0.9
94,Víctor Chust,es  ESP,DF,Cádiz,22-343,2000,9.5,1,1,1,100.0,0.11,0.11,1.00,1.00,3.7,0,0,0,0.8,0.8,0.80,+0.2,+0.2
95,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-332,1994,10.2,1,16,4,25.0,1.57,0.39,0.06,0.25,21.8,0,0,0,1.9,1.9,0.12,-0.9,-0.9
96,Carlos Clerc,es  ESP,"DF,MF",Elche,30-355,1992,13.0,0,5,3,60.0,0.38,0.23,0.00,0.00,15.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
97,Álex Collado,es  ESP,MF,Elche,23-295,1999,6.0,1,11,5,45.5,1.85,0.84,0.09,0.20,21.0,0,0,0,0.5,0.5,0.04,+0.5,+0.5
98,Diego Collado,es  ESP,FW,Villarreal,22-033,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
99,Eray Cömert,ch  SUI,DF,Valencia,25-007,1998,13.9,1,8,5,62.5,0.58,0.36,0.13,0.20,16.4,0,0,0,0.4,0.4,0.05,+0.6,+0.6
100,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-129,1996,12.4,1,12,2,16.7,0.97,0.16,0.08,0.50,15.5,0,0,0,1.3,1.3,0.12,-0.3,-0.3
101,Copete,es  ESP,DF,Mallorca,23-124,1999,14.3,0,4,0,0.0,0.28,0.00,0.00,,8.2,0,0,0,0.7,0.2,0.06,-0.7,-0.2
102,Francis Coquelin,fr  FRA,MF,Villarreal,31-274,1991,7.9,1,6,1,16.7,0.76,0.13,0.17,1.00,13.9,0,0,0,0.9,0.9,0.16,+0.1,+0.1
103,Jesús Corona,mx  MEX,FW,Sevilla,30-036,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
104,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,27-339,1995,9.1,5,29,11,37.9,3.18,1.21,0.17,0.45,14.3,0,0,0,4.7,4.7,0.16,+0.3,+0.3
105,Thierry Correia,pt  POR,DF,Valencia,23-339,1999,15.4,0,4,0,0.0,0.26,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
106,Jaume Costa,es  ESP,DF,Mallorca,34-330,1988,16.4,0,8,5,62.5,0.49,0.30,0.00,0.00,12.6,0,0,0,0.9,0.9,0.11,-0.9,-0.9
107,Samu Costa,pt  POR,MF,Almería,22-076,2000,11.7,0,6,2,33.3,0.51,0.17,0.00,0.00,27.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2
108,Thibaut Courtois,be  BEL,GK,Real Madrid,30-276,1992,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
109,Yan Couto,br  BRA,"DF,MF",Girona,20-253,2002,7.6,0,5,0,0.0,0.66,0.00,0.00,,22.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
110,Juan Cruz Armada,es  ESP,DF,Osasuna,30-198,1992,14.0,0,1,0,0.0,0.07,0.00,0.00,,9.5,0,0,0,0.2,0.2,0.20,-0.2,-0.2
111,Juan Cruz,es  ESP,FW,Betis,22-292,2000,1.9,1,5,2,40.0,2.59,1.03,0.20,0.50,16.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5
112,Jorge Cuenca,es  ESP,DF,Villarreal,23-086,1999,4.0,0,2,0,0.0,0.51,0.00,0.00,,11.4,0,0,0,0.2,0.2,0.13,-0.2,-0.2
113,Braian Cufré,ar  ARG,DF,Mallorca,26-058,1996,2.4,0,3,0,0.0,1.23,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
114,Matheus Cunha,br  BRA,"FW,MF",Atlético Madrid,23-260,1999,4.2,0,12,8,66.7,2.86,1.91,0.00,0.00,16.1,0,0,0,1.4,1.4,0.12,-1.4,-1.4
115,Curro,es  ESP,MF,Almería,27-039,1996,0.5,0,1,1,100.0,2.09,2.09,0.00,0.00,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
116,Arnaut Danjuma,nl  NED,FW,Villarreal,26-011,1997,5.3,2,11,4,36.4,2.07,0.75,0.09,0.25,16.7,0,1,1,2.7,1.9,0.17,-0.7,-0.9
117,Sergi Darder,es  ESP,MF,Espanyol,29-051,1993,19.7,2,20,5,25.0,1.02,0.25,0.10,0.40,24.1,0,0,0,1.3,1.3,0.06,+0.7,+0.7
118,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,28-263,1994,9.7,1,8,3,37.5,0.82,0.31,0.13,0.33,25.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7
119,Alberto Del Moral,es  ESP,MF,Villarreal,22-206,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
120,Thomas Delaney,dk  DEN,MF,Sevilla,31-161,1991,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
121,Fran Delgado,es  ESP,DF,Betis,21-215,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
122,Ousmane Dembélé,fr  FRA,FW,Barcelona,25-272,1997,12.2,5,39,14,35.9,3.19,1.15,0.13,0.36,17.8,0,0,0,2.9,2.9,0.07,+2.1,+2.1
123,Mouctar Diakhaby,gn  GUI,DF,Valencia,26-054,1996,11.8,2,6,2,33.3,0.51,0.17,0.33,1.00,7.9,0,0,0,1.2,1.2,0.20,+0.8,+0.8
124,Mamady Diarra,ml  MLI,"MF,DF",Cádiz,22-230,2000,0.7,0,3,0,0.0,4.09,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
125,Youba Diarra,ml  MLI,MF,Cádiz,24-324,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
126,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-048,1993,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
127,Malcom Abdulai Ares Djalo,es  ESP,FW,Athletic Club,21-122,2001,0.1,0,1,0,0.0,18.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.03,0.0,0.0
128,Djené,tg  TOG,DF,Getafe,31-042,1991,17.1,0,3,0,0.0,0.18,0.00,0.00,,14.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
129,Marko Dmitrović,rs  SRB,GK,Sevilla,31-018,1992,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
130,Kasper Dolberg,dk  DEN,FW,Sevilla,25-128,1997,2.2,0,2,1,50.0,0.91,0.46,0.00,0.00,17.3,0,0,0,0.0,0.0,0.02,0.0,0.0
131,Carlos Dominguez,es  ESP,MF,Celta Vigo,22-000,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
132,John Donald,es  ESP,DF,Elche,22-165,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
133,Domingos Duarte,pt  POR,DF,Getafe,27-338,1995,18.5,0,11,3,27.3,0.59,0.16,0.00,0.00,11.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8
134,Pablo Durán,es  ESP,"MF,DF",Celta Vigo,22-017,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
135,Hugo Duro,es  ESP,"FW,MF",Valencia,23-093,1999,5.2,1,12,3,25.0,2.32,0.58,0.08,0.33,11.3,0,0,0,1.8,1.8,0.15,-0.8,-0.8
136,Íñigo Eguaras,es  ESP,MF,Almería,30-341,1992,6.0,1,5,2,40.0,0.84,0.33,0.20,0.50,18.3,0,0,0,0.9,0.9,0.17,+0.1,+0.1
137,Aritz Elustondo,es  ESP,DF,Real Sociedad,28-320,1994,11.4,0,6,0,0.0,0.53,0.00,0.00,,16.6,0,0,0,0.6,0.6,0.10,-0.6,-0.6
138,Rodrigo Ely,br  BRA,DF,Almería,29-100,1993,18.7,0,12,1,8.3,0.64,0.05,0.00,0.00,14.7,1,0,0,0.6,0.6,0.05,-0.6,-0.6
139,Youssef En-Nesyri,ma  MAR,"FW,MF",Sevilla,25-255,1997,7.4,2,23,10,43.5,3.10,1.35,0.09,0.20,11.5,0,0,0,2.6,2.6,0.11,-0.6,-0.6
140,Gonzalo Escalante,ar  ARG,MF,Cádiz,29-321,1993,1.5,1,4,1,25.0,2.67,0.67,0.25,1.00,16.0,0,0,0,1.0,1.0,0.24,0.0,0.0
141,Sergio Escudero,es  ESP,DF,Valladolid,33-162,1989,8.5,0,12,4,33.3,1.41,0.47,0.00,0.00,22.9,2,0,0,0.6,0.6,0.05,-0.6,-0.6
142,Alfonso Espino,uy  URU,DF,Cádiz,31-037,1992,18.7,0,11,1,9.1,0.59,0.05,0.00,0.00,25.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5
143,Bernardo Espinosa,co  COL,DF,Girona,33-215,1989,8.9,0,5,2,40.0,0.56,0.23,0.00,0.00,9.7,0,0,0,0.5,0.5,0.10,-0.5,-0.5
144,Edu Expósito,es  ESP,MF,Espanyol,26-194,1996,10.3,2,13,6,46.2,1.26,0.58,0.15,0.33,29.0,2,0,0,0.4,0.4,0.03,+1.6,+1.6
145,Nicolás Ezequiel Fernández,ar  ARG,"MF,DF",Elche,23-031,2000,3.5,0,1,1,100.0,0.29,0.29,0.00,0.00,22.1,0,0,0,0.0,0.0,0.04,0.0,0.0
146,Abdessamad Ezzalzouli,ma  MAR,"FW,MF",Osasuna,21-056,2001,6.5,0,14,4,28.6,2.14,0.61,0.00,0.00,17.9,1,0,0,0.9,0.9,0.06,-0.9,-0.9
147,Radamel Falcao,co  COL,"FW,MF",Rayo Vallecano,37-001,1986,5.2,2,15,4,26.7,2.87,0.77,0.07,0.25,17.3,0,1,1,2.5,1.7,0.11,-0.5,-0.7
