,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
113,Braian Cufré,ar  ARG,DF,Mallorca,26-058,1996,2.4,0,0,0,5,3,2,1,2,2,0,0,0,13,0,1,0.0
114,Matheus Cunha,br  BRA,"FW,MF",Atlético Madrid,23-260,1999,4.2,2,0,0,7,6,1,3,2,1,0,0,0,16,3,14,17.6
115,Curro,es  ESP,MF,Almería,27-039,1996,0.5,1,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0.0
116,Arnaut Danjuma,nl  NED,FW,Villarreal,26-011,1997,5.3,0,0,0,2,7,3,6,0,3,0,0,0,10,0,3,0.0
117,Sergi Darder,es  ESP,MF,Espanyol,29-051,1993,19.7,2,0,0,15,46,1,107,14,21,0,0,0,107,3,5,37.5
118,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,28-263,1994,9.7,2,0,0,14,22,0,27,3,4,0,0,0,49,3,7,30.0
119,Alberto Del Moral,es  ESP,MF,Villarreal,22-206,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,Thomas Delaney,dk  DEN,MF,Sevilla,31-161,1991,3.4,3,0,0,4,5,1,4,4,2,0,0,0,8,9,2,81.8
121,Fran Delgado,es  ESP,DF,Betis,21-215,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
122,Ousmane Dembélé,fr  FRA,FW,Barcelona,25-272,1997,12.2,4,0,0,14,13,3,71,0,11,0,0,0,46,2,11,15.4
123,Mouctar Diakhaby,gn  GUI,DF,Valencia,26-054,1996,11.8,6,1,1,13,5,1,0,8,8,0,0,0,62,13,24,35.1
124,Mamady Diarra,ml  MLI,"MF,DF",Cádiz,22-230,2000,0.7,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,
125,Youba Diarra,ml  MLI,MF,Cádiz,24-324,1998,0.5,1,0,0,1,0,0,0,1,0,0,0,0,8,0,2,0.0
126,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-048,1993,19.0,3,0,0,0,1,0,0,0,0,0,0,0,20,5,0,100.0
127,Malcom Abdulai Ares Djalo,es  ESP,FW,Athletic Club,21-122,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,Djené,tg  TOG,DF,Getafe,31-042,1991,17.1,5,0,0,22,24,1,6,31,10,0,1,0,114,26,16,61.9
129,Marko Dmitrović,rs  SRB,GK,Sevilla,31-018,1992,2.5,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
130,Kasper Dolberg,dk  DEN,FW,Sevilla,25-128,1997,2.2,0,0,0,2,4,0,0,0,0,0,0,0,3,3,4,42.9
131,Carlos Dominguez,es  ESP,MF,Celta Vigo,22-000,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
132,John Donald,es  ESP,DF,Elche,22-165,2000,1.7,0,1,0,2,1,0,0,5,0,0,0,0,4,2,2,50.0
133,Domingos Duarte,pt  POR,DF,Getafe,27-338,1995,18.5,7,0,0,20,14,1,0,26,10,0,1,1,66,29,16,64.4
134,Pablo Durán,es  ESP,"MF,DF",Celta Vigo,22-017,2001,0.4,0,0,0,1,0,1,1,1,0,0,0,0,3,1,1,50.0
135,Hugo Duro,es  ESP,"FW,MF",Valencia,23-093,1999,5.2,1,0,0,7,12,3,1,1,2,0,0,0,11,6,15,28.6
136,Íñigo Eguaras,es  ESP,MF,Almería,30-341,1992,6.0,3,0,0,4,4,0,2,4,7,0,0,0,43,2,1,66.7
137,Aritz Elustondo,es  ESP,DF,Real Sociedad,28-320,1994,11.4,4,1,0,17,8,0,4,18,12,0,0,0,43,13,19,40.6
138,Rodrigo Ely,br  BRA,DF,Almería,29-100,1993,18.7,5,1,1,15,6,2,2,19,10,0,0,1,78,45,10,81.8
139,Youssef En-Nesyri,ma  MAR,"FW,MF",Sevilla,25-255,1997,7.4,1,0,0,2,2,7,2,2,6,0,0,0,11,22,37,37.3
140,Gonzalo Escalante,ar  ARG,MF,Cádiz,29-321,1993,1.5,0,0,0,4,2,0,1,4,1,0,0,0,6,5,3,62.5
141,Sergio Escudero,es  ESP,DF,Valladolid,33-162,1989,8.5,2,0,0,9,8,1,24,10,15,0,0,0,47,13,11,54.2
142,Alfonso Espino,uy  URU,DF,Cádiz,31-037,1992,18.7,4,0,0,26,17,1,47,19,30,0,2,0,117,14,17,45.2
143,Bernardo Espinosa,co  COL,DF,Girona,33-215,1989,8.9,2,0,0,6,6,0,0,3,0,0,1,0,46,35,12,74.5
144,Edu Expósito,es  ESP,MF,Espanyol,26-194,1996,10.3,2,0,0,13,20,0,27,9,16,0,0,0,52,11,11,50.0
145,Nicolás Ezequiel Fernández,ar  ARG,"MF,DF",Elche,23-031,2000,3.5,2,0,0,6,6,0,12,5,9,0,0,1,24,0,3,0.0
146,Abdessamad Ezzalzouli,ma  MAR,"FW,MF",Osasuna,21-056,2001,6.5,3,1,1,14,16,0,21,2,10,0,0,0,25,1,2,33.3
147,Radamel Falcao,co  COL,"FW,MF",Rayo Vallecano,37-001,1986,5.2,3,0,0,13,10,11,0,2,3,0,0,0,13,15,17,46.9
148,Fali,es  ESP,"DF,MF",Cádiz,29-183,1993,9.2,4,0,0,7,11,0,0,4,8,0,0,0,42,18,12,60.0
149,Mamadou Fall,sn  SEN,DF,Villarreal,20-082,2002,0.3,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,
150,Ansu Fati,es  ESP,FW,Barcelona,20-103,2002,8.6,2,0,0,9,8,7,4,3,6,0,0,0,34,4,8,33.3
151,Zouhair Feddal,ma  MAR,DF,Valladolid,34-041,1989,4.2,1,0,0,4,2,0,1,5,2,0,1,0,19,6,7,46.2
152,Nabil Fekir,fr  FRA,MF,Betis,29-208,1993,8.7,4,1,0,17,34,7,39,1,3,1,0,0,24,7,9,43.8
153,Felipe,br  BRA,DF,Atlético Madrid,33-271,1989,2.2,0,0,0,4,3,0,0,0,2,0,0,0,16,6,6,50.0
154,Luiz Felipe,it  ITA,DF,Betis,25-326,1997,8.6,1,3,0,6,4,0,0,8,10,0,0,0,35,11,9,55.0
155,João Félix,pt  POR,"FW,MF",Atlético Madrid,23-093,1999,7.2,5,0,0,16,23,3,8,3,7,0,0,0,18,7,8,46.7
156,Kiko Femenía,es  ESP,DF,Villarreal,32-009,1991,9.9,0,0,0,6,8,0,25,14,5,0,0,0,44,8,3,72.7
157,Aitor Fernández,es  ESP,GK,Osasuna,31-284,1991,10.0,1,0,0,0,0,0,0,1,1,0,0,0,15,2,0,100.0
158,Álex Fernández,es  ESP,"MF,FW",Cádiz,30-119,1992,13.6,0,0,0,3,12,0,22,7,6,0,0,0,61,9,18,33.3
159,Álvaro Fernández,es  ESP,GK,Espanyol,24-304,1998,10.0,0,0,0,0,2,0,0,0,0,0,0,0,14,2,1,66.7
160,Carlos Fernández,es  ESP,FW,Real Sociedad,26-265,1996,2.8,2,0,0,8,6,6,0,1,2,0,0,0,17,10,7,58.8
161,Federico Fernández,ar  ARG,DF,Elche,33-355,1989,1.0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,2,33.3
162,Joaquín Fernández,es  ESP,DF,Valladolid,26-256,1996,14.6,3,0,0,10,6,2,0,16,18,0,0,0,56,34,19,64.2
163,Fidel,es  ESP,"FW,MF",Elche,33-107,1989,4.5,3,0,0,3,6,3,22,1,3,0,0,0,26,1,1,50.0
164,Dimitri Foulquier,fr  FRA,"DF,MF",Valencia,29-325,1993,6.4,2,0,0,15,5,0,16,3,10,0,0,0,28,8,8,50.0
165,Juan Foyth,ar  ARG,DF,Villarreal,25-030,1998,7.0,2,0,0,12,4,0,3,9,13,0,1,0,44,6,3,66.7
166,Iván Fresneda,es  ESP,DF,Valladolid,18-136,2004,8.5,1,0,0,7,12,0,26,13,19,0,0,0,58,4,7,36.4
167,Javi Galán,es  ESP,DF,Celta Vigo,28-084,1994,19.1,2,0,0,29,40,4,82,18,40,0,0,0,111,17,13,56.7
168,Iñigo Ruiz de Galarreta,es  ESP,MF,Mallorca,29-189,1993,13.5,6,0,0,28,21,0,25,13,24,0,0,0,96,5,11,31.3
169,Aleix García,es  ESP,MF,Girona,25-228,1997,19.7,1,0,0,12,26,0,135,25,10,0,0,0,94,9,4,69.2
170,Álvaro García,es  ESP,"FW,MF",Rayo Vallecano,30-107,1992,16.5,3,0,0,21,15,6,83,14,17,1,0,0,90,5,4,55.6
171,Borja García,es  ESP,"FW,MF",Girona,32-101,1990,1.0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,100.0
172,Carlos García,es  ESP,DF,Cádiz,22-219,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
173,Dani García,es  ESP,MF,Athletic Club,32-263,1990,6.5,2,0,0,13,9,0,3,6,9,0,0,0,36,4,8,33.3
174,David García,es  ESP,DF,Osasuna,28-362,1994,17.5,6,1,0,32,12,0,1,26,13,0,1,0,93,45,22,67.2
175,Eric García,es  ESP,DF,Barcelona,22-033,2001,8.3,2,0,0,12,1,0,0,13,11,0,1,0,51,8,8,50.0
176,Francisco Garcia,es  ESP,DF,Rayo Vallecano,23-181,1999,19.9,0,0,0,13,13,3,86,26,23,0,2,0,113,4,11,26.7
177,Raúl García,es  ESP,"FW,MF",Athletic Club,36-215,1986,5.6,1,0,0,9,13,5,6,3,6,0,0,0,21,10,18,35.7
178,Rubén García,es  ESP,"MF,FW",Osasuna,29-212,1993,6.9,2,0,0,9,8,0,41,7,3,0,0,0,43,7,20,25.9
179,Unai García,es  ESP,DF,Osasuna,31-008,1992,14.1,6,1,0,17,2,0,2,16,7,0,1,0,68,26,21,55.3
180,Felix Garreta,es  ESP,DF,Betis,18-296,2004,1.0,0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,50.0
181,Sékou Gassama,sn  SEN,FW,Valladolid,27-281,1995,0.4,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,50.0
182,Gavi,es  ESP,"MF,FW",Barcelona,18-190,2004,14.1,4,0,0,48,29,7,24,11,18,0,0,0,62,24,14,63.2
183,Paulo Gazzaniga,ar  ARG,GK,Girona,31-040,1992,10.0,1,0,0,0,5,0,0,0,0,0,0,0,14,1,0,100.0
184,Óscar Gil,es  ESP,DF,Espanyol,25-291,1997,14.1,5,0,0,25,19,0,23,16,18,0,0,0,53,7,21,25.0
185,Álvaro Giménez,es  ESP,FW,Cádiz,31-268,1991,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
186,Dani Gómez,es  ESP,"MF,FW",Espanyol,24-196,1998,0.8,2,0,0,2,2,4,2,1,1,0,0,0,5,1,0,100.0
187,Maxi Gómez,uy  URU,FW,Valencia,26-181,1996,1.2,0,0,0,4,3,1,0,0,0,0,0,0,0,2,6,25.0
188,Moi Gómez,es  ESP,"MF,FW",Osasuna,28-233,1994,18.2,3,0,0,10,19,1,83,7,10,0,0,0,113,5,18,21.7
189,Papu Gómez,ar  ARG,"MF,FW",Sevilla,34-361,1988,7.4,4,0,0,4,14,2,25,4,4,0,1,0,26,2,3,40.0
