,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
511,Martin Valjent,sk  SVK,DF,Mallorca,27-071,1995,18,18,1598,17.8,0,0,0,0,0,0,7,0,0.0,0.0,0.1,0.1,7,34,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,Manu Vallejo,es  ESP,"FW,MF",Girona,26-006,1997,7,2,206,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,7,10,25,0.00,0.44,0.44,0.00,0.44,0.01,0.12,0.13,0.01,0.13
513,Federico Valverde,uy  URU,"FW,MF",Real Madrid,24-213,1998,22,19,1686,18.7,7,2,9,7,0,0,2,0,2.9,2.9,4.0,6.9,53,97,82,0.37,0.11,0.48,0.37,0.48,0.16,0.21,0.37,0.16,0.37
514,Jesus Vazquez,es  ESP,"DF,MF",Valencia,20-049,2003,6,2,171,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,8,11,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12
515,Kevin Vázquez,es  ESP,"MF,DF",Celta Vigo,29-334,1993,4,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
516,Lucas Vázquez,es  ESP,DF,Real Madrid,31-234,1991,10,4,426,4.7,2,0,2,2,0,0,1,0,0.9,0.9,0.8,1.7,13,21,52,0.42,0.00,0.42,0.42,0.42,0.20,0.17,0.36,0.20,0.36
517,Gabriel Veiga,es  ESP,MF,Celta Vigo,20-269,2002,21,14,1212,13.5,6,2,8,6,0,0,4,1,3.7,3.7,1.1,4.8,37,61,43,0.45,0.15,0.59,0.45,0.59,0.27,0.08,0.36,0.27,0.36
518,Unai Vencedor Paris,es  ESP,MF,Athletic Club,22-097,2000,6,0,141,1.6,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,1,11,2,0.00,0.00,0.00,0.00,0.00,0.31,0.02,0.33,0.31,0.33
519,Gonzalo Verdú,es  ESP,DF,Elche,34-122,1988,10,6,471,5.2,1,0,1,1,0,0,1,2,0.2,0.2,0.0,0.2,0,6,0,0.19,0.00,0.19,0.19,0.19,0.04,0.00,0.04,0.04,0.04
520,Mikel Vesga,es  ESP,MF,Athletic Club,29-275,1993,21,17,1575,17.5,2,2,4,1,1,1,3,0,1.3,0.6,1.1,1.7,14,126,22,0.11,0.11,0.23,0.06,0.17,0.08,0.06,0.14,0.03,0.10
521,Aleix Vidal,es  ESP,"MF,FW",Espanyol,33-183,1989,17,9,826,9.2,0,0,0,0,0,0,4,0,0.1,0.1,1.0,1.2,8,18,36,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.13,0.01,0.13
522,Nacho Vidal,es  ESP,DF,Osasuna,28-027,1995,13,10,891,9.9,0,0,0,0,0,0,2,0,0.5,0.5,0.6,1.1,12,31,37,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12
523,Asier Villalibre,es  ESP,FW,Athletic Club,25-143,1997,5,1,97,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0,2,9,0.00,0.00,0.00,0.00,0.00,0.29,0.19,0.47,0.29,0.47
524,Gonzalo Villar,es  ESP,MF,Getafe,24-334,1998,5,1,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
525,Iván Villar,es  ESP,GK,Celta Vigo,25-226,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
526,Daniel Vivian,es  ESP,DF,Athletic Club,23-220,1999,16,15,1355,15.1,1,0,1,1,0,0,4,0,0.8,0.8,0.0,0.8,14,66,3,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.05,0.05,0.05
527,Shon Weissman,il  ISR,FW,Valladolid,27-006,1996,15,6,747,8.3,1,0,1,1,0,0,1,0,2.3,2.3,0.2,2.5,7,4,15,0.12,0.00,0.12,0.12,0.12,0.28,0.02,0.30,0.28,0.30
528,Iñaki Williams,gh  GHA,FW,Athletic Club,28-250,1994,20,19,1574,17.5,5,2,7,5,0,1,0,0,5.1,4.3,2.1,6.4,59,29,163,0.29,0.11,0.40,0.29,0.40,0.29,0.12,0.41,0.25,0.37
529,Nico Williams,es  ESP,"FW,MF",Athletic Club,20-223,2002,22,21,1724,19.2,4,4,8,4,0,0,1,0,3.2,3.2,3.2,6.3,105,53,216,0.21,0.21,0.42,0.21,0.42,0.17,0.17,0.33,0.17,0.33
530,Axel Witsel,be  BEL,"DF,MF",Atlético Madrid,34-039,1989,18,14,1276,14.2,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,3,46,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
531,Jawad El Yamiq,ma  MAR,DF,Valladolid,30-356,1992,13,7,652,7.2,0,0,0,0,0,0,0,1,0.3,0.3,0.1,0.4,7,15,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
532,Joseba Zaldúa,es  ESP,DF,Cádiz,30-241,1992,10,7,639,7.1,0,1,1,0,0,0,4,0,0.0,0.0,0.0,0.1,13,13,20,0.00,0.14,0.14,0.00,0.14,0.00,0.01,0.01,0.00,0.01
533,Oier Zarraga,es  ESP,"MF,FW",Athletic Club,24-047,1999,16,3,507,5.6,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.0,8,21,17,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18
534,Igor Zubeldia,es  ESP,DF,Real Sociedad,25-327,1997,18,16,1437,16.0,1,1,2,1,0,0,5,0,0.5,0.5,0.4,0.8,6,56,4,0.06,0.06,0.13,0.06,0.13,0.03,0.02,0.05,0.03,0.05
535,Martín Zubimendi,es  ESP,MF,Real Sociedad,24-018,1999,21,20,1781,19.8,1,2,3,1,0,0,7,0,0.7,0.7,1.0,1.7,23,109,12,0.05,0.10,0.15,0.05,0.15,0.03,0.05,0.08,0.03,0.08
