,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Work Rate,Body Type,Real Face,Release Clause,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,GK,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
10,211108,Nanduo Fei,27,China PR,Guangzhou Evergrande Taobao FC,€8M,€23K,76,76,Left,3 ★,3 ★,1 ★,High/ Low,Lean (170-185),No,€12.8M,RM,19,"Jan 1, 2020",2023,5'9,139lbs,70+2,70+2,70+2,75+0,74+0,74+0,74+0,75+0,75+1,75+1,75+1,75+1,71+2,71+2,71+2,75+1,61+2,59+2,59+2,59+2,61+2,58+2,51+2,51+2,51+2,58+2,16+2,13,1,24,70,70,44,74,62,80,67,74,75,67,84,84,72,77,70,75,74,76,66,71,63,36,73,78,63,69,32,46,42,6,11,11,10,8
11,246669,Bukayo Saka,18,England,Arsenal,€22M,€25K,77,88,Left,4 ★,3 ★,1 ★,High/ Medium,Lean (170-185),Yes,€46.2M,RM,7,"Sep 14, 2018",2025,5'10,143lbs,67+2,67+2,67+2,76+0,73+0,73+0,73+0,76+0,75+2,75+2,75+2,76+2,73+2,73+2,73+2,76+2,74+2,70+2,70+2,70+2,74+2,72+2,65+2,65+2,65+2,72+2,16+2,377,34,1143,79,60,45,78,55,82,72,52,63,77,86,82,83,73,83,64,51,76,58,60,64,68,70,78,58,70,65,69,67,7,8,13,9,13
12,233848,Jens Petter Hauge,20,Norway,Milan,€12.5M,€25K,75,84,Right,3 ★,4 ★,1 ★,High/ Medium,Normal (170-185),No,€23.8M,LM,20,"Oct 1, 2020",2025,6'0,165lbs,70+2,70+2,70+2,75+0,73+0,73+0,73+0,75+0,73+2,73+2,73+2,74+2,68+2,68+2,68+2,74+2,62+2,58+2,58+2,58+2,62+2,59+2,50+2,50+2,50+2,59+2,15+2,91,7,240,69,69,49,68,56,78,66,54,63,78,89,85,80,70,72,68,56,83,67,68,45,39,71,70,65,74,43,43,37,9,7,14,9,8
13,240273,Emile Smith Rowe,19,England,Arsenal,€7M,€30K,73,85,Right,4 ★,4 ★,1 ★,High/ Medium,Normal (170-185),No,€14.7M,CAM,32,"Jul 31, 2017",2023,6'0,141lbs,67+2,67+2,67+2,72+0,72+0,72+0,72+0,72+0,73+2,73+2,73+2,72+2,67+2,67+2,67+2,72+2,56+2,52+2,52+2,52+2,56+2,52+2,42+2,42+2,42+2,52+2,16+2,99,11,467,61,63,36,76,55,77,67,58,61,77,79,79,75,70,74,69,34,68,59,61,39,24,72,72,64,68,37,30,31,11,8,14,8,10
14,178322,Miguel Layún,32,Mexico,Monterrey,€2.9M,€31K,74,74,Right,5 ★,3 ★,3 ★,High/ High,Lean (170-185),Yes,€4.9M,RB,19,"Jan 30, 2019",2021,5'10,157lbs,71+3,71+3,71+3,72+0,73+0,73+0,73+0,72+0,72+2,72+2,72+2,73+1,72+2,72+2,72+2,73+1,72+2,72+2,72+2,72+2,72+2,72+2,70+3,70+3,70+3,72+2,18+3,43,6,225,64,66,61,68,66,76,68,74,69,77,76,77,66,73,69,80,74,84,68,74,69,72,71,71,74,78,70,70,69,7,16,6,12,11
15,222665,Martin Ødegaard,21,Norway,Arsenal,€58.5M,€135K,83,89,Left,2 ★,5 ★,3 ★,Medium/ Medium,Lean (170-185),No,,RM,10,,"Jun 30, 2021",5'10,150lbs,74+3,74+3,74+3,81+0,80+0,80+0,80+0,81+0,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,72+3,70+3,70+3,70+3,72+3,69+3,60+3,60+3,60+3,69+3,19+3,565,58,2163,84,73,52,83,73,86,81,83,81,85,80,77,85,74,83,76,46,80,55,77,63,65,77,87,63,76,65,49,51,14,15,15,8,10
16,251809,Sven Botman,20,Netherlands,LOSC Lille,€8.5M,€19K,74,84,Left,3 ★,2 ★,1 ★,Medium/ High,Normal (185+),No,€17.9M,LCB,5,"Sep 24, 2020",2025,6'4,179lbs,49+2,49+2,49+2,48+0,49+0,49+0,49+0,48+0,51+2,51+2,51+2,51+2,57+2,57+2,57+2,51+2,64+2,69+2,69+2,69+2,64+2,67+2,74+2,74+2,74+2,67+2,17+2,32,5,114,36,21,76,68,27,42,31,28,58,64,60,65,58,69,42,43,77,68,84,37,71,73,29,41,37,67,74,76,69,12,9,8,6,14
17,239482,Wenderson Nascimento Galeno,22,Brazil,SC Braga,€23.5M,€14K,77,85,Right,3 ★,4 ★,1 ★,High/ Medium,Lean (170-185),No,€51.7M,LM,90,"Aug 6, 2019",2024,5'10,137lbs,72+2,72+2,72+2,77+0,77+0,77+0,77+0,77+0,76+2,76+2,76+2,76+2,68+2,68+2,68+2,76+2,60+2,54+2,54+2,54+2,60+2,56+2,46+2,46+2,46+2,56+2,19+2,60,8,294,66,68,41,70,59,85,73,70,53,80,92,90,84,77,70,75,65,75,64,72,52,41,76,69,59,83,22,35,29,13,6,13,11,15
18,246104,Ryan Gravenberch,18,Netherlands,Ajax,€17.5M,€6K,76,89,Right,3 ★,4 ★+1,1 ★,Medium/ Medium,Lean (185+),Yes,€35.4M,LCM,8,"Jul 1, 2018",2023,6'3,174lbs,73+2,73+2,73+2,76+0,75+0,75+0,75+0,76+0,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,73+2,72+2,72+2,72+2,73+2,71+2,69+2,69+2,69+2,71+2,17+2,456,26,1563,70,75,58,77,63,,71,56,76,,,76,79,68,,76,71,,,,52,,71,74,58,76,68,69,64,12,8,6,11,12
19,186942,İlkay Gündoğan,29,Germany,Manchester City,€35.5M,€160K,83,83,Right,4 ★,4 ★,3 ★,High/ Medium,Normal (170-185),Yes,€65.7M,LCM,8,"Jul 1, 2016",2023,5'11,176lbs,76+3,76+3,76+3,80+0,81+0,81+0,81+0,80+0,83+0,83+0,83+0,81+2,83+0,83+0,83+0,81+2,77+3,80+3,80+3,80+3,77+3,75+3,73+3,73+3,73+3,75+3,19+3,100,10,543,78,73,50,88,75,84,86,78,85,88,66,66,77,85,77,79,61,69,73,78,70,78,80,86,80,87,76,75,67,11,14,5,5,13
20,251854,Pedro González López,17,Spain,FC Barcelona,€17M,€14K,76,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,251517,Joško Gvardiol,18,Croatia,Dinamo Zagreb,€5M,€500,72,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,241486,Jules Koundé,21,France,Sevilla FC,€37.5M,€23K,81,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,239085,Erling Haaland,19,Norway,Borussia Dortmund,€104.5M,€67K,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,248243,Eduardo Camavinga,17,France,Stade Rennais FC,€29M,€6K,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,237692,Phil Foden,20,England,Manchester City,€56.5M,€95K,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,237239,Enis Bardhi,24,North Macedonia,Levante UD,€24M,€26K,79,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,240950,Pedro António Pereira Gonçalves,22,Portugal,Sporting CP,€39.5M,€16K,79,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,256630,Florian Wirtz,17,Germany,Bayer 04 Leverkusen,€13M,€7K,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,233419,Raphael Dias Belloli,23,Brazil,Leeds United,€40.5M,€100K,81,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,231478,Lautaro Martínez,22,Argentina,Inter,€65.5M,€130K,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,212198,Bruno Miguel Borges Fernandes,25,Portugal,Manchester United,€121M,€240K,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,158023,Lionel Messi,33,Argentina,FC Barcelona,€103.5M,€560K,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,253004,Anssumane Fati,17,Spain,FC Barcelona,€17M,€24K,76,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,251570,Rayan Cherki,16,France,Olympique Lyonnais,€3.5M,€6K,69,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,192598,Kesen Ai,30,China PR,Guangzhou Evergrande Taobao FC,€17M,€32K,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,240060,Max Aarons,20,England,Norwich City,€9M,€8K,74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,246618,Adam Hložek,17,Czech Republic,Sparta Praha,€9.5M,€500,74,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,245541,Giovanni Reyna,17,United States,Borussia Dortmund,€13M,€6K,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,234396,Alphonso Davies,19,Canada,FC Bayern München,€53M,€40K,81,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,254796,Noni Madueke,18,England,PSV,€5.5M,€5K,72,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,237678,Ibrahima Konaté,21,France,RB Leipzig,€29.5M,€33K,78,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,206517,Jack Grealish,24,England,Aston Villa,€49.5M,€82K,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,251804,Sergiño Dest,19,United States,FC Barcelona,€13M,€50K,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,255475,Antony Matheus dos Santos,20,Brazil,Ajax,€38.5M,€17K,79,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,256948,Christos Tzolis,18,Greece,PAOK,€4M,€500,70,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,251530,Nuno Albertino Varela Tavares,20,Portugal,SL Benfica,€7M,€7K,73,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,251852,Karim Adeyemi,18,Germany,FC Red Bull Salzburg,€3.6M,€6K,69,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,246147,Mason Greenwood,18,England,Manchester United,€24.5M,€33K,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,244778,Francisco Mota Castro Trincão,20,Portugal,FC Barcelona,€23M,€95K,77,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,234943,Florian Neuhaus,23,Germany,Borussia Mönchengladbach,€40.5M,€42K,81,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,245367,Xavi Simons,17,Netherlands,Paris Saint-Germain,€1.9M,€2K,65,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,227678,Ezri Konsa,22,England,Aston Villa,€12M,€38K,75,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,245371,Thiago Almada,19,Argentina,Vélez Sarsfield,€10M,€9K,74,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,20801,C. Ronaldo dos Santos Aveiro,35,Portugal,Juventus,€63M,€220K,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,242434,Curtis Jones,19,England,Liverpool,€4.4M,€25K,71,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,231747,Kylian Mbappé,21,France,Paris Saint-Germain,€185.5M,€160K,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,242444,João Félix Sequeira,20,Portugal,Atlético Madrid,€80.5M,€61K,83,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,246045,Pedro De la Vega,19,Argentina,Club Atlético Lanús,€10M,€11K,74,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,226161,Marcos Llorente Moreno,25,Spain,Atlético Madrid,€55.5M,€78K,84,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
