,Player,Nation,Pos,Squad,Age,Born,90s,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
33,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,8.1,4,19,8,42.1,2.34,0.99,0.21,0.50,11.9,0,0,0,4.5,4.5,0.25,-0.5,-0.5
34,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,15.6,1,13,6,46.2,0.83,0.38,0.08,0.17,15.1,0,0,0,1.4,1.4,0.11,-0.4,-0.4
36,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,7.8,0,7,1,14.3,0.89,0.13,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5
37,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,11.4,0,5,1,20.0,0.44,0.09,0.00,0.00,20.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
38,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,6.5,0,0,0,0.4,0.4,0.21,-0.4,-0.4
39,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,14.6,4,35,12,34.3,2.39,0.82,0.11,0.33,17.1,2,0,0,4.3,4.3,0.12,-0.3,-0.3
40,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,2.2,1,2,1,50.0,0.93,0.46,0.50,1.00,13.1,0,0,0,0.6,0.6,0.29,+0.4,+0.4
41,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,6.6,1,20,9,45.0,3.04,1.37,0.05,0.11,14.2,0,0,1,4.8,4.0,0.20,-3.8,-3.0
42,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,4.8,0,2,1,50.0,0.42,0.21,0.00,0.00,16.9,0,0,0,0.2,0.2,0.10,-0.2,-0.2
43,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,17.8,7,44,21,47.7,2.47,1.18,0.16,0.33,16.2,0,0,0,5.5,5.5,0.13,+1.5,+1.5
44,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
45,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
46,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,1.9,0,2,0,0.0,1.08,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
47,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
48,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,11.4,0,10,1,10.0,0.88,0.09,0.00,0.00,16.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7
49,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,12.5,3,36,11,30.6,2.87,0.88,0.03,0.09,22.3,2,2,2,3.6,2.0,0.06,-0.6,-1.0
50,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,16.0,4,12,7,58.3,0.75,0.44,0.33,0.57,15.5,0,0,0,1.4,1.4,0.12,+2.6,+2.6
51,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
52,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
53,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
54,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,16.3,4,19,10,52.6,1.17,0.61,0.21,0.40,19.8,3,0,0,1.6,1.6,0.09,+2.4,+2.4
55,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,9.0,0,5,0,0.0,0.55,0.00,0.00,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
56,Willy Boly,ci  CIV,DF,Nott'ham Forest,32-008,1991,6.5,0,1,0,0.0,0.15,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0
57,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,17.7,0,10,3,30.0,0.56,0.17,0.00,0.00,12.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8
58,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,20.9,4,43,10,23.3,2.06,0.48,0.07,0.30,16.0,1,1,2,6.2,5.2,0.12,-2.2,-2.2
59,James Bree,eng  ENG,DF,Southampton,25-123,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
60,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.20,11.0,0,0,0,0.8,0.8,0.14,+0.2,+0.2
61,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
62,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
63,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,13.6,3,30,6,20.0,2.21,0.44,0.10,0.50,17.0,1,0,0,3.6,3.6,0.12,-0.6,-0.6
64,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,9.1,0,4,1,25.0,0.44,0.11,0.00,0.00,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
65,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
66,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,19.6,0,11,3,27.3,0.56,0.15,0.00,0.00,12.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9
67,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
68,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,18.2,1,14,5,35.7,0.77,0.27,0.07,0.20,23.7,0,0,0,1.0,1.0,0.07,0.0,0.0
69,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,5.2,0,11,0,0.0,2.10,0.00,0.00,,20.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6
70,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,8.0,0,3,1,33.3,0.38,0.13,0.00,0.00,10.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3
71,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,8.1,1,16,4,25.0,1.97,0.49,0.06,0.25,10.7,0,0,0,2.9,2.9,0.18,-1.9,-1.9
72,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,0.8,0,2,0,0.0,2.43,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
73,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,14.2,2,17,3,17.6,1.20,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2
74,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
75,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,0.9,0,1,0,0.0,1.17,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
76,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2.0,0,4,0,0.0,2.01,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4
77,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,3.7,2,11,4,36.4,2.94,1.07,0.18,0.50,11.5,0,0,0,1.1,1.1,0.10,+0.9,+0.9
78,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,13.7,2,17,5,29.4,1.24,0.37,0.12,0.40,22.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1
79,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,13.2,0,7,1,14.3,0.53,0.08,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
80,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,19.2,1,10,3,30.0,0.52,0.16,0.10,0.33,8.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6
81,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,11.3,0,8,1,12.5,0.71,0.09,0.00,0.00,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
82,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,1.5,0,8,6,75.0,5.50,4.12,0.00,0.00,24.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
83,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1
84,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4
85,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,1.2,0,1,0,0.0,0.82,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.03,0.0,0.0
86,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,4.7,1,3,1,33.3,0.63,0.21,0.33,1.00,15.3,0,0,0,0.3,0.3,0.10,+0.7,+0.7
87,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,11.5,1,17,5,29.4,1.48,0.43,0.06,0.20,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6
88,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,2.2,0,4,1,25.0,1.78,0.45,0.00,0.00,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
89,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
90,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,12.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
91,Conor Coady,eng  ENG,DF,Everton,29-351,1993,18.9,1,3,2,66.7,0.16,0.11,0.33,0.50,9.9,0,0,0,0.6,0.6,0.20,+0.4,+0.4
92,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
93,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,9.5,0,3,0,0.0,0.32,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
94,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,16.4,0,1,0,0.0,0.06,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0
95,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,5.1,0,1,0,0.0,0.19,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2
96,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,16.5,0,5,0,0.0,0.30,0.00,0.00,,28.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2
97,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,10.6,0,3,0,0.0,0.28,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
98,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,12.3,1,9,2,22.2,0.73,0.16,0.11,0.50,8.9,0,0,0,1.0,1.0,0.11,0.0,0.0
99,Maxwel Cornet,ci  CIV,FW,West Ham,26-137,1996,1.0,0,4,1,25.0,3.96,0.99,0.00,0.00,9.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5
100,Diego Costa,es  ESP,FW,Wolves,34-127,1988,6.8,0,20,7,35.0,2.94,1.03,0.00,0.00,11.8,0,0,0,2.0,2.0,0.10,-2.0,-2.0
101,Vladimír Coufal,cz  CZE,DF,West Ham,30-173,1992,13.3,0,5,0,0.0,0.37,0.00,0.00,,24.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
102,Philippe Coutinho,br  BRA,"MF,FW",Aston Villa,30-244,1992,7.9,0,19,6,31.6,2.40,0.76,0.00,0.00,21.5,2,0,0,1.1,1.1,0.06,-1.1,-1.1
103,Conor Coventry,ie  IRL,"MF,FW",West Ham,22-323,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
104,Aaron Cresswell,eng  ENG,DF,West Ham,33-058,1989,17.0,0,7,1,14.3,0.41,0.06,0.00,0.00,22.8,3,0,0,0.3,0.3,0.04,-0.3,-0.3
105,Marc Cucurella,es  ESP,DF,Chelsea,24-204,1998,14.2,0,6,0,0.0,0.42,0.00,0.00,,17.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
106,Matheus Cunha,br  BRA,FW,Wolves,23-260,1999,2.1,0,5,2,40.0,2.34,0.94,0.00,0.00,17.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3
107,Patson Daka,zm  ZAM,FW,Leicester City,24-125,1998,7.8,3,19,11,57.9,2.42,1.40,0.16,0.27,14.9,0,0,0,2.4,2.4,0.13,+0.6,+0.6
108,Diogo Dalot,pt  POR,DF,Manchester Utd,23-330,1999,14.1,0,14,4,28.6,0.99,0.28,0.00,0.00,19.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9
109,Mikkel Damsgaard,dk  DEN,"MF,FW",Brentford,22-223,2000,3.2,0,4,3,75.0,1.26,0.95,0.00,0.00,17.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5
110,Danilo,br  BRA,MF,Nott'ham Forest,21-288,2001,1.0,0,1,0,0.0,0.99,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0
111,Josh Dasilva,eng  ENG,MF,Brentford,24-111,1998,10.9,3,13,5,38.5,1.20,0.46,0.23,0.60,21.3,0,0,0,0.9,0.9,0.07,+2.1,+2.1
112,Ben Davies,wls  WAL,DF,Tottenham,29-293,1993,15.0,2,9,4,44.4,0.60,0.27,0.22,0.50,17.3,0,0,0,0.8,0.8,0.08,+1.2,+1.2
113,Tom Davies,eng  ENG,MF,Everton,24-226,1998,4.6,0,6,1,16.7,1.31,0.22,0.00,0.00,19.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6
114,Kevin De Bruyne,be  BEL,MF,Manchester City,31-228,1991,17.8,3,47,16,34.0,2.65,0.90,0.06,0.19,23.6,5,0,0,3.4,3.4,0.07,-0.4,-0.4
115,Siriki Dembélé,ci  CIV,"FW,MF",Bournemouth,26-157,1996,1.2,0,2,2,100.0,1.64,1.64,0.00,0.00,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
116,Emmanuel Dennis,ng  NGA,FW,Nott'ham Forest,25-088,1997,4.1,1,9,2,22.2,2.17,0.48,0.11,0.50,14.6,2,0,0,0.7,0.7,0.08,+0.3,+0.3
117,Halil Dervişoğlu,tr  TUR,MF,Brentford,23-065,1999,0.1,0,1,0,0.0,11.25,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0
118,Kiernan Dewsbury-Hall,eng  ENG,MF,Leicester City,24-158,1998,16.1,2,15,4,26.7,0.93,0.25,0.13,0.50,20.9,0,0,0,1.5,1.5,0.10,+0.5,+0.5
119,Ibrahima Diallo,fr  FRA,MF,Southampton,23-340,1999,7.9,0,6,0,0.0,0.76,0.00,0.00,,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
120,Rúben Dias,pt  POR,DF,Manchester City,25-273,1997,9.7,0,5,1,20.0,0.51,0.10,0.00,0.00,10.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6
121,Luis Díaz,co  COL,FW,Liverpool,26-029,1997,6.8,3,16,7,43.8,2.35,1.03,0.19,0.43,13.3,0,0,0,1.7,1.7,0.11,+1.3,+1.3
122,Eric Dier,eng  ENG,DF,Tottenham,29-027,1994,20.3,2,13,4,30.8,0.64,0.20,0.15,0.50,11.5,1,0,0,0.9,0.9,0.07,+1.1,+1.1
123,Lucas Digne,fr  FRA,DF,Aston Villa,29-206,1993,12.3,1,6,3,50.0,0.49,0.24,0.17,0.33,19.5,2,0,0,0.2,0.2,0.04,+0.8,+0.8
124,Issa Diop,fr  FRA,DF,Fulham,26-033,1997,11.7,1,3,2,66.7,0.26,0.17,0.33,0.50,12.3,0,0,0,0.3,0.3,0.09,+0.7,+0.7
125,Moussa Djenepo,ml  MLI,"DF,FW",Southampton,24-241,1998,6.4,0,3,2,66.7,0.47,0.31,0.00,0.00,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
126,Ben Doak,sct  SCO,FW,Liverpool,17-092,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
127,Matt Doherty,ie  IRL,"DF,MF",Tottenham,31-026,1992,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,12.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2
128,Gabriel Dos Santos,br  BRA,DF,Arsenal,25-054,1997,20.0,2,18,5,27.8,0.90,0.25,0.11,0.40,13.6,0,0,0,2.9,2.9,0.16,-0.9,-0.9
129,Abdoulaye Doucouré,ml  MLI,MF,Everton,30-041,1993,3.5,0,4,1,25.0,1.13,0.28,0.00,0.00,12.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4
130,Cheick Doucouré,ml  MLI,MF,Crystal Palace,23-034,2000,17.3,0,22,5,22.7,1.27,0.29,0.00,0.00,26.6,0,0,0,0.7,0.7,0.03,-0.7,-0.7
131,Flynn Downes,eng  ENG,MF,West Ham,24-022,1999,3.2,0,2,0,0.0,0.63,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2
132,Cody Drameh,eng  ENG,DF,Leeds United,21-065,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
133,Shane Duffy,ie  IRL,"FW,DF",Fulham,31-041,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
134,Lewis Dunk,eng  ENG,DF,Brighton,31-082,1991,20.0,0,9,1,11.1,0.45,0.05,0.00,0.00,10.7,0,0,0,0.8,0.8,0.09,-0.8,-0.8
135,Jhon Durán,co  COL,FW,Aston Villa,19-060,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
136,Malcolm Ebiowei,eng  ENG,"MF,FW",Crystal Palace,19-160,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
137,Ederson,br  BRA,GK,Manchester City,29-178,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
138,Odsonne Édouard,fr  FRA,"FW,MF",Crystal Palace,25-026,1998,11.9,3,24,10,41.7,2.01,0.84,0.13,0.30,12.4,0,0,0,2.7,2.7,0.11,+0.3,+0.3
139,Samuel Edozie,eng  ENG,"FW,MF",Southampton,20-014,2003,5.9,0,8,3,37.5,1.36,0.51,0.00,0.00,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9
140,Anthony Elanga,se  SWE,FW,Manchester Utd,20-290,2002,4.4,0,8,3,37.5,1.81,0.68,0.00,0.00,14.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6
141,Harvey Elliott,eng  ENG,"MF,FW",Liverpool,19-313,2003,12.6,1,21,6,28.6,1.67,0.48,0.05,0.17,19.3,0,0,0,1.1,1.1,0.05,-0.1,-0.1
142,Mohamed Elneny,eg  EGY,MF,Arsenal,30-215,1992,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
143,Mohamed Elyounoussi,no  NOR,"MF,FW",Southampton,28-191,1994,15.6,0,28,7,25.0,1.80,0.45,0.00,0.00,15.9,0,0,0,2.5,2.5,0.09,-2.5,-2.5
144,Emerson,br  BRA,DF,Tottenham,24-028,1999,13.1,1,12,4,33.3,0.92,0.31,0.08,0.25,15.5,0,0,0,1.1,1.1,0.10,-0.1,-0.1
145,Christian Eriksen,dk  DEN,MF,Manchester Utd,30-362,1992,16.5,1,23,8,34.8,1.39,0.48,0.04,0.13,19.1,3,0,0,2.7,2.7,0.12,-1.7,-1.7
