,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
35,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,21,17,1407,15.6,1,1,2,1,0,0,1,0,1.4,1.4,1.2,2.6,40,26,83,0.06,0.06,0.13,0.06,0.13,0.09,0.08,0.16,0.09,0.16
36,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,14,7,704,7.8,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,12,32,37,0.00,0.13,0.13,0.00,0.13,0.06,0.11,0.17,0.06,0.17
37,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,18,10,1023,11.4,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1.0,15,54,55,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
38,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,4,10,1,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.28,0.14,0.28
39,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,20,17,1317,14.6,4,2,6,4,0,0,4,0,4.3,4.3,2.3,6.7,54,20,122,0.27,0.14,0.41,0.27,0.41,0.30,0.16,0.46,0.30,0.46
40,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,5,2,194,2.2,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,3,10,0,0.46,0.00,0.46,0.46,0.46,0.27,0.11,0.38,0.27,0.38
41,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,14,6,593,6.6,1,2,3,1,0,1,0,0,4.8,4.0,0.5,4.5,5,9,42,0.15,0.30,0.46,0.15,0.46,0.73,0.08,0.81,0.61,0.69
42,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,12,4,431,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,8,26,18,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19
43,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,19,19,1606,17.8,7,1,8,7,0,0,0,0,5.5,5.5,1.1,6.6,54,42,161,0.39,0.06,0.45,0.39,0.45,0.31,0.06,0.37,0.31,0.37
44,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
47,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,13,13,1026,11.4,0,1,1,0,0,0,1,0,0.7,0.7,0.2,0.8,3,17,2,0.00,0.09,0.09,0.00,0.09,0.06,0.02,0.07,0.06,0.07
49,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,19,11,1127,12.5,3,1,4,1,2,2,0,0,3.6,2.0,1.7,3.7,56,44,151,0.24,0.08,0.32,0.08,0.16,0.29,0.14,0.42,0.16,0.30
50,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,17,16,1436,16.0,4,2,6,4,0,0,7,0,1.4,1.4,0.8,2.2,24,71,18,0.25,0.13,0.38,0.25,0.38,0.09,0.05,0.14,0.09,0.14
51,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,20,18,1465,16.3,4,1,5,4,0,0,2,0,1.6,1.6,1.6,3.2,22,35,58,0.25,0.06,0.31,0.25,0.31,0.10,0.10,0.20,0.10,0.20
55,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,20,8,814,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,10,45,7,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
56,Willy Boly,ci  CIV,DF,Nott'ham Forest,32-008,1991,7,7,586,6.5,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,1,10,0,0.00,0.15,0.15,0.00,0.15,0.00,0.03,0.03,0.00,0.03
57,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,19,18,1597,17.7,0,0,0,0,0,0,0,0,0.8,0.8,0.9,1.7,5,43,3,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.05,0.09
58,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,21,21,1880,20.9,4,0,4,3,1,2,1,0,6.2,5.2,3.1,8.3,47,46,126,0.19,0.00,0.19,0.14,0.14,0.30,0.15,0.45,0.25,0.40
59,James Bree,eng  ENG,DF,Southampton,25-123,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
60,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,7,4,17,0.31,0.00,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27
61,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0.00,0.61,0.61,0.00,0.61,0.06,0.11,0.17,0.06,0.17
63,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,21,13,1220,13.6,3,0,3,3,0,0,0,0,3.6,3.6,2.3,5.9,29,83,76,0.22,0.00,0.22,0.22,0.22,0.26,0.17,0.44,0.26,0.44
64,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,11,10,821,9.1,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,34,23,43,0.00,0.11,0.11,0.00,0.11,0.02,0.06,0.08,0.02,0.08
65,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27
66,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,21,20,1764,19.6,0,0,0,0,0,0,2,0,0.9,0.9,0.5,1.4,15,59,22,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
67,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,19,18,1639,18.2,1,1,2,1,0,0,6,0,1.0,1.0,1.4,2.4,15,117,30,0.05,0.05,0.11,0.05,0.11,0.05,0.08,0.13,0.05,0.13
69,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,22,1,471,5.2,0,0,0,0,0,0,1,0,0.6,0.6,1.2,1.9,21,50,26,0.00,0.00,0.00,0.00,0.00,0.12,0.24,0.36,0.12,0.36
70,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,10,7,716,8.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,23,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
