,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
30,Michail Antonio,jm  JAM,FW,West Ham,32-320,1990,20,985,49,52.1,10.9,10,76,2,10,23,0,0.95,9,13,-4,-0.37,+0.03,14.1,13.3,+0.8,+0.07,-0.18
31,Antony,br  BRA,FW,Manchester Utd,22-352,2000,12,908,76,45.9,10.1,11,78,3,1,45,0,2.00,19,12,+7,+0.69,+0.61,14.9,11.4,+3.5,+0.34,-0.06
32,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,6,49,8,2.6,0.5,0,,0,6,8,8,1.17,0,1,-1,-1.84,-1.59,0.2,0.4,-0.1,-0.25,-0.11
33,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,2,107,54,5.7,1.2,0,,0,2,54,17,0.00,0,2,-2,-1.68,-1.38,1.1,2.3,-1.2,-1.02,-1.25
34,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,18,1082,60,57.2,12.0,11,79,3,7,30,3,0.67,12,19,-7,-0.58,+0.98,12.1,13.8,-1.7,-0.14,+0.54
35,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,20,1027,51,54.3,11.4,12,72,0,8,20,1,0.75,12,18,-6,-0.53,+1.04,9.9,15.2,-5.4,-0.47,-0.20
36,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,17,765,45,40.5,8.5,7,71,0,10,27,1,0.53,5,20,-15,-1.76,-1.28,10.0,13.3,-3.4,-0.40,-0.03
37,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,13,1125,87,59.5,12.5,13,87,12,0,,6,1.54,13,9,+4,+0.32,+0.67,16.1,14.8,+1.2,+0.10,+0.46
38,Harrison Ashby,sct  SCO,DF,West Ham,21-089,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
39,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,11,433,39,22.9,4.8,4,67,0,7,24,3,1.45,3,4,-1,-0.21,-0.33,4.4,7.2,-2.8,-0.57,-0.63
40,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,3,77,26,4.1,0.9,1,44,0,2,17,9,1.67,1,0,+1,+1.17,+1.52,2.5,0.8,+1.6,+1.92,+2.14
41,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,13,992,76,52.5,11.0,11,82,7,2,45,0,1.54,9,13,-4,-0.36,+1.04,12.6,14.4,-1.9,-0.17,+0.43
42,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,16,730,46,38.6,8.1,9,67,0,7,18,2,0.81,6,18,-12,-1.48,-1.01,10.1,12.7,-2.5,-0.31,+0.10
43,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,1,1,1,0.1,0.0,0,,0,1,1,0,3.00,0,0,0,0.00,+0.86,0.0,0.0,0.0,-1.34,-0.97
44,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,21,1407,67,74.4,15.6,17,78,8,4,19,0,1.14,12,25,-13,-0.83,-1.39,12.9,23.7,-10.8,-0.69,-0.83
45,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,14,704,50,37.2,7.8,7,87,6,7,14,2,0.79,9,14,-5,-0.64,-0.41,9.7,12.9,-3.1,-0.40,-0.26
46,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,18,1023,57,54.1,11.4,10,83,8,8,24,3,1.33,12,10,+2,+0.18,+0.28,13.8,15.5,-1.7,-0.15,-0.14
47,Loïc Bade,fr  FRA,DF,Nott'ham Forest,22-306,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
48,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3,270,90,14.3,3.0,3,90,3,0,,1,1.67,1,0,+1,+0.33,+0.33,4.4,2.7,+1.7,+0.57,+0.77
49,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,20,1317,66,69.7,14.6,17,75,4,3,14,0,1.35,20,24,-4,-0.27,+0.04,19.9,23.7,-3.8,-0.26,-0.41
50,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,5,194,39,10.8,2.2,2,78,0,3,13,10,2.00,3,3,0,0.00,-0.34,4.3,3.1,+1.2,+0.56,+0.28
51,Kofi Balmer,nir  NIR,DF,Crystal Palace,22-145,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
52,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,14,593,42,31.4,6.6,6,61,0,8,29,0,0.79,9,11,-2,-0.30,+0.11,9.1,9.8,-0.7,-0.11,+0.19
53,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,12,431,36,22.8,4.8,4,68,0,8,20,0,1.17,6,6,0,0.00,-0.43,6.0,4.9,+1.2,+0.24,+0.12
54,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,19,1606,85,85.0,17.8,19,85,13,0,,0,1.05,27,27,0,0.00,+1.58,23.2,28.1,-4.9,-0.28,+0.85
55,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21,1890,90,100.0,21.0,21,90,21,0,,0,0.71,17,38,-21,-1.00,,20.3,28.2,-7.9,-0.38,
56,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,4,21,5,1.1,0.2,0,,0,4,5,3,2.00,1,0,+1,+4.29,+4.00,0.3,0.3,0.0,+0.15,0.00
57,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,7,167,24,8.4,1.9,2,55,0,5,12,4,1.71,3,3,0,0.00,-0.40,2.4,1.5,+0.9,+0.46,+0.09
58,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1,90,90,4.8,1.0,1,90,1,0,,20,3.00,1,0,+1,+1.00,+1.65,0.4,1.0,-0.7,-0.67,-0.09
59,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,13,1026,79,54.3,11.4,13,79,9,0,,2,0.62,10,22,-12,-1.05,-0.12,11.6,16.6,-5.0,-0.44,-0.14
60,Rhys Bennett,eng  ENG,DF,Manchester Utd,19-104,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
61,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,19,1127,59,59.6,12.5,11,82,6,8,29,2,0.68,10,17,-7,-0.56,-0.44,16.3,15.9,+0.4,+0.03,-0.30
62,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,17,1436,84,72.5,16.0,16,88,10,1,33,0,2.00,32,21,+11,+0.69,+0.85,25.3,18.3,+7.1,+0.44,+0.76
63,Daniel Bentley,eng  ENG,GK,Wolves,29-213,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,
64,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,1,80,80,4.2,0.9,1,80,0,0,,0,3.00,4,2,+2,+2.25,+2.60,2.5,1.5,+1.0,+1.18,+1.65
65,Marcus Bettinelli,eng  ENG,GK,Chelsea,30-263,1992,0,,,,,0,,0,0,,10,,,,,,,,,,,
66,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,1,9,9,0.5,0.1,0,,0,1,9,0,0.00,0,1,-1,-10.00,-8.90,0.0,0.3,-0.3,-2.78,-1.89
67,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,2,17,9,0.9,0.2,0,,0,2,9,8,0.50,0,1,-1,-5.29,-4.48,0.3,0.5,-0.3,-1.38,-1.02
68,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,20,1465,73,77.5,16.3,18,77,4,2,36,0,0.80,18,30,-12,-0.74,+1.80,12.3,24.2,-11.9,-0.73,+0.77
69,Nathan Bishop,eng  ENG,GK,Manchester Utd,23-119,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
70,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,20,814,41,41.1,9.0,8,80,3,12,14,1,1.65,15,15,0,0.00,-0.77,11.2,11.1,+0.1,+0.01,-0.38
71,Lamare Bogarde,nl  NED,MF,Aston Villa,19-037,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
72,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,19,1597,84,84.5,17.7,18,89,16,1,1,2,2.05,30,9,+21,+1.18,+0.88,28.6,16.2,+12.4,+0.70,-0.13
73,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,21,1880,90,99.5,20.9,21,90,18,0,,0,0.90,17,26,-9,-0.43,-9.43,25.6,23.3,+2.3,+0.11,-8.80
74,Sammy Braybroke,mx  MEX,MF,Leicester City,,,0,,,,,0,,0,0,,1,,,,,,,,,,,
75,Samuel Braybrooke,eng  ENG,MF,Leicester City,18-336,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
76,James Bree,eng  ENG,DF,Southampton,25-123,1997,1,90,90,4.8,1.0,1,90,1,0,,0,0.00,0,3,-3,-3.00,-2.10,0.7,2.2,-1.5,-1.49,-1.17
77,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,12,294,25,15.6,3.3,2,67,0,10,16,1,1.50,5,5,0,0.00,-0.06,2.8,4.4,-1.6,-0.49,-0.47
78,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,1,23,23,1.2,0.3,0,,0,1,23,5,0.00,0,1,-1,-3.91,-3.72,0.0,0.8,-0.8,-3.31,-2.94
79,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,4,148,37,7.5,1.6,2,69,0,2,5,12,1.50,5,1,+4,+2.43,+2.14,2.3,1.0,+1.3,+0.79,+0.60
80,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,21,1220,58,64.6,13.6,13,78,3,8,26,0,1.33,20,23,-3,-0.22,+0.18,18.9,20.5,-1.6,-0.11,+0.06
81,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,11,821,75,43.4,9.1,10,82,5,1,1,6,1.00,7,17,-10,-1.10,-0.68,8.2,13.8,-5.6,-0.61,-0.26
82,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,1,16,16,0.9,0.2,0,,0,1,16,0,3.00,1,0,+1,+5.63,+5.12,0.4,0.5,-0.1,-0.80,-1.12
83,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,21,1764,84,93.3,19.6,20,88,16,1,12,0,1.90,33,11,+22,+1.12,+1.12,31.0,16.8,+14.2,+0.73,+0.10
84,Jack Butland,eng  ENG,GK,Crystal Palace,29-338,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,
85,Nathan Butler-Oyedeji,eng  ENG,FW,Arsenal,20-038,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
86,Willy Caballero,ar  ARG,GK,Southampton,41-136,1981,0,,,,,0,,0,0,,6,,,,,,,,,,,
87,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,1,7,7,0.4,0.1,0,,0,1,7,1,3.00,0,0,0,0.00,+0.86,0.0,0.2,-0.2,-2.58,-2.22
88,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,19,1639,86,91.1,18.2,18,89,15,1,34,0,1.79,35,23,+12,+0.66,+1.22,27.9,21.8,+6.2,+0.34,+0.31
89,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,22,471,21,23.8,5.2,1,89,0,21,18,0,1.45,9,6,+3,+0.57,+0.63,9.0,9.7,-0.8,-0.15,+0.26
90,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,10,716,72,37.9,8.0,7,84,5,3,42,4,0.80,7,11,-4,-0.50,+0.80,7.8,10.6,-2.8,-0.35,+0.04
91,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,11,731,66,38.7,8.1,9,77,3,2,20,0,0.73,5,12,-7,-0.86,-0.47,7.9,12.5,-4.5,-0.56,+0.04
92,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,5,74,15,3.9,0.8,0,,0,5,15,9,0.00,0,2,-2,-2.43,-1.79,0.2,1.0,-0.8,-1.01,-0.57
93,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,17,1274,75,67.4,14.2,16,78,10,1,23,3,2.24,36,15,+21,+1.48,-0.12,24.8,11.3,+13.4,+0.95,-0.84
94,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,2,25,13,1.3,0.3,0,,0,2,13,0,0.00,0,1,-1,-3.60,-3.07,0.8,0.4,+0.4,+1.28,+1.89
95,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,5,77,15,4.1,0.9,0,,0,5,15,7,1.60,0,2,-2,-2.34,-2.78,0.8,1.7,-1.0,-1.13,-1.34
96,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2,179,90,9.5,2.0,2,90,1,0,,0,1.50,2,3,-1,-0.50,-0.24,2.9,1.9,+1.0,+0.52,+0.72
97,Scott Carson,eng  ENG,GK,Manchester City,37-161,1985,0,,,,,0,,0,0,,3,,,,,,,,,,,
98,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,11,337,31,18.7,3.7,4,52,0,7,19,8,1.73,10,3,+7,+1.87,+1.93,7.1,4.8,+2.3,+0.62,+0.38
99,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,17,1230,72,62.1,13.7,13,88,10,4,22,0,2.29,23,10,+13,+0.95,+1.55,23.3,11.5,+11.7,+0.86,+1.28
100,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,17,1185,70,62.7,13.2,13,83,9,4,28,1,1.24,16,22,-6,-0.46,-0.46,16.3,16.6,-0.3,-0.02,+0.30
101,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,20,1731,87,91.6,19.2,19,89,18,1,45,1,1.05,30,32,-2,-0.10,+1.59,23.1,30.6,-7.5,-0.39,+0.18
102,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,14,1013,72,53.6,11.3,11,85,8,3,26,5,0.86,4,16,-12,-1.07,-0.76,12.5,12.8,-0.3,-0.03,+0.95
103,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,5,131,26,7.3,1.5,0,,0,5,26,8,1.80,3,3,0,0.00,-0.59,1.5,3.1,-1.5,-1.03,-1.45
104,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,4,12,3,0.6,0.1,1,7,0,3,2,10,1.50,0,0,0,0.00,-0.09,0.1,0.4,-0.3,-1.94,-1.61
105,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,12,971,81,51.4,10.8,11,88,9,1,3,8,1.50,11,10,+1,+0.09,+0.09,13.5,16.0,-2.5,-0.23,-0.30
106,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,4,110,28,5.8,1.2,1,90,1,3,7,16,2.25,0,1,-1,-0.82,-0.57,0.7,0.8,-0.1,-0.10,+0.04
107,Luke Chambers,eng  ENG,DF,Liverpool,18-232,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
108,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,10,426,43,22.5,4.7,4,84,3,6,15,2,1.70,8,3,+5,+1.06,+1.30,5.5,4.7,+0.8,+0.17,+0.33
109,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,19,1036,55,54.8,11.5,12,76,2,7,18,2,0.89,8,22,-14,-1.22,-0.16,9.0,18.8,-9.8,-0.85,+0.11
110,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,8,202,25,10.7,2.2,1,62,0,7,20,5,1.25,2,2,0,0.00,-0.05,2.6,3.2,-0.6,-0.27,-0.20
111,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,1,8,8,0.4,0.1,0,,0,1,8,5,3.00,1,0,+1,+11.25,+11.00,0.3,0.0,+0.3,+3.13,+2.83
112,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,15,1116,74,59.0,12.4,13,82,9,2,24,2,0.73,11,19,-8,-0.65,-0.41,11.3,18.6,-7.3,-0.59,-0.26
113,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,8,281,35,14.9,3.1,1,90,1,7,27,3,1.63,2,4,-2,-0.64,+0.25,3.6,4.2,-0.6,-0.19,+0.22
114,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,13,857,66,45.3,9.5,10,75,4,3,37,7,0.85,9,10,-1,-0.11,+0.85,10.5,16.0,-5.6,-0.58,0.00
115,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,17,1472,87,77.9,16.4,17,87,16,0,,1,0.82,11,24,-13,-0.79,-0.36,15.7,24.1,-8.4,-0.51,-0.22
116,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,7,463,66,25.7,5.1,5,90,5,2,7,8,2.14,13,8,+5,+0.97,+0.57,6.5,9.1,-2.6,-0.50,-1.09
117,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,19,1486,78,78.6,16.5,17,84,13,2,32,0,0.84,17,34,-17,-1.03,+0.53,12.8,27.2,-14.4,-0.87,+0.14
118,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,12,957,80,50.6,10.6,11,86,8,1,12,7,0.83,7,21,-14,-1.32,-0.93,10.5,14.9,-4.5,-0.42,-0.09
119,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,13,1106,85,58.5,12.3,12,88,11,1,45,1,0.69,15,22,-7,-0.57,-0.45,16.3,19.6,-3.3,-0.27,-0.08
120,Maxwel Cornet,ci  CIV,FW,West Ham,26-137,1996,5,91,18,4.8,1.0,1,33,0,4,15,2,0.60,1,1,0,0.00,+0.40,1.6,0.5,+1.1,+1.10,+0.99
121,Diego Costa,es  ESP,FW,Wolves,34-127,1988,9,612,68,32.4,6.8,8,72,1,1,33,1,0.89,6,10,-4,-0.59,+0.19,7.1,9.4,-2.3,-0.33,+0.20
122,Vladimír Coufal,cz  CZE,DF,West Ham,30-173,1992,15,1201,80,63.5,13.3,13,87,10,2,36,6,0.87,11,18,-7,-0.52,-0.39,17.0,14.6,+2.4,+0.18,+0.07
123,Philippe Coutinho,br  BRA,"MF,FW",Aston Villa,30-244,1992,18,712,40,37.7,7.9,6,74,1,12,23,1,1.22,7,7,0,0.00,+0.46,8.8,7.0,+1.9,+0.24,+0.59
124,Conor Coventry,ie  IRL,"MF,FW",West Ham,22-323,2000,1,1,1,0.1,0.0,0,,0,1,1,10,0.00,0,0,0,0.00,+0.38,0.0,0.0,0.0,0.00,-0.16
125,Matthew Cox,eng  ENG,GK,Brentford,19-285,2003,0,,,,,0,,0,0,,11,,,,,,,,,,,
126,Tristan Crama,fr  FRA,MF,Brentford,21-095,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
127,Aaron Cresswell,eng  ENG,DF,West Ham,33-058,1989,18,1533,85,81.1,17.0,17,89,15,1,23,2,0.83,12,22,-10,-0.59,-1.09,20.6,19.9,+0.7,+0.04,-0.61
128,Marc Cucurella,es  ESP,DF,Chelsea,24-204,1998,19,1279,67,67.7,14.2,16,77,8,3,15,1,1.26,13,15,-2,-0.14,-0.58,16.0,20.7,-4.6,-0.33,-0.73
129,Luke Cundle,eng  ENG,MF,Wolves,20-291,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
130,Matheus Cunha,br  BRA,FW,Wolves,23-260,1999,4,192,48,10.2,2.1,2,61,0,2,35,0,1.75,3,3,0,0.00,+0.80,2.4,5.1,-2.6,-1.23,-0.85
131,Michael DaCosta,es  ESP,FW,Bournemouth,17-343,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
132,Patson Daka,zm  ZAM,FW,Leicester City,24-125,1998,17,706,42,37.4,7.8,9,61,1,8,20,3,1.06,12,17,-5,-0.64,-0.64,10.1,13.1,-3.0,-0.38,+0.04
133,Diogo Dalot,pt  POR,DF,Manchester Utd,23-330,1999,15,1268,85,64.0,14.1,14,89,12,1,22,1,1.80,21,21,0,0.00,-1.01,18.9,16.6,+2.3,+0.16,-0.59
134,Mikkel Damsgaard,dk  DEN,"MF,FW",Brentford,22-223,2000,11,285,26,15.1,3.2,1,60,0,10,23,7,1.27,5,4,+1,+0.32,-0.02,5.5,2.6,+2.8,+0.90,+0.88
135,Danilo,br  BRA,MF,Nott'ham Forest,21-288,2001,2,91,46,4.8,1.0,1,45,0,1,46,0,2.00,2,0,+2,+1.98,+2.98,1.5,1.1,+0.3,+0.32,+0.73
136,Arnaut Danjuma,nl  NED,"FW,MF",Tottenham,26-011,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
137,Karl Darlow,eng  ENG,GK,Newcastle Utd,32-126,1990,0,,,,,0,,0,0,,7,,,,,,,,,,,
138,Josh Dasilva,eng  ENG,MF,Brentford,24-111,1998,21,979,47,51.8,10.9,11,69,0,10,22,0,1.57,23,12,+11,+1.01,+1.41,17.4,12.2,+5.1,+0.47,+0.66
139,Ben Davies,wls  WAL,DF,Tottenham,29-293,1993,19,1351,71,68.2,15.0,15,89,13,4,5,1,1.74,25,18,+7,+0.47,+0.04,19.7,15.3,+4.4,+0.30,+0.19
140,Harvey Davies,eng  ENG,GK,Liverpool,19-161,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
