,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
24,Cameron Archer,eng  ENG,"FW,MF",Aston Villa,21-205,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1
25,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,1.2,42,30,11,1,0,0,0,0,0,0,0,0,29,1,0
26,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,12.0,350,344,6,0,0,0,6,2,0,0,0,0,256,0,14
27,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,11.4,252,221,31,0,0,4,13,3,0,0,0,0,185,0,16
28,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,8.5,366,351,15,0,1,3,16,8,0,0,0,0,291,0,13
29,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,12.5,474,357,117,28,0,1,0,0,0,0,0,0,402,0,0
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,4.8,86,82,4,0,0,0,3,0,0,0,0,0,61,0,4
31,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0
32,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,11.0,544,427,116,12,1,0,29,104,0,0,0,0,368,1,23
33,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,8.1,124,121,3,0,1,0,3,1,0,0,0,0,90,0,5
34,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,15.6,446,441,5,2,4,0,18,2,0,0,0,0,339,0,18
36,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,7.8,384,305,77,4,0,5,17,73,0,0,0,0,258,2,14
37,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,11.4,772,642,127,24,0,0,17,103,0,0,0,0,622,3,11
38,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3.0,275,269,6,6,0,2,0,0,0,0,0,0,251,0,0
39,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,14.6,376,347,29,4,3,5,70,5,15,12,0,0,234,0,18
40,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,2.2,104,101,3,3,0,0,4,0,0,0,0,0,83,0,1
41,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,6.6,126,111,15,0,0,0,1,0,0,0,0,0,89,0,5
42,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,4.8,186,182,2,1,2,0,5,1,0,0,0,0,154,2,4
43,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,17.8,455,443,10,0,3,1,21,8,0,0,0,0,322,2,14
44,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21.0,782,573,205,51,0,0,0,0,0,0,0,0,474,4,0
45,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,0.2,11,7,4,0,0,0,0,4,0,0,0,0,7,0,0
46,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,1.9,61,56,3,0,0,0,0,0,1,0,0,0,46,2,4
47,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1.0,30,21,9,1,0,0,0,0,0,0,0,0,21,0,0
48,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,11.4,456,443,13,9,0,8,4,4,0,0,0,0,344,0,6
49,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,12.5,449,434,14,0,0,1,38,7,1,1,0,0,362,1,11
50,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,16.0,835,808,24,10,3,3,16,4,1,0,0,0,702,3,17
51,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,0.9,40,27,12,1,1,0,4,8,3,3,0,0,21,1,2
52,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
53,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,0.2,21,19,2,0,0,0,1,2,0,0,0,0,15,0,0
54,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,16.3,508,494,13,8,1,5,20,2,2,2,0,0,380,1,19
55,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,9.0,571,558,11,8,1,2,2,0,0,0,0,0,514,2,8
56,Willy Boly,ci  CIV,DF,Nott'ham Forest,32-008,1991,6.5,235,231,4,3,0,0,0,1,0,0,0,0,178,0,3
57,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,17.7,881,852,24,17,0,21,0,3,0,0,0,0,757,5,3
58,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,20.9,523,458,62,8,3,3,88,3,48,44,0,0,338,3,29
59,James Bree,eng  ENG,DF,Southampton,25-123,1997,1.0,45,39,6,2,0,0,4,4,0,0,0,0,34,0,0
60,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,3.3,53,51,2,0,0,1,0,0,0,0,0,0,33,0,0
61,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,0.3,21,16,5,0,0,0,0,5,0,0,0,0,17,0,1
62,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,1.6,60,57,3,1,0,0,2,1,0,0,0,0,47,0,3
63,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,13.6,574,535,38,5,4,3,16,5,5,2,0,1,450,1,21
64,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,9.1,403,317,84,4,0,0,35,72,8,2,6,0,324,2,12
65,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,0.2,8,7,1,0,0,0,0,1,0,0,0,0,7,0,0
66,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,19.6,972,828,143,12,0,5,11,130,0,0,0,0,770,1,13
67,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
68,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,18.2,1102,1096,6,3,7,6,9,3,0,0,0,0,968,0,18
69,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,5.2,400,385,15,2,2,3,18,4,6,2,2,0,342,0,4
70,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,8.0,414,393,18,13,0,0,1,1,0,0,0,0,351,3,1
71,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,8.1,139,138,1,0,0,0,2,0,0,0,0,0,86,0,4
72,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,0.8,32,31,1,0,0,0,4,0,1,1,0,0,23,0,1
73,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,14.2,1220,1120,98,20,2,14,45,78,0,0,0,0,1036,2,15
74,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,0.3,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0
75,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,0.9,43,39,3,1,0,0,3,2,0,0,0,0,23,1,0
76,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2.0,128,123,4,3,0,0,1,1,0,0,0,0,101,1,1
77,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,3.7,135,132,2,0,0,0,2,1,0,0,0,0,111,1,3
78,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,13.7,855,836,16,16,6,10,12,0,0,0,0,0,664,3,14
79,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,13.2,678,554,121,9,2,5,42,112,0,0,0,0,517,3,15
80,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,19.2,1059,901,154,11,2,2,41,143,0,0,0,0,847,4,21
81,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,11.3,718,605,111,10,1,1,18,101,0,0,0,0,607,2,19
82,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,1.5,29,28,1,0,0,0,1,0,0,0,0,0,19,0,0
83,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
84,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,10.8,640,610,29,12,0,4,2,17,0,0,0,0,568,1,7
85,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,1.2,83,78,3,1,0,0,0,2,0,0,0,0,69,2,1
86,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,4.7,319,255,62,6,1,2,17,47,9,5,0,0,248,2,6
87,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,11.5,353,339,13,2,3,5,14,1,10,3,3,0,285,1,5
88,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,2.2,93,92,1,0,0,0,3,0,0,0,0,0,76,0,4
89,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,12.4,623,497,126,3,0,2,15,123,0,0,0,0,487,0,8
91,Conor Coady,eng  ENG,DF,Everton,29-351,1993,18.9,1000,963,32,28,1,8,1,3,0,0,0,0,844,5,1
92,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,3.1,72,70,2,2,0,0,1,0,0,0,0,0,59,0,0
93,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,9.5,404,325,79,8,0,2,10,71,0,0,0,0,328,0,13
94,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,16.4,914,894,18,15,0,8,0,3,0,0,0,0,812,2,3
95,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,5.1,424,400,22,8,1,1,0,10,0,0,0,0,379,2,2
96,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,16.5,646,595,48,30,1,3,36,0,10,10,0,0,509,3,17
97,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,10.6,459,445,13,11,0,6,1,2,0,0,0,0,369,1,2
98,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,12.3,609,585,24,24,0,4,0,0,0,0,0,0,480,0,2
99,Maxwel Cornet,ci  CIV,FW,West Ham,26-137,1996,1.0,30,27,2,0,0,0,2,1,0,0,0,0,20,1,3
100,Diego Costa,es  ESP,FW,Wolves,34-127,1988,6.8,85,82,3,0,0,0,4,0,0,0,0,0,63,0,7
101,Vladimír Coufal,cz  CZE,DF,West Ham,30-173,1992,13.3,674,521,149,8,0,0,69,141,0,0,0,0,425,4,36
102,Philippe Coutinho,br  BRA,"MF,FW",Aston Villa,30-244,1992,7.9,361,330,29,13,3,0,19,4,6,3,1,0,270,2,6
103,Conor Coventry,ie  IRL,"MF,FW",West Ham,22-323,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Aaron Cresswell,eng  ENG,DF,West Ham,33-058,1989,17.0,1086,877,207,30,1,4,101,140,37,2,29,1,864,2,25
105,Marc Cucurella,es  ESP,DF,Chelsea,24-204,1998,14.2,1009,851,152,19,0,1,39,120,13,8,3,0,841,6,22
106,Matheus Cunha,br  BRA,FW,Wolves,23-260,1999,2.1,51,44,7,1,0,0,2,0,0,0,0,0,37,0,2
107,Patson Daka,zm  ZAM,FW,Leicester City,24-125,1998,7.8,157,141,16,0,4,0,4,2,0,0,0,0,104,0,4
108,Diogo Dalot,pt  POR,DF,Manchester Utd,23-330,1999,14.1,826,688,135,8,2,15,29,127,0,0,0,0,639,3,20
109,Mikkel Damsgaard,dk  DEN,"MF,FW",Brentford,22-223,2000,3.2,128,114,11,8,1,0,9,1,1,1,0,0,91,3,5
110,Danilo,br  BRA,MF,Nott'ham Forest,21-288,2001,1.0,38,38,0,0,0,0,0,0,0,0,0,0,27,0,0
111,Josh Dasilva,eng  ENG,MF,Brentford,24-111,1998,10.9,424,406,18,6,1,0,25,8,4,3,0,0,337,0,14
112,Ben Davies,wls  WAL,DF,Tottenham,29-293,1993,15.0,858,814,41,22,0,6,13,19,0,0,0,0,725,3,9
113,Tom Davies,eng  ENG,MF,Everton,24-226,1998,4.6,183,178,4,4,3,3,1,0,0,0,0,0,139,1,3
114,Kevin De Bruyne,be  BEL,MF,Manchester City,31-228,1991,17.8,1058,946,103,37,20,20,157,20,46,13,22,3,761,9,27
115,Siriki Dembélé,ci  CIV,"FW,MF",Bournemouth,26-157,1996,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1
116,Emmanuel Dennis,ng  NGA,FW,Nott'ham Forest,25-088,1997,4.1,99,95,4,0,0,0,4,3,0,0,0,0,70,0,9
117,Halil Dervişoğlu,tr  TUR,MF,Brentford,23-065,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Kiernan Dewsbury-Hall,eng  ENG,MF,Leicester City,24-158,1998,16.1,745,721,16,6,7,12,35,2,7,7,0,0,559,8,18
119,Ibrahima Diallo,fr  FRA,MF,Southampton,23-340,1999,7.9,324,317,7,7,0,2,3,0,0,0,0,0,249,0,9
120,Rúben Dias,pt  POR,DF,Manchester City,25-273,1997,9.7,900,873,27,17,0,3,0,6,0,0,0,0,830,0,2
121,Luis Díaz,co  COL,FW,Liverpool,26-029,1997,6.8,256,254,2,0,0,6,7,2,0,0,0,0,203,0,10
122,Eric Dier,eng  ENG,DF,Tottenham,29-027,1994,20.3,1357,1310,44,37,0,13,11,6,0,0,0,0,1168,3,12
123,Lucas Digne,fr  FRA,DF,Aston Villa,29-206,1993,12.3,705,569,135,19,0,3,57,109,7,4,2,0,535,1,18
124,Issa Diop,fr  FRA,DF,Fulham,26-033,1997,11.7,748,725,22,20,0,8,1,0,0,0,0,0,643,1,4
125,Moussa Djenepo,ml  MLI,"DF,FW",Southampton,24-241,1998,6.4,213,187,25,3,0,2,12,22,0,0,0,0,157,1,9
126,Ben Doak,sct  SCO,FW,Liverpool,17-092,2005,0.3,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1
127,Matt Doherty,ie  IRL,"DF,MF",Tottenham,31-026,1992,7.4,408,345,61,2,0,1,18,59,0,0,0,0,329,2,8
128,Gabriel Dos Santos,br  BRA,DF,Arsenal,25-054,1997,20.0,1255,1202,52,36,0,8,2,2,0,0,0,0,1123,1,8
129,Abdoulaye Doucouré,ml  MLI,MF,Everton,30-041,1993,3.5,149,148,0,0,0,0,1,0,0,0,0,0,117,1,1
130,Cheick Doucouré,ml  MLI,MF,Crystal Palace,23-034,2000,17.3,744,736,8,8,2,2,2,0,0,0,0,0,623,0,19
131,Flynn Downes,eng  ENG,MF,West Ham,24-022,1999,3.2,113,110,3,0,0,1,2,0,0,0,0,0,92,0,2
132,Cody Drameh,eng  ENG,DF,Leeds United,21-065,2001,0.8,38,31,7,1,0,0,1,6,0,0,0,0,30,0,1
133,Shane Duffy,ie  IRL,"FW,DF",Fulham,31-041,1992,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
134,Lewis Dunk,eng  ENG,DF,Brighton,31-082,1991,20.0,1586,1524,60,45,1,14,1,3,0,0,0,0,1425,2,9
135,Jhon Durán,co  COL,FW,Aston Villa,19-060,2003,0.1,5,4,1,0,0,0,0,1,0,0,0,0,3,0,0
136,Malcolm Ebiowei,eng  ENG,"MF,FW",Crystal Palace,19-160,2003,0.4,10,10,0,0,0,0,3,0,0,0,0,0,5,0,2
137,Ederson,br  BRA,GK,Manchester City,29-178,1993,21.0,765,642,123,31,1,4,0,0,0,0,0,0,665,0,0
138,Odsonne Édouard,fr  FRA,"FW,MF",Crystal Palace,25-026,1998,11.9,269,256,11,0,0,0,4,0,0,0,0,0,193,2,9
139,Samuel Edozie,eng  ENG,"FW,MF",Southampton,20-014,2003,5.9,149,148,0,0,1,0,10,0,0,0,0,0,101,1,10
140,Anthony Elanga,se  SWE,FW,Manchester Utd,20-290,2002,4.4,122,120,2,0,0,1,6,2,0,0,0,0,90,0,2
141,Harvey Elliott,eng  ENG,"MF,FW",Liverpool,19-313,2003,12.6,686,657,24,0,4,2,28,5,1,0,0,0,546,5,14
142,Mohamed Elneny,eg  EGY,MF,Arsenal,30-215,1992,1.3,60,58,2,2,0,0,0,0,0,0,0,0,57,0,1
143,Mohamed Elyounoussi,no  NOR,"MF,FW",Southampton,28-191,1994,15.6,422,410,11,1,5,1,24,7,1,1,0,0,281,1,15
144,Emerson,br  BRA,DF,Tottenham,24-028,1999,13.1,709,583,122,12,0,5,39,109,1,0,0,0,558,4,26
145,Christian Eriksen,dk  DEN,MF,Manchester Utd,30-362,1992,16.5,1031,944,82,23,6,16,60,4,50,19,15,0,813,5,18
146,Pervis Estupiñán,ec  ECU,DF,Brighton,25-021,1998,13.0,859,753,102,9,1,5,36,93,0,0,0,0,694,4,26
147,Jonny Evans,nir  NIR,DF,Leicester City,35-039,1988,9.0,672,652,19,18,0,2,0,1,0,0,0,0,600,1,4
148,Eberechi Eze,eng  ENG,"MF,FW",Crystal Palace,24-227,1998,17.0,694,596,93,41,4,4,49,3,38,15,12,1,548,5,5
149,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,19.8,543,363,177,46,0,2,0,0,0,0,0,0,357,3,0
150,Fabinho,br  BRA,MF,Liverpool,29-111,1993,13.9,897,872,23,19,3,2,4,4,0,0,0,0,790,2,7
151,Wout Faes,be  BEL,DF,Leicester City,24-314,1998,15.0,1049,1027,22,21,2,6,0,1,0,0,0,0,903,0,7
152,João Félix,pt  POR,FW,Chelsea,23-093,1999,0.6,24,23,0,0,0,0,1,0,0,0,0,0,16,1,3
153,Evan Ferguson,ie  IRL,FW,Brighton,18-115,2004,2.2,45,41,3,0,1,0,0,0,0,0,0,0,35,1,1
154,Bruno Fernandes,pt  POR,"MF,FW",Manchester Utd,28-156,1994,21.0,1079,988,86,14,15,19,72,9,32,13,8,0,800,5,27
155,Enzo Fernández,ar  ARG,MF,Chelsea,22-025,2001,1.0,75,73,2,2,0,0,0,0,0,0,0,0,64,0,1
156,Mateo Fernández,es  ESP,"FW,MF",Leeds United,19-115,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
157,Roberto Firmino,br  BRA,"FW,MF",Liverpool,31-132,1991,10.3,439,424,14,1,6,0,11,6,0,0,0,0,342,1,19
158,Junior Firpo,es  ESP,DF,Leeds United,26-173,1996,2.3,108,80,27,0,0,0,0,27,0,0,0,0,79,1,5
159,Phil Foden,eng  ENG,"FW,DF",Manchester City,22-259,2000,11.6,637,600,33,3,2,4,59,7,23,3,18,0,511,4,18
160,Datro Fofana,ci  CIV,"FW,MF",Chelsea,20-051,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Pablo Fornals,es  ESP,"FW,MF",West Ham,26-354,1996,10.7,489,456,31,3,4,8,39,5,15,12,2,0,351,2,14
162,Adam Forshaw,eng  ENG,MF,Leeds United,31-126,1991,1.8,65,61,4,2,0,0,4,0,2,1,1,0,54,0,1
163,Fraser Forster,eng  ENG,GK,Tottenham,34-331,1988,1.0,22,15,6,1,0,0,0,0,0,0,0,0,18,1,0
164,Tyrese Francois,au  AUS,FW,Fulham,22-210,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
165,Ryan Fraser,sct  SCO,FW,Newcastle Utd,28-352,1994,3.5,122,112,7,2,0,0,13,2,3,0,1,0,85,3,4
166,Fred,br  BRA,MF,Manchester Utd,29-343,1993,8.5,470,460,7,5,4,1,9,1,0,0,0,0,373,3,16
167,Ryan Fredericks,eng  ENG,DF,Bournemouth,30-124,1992,5.0,202,163,39,1,0,0,13,38,0,0,0,0,138,0,9
168,Remo Freuler,ch  SUI,MF,Nott'ham Forest,30-302,1992,15.2,573,555,17,16,0,2,5,1,0,0,0,0,458,1,10
169,Cody Gakpo,nl  NED,FW,Liverpool,23-280,1999,2.8,44,42,1,0,0,0,5,0,0,0,0,0,27,1,2
170,Conor Gallagher,eng  ENG,"MF,FW",Chelsea,23-005,2000,9.2,484,445,37,7,1,3,37,6,20,9,6,0,382,2,17
171,Idrissa Gana Gueye,sn  SEN,MF,Everton,33-138,1989,13.6,664,649,12,11,1,4,4,1,0,0,0,0,568,3,13
172,Alejandro Garnacho,es  ESP,FW,Manchester Utd,18-225,2004,3.6,112,112,0,0,0,1,1,0,0,0,0,0,88,0,5
173,James Garner,eng  ENG,MF,Everton,21-335,2001,1.6,79,74,5,0,0,1,6,0,5,4,1,0,59,0,2
174,David de Gea,es  ESP,GK,Manchester Utd,32-096,1990,22.0,673,533,135,37,0,2,0,0,0,0,0,0,483,5,0
175,Joe Gelhardt,eng  ENG,FW,Leeds United,20-283,2002,2.4,67,62,3,0,1,0,1,0,0,0,0,0,43,2,4
176,Saman Ghoddos,ir  IRN,"MF,FW",Brentford,29-158,1993,1.0,48,44,4,1,1,0,2,1,1,0,1,0,35,0,1
177,Billy Gilmour,sct  SCO,MF,Brighton,21-245,2001,1.8,154,153,0,0,0,1,0,0,0,0,0,0,142,1,0
178,Degnand Gnonto,it  ITA,"FW,MF",Leeds United,19-098,2003,8.0,266,255,7,1,3,0,20,1,5,2,0,0,181,4,23
179,Ben Godfrey,eng  ENG,DF,Everton,25-027,1998,2.3,87,80,6,1,0,0,1,5,0,0,0,0,69,1,1
180,Toti Gomes,pt  POR,DF,Wolves,24-026,1999,3.4,173,169,4,2,0,2,1,2,0,0,0,0,147,0,1
181,Joe Gomez,eng  ENG,DF,Liverpool,25-264,1997,12.3,1029,999,25,6,0,10,3,19,0,0,0,0,869,5,4
182,Sergio Gómez,es  ESP,"DF,MF",Manchester City,22-160,2000,1.2,88,77,11,3,0,0,4,6,2,0,2,0,72,0,3
183,Demarai Gray,eng  ENG,"FW,MF",Everton,26-228,1996,18.7,632,499,133,44,2,7,134,5,60,39,20,0,432,0,26
184,Jack Grealish,eng  ENG,FW,Manchester City,27-154,1995,11.6,556,522,31,4,1,2,35,11,16,11,0,1,465,3,18
185,Sam Greenwood,eng  ENG,"MF,FW",Leeds United,21-016,2002,3.5,143,116,27,10,0,1,28,1,16,10,6,0,88,0,1
186,Pascal Groß,de  GER,"MF,DF",Brighton,31-241,1991,19.2,1147,953,190,46,6,16,128,47,77,42,25,2,874,4,30
187,Vicente Guaita,es  ESP,GK,Crystal Palace,36-032,1987,21.0,672,473,196,34,0,3,0,0,0,0,0,0,491,3,0
188,Gonçalo Guedes,pt  POR,"FW,MF",Wolves,26-074,1996,7.9,201,182,19,2,0,4,27,2,14,3,8,2,138,0,8
189,Marc Guéhi,eng  ENG,DF,Crystal Palace,22-213,2000,20.0,1172,1129,41,40,0,19,0,1,0,0,0,0,1021,2,5
190,Bruno Guimarães,br  BRA,MF,Newcastle Utd,25-087,1997,15.5,848,822,20,13,11,11,7,4,3,0,0,0,692,6,14
191,İlkay Gündoğan,de  GER,MF,Manchester City,32-110,1990,13.9,797,772,25,8,9,4,15,3,14,6,2,0,696,0,13
192,Darko Gyabi,eng  ENG,FW,Leeds United,18-358,2004,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
193,Erling Haaland,no  NOR,FW,Manchester City,22-205,2000,18.2,289,247,38,0,2,0,5,2,0,0,0,0,213,4,9
194,Lewis Hall,eng  ENG,"DF,MF",Chelsea,18-156,2004,3.4,195,175,20,3,0,3,9,15,2,2,0,0,147,0,6
195,Luke Harris,wls  WAL,"MF,FW",Fulham,17-314,2005,0.1,14,14,0,0,0,0,1,0,0,0,0,0,13,0,0
196,Jack Harrison,eng  ENG,"FW,MF",Leeds United,26-083,1996,14.8,599,519,77,19,4,5,96,14,43,17,18,3,381,3,30
