,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
25,Alphonse Areola,fr  FRA,GK,West Ham,29-349,1993,1.2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
26,Joe Aribo,ng  NGA,"MF,FW",Southampton,26-205,1996,12.0,2,0,0,9,11,0,6,8,19,0,0,0,69,27,34,44.3
27,Adam Armstrong,eng  ENG,FW,Southampton,26-001,1997,11.4,0,0,0,11,7,1,13,3,6,0,0,0,44,3,14,17.6
28,Stuart Armstrong,sct  SCO,"MF,FW",Southampton,30-318,1992,8.5,3,0,0,10,11,1,16,3,8,0,0,0,46,5,5,50.0
29,Kepa Arrizabalaga,es  ESP,GK,Chelsea,28-131,1994,12.5,0,0,0,0,4,0,0,0,2,0,0,0,21,5,1,83.3
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,4.8,1,0,0,4,1,0,3,2,0,0,0,0,10,1,9,10.0
31,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0
32,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,11.0,1,0,0,5,15,0,29,16,22,0,0,0,73,27,12,69.2
33,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,8.1,0,0,0,8,10,7,3,1,8,0,0,0,33,7,30,18.9
34,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0
35,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,15.6,1,0,0,28,43,0,18,6,27,0,0,0,86,27,55,32.9
36,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,7.8,1,0,0,7,15,1,17,12,14,0,0,0,54,24,23,51.1
37,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,11.4,3,0,0,17,4,1,17,14,15,0,0,0,44,22,15,59.5
38,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3.0,0,0,0,1,2,0,0,4,2,0,0,0,16,10,4,71.4
39,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,14.6,4,0,0,20,13,8,70,3,5,0,0,0,46,16,36,30.8
40,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,2.2,1,0,0,4,5,0,4,4,2,0,0,0,19,4,3,57.1
41,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,6.6,0,0,0,8,6,9,1,0,3,0,0,0,19,9,18,33.3
42,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,4.8,1,0,0,6,11,1,5,5,5,0,0,0,32,3,6,33.3
43,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,17.8,0,0,0,21,22,4,21,4,10,0,0,0,53,17,33,34.0
44,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21.0,0,0,0,1,0,0,0,1,0,0,1,0,27,10,0,100.0
45,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
46,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,1.9,0,0,0,4,2,1,0,1,0,0,0,0,3,3,3,50.0
47,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
48,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,11.4,1,0,0,6,19,0,4,27,7,0,0,0,81,24,14,63.2
49,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,12.5,0,0,0,7,9,5,38,6,6,0,0,0,64,3,6,33.3
50,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,16.0,7,0,0,23,6,0,16,20,27,0,0,0,117,15,16,48.4
51,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,0.9,0,0,0,0,0,0,4,0,5,0,0,0,4,1,2,33.3
52,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
53,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,0.2,0,0,0,0,0,0,1,1,1,0,0,0,5,2,0,100.0
54,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,16.3,2,0,0,16,21,3,20,14,19,0,0,0,78,31,17,64.6
55,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,9.0,5,0,0,14,7,1,2,9,10,0,0,0,59,6,6,50.0
56,Willy Boly,ci  CIV,DF,Nott'ham Forest,32-008,1991,6.5,2,0,0,4,5,3,0,12,6,0,0,0,34,14,7,66.7
57,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,17.7,0,0,0,7,6,0,0,15,12,0,0,0,86,34,18,65.4
58,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,20.9,1,0,0,13,40,6,88,16,10,3,0,0,82,16,39,29.1
59,James Bree,eng  ENG,DF,Southampton,25-123,1997,1.0,0,0,0,0,0,0,4,2,0,0,0,0,3,2,1,66.7
60,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,3.3,0,0,0,2,6,3,0,1,1,1,0,0,15,9,21,30.0
61,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
62,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,1.6,1,0,0,2,2,1,2,1,1,0,0,0,3,0,2,0.0
63,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,13.6,0,0,0,22,21,1,16,10,13,0,0,0,78,14,26,35.0
64,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,9.1,1,0,0,1,6,0,35,7,13,0,0,0,49,4,8,33.3
65,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
66,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,19.6,2,0,0,19,1,4,11,19,16,0,1,0,89,50,24,67.6
67,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
68,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,18.2,6,0,0,37,24,0,9,27,26,0,0,0,117,23,12,65.7
69,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,5.2,1,0,0,3,8,0,18,2,4,0,0,0,37,4,4,50.0
70,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,8.0,1,0,0,7,1,0,1,13,7,0,0,0,41,10,11,47.6
71,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,8.1,1,0,0,12,8,14,2,1,1,0,0,0,17,35,41,46.1
72,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,0.8,0,0,0,0,1,0,4,1,1,0,0,0,4,2,1,66.7
73,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,14.2,3,1,0,13,18,4,45,19,21,0,2,0,80,27,11,71.1
74,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,0.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0
75,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,0.9,0,0,0,3,3,0,3,0,0,0,0,0,6,0,1,0.0
76,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2.0,0,0,0,1,0,0,1,1,0,0,0,0,14,3,3,50.0
77,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,3.7,0,0,0,5,6,0,2,5,8,0,0,0,18,4,9,30.8
78,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,13.7,5,1,0,31,19,0,12,22,26,0,0,0,107,32,15,68.1
79,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,13.2,3,0,0,13,8,2,42,20,18,0,1,0,61,10,7,58.8
80,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,19.2,2,0,0,16,7,4,41,19,30,0,0,0,95,28,33,45.9
81,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,11.3,3,0,0,9,16,1,18,13,10,0,0,0,77,12,12,50.0
82,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,1.5,1,0,0,4,1,0,1,0,0,0,0,0,4,1,1,50.0
83,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,0.1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,2,33.3
84,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,10.8,3,0,0,7,5,0,2,13,10,0,0,1,52,19,15,55.9
85,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,1.2,1,0,0,5,0,0,0,3,2,0,0,0,9,2,2,50.0
86,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,4.7,1,0,0,5,6,0,17,5,4,1,0,0,22,13,4,76.5
87,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,11.5,1,0,0,20,26,0,14,18,15,0,0,0,72,6,14,30.0
88,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,2.2,0,0,0,1,2,0,3,4,4,0,0,0,13,1,3,25.0
89,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
90,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,12.4,2,0,0,6,5,0,15,15,10,0,0,0,56,6,10,37.5
91,Conor Coady,eng  ENG,DF,Everton,29-351,1993,18.9,1,0,0,8,11,2,1,12,8,0,0,0,74,21,21,50.0
92,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,3.1,0,0,0,4,6,0,1,2,9,0,0,0,14,2,4,33.3
93,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,9.5,0,0,0,4,9,0,10,12,13,0,0,0,50,7,6,53.8
94,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,16.4,2,1,0,13,7,1,0,20,11,0,0,0,79,25,23,52.1
95,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,5.1,0,0,0,1,3,0,0,6,1,0,0,0,34,15,5,75.0
96,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,16.5,2,0,0,12,8,0,36,17,22,0,0,0,113,7,8,46.7
97,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,10.6,4,0,0,5,2,0,1,12,4,0,1,0,35,27,10,73.0
98,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,12.3,2,0,0,9,8,0,0,25,19,0,0,0,81,46,27,63.0
99,Maxwel Cornet,ci  CIV,FW,West Ham,26-137,1996,1.0,0,0,0,2,2,0,2,0,1,0,0,0,5,2,3,40.0
100,Diego Costa,es  ESP,FW,Wolves,34-127,1988,6.8,2,1,0,17,4,11,4,2,0,0,0,0,12,15,21,41.7
101,Vladimír Coufal,cz  CZE,DF,West Ham,30-173,1992,13.3,3,0,0,14,11,0,69,24,18,0,0,0,76,19,15,55.9
102,Philippe Coutinho,br  BRA,"MF,FW",Aston Villa,30-244,1992,7.9,3,0,0,14,12,2,19,3,9,0,0,0,38,3,12,20.0
103,Conor Coventry,ie  IRL,"MF,FW",West Ham,22-323,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,Aaron Cresswell,eng  ENG,DF,West Ham,33-058,1989,17.0,2,0,0,8,5,1,101,20,7,0,0,0,80,24,20,54.5
105,Marc Cucurella,es  ESP,DF,Chelsea,24-204,1998,14.2,2,0,0,12,14,1,39,10,18,0,0,0,96,11,11,50.0
106,Matheus Cunha,br  BRA,FW,Wolves,23-260,1999,2.1,0,0,0,4,4,1,2,2,0,0,0,0,12,2,11,15.4
107,Patson Daka,zm  ZAM,FW,Leicester City,24-125,1998,7.8,2,0,0,11,6,5,4,3,5,1,0,0,18,11,18,37.9
108,Diogo Dalot,pt  POR,DF,Manchester Utd,23-330,1999,14.1,5,0,0,15,3,0,29,23,25,0,0,0,90,24,11,68.6
109,Mikkel Damsgaard,dk  DEN,"MF,FW",Brentford,22-223,2000,3.2,2,0,0,5,4,0,9,2,7,0,0,0,24,1,7,12.5
110,Danilo,br  BRA,MF,Nott'ham Forest,21-288,2001,1.0,1,0,0,2,1,0,0,0,4,0,0,0,9,2,2,50.0
111,Josh Dasilva,eng  ENG,MF,Brentford,24-111,1998,10.9,1,0,0,9,14,0,25,3,7,0,0,0,43,6,5,54.5
112,Ben Davies,wls  WAL,DF,Tottenham,29-293,1993,15.0,2,0,0,19,7,0,13,12,6,0,0,0,52,27,30,47.4
113,Tom Davies,eng  ENG,MF,Everton,24-226,1998,4.6,2,0,0,3,5,1,1,3,7,0,0,0,21,7,12,36.8
114,Kevin De Bruyne,be  BEL,MF,Manchester City,31-228,1991,17.8,1,0,0,16,16,3,157,4,9,1,0,0,66,8,10,44.4
115,Siriki Dembélé,ci  CIV,"FW,MF",Bournemouth,26-157,1996,1.2,0,0,0,1,2,0,3,1,1,0,0,0,9,0,4,0.0
116,Emmanuel Dennis,ng  NGA,FW,Nott'ham Forest,25-088,1997,4.1,2,0,0,6,16,4,4,0,3,0,0,0,18,6,8,42.9
117,Halil Dervişoğlu,tr  TUR,MF,Brentford,23-065,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,Kiernan Dewsbury-Hall,eng  ENG,MF,Leicester City,24-158,1998,16.1,1,0,0,17,18,0,35,15,15,0,0,0,94,10,8,55.6
119,Ibrahima Diallo,fr  FRA,MF,Southampton,23-340,1999,7.9,2,0,0,16,7,0,3,5,10,0,0,0,70,15,7,68.2
120,Rúben Dias,pt  POR,DF,Manchester City,25-273,1997,9.7,0,0,0,10,3,0,0,12,3,0,0,0,41,26,13,66.7
121,Luis Díaz,co  COL,FW,Liverpool,26-029,1997,6.8,2,0,0,12,16,2,7,2,8,0,0,0,27,6,14,30.0
122,Eric Dier,eng  ENG,DF,Tottenham,29-027,1994,20.3,1,0,0,11,6,1,11,25,11,0,0,0,83,51,28,64.6
123,Lucas Digne,fr  FRA,DF,Aston Villa,29-206,1993,12.3,2,0,0,12,19,2,57,13,8,0,1,1,67,18,13,58.1
124,Issa Diop,fr  FRA,DF,Fulham,26-033,1997,11.7,1,0,0,6,3,1,1,16,13,0,0,0,59,20,15,57.1
125,Moussa Djenepo,ml  MLI,"DF,FW",Southampton,24-241,1998,6.4,0,0,0,6,15,0,12,11,9,0,0,0,48,3,8,27.3
126,Ben Doak,sct  SCO,FW,Liverpool,17-092,2005,0.3,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,
127,Matt Doherty,ie  IRL,"DF,MF",Tottenham,31-026,1992,7.4,0,0,0,11,4,0,18,8,10,0,0,0,31,20,13,60.6
128,Gabriel Dos Santos,br  BRA,DF,Arsenal,25-054,1997,20.0,4,0,0,13,24,0,2,17,20,0,1,0,105,43,45,48.9
129,Abdoulaye Doucouré,ml  MLI,MF,Everton,30-041,1993,3.5,1,0,0,3,1,1,1,2,5,0,1,0,25,4,6,40.0
130,Cheick Doucouré,ml  MLI,MF,Crystal Palace,23-034,2000,17.3,6,0,0,22,6,0,2,36,34,0,0,0,125,12,14,46.2
131,Flynn Downes,eng  ENG,MF,West Ham,24-022,1999,3.2,0,0,0,4,4,0,2,2,3,0,0,0,17,4,5,44.4
132,Cody Drameh,eng  ENG,DF,Leeds United,21-065,2001,0.8,0,0,0,1,0,0,1,1,4,0,0,0,5,1,0,100.0
133,Shane Duffy,ie  IRL,"FW,DF",Fulham,31-041,1992,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,66.7
134,Lewis Dunk,eng  ENG,DF,Brighton,31-082,1991,20.0,2,0,0,12,12,1,1,21,8,0,3,1,130,28,29,49.1
135,Jhon Durán,co  COL,FW,Aston Villa,19-060,2003,0.1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,
136,Malcolm Ebiowei,eng  ENG,"MF,FW",Crystal Palace,19-160,2003,0.4,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,
137,Ederson,br  BRA,GK,Manchester City,29-178,1993,21.0,1,0,0,0,2,0,0,0,0,0,0,0,24,5,0,100.0
138,Odsonne Édouard,fr  FRA,"FW,MF",Crystal Palace,25-026,1998,11.9,3,0,0,14,9,7,4,3,10,0,0,0,38,23,24,48.9
139,Samuel Edozie,eng  ENG,"FW,MF",Southampton,20-014,2003,5.9,0,0,0,1,22,1,10,6,8,1,0,0,29,6,11,35.3
140,Anthony Elanga,se  SWE,FW,Manchester Utd,20-290,2002,4.4,0,0,0,2,7,3,6,1,0,0,0,0,16,7,11,38.9
141,Harvey Elliott,eng  ENG,"MF,FW",Liverpool,19-313,2003,12.6,1,0,0,10,20,1,28,6,7,0,0,0,75,1,9,10.0
142,Mohamed Elneny,eg  EGY,MF,Arsenal,30-215,1992,1.3,0,0,0,1,1,0,0,0,1,0,0,0,10,0,2,0.0
143,Mohamed Elyounoussi,no  NOR,"MF,FW",Southampton,28-191,1994,15.6,3,0,0,24,12,3,24,12,16,0,0,0,96,22,29,43.1
144,Emerson,br  BRA,DF,Tottenham,24-028,1999,13.1,1,1,0,15,23,0,39,12,21,0,0,0,69,15,20,42.9
145,Christian Eriksen,dk  DEN,MF,Manchester Utd,30-362,1992,16.5,3,0,0,10,6,2,60,8,10,0,0,0,113,7,9,43.8
146,Pervis Estupiñán,ec  ECU,DF,Brighton,25-021,1998,13.0,3,0,0,20,11,3,36,20,16,1,0,0,68,20,18,52.6
147,Jonny Evans,nir  NIR,DF,Leicester City,35-039,1988,9.0,0,0,0,7,4,0,0,16,4,0,0,0,45,20,11,64.5
148,Eberechi Eze,eng  ENG,"MF,FW",Crystal Palace,24-227,1998,17.0,1,0,0,13,34,2,49,7,14,0,0,0,112,8,21,27.6
149,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,19.8,0,0,0,0,3,0,0,0,0,0,0,0,10,10,1,90.9
150,Fabinho,br  BRA,MF,Liverpool,29-111,1993,13.9,2,0,0,20,11,0,4,19,16,0,0,0,97,15,12,55.6
151,Wout Faes,be  BEL,DF,Leicester City,24-314,1998,15.0,1,0,0,14,7,0,0,16,19,0,0,2,85,29,18,61.7
152,João Félix,pt  POR,FW,Chelsea,23-093,1999,0.6,0,1,0,1,4,1,1,0,0,0,0,0,2,0,1,0.0
153,Evan Ferguson,ie  IRL,FW,Brighton,18-115,2004,2.2,1,0,0,2,2,0,0,1,0,0,0,0,6,4,4,50.0
154,Bruno Fernandes,pt  POR,"MF,FW",Manchester Utd,28-156,1994,21.0,5,0,0,27,23,10,72,15,29,0,0,0,132,10,32,23.8
155,Enzo Fernández,ar  ARG,MF,Chelsea,22-025,2001,1.0,0,0,0,0,2,0,0,2,5,0,0,0,10,1,0,100.0
156,Mateo Fernández,es  ESP,"FW,MF",Leeds United,19-115,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,Roberto Firmino,br  BRA,"FW,MF",Liverpool,31-132,1991,10.3,0,0,0,6,5,3,11,6,11,0,0,0,45,13,25,34.2
158,Junior Firpo,es  ESP,DF,Leeds United,26-173,1996,2.3,1,0,0,8,0,0,0,1,4,0,0,0,10,3,5,37.5
159,Phil Foden,eng  ENG,"FW,DF",Manchester City,22-259,2000,11.6,1,0,0,4,16,3,59,3,7,0,0,0,60,14,17,45.2
160,Datro Fofana,ci  CIV,"FW,MF",Chelsea,20-051,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
161,Pablo Fornals,es  ESP,"FW,MF",West Ham,26-354,1996,10.7,0,0,0,11,5,1,39,11,8,0,0,0,88,5,13,27.8
162,Adam Forshaw,eng  ENG,MF,Leeds United,31-126,1991,1.8,0,0,0,2,3,0,4,0,1,0,0,0,10,0,1,0.0
163,Fraser Forster,eng  ENG,GK,Tottenham,34-331,1988,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
164,Tyrese Francois,au  AUS,FW,Fulham,22-210,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
165,Ryan Fraser,sct  SCO,FW,Newcastle Utd,28-352,1994,3.5,1,0,0,3,10,1,13,0,2,0,0,0,14,0,2,0.0
166,Fred,br  BRA,MF,Manchester Utd,29-343,1993,8.5,4,0,0,19,10,0,9,12,15,0,0,0,74,6,8,42.9
167,Ryan Fredericks,eng  ENG,DF,Bournemouth,30-124,1992,5.0,1,0,0,3,1,0,13,0,1,0,0,0,11,4,9,30.8
168,Remo Freuler,ch  SUI,MF,Nott'ham Forest,30-302,1992,15.2,3,0,0,17,7,0,5,25,16,0,0,0,87,16,12,57.1
169,Cody Gakpo,nl  NED,FW,Liverpool,23-280,1999,2.8,0,0,0,3,5,3,5,2,2,0,0,0,7,4,4,50.0
170,Conor Gallagher,eng  ENG,"MF,FW",Chelsea,23-005,2000,9.2,6,1,1,19,22,0,37,11,19,0,0,0,52,11,17,39.3
171,Idrissa Gana Gueye,sn  SEN,MF,Everton,33-138,1989,13.6,3,0,0,18,29,0,4,32,21,0,0,0,127,14,13,51.9
172,Alejandro Garnacho,es  ESP,FW,Manchester Utd,18-225,2004,3.6,2,0,0,5,5,2,1,4,1,0,0,0,14,2,6,25.0
173,James Garner,eng  ENG,MF,Everton,21-335,2001,1.6,1,0,0,4,0,1,6,4,5,0,0,0,13,2,1,66.7
174,David de Gea,es  ESP,GK,Manchester Utd,32-096,1990,22.0,0,0,0,0,2,0,0,0,0,0,0,0,16,3,0,100.0
175,Joe Gelhardt,eng  ENG,FW,Leeds United,20-283,2002,2.4,1,0,0,6,8,0,1,0,2,0,0,0,9,5,11,31.3
176,Saman Ghoddos,ir  IRN,"MF,FW",Brentford,29-158,1993,1.0,0,0,0,1,2,0,2,3,0,0,0,0,19,2,3,40.0
177,Billy Gilmour,sct  SCO,MF,Brighton,21-245,2001,1.8,1,0,0,1,0,0,0,1,0,0,0,0,8,1,3,25.0
178,Degnand Gnonto,it  ITA,"FW,MF",Leeds United,19-098,2003,8.0,2,0,0,12,22,2,20,1,9,0,0,0,39,4,11,26.7
179,Ben Godfrey,eng  ENG,DF,Everton,25-027,1998,2.3,0,0,0,3,1,0,1,2,3,0,0,0,9,3,2,60.0
180,Toti Gomes,pt  POR,DF,Wolves,24-026,1999,3.4,2,0,0,5,2,0,1,2,2,0,0,0,15,8,3,72.7
181,Joe Gomez,eng  ENG,DF,Liverpool,25-264,1997,12.3,3,0,0,13,4,0,3,19,17,0,1,0,103,37,27,57.8
182,Sergio Gómez,es  ESP,"DF,MF",Manchester City,22-160,2000,1.2,0,0,0,0,0,0,4,2,1,0,0,0,5,1,2,33.3
183,Demarai Gray,eng  ENG,"FW,MF",Everton,26-228,1996,18.7,1,0,0,10,28,8,134,10,13,0,0,0,69,7,18,28.0
184,Jack Grealish,eng  ENG,FW,Manchester City,27-154,1995,11.6,1,0,0,14,40,1,35,4,8,0,0,0,56,8,5,61.5
185,Sam Greenwood,eng  ENG,"MF,FW",Leeds United,21-016,2002,3.5,1,0,0,8,2,0,28,1,5,0,0,0,26,1,3,25.0
186,Pascal Groß,de  GER,"MF,DF",Brighton,31-241,1991,19.2,2,0,0,16,10,7,128,9,17,0,1,0,69,3,23,11.5
187,Vicente Guaita,es  ESP,GK,Crystal Palace,36-032,1987,21.0,1,0,0,1,3,0,0,0,0,0,0,0,21,9,1,90.0
