,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Chelsea,33-238,1989,4.8,61,86,70.9,821,193,41,54,75.9,17,21,81.0,2,3,66.7,0,0.3,0.2,-0.3,3,2,2,1,3
31,Ludwig Augustinsson,se  SWE,DF,Aston Villa,28-296,1994,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0
32,Serge Aurier,ci  CIV,DF,Nott'ham Forest,30-049,1992,11.0,368,544,67.6,5658,2597,197,255,77.3,136,196,69.4,25,54,46.3,0,0.8,0.7,-0.8,8,22,8,5,41
33,Taiwo Awoniyi,ng  NGA,FW,Nott'ham Forest,25-183,1997,8.1,90,124,72.6,1049,138,63,76,82.9,19,26,73.1,1,4,25.0,0,1.0,0.3,-1.0,8,3,1,0,7
34,André Ayew,gh  GHA,FW,Nott'ham Forest,33-056,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
35,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,31-153,1991,15.6,339,446,76.0,4440,795,216,247,87.4,103,136,75.7,7,20,35.0,1,1.2,1.1,-0.2,15,13,5,3,26
36,Luke Ayling,eng  ENG,DF,Leeds United,31-170,1991,7.8,258,384,67.2,4162,2108,147,181,81.2,82,122,67.2,25,51,49.0,1,0.8,0.9,+0.2,4,26,9,4,32
37,César Azpilicueta,es  ESP,DF,Chelsea,33-167,1989,11.4,622,772,80.6,9246,3223,349,378,92.3,250,308,81.2,13,55,23.6,0,0.8,0.8,-0.8,9,26,14,3,54
38,Benoît Badiashile,fr  FRA,DF,Chelsea,21-322,2001,3.0,251,275,91.3,4766,1659,86,95,90.5,142,150,94.7,22,29,75.9,0,0.4,0.0,-0.4,2,10,1,0,10
39,Leon Bailey,jm  JAM,"FW,MF",Aston Villa,25-186,1997,14.6,234,376,62.2,3780,935,127,167,76.0,68,104,65.4,26,58,44.8,2,2.3,2.6,-0.3,18,13,13,10,20
40,Stefan Bajcetic,es  ESP,MF,Liverpool,18-112,2004,2.2,83,104,79.8,1226,337,50,59,84.7,22,28,78.6,7,12,58.3,0,0.2,0.3,-0.2,2,8,2,1,10
41,Patrick Bamford,eng  ENG,FW,Leeds United,29-159,1993,6.6,89,126,70.6,907,201,63,82,76.8,13,24,54.2,0,1,0.0,2,0.5,0.3,+1.5,6,6,4,0,9
42,Shandon Baptiste,gd  GRN,MF,Brentford,24-309,1998,4.8,154,186,82.8,2498,701,85,96,88.5,54,62,87.1,10,16,62.5,0,0.7,0.5,-0.7,6,13,8,2,26
43,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,25-064,1997,17.8,322,455,70.8,4131,1210,207,263,78.7,80,121,66.1,13,25,52.0,1,1.1,1.1,-0.1,10,23,20,2,42
44,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21.0,474,782,60.6,14784,11222,105,107,98.1,173,177,97.7,195,493,39.6,0,0.1,0.1,-0.1,1,37,1,0,1
45,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,0.2,7,11,63.6,142,49,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,1
46,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,1.9,46,61,75.4,502,115,31,34,91.2,8,8,100.0,1,2,50.0,0,0.1,0.1,-0.1,3,0,4,0,6
47,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1.0,21,30,70.0,584,423,3,3,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0.0,0,0,0,0,0
48,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,11.4,344,456,75.4,6762,1885,118,138,85.5,184,214,86.0,39,89,43.8,1,0.2,0.2,+0.8,3,18,2,0,17
49,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,12.5,362,449,80.6,5028,1131,229,252,90.9,108,135,80.0,16,36,44.4,1,1.7,1.2,-0.7,26,15,10,6,44
50,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,16.0,702,835,84.1,10996,3010,347,388,89.4,287,321,89.4,39,68,57.4,2,0.8,0.7,+1.2,11,50,9,4,71
51,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,0.9,21,40,52.5,307,171,13,16,81.3,6,14,42.9,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0
52,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,0.1,2,3,66.7,38,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
53,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,0.2,15,21,71.4,253,126,6,7,85.7,8,10,80.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
54,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,16.3,380,508,74.8,5588,1422,208,255,81.6,119,150,79.3,25,47,53.2,1,1.6,1.0,-0.6,13,21,5,2,35
55,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,9.0,514,571,90.0,7843,1774,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,-0.5,8,40,4,1,45
56,Willy Boly,ci  CIV,DF,Nott'ham Forest,32-008,1991,6.5,178,235,75.7,3376,1571,59,72,81.9,98,115,85.2,17,40,42.5,1,0.2,0.3,+0.8,1,7,0,0,10
57,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,17.7,757,881,85.9,15582,5854,234,263,89.0,417,456,91.4,99,142,69.7,0,0.9,1.0,-0.9,6,37,1,0,43
58,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,20.9,338,523,64.6,5548,1679,185,224,82.6,106,141,75.2,36,96,37.5,0,3.1,2.5,-3.1,29,29,16,6,46
59,James Bree,eng  ENG,DF,Southampton,25-123,1997,1.0,34,45,75.6,505,203,21,28,75.0,9,10,90.0,2,4,50.0,0,0.2,0.1,-0.2,3,2,3,2,1
60,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,3.3,33,53,62.3,466,54,21,33,63.6,9,15,60.0,2,3,66.7,0,0.1,0.1,-0.1,1,1,1,0,4
61,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,0.3,17,21,81.0,283,57,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
62,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,1.6,47,60,78.3,638,92,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,+0.8,2,3,2,0,5
63,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,13.6,450,574,78.4,7215,1914,232,275,84.4,150,189,79.4,44,56,78.6,0,2.3,1.7,-2.3,21,55,22,0,83
64,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,9.1,324,403,80.4,4308,1254,210,229,91.7,93,118,78.8,9,27,33.3,1,0.6,0.5,+0.4,10,13,7,4,23
65,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,0.2,7,8,87.5,89,3,6,7,85.7,0,0,,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,1
66,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,19.6,770,972,79.2,12892,4874,370,421,87.9,329,403,81.6,56,107,52.3,0,0.5,0.3,-0.5,6,49,6,1,59
67,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,0.1,2,2,100.0,45,41,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
68,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,18.2,968,1102,87.8,15212,4144,513,561,91.4,351,391,89.8,75,90,83.3,1,1.4,1.2,-0.4,22,87,24,4,117
69,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,5.2,342,400,85.5,5634,1341,175,191,91.6,119,139,85.6,35,48,72.9,0,1.2,1.2,-1.2,10,37,11,4,50
70,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,8.0,351,414,84.8,6957,2590,109,122,89.3,197,212,92.9,41,69,59.4,0,0.0,0.1,0.0,1,20,0,0,23
71,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,8.1,86,139,61.9,1009,175,53,79,67.1,19,33,57.6,3,5,60.0,0,0.3,0.2,-0.3,4,8,1,0,8
72,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,0.8,23,32,71.9,344,64,10,11,90.9,13,14,92.9,0,5,0.0,0,0.0,0.0,0.0,0,2,0,0,4
73,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,+0.1,12,80,36,9,106
74,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,0.3,4,5,80.0,37,0,3,4,75.0,1,1,100.0,0,0,,0,0.5,0.0,-0.5,1,0,0,0,0
75,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,0.9,23,43,53.5,268,76,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2
76,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2.0,101,128,78.9,2087,802,30,36,83.3,57,66,86.4,14,24,58.3,0,0.0,0.0,0.0,0,8,0,0,10
77,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,3.7,111,135,82.2,1490,264,68,79,86.1,29,35,82.9,5,6,83.3,0,0.1,0.2,-0.1,1,6,2,0,11
78,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,13.7,664,855,77.7,11745,3918,305,365,83.6,270,328,82.3,75,124,60.5,3,2.0,2.3,+1.0,16,77,14,3,82
79,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,13.2,517,678,76.3,9054,3180,239,268,89.2,232,285,81.4,38,95,40.0,0,0.7,0.9,-0.7,7,46,14,8,64
80,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,19.2,847,1059,80.0,12091,4256,531,603,88.1,246,310,79.4,41,76,53.9,2,1.3,1.6,+0.7,12,53,15,8,55
81,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,11.3,607,718,84.5,9697,3180,331,361,91.7,226,261,86.6,40,57,70.2,0,0.4,0.5,-0.4,3,52,8,2,61
82,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,1.5,19,29,65.5,210,53,12,16,75.0,5,8,62.5,0,1,0.0,0,0.1,0.1,-0.1,1,2,1,0,3
83,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
84,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,10.8,568,640,88.8,10451,3034,205,231,88.7,314,334,94.0,43,61,70.5,0,0.1,0.1,-0.1,1,26,1,0,32
85,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,1.2,69,83,83.1,1259,543,31,34,91.2,33,37,89.2,5,9,55.6,0,0.0,0.0,0.0,0,3,0,0,5
86,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,4.7,248,319,77.7,3492,907,162,177,91.5,67,86,77.9,13,36,36.1,1,0.2,0.3,+0.8,2,10,1,1,11
87,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,11.5,285,353,80.7,4492,1068,151,179,84.4,99,109,90.8,22,39,56.4,0,1.0,1.1,-1.0,14,26,12,1,46
88,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,2.2,76,93,81.7,945,248,55,66,83.3,10,13,76.9,4,4,100.0,0,0.1,0.1,-0.1,3,6,4,2,10
89,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1
90,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,12.4,487,623,78.2,7474,2912,258,294,87.8,205,254,80.7,18,55,32.7,0,0.4,0.3,-0.4,5,38,3,2,35
91,Conor Coady,eng  ENG,DF,Everton,29-351,1993,18.9,844,1000,84.4,17963,6790,234,252,92.9,476,509,93.5,128,223,57.4,1,0.3,0.5,+0.7,4,62,3,1,34
92,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,3.1,59,72,81.9,1074,255,25,29,86.2,27,32,84.4,6,9,66.7,0,0.2,0.1,-0.2,2,8,1,1,8
93,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,9.5,328,404,81.2,5362,1946,160,181,88.4,137,160,85.6,25,43,58.1,0,0.3,0.4,-0.3,2,13,9,5,26
94,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,16.4,812,914,88.8,16635,5711,231,251,92.0,464,494,93.9,101,148,68.2,0,0.1,0.2,-0.1,2,58,2,0,52
95,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,5.1,379,424,89.4,6766,2803,161,177,91.0,177,193,91.7,35,44,79.5,0,0.1,0.2,-0.1,2,23,3,0,20
96,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,16.5,509,646,78.8,8549,2670,244,277,88.1,207,241,85.9,44,79,55.7,2,2.2,2.0,-0.2,21,49,11,8,54
97,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19
98,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,12.3,480,609,78.8,8789,3371,186,212,87.7,248,296,83.8,38,84,45.2,0,0.5,0.2,-0.5,4,29,0,0,26
99,Maxwel Cornet,ci  CIV,FW,West Ham,26-137,1996,1.0,20,30,66.7,266,46,13,18,72.2,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,2
100,Diego Costa,es  ESP,FW,Wolves,34-127,1988,6.8,63,85,74.1,718,99,37,41,90.2,15,21,71.4,1,1,100.0,0,0.3,0.3,-0.3,4,3,1,0,4
101,Vladimír Coufal,cz  CZE,DF,West Ham,30-173,1992,13.3,425,674,63.1,7230,3646,210,245,85.7,165,254,65.0,39,116,33.6,0,1.2,1.0,-1.2,14,37,12,8,53
102,Philippe Coutinho,br  BRA,"MF,FW",Aston Villa,30-244,1992,7.9,270,361,74.8,3799,873,168,196,85.7,79,107,73.8,15,34,44.1,0,0.5,0.7,-0.5,7,28,7,2,45
103,Conor Coventry,ie  IRL,"MF,FW",West Ham,22-323,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
104,Aaron Cresswell,eng  ENG,DF,West Ham,33-058,1989,17.0,864,1086,79.6,13925,6423,486,518,93.8,296,369,80.2,72,144,50.0,0,2.5,2.1,-2.5,30,75,24,13,118
105,Marc Cucurella,es  ESP,DF,Chelsea,24-204,1998,14.2,841,1009,83.3,12789,3858,457,495,92.3,308,351,87.7,45,91,49.5,2,0.4,0.7,+1.6,8,51,9,6,50
106,Matheus Cunha,br  BRA,FW,Wolves,23-260,1999,2.1,37,51,72.5,482,55,28,35,80.0,5,6,83.3,3,6,50.0,0,0.3,0.0,-0.3,2,0,1,0,2
107,Patson Daka,zm  ZAM,FW,Leicester City,24-125,1998,7.8,104,157,66.2,1285,275,64,86,74.4,31,45,68.9,1,4,25.0,3,2.3,1.2,+0.7,10,5,5,1,11
108,Diogo Dalot,pt  POR,DF,Manchester Utd,23-330,1999,14.1,639,826,77.4,11475,3707,274,313,87.5,284,347,81.8,68,123,55.3,2,1.5,1.1,+0.5,22,54,21,12,49
109,Mikkel Damsgaard,dk  DEN,"MF,FW",Brentford,22-223,2000,3.2,91,128,71.1,1247,520,50,55,90.9,29,43,67.4,5,11,45.5,0,0.5,0.5,-0.5,5,13,6,0,14
110,Danilo,br  BRA,MF,Nott'ham Forest,21-288,2001,1.0,27,38,71.1,524,141,10,15,66.7,12,16,75.0,4,6,66.7,0,0.0,0.0,0.0,1,4,0,0,3
111,Josh Dasilva,eng  ENG,MF,Brentford,24-111,1998,10.9,337,424,79.5,5721,1408,169,193,87.6,133,151,88.1,30,52,57.7,2,1.4,1.3,+0.6,9,26,16,4,41
112,Ben Davies,wls  WAL,DF,Tottenham,29-293,1993,15.0,725,858,84.5,12152,4230,344,377,91.2,307,341,90.0,55,94,58.5,1,1.8,1.1,-0.8,13,57,3,2,76
113,Tom Davies,eng  ENG,MF,Everton,24-226,1998,4.6,139,183,76.0,2410,679,66,84,78.6,57,67,85.1,13,22,59.1,0,0.1,0.2,-0.1,1,19,1,0,24
114,Kevin De Bruyne,be  BEL,MF,Manchester City,31-228,1991,17.8,761,1058,71.9,14413,4317,340,402,84.6,305,411,74.2,106,184,57.6,11,9.2,10.0,+1.8,64,79,66,14,156
115,Siriki Dembélé,ci  CIV,"FW,MF",Bournemouth,26-157,1996,1.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100.0,0,0.3,0.2,-0.3,4,2,3,2,4
116,Emmanuel Dennis,ng  NGA,FW,Nott'ham Forest,25-088,1997,4.1,70,99,70.7,1068,223,42,49,85.7,18,27,66.7,6,8,75.0,1,0.3,0.3,+0.7,4,4,2,1,9
117,Halil Dervişoğlu,tr  TUR,MF,Brentford,23-065,1999,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
118,Kiernan Dewsbury-Hall,eng  ENG,MF,Leicester City,24-158,1998,16.1,559,745,75.0,9110,2257,295,349,84.5,191,244,78.3,52,100,52.0,2,2.3,1.7,-0.3,26,74,17,3,88
119,Ibrahima Diallo,fr  FRA,MF,Southampton,23-340,1999,7.9,249,324,76.9,3755,767,142,164,86.6,86,109,78.9,14,29,48.3,0,0.1,0.1,-0.1,2,18,2,0,21
120,Rúben Dias,pt  POR,DF,Manchester City,25-273,1997,9.7,830,900,92.2,14982,5430,295,313,94.2,479,506,94.7,48,64,75.0,0,0.1,0.1,-0.1,2,51,0,0,43
121,Luis Díaz,co  COL,FW,Liverpool,26-029,1997,6.8,203,256,79.3,3051,597,124,150,82.7,63,75,84.0,12,14,85.7,2,1.0,0.8,+1.0,6,18,5,1,25
122,Eric Dier,eng  ENG,DF,Tottenham,29-027,1994,20.3,1168,1357,86.1,22848,8817,424,456,93.0,586,634,92.4,137,222,61.7,0,0.8,0.4,-0.8,6,55,6,3,64
123,Lucas Digne,fr  FRA,DF,Aston Villa,29-206,1993,12.3,535,705,75.9,8460,3195,302,335,90.1,185,251,73.7,39,78,50.0,0,1.2,1.0,-1.2,13,27,18,10,43
124,Issa Diop,fr  FRA,DF,Fulham,26-033,1997,11.7,643,748,86.0,13316,4304,178,204,87.3,389,424,91.7,74,110,67.3,0,0.0,0.1,0.0,1,44,2,0,45
125,Moussa Djenepo,ml  MLI,"DF,FW",Southampton,24-241,1998,6.4,157,213,73.7,2323,696,90,102,88.2,53,74,71.6,8,19,42.1,1,0.3,0.3,+0.7,6,12,5,3,17
126,Ben Doak,sct  SCO,FW,Liverpool,17-092,2005,0.3,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
127,Matt Doherty,ie  IRL,"DF,MF",Tottenham,31-026,1992,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20
128,Gabriel Dos Santos,br  BRA,DF,Arsenal,25-054,1997,20.0,1123,1255,89.5,20332,7242,448,470,95.3,585,627,93.3,79,131,60.3,0,0.2,0.3,-0.2,1,95,2,0,80
129,Abdoulaye Doucouré,ml  MLI,MF,Everton,30-041,1993,3.5,117,149,78.5,1616,364,65,83,78.3,44,53,83.0,2,3,66.7,0,0.0,0.1,0.0,1,9,0,0,8
130,Cheick Doucouré,ml  MLI,MF,Crystal Palace,23-034,2000,17.3,623,744,83.7,10423,3255,306,338,90.5,253,294,86.1,51,69,73.9,2,1.6,0.8,+0.4,18,72,5,0,79
131,Flynn Downes,eng  ENG,MF,West Ham,24-022,1999,3.2,92,113,81.4,1157,198,67,70,95.7,17,24,70.8,4,7,57.1,0,0.0,0.0,0.0,1,5,1,0,6
132,Cody Drameh,eng  ENG,DF,Leeds United,21-065,2001,0.8,30,38,78.9,457,153,17,21,81.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2
133,Shane Duffy,ie  IRL,"FW,DF",Fulham,31-041,1992,0.1,2,4,50.0,20,9,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
134,Lewis Dunk,eng  ENG,DF,Brighton,31-082,1991,20.0,1425,1586,89.8,28133,10257,470,494,95.1,764,801,95.4,171,255,67.1,0,0.1,0.3,-0.1,1,85,4,0,68
