,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
44,Gavin Bazunu,ie  IRL,GK,Southampton,20-356,2002,21.0,837,585,822,15,0,0,837,0,0,,0,,499,2623,1549,0,0,0,0,0,402,0
45,Mads Bech Sørensen,dk  DEN,"DF,MF",Brentford,24-035,1999,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0
46,Donny van de Beek,nl  NED,MF,Manchester Utd,25-299,1997,1.9,72,1,3,23,46,11,72,2,1,50.0,1,50.0,39,148,85,2,3,0,2,2,53,20
47,Asmir Begović,ba  BIH,GK,Everton,35-236,1987,1.0,33,31,33,0,0,0,33,0,0,,0,,19,75,47,0,0,0,0,0,13,0
48,Armel Bella Kotchap,de  GER,DF,Southampton,21-062,2001,11.4,616,94,323,268,30,18,616,6,2,33.3,1,16.7,327,1773,855,3,6,2,9,5,317,2
49,Saïd Benrahma,dz  ALG,"FW,MF",West Ham,27-185,1995,12.5,615,10,70,224,331,41,613,79,31,39.2,37,46.8,404,2946,1443,56,30,19,35,21,459,151
50,Rodrigo Bentancur,uy  URU,MF,Tottenham,25-231,1997,16.0,1018,51,285,570,170,16,1018,32,20,62.5,11,34.4,550,2780,1307,24,14,1,20,16,693,18
51,Victor Bernth Kristiansen,dk  DEN,DF,Leicester City,20-057,2002,0.9,53,4,27,17,9,0,53,4,2,50.0,0,0.0,23,150,96,3,2,0,1,0,21,2
52,Owen Bevan,wls  WAL,DF,Bournemouth,19-108,2003,0.1,3,0,3,0,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,1,0
53,Giulian Biancone,fr  FRA,DF,Nott'ham Forest,22-317,2000,0.2,25,2,19,5,1,0,25,0,0,,0,,10,76,61,2,1,0,0,0,13,1
54,Philip Billing,dk  DEN,"MF,FW",Bournemouth,26-245,1996,16.3,705,38,168,319,226,38,705,24,12,50.0,10,41.7,377,1973,893,22,17,4,26,26,460,58
55,Yves Bissouma,ml  MLI,MF,Tottenham,26-165,1996,9.0,639,17,127,411,102,1,639,7,5,71.4,2,28.6,371,2011,816,10,8,0,13,5,465,7
56,Willy Boly,ci  CIV,DF,Nott'ham Forest,32-008,1991,6.5,318,60,218,88,14,8,318,2,1,50.0,0,0.0,153,713,352,1,1,0,2,0,165,0
57,Sven Botman,nl  NED,DF,Newcastle Utd,23-030,2000,17.7,1045,182,614,387,48,32,1045,0,0,,0,,578,2617,1351,5,4,2,5,0,672,3
58,Jarrod Bowen,eng  ENG,"FW,MF",West Ham,26-053,1996,20.9,772,13,102,274,400,88,770,52,12,23.1,27,51.9,427,3157,1070,47,25,27,43,32,476,126
59,James Bree,eng  ENG,DF,Southampton,25-123,1997,1.0,55,4,17,20,18,1,55,2,1,50.0,1,50.0,26,110,46,1,2,0,0,1,25,2
60,Armando Broja,al  ALB,FW,Chelsea,21-154,2001,3.3,110,2,7,41,63,16,110,14,7,50.0,5,35.7,53,383,188,7,1,4,15,9,71,17
61,Lewis Brunt,eng  ENG,DF,Leicester City,22-097,2000,0.3,23,1,8,12,3,0,23,0,0,,0,,9,30,4,0,0,0,0,0,13,2
62,Bryan,es  ESP,"MF,FW",Tottenham,22-000,2001,1.6,80,1,13,30,37,2,80,5,2,40.0,3,60.0,55,337,145,4,3,0,5,3,61,15
63,Emi Buendía,ar  ARG,"MF,FW",Aston Villa,26-048,1996,13.6,741,15,109,347,291,47,741,27,10,37.0,13,48.1,454,2119,1020,29,23,14,31,26,527,76
64,Hugo Bueno,es  ESP,DF,Wolves,20-146,2002,9.1,514,35,215,143,160,11,514,20,6,30.0,11,55.0,240,1813,988,34,22,4,11,6,274,43
65,Facundo Buonanotte,ar  ARG,"MF,FW",Brighton,18-050,2004,0.2,8,0,1,2,6,0,8,0,0,,0,,7,35,23,1,1,0,0,1,8,0
66,Dan Burn,eng  ENG,DF,Newcastle Utd,30-278,1992,19.6,1173,102,479,508,192,36,1173,11,4,36.4,7,63.6,523,2519,1360,15,13,1,9,4,646,22
67,Cafú,pt  POR,MF,Nott'ham Forest,29-350,1993,0.1,3,1,2,1,0,0,3,0,0,,0,,2,12,7,0,0,0,0,0,1,0
68,Moisés Caicedo,ec  ECU,MF,Brighton,21-101,2001,18.2,1284,51,297,724,282,16,1284,18,7,38.9,11,61.1,745,3193,1441,15,16,4,21,15,928,30
69,Tom Cairney,sct  SCO,MF,Fulham,32-022,1991,5.2,466,2,71,220,184,18,466,11,5,45.5,4,36.4,300,1649,821,21,18,6,13,10,354,26
70,Duje Ćaleta-Car,hr  CRO,DF,Southampton,26-147,1996,8.0,500,93,301,189,12,7,500,0,0,,0,,273,1376,693,2,1,0,1,0,311,0
71,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,8.1,225,6,17,99,115,36,225,18,10,55.6,6,33.3,115,610,223,11,5,8,24,11,176,30
72,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,0.8,47,1,6,19,23,5,47,4,2,50.0,2,50.0,39,303,70,2,6,1,3,6,36,10
73,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,14.2,1363,20,225,686,461,47,1363,58,28,48.3,23,39.7,837,4842,2791,71,39,21,18,14,1020,125
74,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,0.3,8,0,0,2,6,4,8,1,0,0.0,0,0.0,6,34,7,1,0,0,0,0,7,2
75,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,0.9,57,1,13,25,20,2,57,6,4,66.7,2,33.3,29,206,111,4,2,0,0,0,36,7
76,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2.0,140,8,49,85,9,4,140,0,0,,0,,92,284,150,0,2,0,2,0,100,0
77,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,3.7,183,2,31,69,86,26,183,5,2,40.0,2,40.0,115,517,212,7,8,2,10,15,136,24
78,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,13.7,1054,63,316,567,181,14,1054,12,4,33.3,5,41.7,503,1675,755,8,11,0,14,10,667,23
79,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,13.2,807,40,224,373,216,9,807,16,8,50.0,3,18.8,408,2115,1287,34,25,3,16,4,456,49
80,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,19.2,1265,71,441,517,310,32,1265,13,4,30.8,7,53.8,583,2294,1152,24,14,2,18,12,765,98
81,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,11.3,853,40,294,372,197,12,853,28,13,46.4,12,42.9,437,2225,1276,22,14,3,10,12,525,37
82,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,1.5,52,0,1,21,31,8,52,5,2,40.0,2,40.0,36,274,199,6,6,4,6,5,39,8
83,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,0.1,11,4,5,3,3,1,11,0,0,,0,,6,16,8,0,1,0,1,1,8,0
84,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,10.8,743,76,379,318,48,9,743,4,2,50.0,1,25.0,447,1626,847,8,4,0,5,4,510,8
85,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,1.2,94,11,52,37,7,0,94,0,0,,0,,67,345,238,2,0,0,1,0,63,0
86,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,4.7,368,5,88,153,128,7,368,6,2,33.3,4,66.7,187,1091,559,13,10,2,8,8,234,37
87,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,11.5,512,21,108,240,171,30,512,42,17,40.5,21,50.0,306,1867,834,21,16,5,25,24,322,37
88,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,2.2,129,4,29,45,57,11,129,7,2,28.6,5,71.4,75,596,424,13,3,0,8,3,80,13
89,Bobby Clark,eng  ENG,MF,Liverpool,18-004,2005,0.1,7,0,0,0,7,1,7,1,0,0.0,1,100.0,3,3,0,0,0,0,2,0,3,2
90,Nathaniel Clyne,eng  ENG,DF,Crystal Palace,31-312,1991,12.4,727,32,228,354,148,3,727,8,3,37.5,4,50.0,322,1328,713,12,10,1,8,1,392,20
91,Conor Coady,eng  ENG,DF,Everton,29-351,1993,18.9,1135,202,671,447,25,9,1135,3,0,0.0,2,66.7,725,3444,2034,4,4,0,6,2,815,1
92,Jack Colback,eng  ENG,MF,Nott'ham Forest,33-110,1989,3.1,100,10,42,50,10,0,100,0,0,,0,,28,198,110,4,4,0,4,1,40,3
93,Séamus Coleman,ie  IRL,DF,Everton,34-123,1988,9.5,513,44,191,206,122,8,513,16,6,37.5,7,43.8,238,1109,503,8,6,1,19,5,273,18
94,Nathan Collins,ie  IRL,DF,Wolves,21-287,2001,16.4,1079,168,641,412,32,9,1079,7,6,85.7,0,0.0,592,2938,1549,9,8,2,9,5,742,3
95,Levi Colwill,eng  ENG,DF,Brighton,19-350,2003,5.1,453,49,240,200,15,1,453,0,0,,0,,297,1667,1040,6,2,0,1,1,325,1
96,Lewis Cook,eng  ENG,MF,Bournemouth,26-008,1997,16.5,798,54,240,412,157,8,798,16,6,37.5,8,50.0,358,1888,741,9,15,1,13,14,434,8
97,Steve Cook,eng  ENG,DF,Nott'ham Forest,31-298,1991,10.6,559,100,321,220,19,10,559,1,1,100.0,0,0.0,284,1293,577,1,3,0,3,2,350,0
98,Liam Cooper,sct  SCO,DF,Leeds United,31-165,1991,12.3,743,80,387,333,29,18,743,3,1,33.3,0,0.0,356,1615,688,1,2,0,8,1,393,1
99,Maxwel Cornet,ci  CIV,FW,West Ham,26-137,1996,1.0,42,0,6,9,27,4,42,0,0,,0,,24,90,31,2,0,1,3,2,32,15
100,Diego Costa,es  ESP,FW,Wolves,34-127,1988,6.8,141,6,16,54,73,34,141,3,2,66.7,1,33.3,75,421,165,8,2,7,11,6,102,31
101,Vladimír Coufal,cz  CZE,DF,West Ham,30-173,1992,13.3,823,53,245,324,255,10,823,8,0,0.0,3,37.5,315,1924,1040,34,25,0,13,7,406,60
102,Philippe Coutinho,br  BRA,"MF,FW",Aston Villa,30-244,1992,7.9,458,2,26,234,204,22,458,30,12,40.0,14,46.7,288,1644,700,17,26,4,21,14,343,64
103,Conor Coventry,ie  IRL,"MF,FW",West Ham,22-323,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
104,Aaron Cresswell,eng  ENG,DF,West Ham,33-058,1989,17.0,1204,63,370,516,321,8,1204,6,2,33.3,3,50.0,570,2577,1265,27,21,1,4,6,736,69
105,Marc Cucurella,es  ESP,DF,Chelsea,24-204,1998,14.2,1165,53,359,514,300,10,1165,13,5,38.5,6,46.2,591,2377,1290,20,12,1,14,5,706,54
106,Matheus Cunha,br  BRA,FW,Wolves,23-260,1999,2.1,82,3,22,32,30,7,82,7,3,42.9,2,28.6,34,226,85,3,0,0,10,3,41,9
107,Patson Daka,zm  ZAM,FW,Leicester City,24-125,1998,7.8,244,11,23,93,130,36,244,9,4,44.4,4,44.4,113,649,291,11,6,6,30,8,162,48
108,Diogo Dalot,pt  POR,DF,Manchester Utd,23-330,1999,14.1,976,71,337,398,247,27,976,23,13,56.5,6,26.1,479,2605,1343,34,16,12,14,4,559,54
109,Mikkel Damsgaard,dk  DEN,"MF,FW",Brentford,22-223,2000,3.2,166,1,26,77,64,9,166,7,3,42.9,3,42.9,88,333,144,4,4,1,8,1,94,12
110,Danilo,br  BRA,MF,Nott'ham Forest,21-288,2001,1.0,60,3,19,33,8,0,60,2,2,100.0,0,0.0,31,111,49,0,0,0,4,1,28,0
111,Josh Dasilva,eng  ENG,MF,Brentford,24-111,1998,10.9,519,7,96,237,194,22,519,34,20,58.8,9,26.5,366,2357,1120,42,29,6,16,18,385,37
112,Ben Davies,wls  WAL,DF,Tottenham,29-293,1993,15.0,979,64,357,507,116,13,979,7,1,14.3,5,71.4,585,3250,2065,23,28,1,11,4,702,27
113,Tom Davies,eng  ENG,MF,Everton,24-226,1998,4.6,232,10,58,138,36,10,232,3,1,33.3,2,66.7,106,443,212,2,1,0,11,1,152,7
114,Kevin De Bruyne,be  BEL,MF,Manchester City,31-228,1991,17.8,1220,9,72,458,707,70,1220,33,15,45.5,12,36.4,731,3848,2302,71,50,12,31,23,942,158
115,Siriki Dembélé,ci  CIV,"FW,MF",Bournemouth,26-157,1996,1.2,71,1,10,30,33,3,71,10,6,60.0,3,30.0,47,311,160,5,2,1,9,5,50,11
116,Emmanuel Dennis,ng  NGA,FW,Nott'ham Forest,25-088,1997,4.1,171,0,20,63,92,18,171,23,7,30.4,12,52.2,109,682,328,9,11,4,19,15,123,26
117,Halil Dervişoğlu,tr  TUR,MF,Brentford,23-065,1999,0.1,1,0,0,0,1,0,1,0,0,,0,,2,13,0,0,0,1,0,1,2,0
118,Kiernan Dewsbury-Hall,eng  ENG,MF,Leicester City,24-158,1998,16.1,945,23,157,500,299,33,945,43,20,46.5,17,39.5,542,3069,1558,46,24,11,49,16,673,62
119,Ibrahima Diallo,fr  FRA,MF,Southampton,23-340,1999,7.9,401,13,107,239,64,3,401,11,6,54.5,5,45.5,222,1105,537,5,4,0,15,7,228,6
120,Rúben Dias,pt  POR,DF,Manchester City,25-273,1997,9.7,972,70,365,555,55,14,972,3,3,100.0,0,0.0,581,2889,1617,5,14,1,0,0,762,1
121,Luis Díaz,co  COL,FW,Liverpool,26-029,1997,6.8,338,3,23,147,172,45,338,29,14,48.3,11,37.9,244,1586,624,21,14,12,14,24,284,72
122,Eric Dier,eng  ENG,DF,Tottenham,29-027,1994,20.3,1530,240,896,582,58,19,1530,0,0,,0,,951,4424,2106,5,7,1,9,3,1091,11
123,Lucas Digne,fr  FRA,DF,Aston Villa,29-206,1993,12.3,835,50,276,307,256,20,835,12,0,0.0,8,66.7,424,1737,933,22,7,1,15,10,481,70
124,Issa Diop,fr  FRA,DF,Fulham,26-033,1997,11.7,848,87,378,462,18,8,848,2,2,100.0,0,0.0,542,3609,2313,5,2,0,4,0,588,3
125,Moussa Djenepo,ml  MLI,"DF,FW",Southampton,24-241,1998,6.4,304,13,81,140,87,11,304,30,13,43.3,13,43.3,169,1250,665,23,10,2,12,4,155,32
126,Ben Doak,sct  SCO,FW,Liverpool,17-092,2005,0.3,22,0,4,10,10,2,22,4,0,0.0,4,100.0,16,182,51,1,3,2,1,0,15,4
127,Matt Doherty,ie  IRL,"DF,MF",Tottenham,31-026,1992,7.4,500,27,144,184,172,24,500,12,5,41.7,4,33.3,247,953,443,16,5,2,12,3,306,57
128,Gabriel Dos Santos,br  BRA,DF,Arsenal,25-054,1997,20.0,1461,165,593,783,92,32,1461,1,0,0.0,0,0.0,890,4543,2823,10,16,1,10,3,1000,6
129,Abdoulaye Doucouré,ml  MLI,MF,Everton,30-041,1993,3.5,174,6,42,82,52,11,174,3,2,66.7,1,33.3,97,416,219,2,2,0,3,2,113,6
130,Cheick Doucouré,ml  MLI,MF,Crystal Palace,23-034,2000,17.3,941,52,274,538,139,5,941,13,9,69.2,4,30.8,458,2331,1146,12,18,0,13,16,548,10
131,Flynn Downes,eng  ENG,MF,West Ham,24-022,1999,3.2,144,4,21,95,28,2,144,0,0,,0,,80,304,100,1,2,1,6,3,96,7
132,Cody Drameh,eng  ENG,DF,Leeds United,21-065,2001,0.8,44,1,7,26,11,0,44,1,1,100.0,0,0.0,17,48,10,0,1,0,1,1,23,3
133,Shane Duffy,ie  IRL,"FW,DF",Fulham,31-041,1992,0.1,5,0,2,3,0,0,5,0,0,,0,,1,1,0,0,0,0,1,0,2,0
134,Lewis Dunk,eng  ENG,DF,Brighton,31-082,1991,20.0,1739,234,911,792,40,17,1739,1,1,100.0,0,0.0,1150,5749,2987,11,9,0,7,3,1294,0
135,Jhon Durán,co  COL,FW,Aston Villa,19-060,2003,0.1,6,0,0,5,2,1,6,1,1,100.0,0,0.0,4,29,25,1,1,0,1,0,4,3
136,Malcolm Ebiowei,eng  ENG,"MF,FW",Crystal Palace,19-160,2003,0.4,21,0,1,8,12,2,21,5,2,40.0,3,60.0,14,107,30,2,1,0,5,0,15,9
137,Ederson,br  BRA,GK,Manchester City,29-178,1993,21.0,794,614,788,8,0,0,794,0,0,,0,,532,2454,1542,0,0,0,0,0,505,0
138,Odsonne Édouard,fr  FRA,"FW,MF",Crystal Palace,25-026,1998,11.9,430,17,48,209,177,54,430,25,7,28.0,17,68.0,220,1080,474,20,17,14,35,34,306,55
139,Samuel Edozie,eng  ENG,"FW,MF",Southampton,20-014,2003,5.9,254,4,46,76,136,29,254,34,10,29.4,15,44.1,169,1419,672,22,20,10,22,9,170,34
140,Anthony Elanga,se  SWE,FW,Manchester Utd,20-290,2002,4.4,181,4,25,62,94,25,181,12,3,25.0,6,50.0,101,578,215,10,3,5,11,7,129,25
141,Harvey Elliott,eng  ENG,"MF,FW",Liverpool,19-313,2003,12.6,806,8,99,361,353,34,806,34,15,44.1,12,35.3,519,2757,1379,40,34,8,19,15,600,92
142,Mohamed Elneny,eg  EGY,MF,Arsenal,30-215,1992,1.3,63,2,11,42,11,0,63,0,0,,0,,38,134,37,1,0,0,0,0,49,1
143,Mohamed Elyounoussi,no  NOR,"MF,FW",Southampton,28-191,1994,15.6,628,34,124,259,250,42,628,21,11,52.4,10,47.6,325,2012,895,32,22,8,26,25,352,71
144,Emerson,br  BRA,DF,Tottenham,24-028,1999,13.1,876,66,315,304,262,34,876,19,10,52.6,3,15.8,426,2214,1292,33,20,6,15,12,509,81
145,Christian Eriksen,dk  DEN,MF,Manchester Utd,30-362,1992,16.5,1150,37,210,629,312,22,1150,8,2,25.0,6,75.0,661,2565,1262,16,18,1,19,14,831,42
146,Pervis Estupiñán,ec  ECU,DF,Brighton,25-021,1998,13.0,986,42,260,456,276,25,986,13,1,7.7,10,76.9,577,2682,1519,42,24,7,14,14,644,86
147,Jonny Evans,nir  NIR,DF,Leicester City,35-039,1988,9.0,753,95,367,379,8,2,753,0,0,,0,,455,1875,1055,6,4,0,2,0,551,0
148,Eberechi Eze,eng  ENG,"MF,FW",Crystal Palace,24-227,1998,17.0,884,9,144,445,318,38,884,64,33,51.6,25,39.1,511,2964,1431,39,35,17,39,30,574,65
149,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,19.8,582,516,580,2,0,0,582,0,0,,0,,309,2032,1360,0,0,0,1,0,221,0
150,Fabinho,br  BRA,MF,Liverpool,29-111,1993,13.9,1032,43,227,646,159,9,1032,3,1,33.3,2,66.7,563,2366,989,7,16,0,12,6,715,17
151,Wout Faes,be  BEL,DF,Leicester City,24-314,1998,15.0,1210,189,673,524,18,7,1210,5,3,60.0,2,40.0,696,3487,1897,4,1,0,9,3,849,1
152,João Félix,pt  POR,FW,Chelsea,23-093,1999,0.6,35,0,2,20,14,5,35,4,2,50.0,1,25.0,19,130,98,5,2,2,2,0,29,10
153,Evan Ferguson,ie  IRL,FW,Brighton,18-115,2004,2.2,67,0,2,36,30,11,67,3,1,33.3,2,66.7,29,129,65,1,1,0,2,5,45,10
154,Bruno Fernandes,pt  POR,"MF,FW",Manchester Utd,28-156,1994,21.0,1297,46,207,517,584,73,1296,31,12,38.7,15,48.4,719,3333,1663,41,38,7,23,30,879,117
