,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
17,Ricky Álvarez,ar  ARG,"MF,FW",Sampdoria,27,1988,13,9,806,9.0,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22
18,Amauri,it  ITA,FW,Torino,35,1980,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
19,Felipe Anderson,br  BRA,"FW,MF",Lazio,22,1993,35,21,2071,23.0,7,4,7,0,0,2,0,0.30,0.17,0.48,0.30,0.48
20,Ionuț Andrei Radu,ro  ROU,GK,Inter,,,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
21,Cristian Ansaldi,ar  ARG,"MF,DF",Genoa,28,1986,24,23,2010,22.3,0,4,0,0,0,4,0,0.00,0.18,0.18,0.00,0.18
22,Luca Antei,it  ITA,DF,Sassuolo,23,1992,5,4,341,3.8,0,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26
23,Luca Antonelli,it  ITA,DF,Milan,28,1987,28,25,2338,26.0,3,1,3,0,0,2,0,0.12,0.04,0.15,0.12,0.15
24,Siniša Anđelković,si  SVN,DF,Palermo,29,1986,23,21,1908,21.2,0,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05
25,Pablo Armero,co  COL,MF,Udinese,28,1986,5,5,417,4.6,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22
26,Kwadwo Asamoah,gh  GHA,MF,Juventus,26,1988,11,6,569,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16
27,Davide Astori,it  ITA,DF,Fiorentina,28,1987,33,32,2901,32.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
28,Danilo Avelar,br  BRA,MF,Torino,26,1989,6,4,344,3.8,0,2,0,0,0,1,0,0.00,0.52,0.52,0.00,0.52
29,Khouma Babacar,sn  SEN,FW,Fiorentina,22,1993,18,11,802,8.9,5,1,4,1,1,2,0,0.56,0.11,0.67,0.45,0.56
30,Carlos Bacca,co  COL,FW,Milan,28,1986,38,36,3156,35.1,18,2,16,2,2,2,0,0.51,0.06,0.57,0.46,0.51
31,Milan Badelj,hr  CRO,MF,Fiorentina,26,1989,27,25,2129,23.7,1,1,1,0,0,8,1,0.04,0.04,0.08,0.04,0.08
32,Keita Baldé,sn  SEN,FW,Lazio,20,1995,31,15,1777,19.7,4,2,4,0,0,5,0,0.20,0.10,0.30,0.20,0.30
33,Norbert Balogh,hu  HUN,FW,Palermo,19,1996,4,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
34,Mario Balotelli,it  ITA,FW,Milan,24,1990,20,8,837,9.3,1,1,1,0,1,6,0,0.11,0.11,0.22,0.11,0.22
35,Federico Barba,it  ITA,DF,Empoli,21,1993,10,10,889,9.9,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
36,Francesco Bardi,it  ITA,GK,Frosinone,23,1992,2,2,119,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
37,Édgar Barreto,py  PAR,MF,Sampdoria,31,1984,30,26,2162,24.0,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04
38,Andrea Barzagli,it  ITA,DF,Juventus,34,1981,31,31,2737,30.4,1,0,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03
39,Daniele Baselli,it  ITA,MF,Torino,23,1992,35,25,2264,25.2,4,3,4,0,0,6,0,0.16,0.12,0.28,0.16,0.28
40,Davide Bassi,it  ITA,GK,Atalanta,30,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
41,Dušan Basta,rs  SRB,DF,Lazio,30,1984,23,21,1815,20.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
42,Vid Belec,si  SVN,GK,Carpi,25,1990,30,30,2700,30.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
43,Gianpaolo Bellini,it  ITA,DF,Atalanta,35,1980,15,11,946,10.5,1,0,0,1,1,4,0,0.10,0.00,0.10,0.00,0.00
44,Andrea Belotti,it  ITA,FW,Torino,21,1993,35,31,2588,28.8,12,4,8,4,4,4,0,0.42,0.14,0.56,0.28,0.42
45,Marco Benassi,it  ITA,MF,Torino,20,1994,32,21,1910,21.2,3,2,3,0,0,7,0,0.14,0.09,0.24,0.14,0.24
46,Accursio Bentivegna,it  ITA,FW,Palermo,19,1996,1,0,11,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
47,Francesco Benussi,it  ITA,GK,Carpi,33,1981,4,4,298,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
48,Domenico Berardi,it  ITA,FW,Sassuolo,20,1994,29,26,2167,24.1,7,6,4,3,4,10,1,0.29,0.25,0.54,0.17,0.42
49,Etrit Berisha,al  ALB,GK,Lazio,26,1989,11,9,873,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
50,Federico Bernardeschi,it  ITA,MF,Fiorentina,21,1994,33,25,2272,25.2,2,4,2,0,0,6,0,0.08,0.16,0.24,0.08,0.24
51,Andrea Bertolacci,it  ITA,MF,Milan,24,1991,27,21,1805,20.1,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10
52,Davide Bertoncini,it  ITA,DF,Frosinone,24,1991,5,4,365,4.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
53,Jonathan Biabiany,fr  FRA,"MF,FW",Inter,27,1988,20,7,872,9.7,1,2,1,0,0,3,0,0.10,0.21,0.31,0.10,0.31
54,Matteo Bianchetti,it  ITA,DF,Hellas Verona,22,1993,23,17,1587,17.6,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06
55,Raffaele Bianco,it  ITA,MF,Carpi,27,1987,26,21,1852,20.6,1,3,1,0,0,6,1,0.05,0.15,0.19,0.05,0.19
56,Lucas Biglia,ar  ARG,MF,Lazio,29,1986,27,26,2296,25.5,4,3,2,2,2,10,1,0.16,0.12,0.27,0.08,0.20
57,Davide Biondini,it  ITA,MF,Sassuolo,32,1983,22,12,1103,12.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
58,Valter Birsa,si  SVN,"MF,FW",Chievo,28,1986,35,32,2365,26.3,6,7,4,2,3,4,0,0.23,0.27,0.49,0.15,0.42
59,Milan Biševac,rs  SRB,DF,Lazio,31,1983,11,11,907,10.1,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10
60,Luca Bittante,it  ITA,DF,Empoli,21,1993,16,3,526,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
61,Albano Bizzarri,ar  ARG,GK,Chievo,37,1977,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
62,Leonardo Blanchard,it  ITA,DF,Frosinone,27,1988,28,27,2452,27.2,3,1,3,0,0,13,1,0.11,0.04,0.15,0.11,0.15
63,Kevin-Prince Boateng,gh  GHA,MF,Milan,28,1987,11,1,200,2.2,1,0,1,0,0,1,0,0.45,0.00,0.45,0.45,0.45
64,Giacomo Bonaventura,it  ITA,"MF,FW",Milan,25,1989,33,31,2840,31.6,6,8,6,0,0,8,0,0.19,0.25,0.44,0.19,0.44
65,Federico Bonazzoli,it  ITA,FW,Sampdoria,18,1997,4,0,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
66,Leonardo Bonucci,it  ITA,DF,Juventus,28,1987,36,35,3156,35.1,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11
67,Cesare Bovo,it  ITA,DF,Torino,32,1983,21,20,1789,19.9,2,0,2,0,0,10,0,0.10,0.00,0.10,0.10,0.10
68,Edson Braafheid,nl  NED,DF,Lazio,32,1983,5,3,336,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
69,Franco Brienza,it  ITA,"MF,FW",Bologna,36,1979,29,16,1686,18.7,3,3,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32
70,Matteo Brighi,it  ITA,MF,Bologna,34,1981,23,14,1466,16.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
71,Alberto Brignoli,it  ITA,GK,Sampdoria,23,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
72,Davide Brivio,it  ITA,"DF,MF",Atalanta,27,1988,14,10,1011,11.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
73,Željko Brkić,rs  SRB,GK,Carpi,29,1986,4,3,332,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
74,Marcelo Brozović,hr  CRO,MF,Inter,22,1992,32,25,2390,26.6,4,5,4,0,0,7,0,0.15,0.19,0.34,0.15,0.34
75,Gastón Brugman,uy  URU,"MF,FW",Palermo,22,1992,14,10,968,10.8,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
76,Igor Bubnjić,hr  CRO,DF,Carpi,23,1992,9,8,722,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
77,Marcel Büchel,li  LIE,MF,Empoli,24,1991,28,18,1578,17.5,2,1,2,0,0,10,0,0.11,0.06,0.17,0.11,0.17
78,Gianluigi Buffon,it  ITA,GK,Juventus,37,1978,35,35,3150,35.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
79,Nicolás Burdisso,ar  ARG,DF,Genoa,34,1981,28,28,2446,27.2,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
80,Jakub Błaszczykowski,pl  POL,"MF,FW",Fiorentina,29,1985,15,9,761,8.5,2,1,2,0,0,1,0,0.24,0.12,0.35,0.24,0.35
81,Fabrizio Cacciatore,it  ITA,DF,Chievo,28,1986,29,25,2313,25.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16
82,Martín Cáceres,uy  URU,DF,Juventus,28,1987,6,5,448,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
83,Davide Calabria,it  ITA,DF,Milan,18,1996,6,3,372,4.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
84,José Callejón,es  ESP,FW,Napoli,28,1987,38,35,2813,31.3,7,7,7,0,0,4,0,0.22,0.22,0.45,0.22,0.45
85,Michele Camporese,it  ITA,DF,Empoli,23,1992,2,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
86,Antonio Candreva,it  ITA,"FW,MF",Lazio,28,1987,30,28,2187,24.3,10,3,4,6,8,4,0,0.41,0.12,0.53,0.16,0.29
87,Paolo Cannavaro,it  ITA,DF,Sassuolo,34,1981,31,30,2643,29.4,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03
88,Diego Capel,es  ESP,"FW,MF",Genoa,27,1988,21,5,716,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
89,Carlos Carbonero,co  COL,"FW,MF",Sampdoria,25,1990,14,11,1033,11.5,0,3,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26
90,Massimiliano Carlini,it  ITA,"MF,FW",Frosinone,28,1986,14,2,385,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
91,Carlos Carmona,cl  CHI,MF,Atalanta,28,1987,8,5,471,5.2,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
92,Mattia Cassani,it  ITA,DF,Sampdoria,31,1983,25,23,2032,22.6,0,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04
93,Antonio Cassano,it  ITA,"FW,MF",Sampdoria,33,1982,24,14,1213,13.5,2,5,2,0,0,1,0,0.15,0.37,0.52,0.15,0.52
94,Leandro Castán,br  BRA,DF,Roma,28,1986,5,4,380,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
95,Nicolás Castillo,cl  CHI,FW,Frosinone,22,1993,6,3,308,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
96,Lucas Castro,ar  ARG,MF,Chievo,26,1989,34,32,2785,30.9,3,1,3,0,0,9,0,0.10,0.03,0.13,0.10,0.13
97,Danilo Cataldi,it  ITA,MF,Lazio,20,1994,20,16,1346,15.0,1,3,1,0,0,9,1,0.07,0.20,0.27,0.07,0.27
98,Boštjan Cesar,si  SVN,DF,Chievo,33,1982,31,30,2717,30.2,1,0,1,0,0,10,1,0.03,0.00,0.03,0.03,0.03
99,Nathaniel Chalobah,eng  ENG,"DF,MF",Napoli,20,1994,5,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
100,Luca Checchin,it  ITA,MF,Hellas Verona,18,1997,4,1,100,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
101,Nicolò Cherubin,it  ITA,DF,Atalanta,28,1986,14,10,1031,11.5,1,0,1,0,0,1,1,0.09,0.00,0.09,0.09,0.09
102,Raman Chibsah,gh  GHA,MF,Frosinone,22,1993,22,14,1159,12.9,0,2,0,0,0,2,1,0.00,0.16,0.16,0.00,0.16
103,Giorgio Chiellini,it  ITA,DF,Juventus,30,1984,24,21,1787,19.9,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05
104,Vlad Chiricheș,ro  ROU,DF,Napoli,25,1989,8,8,697,7.7,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13
105,Ivaylo Chochev,bg  BUL,MF,Palermo,22,1993,27,21,1744,19.4,0,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10
106,Lazaros Christodoulopoulos,gr  GRE,"MF,FW",Sampdoria,28,1986,10,3,354,3.9,1,0,1,0,0,3,0,0.25,0.00,0.25,0.25,0.25
107,Luca Cigarini,it  ITA,MF,Atalanta,29,1986,25,21,1820,20.2,2,2,1,1,1,10,0,0.10,0.10,0.20,0.05,0.15
108,Daniel Ciofani,it  ITA,FW,Frosinone,30,1985,37,33,2908,32.3,9,1,7,2,2,1,0,0.28,0.03,0.31,0.22,0.25
109,Matteo Ciofani,it  ITA,DF,Frosinone,27,1988,17,14,1282,14.2,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07
110,Thiago Cionek,pl  POL,DF,Palermo,29,1986,5,5,450,5.0,0,1,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20
111,Issa Cissokho,sn  SEN,MF,Genoa,30,1985,13,6,646,7.2,0,1,0,0,0,1,1,0.00,0.14,0.14,0.00,0.14
112,Andrea Coda,it  ITA,DF,Sampdoria,30,1985,4,2,123,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
113,Isaac Cofie,gh  GHA,MF,Carpi,23,1991,29,26,2149,23.9,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04
114,Kingsley Coman,fr  FRA,FW,Juventus,19,1996,1,1,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
115,Andrea Consigli,it  ITA,GK,Sassuolo,28,1987,37,37,3270,36.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
116,Kévin Constant,gn  GUI,DF,Bologna,28,1987,7,3,281,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
117,Andrea Conti,it  ITA,"MF,DF",Atalanta,21,1994,14,10,814,9.0,2,1,2,0,0,2,1,0.22,0.11,0.33,0.22,0.33
118,Ferdinando Coppola,it  ITA,GK,Hellas Verona,37,1978,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
119,Joaquín Correa,ar  ARG,"MF,FW",Sampdoria,20,1994,25,14,1311,14.6,3,1,3,0,0,6,1,0.21,0.07,0.27,0.21,0.27
120,Uroš Ćosić,rs  SRB,DF,Empoli,22,1992,9,9,810,9.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
121,Angelo da Costa Júnior,br  BRA,GK,Bologna,31,1983,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
122,Andrea Costa,it  ITA,DF,Empoli,29,1986,24,23,2081,23.1,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04
123,Filippo Costa,it  ITA,"DF,MF",Chievo,20,1995,6,0,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
124,Lorenzo Crisetig,it  ITA,MF,Bologna,22,1993,5,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
125,Bryan Cristante,it  ITA,MF,Palermo,20,1995,4,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
126,Roberto Crivello,it  ITA,DF,Frosinone,23,1991,17,16,1439,16.0,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06
127,Daniele Croce,it  ITA,MF,Empoli,32,1982,28,19,1789,19.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
128,Juan Cuadrado,co  COL,"MF,FW",Juventus,27,1988,28,16,1724,19.2,4,5,4,0,0,2,0,0.21,0.26,0.47,0.21,0.47
129,Marco D'Alessandro,it  ITA,"FW,MF",Atalanta,24,1991,23,11,1152,12.8,3,2,3,0,0,3,0,0.23,0.16,0.39,0.23,0.39
130,Danilo D'Ambrosio,it  ITA,"DF,MF",Inter,26,1988,20,18,1616,18.0,2,0,2,0,0,4,1,0.11,0.00,0.11,0.11,0.11
131,Dario Dainelli,it  ITA,DF,Chievo,36,1979,18,15,1378,15.3,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07
132,Felipe dal Belo,br  BRA,DF,Udinese,31,1984,26,26,2139,23.8,1,1,1,0,0,11,1,0.04,0.04,0.08,0.04,0.08
133,Sebastien De Maio,fr  FRA,DF,Genoa,28,1987,28,25,2234,24.8,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08
134,Daniele De Rossi,it  ITA,"MF,DF",Roma,32,1983,24,23,1905,21.2,1,2,1,0,0,9,0,0.05,0.09,0.14,0.05,0.14
135,Morgan De Sanctis,it  ITA,GK,Roma,38,1977,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
136,Mattia De Sciglio,it  ITA,DF,Milan,22,1992,22,21,1840,20.4,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
137,Lorenzo De Silvestri,it  ITA,"MF,DF",Sampdoria,27,1988,17,17,1392,15.5,1,2,1,0,0,4,0,0.06,0.13,0.19,0.06,0.19
138,Grégoire Defrel,mq  MTQ,FW,Sassuolo,24,1991,33,24,2050,22.8,7,3,7,0,0,3,1,0.31,0.13,0.44,0.31,0.44
139,Fabio Della Giovanna,it  ITA,DF,Inter,18,1997,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
140,Germán Denis,ar  ARG,FW,Atalanta,33,1981,15,12,974,10.8,4,1,3,1,2,0,0,0.37,0.09,0.46,0.28,0.37
141,Mattia Destro,it  ITA,FW,Bologna,24,1991,27,25,2132,23.7,8,3,6,2,3,9,0,0.34,0.13,0.46,0.25,0.38
142,Antonio Di Gaudio,it  ITA,"MF,FW",Carpi,25,1989,29,16,1505,16.7,3,3,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36
143,Lorenzo Di Livio,it  ITA,MF,Roma,18,1997,1,0,21,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
144,Antonio Di Natale,it  ITA,FW,Udinese,37,1977,23,12,1148,12.8,2,4,1,1,1,0,0,0.16,0.31,0.47,0.08,0.39
145,Alessandro Diamanti,it  ITA,"FW,MF",Atalanta,32,1983,16,9,857,9.5,1,1,1,0,0,4,0,0.11,0.11,0.21,0.11,0.21
146,Amadou Diawara,gn  GUI,MF,Bologna,18,1997,34,31,2731,30.3,0,1,0,0,0,11,2,0.00,0.03,0.03,0.00,0.03
147,Lucas Digne,fr  FRA,DF,Roma,22,1993,33,32,2857,31.7,3,3,3,0,0,4,0,0.09,0.09,0.19,0.09,0.19
148,Federico Dionisi,it  ITA,FW,Frosinone,28,1987,32,28,2443,27.1,9,4,8,1,1,11,1,0.33,0.15,0.48,0.29,0.44
149,Assane Dioussé,sn  SEN,MF,Empoli,17,1997,15,9,864,9.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
150,Berat Djimsiti,al  ALB,DF,Atalanta,22,1993,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
151,Dodô,br  BRA,"MF,DF",Sampdoria,23,1992,17,16,1420,15.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06
152,Maurizio Domizzi,it  ITA,DF,Udinese,35,1980,5,3,272,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
153,Gianluigi Donnarumma,it  ITA,GK,Milan,16,1999,30,30,2628,29.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
154,Godfred Donsah,gh  GHA,MF,Bologna,19,1996,20,18,1344,14.9,2,2,2,0,0,2,0,0.13,0.13,0.27,0.13,0.27
155,Boukary Dramé,sn  SEN,"DF,MF",Atalanta,30,1985,25,25,2050,22.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
156,Alfred Duncan,gh  GHA,MF,Sassuolo,22,1993,33,27,2488,27.6,1,5,1,0,0,5,0,0.04,0.18,0.22,0.04,0.22
157,Paulo Dybala,ar  ARG,FW,Juventus,21,1993,34,29,2443,27.1,19,9,13,6,6,1,0,0.70,0.33,1.03,0.48,0.81
158,Edin Džeko,ba  BIH,FW,Roma,29,1986,31,21,1959,21.8,8,6,6,2,2,4,1,0.37,0.28,0.64,0.28,0.55
159,Blerim Džemaili,ch  SUI,MF,Genoa,29,1986,27,22,1780,19.8,3,2,3,0,0,7,1,0.15,0.10,0.25,0.15,0.25
160,Edenílson,br  BRA,MF,Udinese,25,1989,29,26,2204,24.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
161,Simone Edera,it  ITA,MF,Torino,18,1997,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
162,Rodrigo Ely,br  BRA,DF,Milan,21,1993,3,2,172,1.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
163,Urby Emanuelson,nl  NED,"MF,DF",Hellas Verona,29,1986,11,6,623,6.9,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14
164,Marcelo Estigarribia,py  PAR,"DF,MF",Atalanta,27,1987,4,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
165,Patrice Evra,fr  FRA,"MF,DF",Juventus,34,1981,26,24,2044,22.7,2,3,2,0,0,6,1,0.09,0.13,0.22,0.09,0.22
166,Diego Falcinelli,it  ITA,FW,Sassuolo,24,1991,26,11,1117,12.4,2,1,1,1,1,1,0,0.16,0.08,0.24,0.08,0.16
167,Filippo Falco,it  ITA,FW,Bologna,23,1992,9,1,222,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
168,Iago Falque,es  ESP,"FW,MF",Roma,25,1990,22,13,1167,13.0,2,2,2,0,0,1,0,0.15,0.15,0.31,0.15,0.31
169,Mohamed Fares,dz  ALG,"DF,MF",Hellas Verona,19,1996,11,7,545,6.1,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17
170,Alexander Farnerud,se  SWE,MF,Torino,31,1984,5,0,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
171,Andrea Favilli,it  ITA,FW,Juventus,18,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
172,Matteo Fedele,ch  SUI,MF,Carpi,23,1992,8,8,564,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
173,Bruno Fernandes,pt  POR,"MF,FW",Udinese,20,1994,31,24,2110,23.4,3,4,2,1,1,8,1,0.13,0.17,0.30,0.09,0.26
174,Matías Fernández,cl  CHI,MF,Fiorentina,29,1986,22,11,1079,12.0,1,3,1,0,0,4,1,0.08,0.25,0.33,0.08,0.33
175,Fernando,br  BRA,MF,Sampdoria,23,1992,35,34,2981,33.1,4,2,4,0,0,14,0,0.12,0.06,0.18,0.12,0.18
176,Alex Ferrari,it  ITA,DF,Bologna,21,1994,21,13,1258,14.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
