,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
477,Nenad Tomović,rs  SRB,DF,Fiorentina,27,1987,18.6,0,,3,,,0.16,,0.00,,0,0
478,Lorenzo Tonelli,it  ITA,DF,Empoli,25,1990,25.4,2,,3,,,0.12,,0.67,,0,0
479,Aleksandar Tonev,bg  BUL,"MF,FW",Frosinone,25,1990,12.1,0,,8,,,0.66,,0.00,,0,0
480,Luca Toni,it  ITA,FW,Hellas Verona,38,1977,19.7,6,,26,,,1.32,,0.12,,3,3
481,Vasilis Torosidis,gr  GRE,DF,Roma,30,1985,6.4,0,,0,,,0.00,,,,0,0
482,Francesco Totti,it  ITA,"MF,FW",Roma,38,1976,4.4,5,,10,,,2.28,,0.40,,1,1
483,Aleksandar Trajkovski,mk  MKD,"FW,MF",Palermo,22,1992,18.4,3,,16,,,0.87,,0.19,,0,0
484,Marcello Trotta,it  ITA,FW,Sassuolo,22,1992,2.2,1,,4,,,1.80,,0.25,,0,0
485,Marco Tumminello,it  ITA,FW,Roma,16,1998,0.0,0,,0,,,0.00,,,,0,0
486,Salih Uçan,tr  TUR,MF,Roma,21,1994,0.5,0,,0,,,0.00,,,,0,0
487,William Vainqueur,fr  FRA,MF,Roma,26,1988,6.7,0,,2,,,0.30,,0.00,,0,0
488,Mirko Valdifiori,it  ITA,MF,Napoli,29,1986,5.0,0,,0,,,0.00,,,,0,0
489,Borja Valero,es  ESP,MF,Fiorentina,30,1985,34.4,4,,14,,,0.41,,0.29,,0,0
490,Franco Vázquez,ar  ARG,"FW,MF",Palermo,26,1989,35.3,8,,24,,,0.68,,0.29,,1,1
491,Matías Vecino,uy  URU,MF,Fiorentina,23,1991,26.6,2,,13,,,0.49,,0.15,,0,0
492,Daniele Verde,it  ITA,FW,Frosinone,19,1996,1.5,0,,2,,,1.37,,0.00,,0,0
493,Simone Verdi,it  ITA,"FW,MF",Carpi,23,1992,3.0,3,,5,,,1.65,,0.20,,2,2
494,Joan Verdú,es  ESP,MF,Fiorentina,32,1983,2.1,1,,1,,,0.49,,1.00,,0,0
495,Roberto Vitiello,it  ITA,DF,Palermo,32,1983,7.8,0,,2,,,0.26,,0.00,,0,0
496,Giuseppe Vives,it  ITA,MF,Torino,35,1980,28.3,1,,8,,,0.28,,0.13,,0,0
497,Federico Viviani,it  ITA,MF,Hellas Verona,23,1992,17.7,3,,9,,,0.51,,0.33,,0,0
498,Emiliano Viviano,it  ITA,GK,Sampdoria,29,1985,37.0,0,,0,,,0.00,,,,0,0
499,Stefan de Vrij,nl  NED,DF,Lazio,23,1992,2.0,0,,0,,,0.00,,,,0,0
500,Šime Vrsaljko,hr  CRO,DF,Sassuolo,23,1992,34.0,0,,1,,,0.03,,0.00,,0,0
501,Molla Wagué,ml  MLI,DF,Udinese,24,1991,18.8,0,,2,,,0.11,,0.00,,0,0
502,Silvan Widmer,ch  SUI,MF,Udinese,22,1993,21.2,0,,8,,,0.38,,0.00,,0,0
503,Kamil Wilczek,pl  POL,FW,Carpi,27,1988,1.3,0,,2,,,1.55,,0.00,,0,0
504,Mattia Zaccagni,it  ITA,"FW,MF",Hellas Verona,20,1995,0.6,0,,0,,,0.00,,,,0,0
505,Cristian Zaccardo,it  ITA,DF,Carpi,33,1981,26.7,1,,9,,,0.34,,0.11,,0,0
506,Marco Zambelli,it  ITA,DF,Empoli,29,1985,13.9,0,,0,,,0.00,,,,0,0
507,Cristián Zapata,co  COL,DF,Milan,28,1986,14.8,1,,1,,,0.07,,1.00,,0,0
508,Duván Zapata,co  COL,FW,Udinese,24,1991,16.9,8,,15,,,0.89,,0.53,,0,0
509,Davide Zappacosta,it  ITA,MF,Torino,23,1992,14.1,1,,1,,,0.07,,1.00,,0,0
510,Massimo Zappino,br  BRA,GK,Frosinone,34,1981,3.7,0,,0,,,0.00,,,,0,0
511,Mauro Zárate,ar  ARG,"MF,FW",Fiorentina,28,1987,7.8,3,,15,,,1.92,,0.20,,0,0
512,Simone Zaza,it  ITA,FW,Juventus,24,1991,7.5,5,,13,,,1.74,,0.38,,0,0
513,Piotr Zieliński,pl  POL,MF,Empoli,21,1994,33.6,5,,22,,,0.65,,0.23,,0,0
514,Franco Zuculini,ar  ARG,MF,Bologna,24,1990,0.2,0,,0,,,0.00,,,,0,0
515,Juan Zúñiga,co  COL,"MF,FW",Bologna,29,1985,5.0,0,,2,,,0.40,,0.00,,0,0
516,Filip Đorđević,rs  SRB,FW,Lazio,27,1987,14.4,3,,9,,,0.63,,0.33,,0,0
517,Uroš Đurđević,me  MNE,FW,Palermo,21,1994,5.3,2,,4,,,0.75,,0.50,,0,0
