,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
56,Lucas Biglia,ar  ARG,MF,Lazio,29,1986,25.5,4,,7,,,0.27,,0.29,,2,2
57,Davide Biondini,it  ITA,MF,Sassuolo,32,1983,12.3,0,,1,,,0.08,,0.00,,0,0
58,Valter Birsa,si  SVN,"MF,FW",Chievo,28,1986,26.3,6,,19,,,0.72,,0.21,,2,3
59,Milan Biševac,rs  SRB,DF,Lazio,31,1983,10.1,1,,1,,,0.10,,1.00,,0,0
60,Luca Bittante,it  ITA,DF,Empoli,21,1993,5.8,0,,1,,,0.17,,0.00,,0,0
61,Albano Bizzarri,ar  ARG,GK,Chievo,37,1977,35.0,0,,0,,,0.00,,,,0,0
62,Leonardo Blanchard,it  ITA,DF,Frosinone,27,1988,27.2,3,,5,,,0.18,,0.60,,0,0
63,Kevin-Prince Boateng,gh  GHA,MF,Milan,28,1987,2.2,1,,2,,,0.90,,0.50,,0,0
64,Giacomo Bonaventura,it  ITA,"MF,FW",Milan,25,1989,31.6,6,,33,,,1.05,,0.18,,0,0
65,Federico Bonazzoli,it  ITA,FW,Sampdoria,18,1997,0.8,0,,1,,,1.23,,0.00,,0,0
66,Leonardo Bonucci,it  ITA,DF,Juventus,28,1987,35.1,3,,8,,,0.23,,0.38,,0,0
67,Cesare Bovo,it  ITA,DF,Torino,32,1983,19.9,2,,3,,,0.15,,0.67,,0,0
68,Edson Braafheid,nl  NED,DF,Lazio,32,1983,3.7,0,,0,,,0.00,,,,0,0
69,Franco Brienza,it  ITA,"MF,FW",Bologna,36,1979,18.7,3,,12,,,0.64,,0.25,,0,0
70,Matteo Brighi,it  ITA,MF,Bologna,34,1981,16.3,0,,3,,,0.18,,0.00,,0,0
