,Player,Varified,Weekly Gross,Annual Gross,Gross Bonus,Expiration,Length,Total Gross,Release Clause,Status,Pos. group,Pos.,Age,Country,Club
10,Jan Oblak,,"€ 400,577","€ 20,830,000",,"Jun 30, 2028",6-yrs,"€ 124,980,000",,Starter,K,GK,29,Slovenia,Atletico Madrid
11,Luka Modric,,"€ 378,654","€ 19,690,000",,"Jun 30, 2023",1-yr,"€ 19,690,000","€ 750,000,000",Starter,M,CM,36,Croatia,Real Madrid
12,Antonio Rüdiger,,"€ 360,577","€ 18,750,000",,"Jun 30, 2026",4-yrs,"€ 75,000,000","€ 400,000,000",Reserve,D,CB,29,Germany,Real Madrid
13,Koke,,"€ 307,692","€ 16,000,000",,"Jun 30, 2024",2-yrs,"€ 32,000,000",,Starter,M,CM,30,Spain,Atletico Madrid
14,João Félix,,"€ 280,385","€ 14,580,000",,"Jun 30, 2026",4-yrs,"€ 58,320,000","€ 350,000,000",Starter,F,SS,22,Portugal,Atletico Madrid
15,Ansu Fati,,"€ 268,269","€ 13,950,000",,"Jun 30, 2027",5-yrs,"€ 69,750,000","€ 1,000,000,000",Reserve,F,LW,19,Spain,Barcelona
16,Jules Koundé,,"€ 260,577","€ 13,550,000",,"Jun 30, 2027",5-yrs,"€ 67,750,000","€ 1,000,000,000",Starter,D,CB,23,France,Barcelona
17,Ivan Rakitic,,"€ 253,846","€ 13,200,000",,"Jun 30, 2024",2-yrs,"€ 26,400,000",,Reserve,M,CM,34,Croatia,Sevilla
18,Antoine Griezmann,,"€ 240,385","€ 12,500,000",,"Jun 30, 2026",4-yrs,"€ 50,000,000",,Starter,F,SS,31,France,Atletico Madrid
19,Raphinha,,"€ 240,385","€ 12,500,000",,"Jun 30, 2027",5-yrs,"€ 62,500,000","€ 1,000,000,000",Reserve,F,RW,25,Brazil,Barcelona
20,Saúl Ñíguez,,"€ 230,769","€ 12,000,000",,"Jun 30, 2026",4-yrs,"€ 48,000,000",,Reserve,M,CM,27,Spain,Atletico Madrid
21,Ousmane Dembélé,,"€ 230,769","€ 12,000,000","€ 3,000,000","Jun 30, 2024",2-yrs,"€ 24,000,000","€ 50,000,000",Starter,F,RW,25,France,Barcelona
22,Thibaut Courtois,,"€ 227,308","€ 11,820,000",,"Jun 30, 2026",4-yrs,"€ 47,280,000","€ 700,000,000",Starter,K,GK,30,Belgium,Real Madrid
23,Dani Parejo,,"€ 208,269","€ 10,830,000",,"Jun 30, 2024",2-yrs,"€ 21,660,000",,Starter,M,CM,33,Spain,Villarreal
24,Memphis Depay,,"€ 200,385","€ 10,420,000",,"Jun 30, 2023",1-yr,"€ 10,420,000","€ 400,000,000",Starter,F,CF,28,Netherlands,Barcelona
25,Ferran Torres,,"€ 192,308","€ 10,000,000","€ 3,000,000","Jun 30, 2027",5-yrs,"€ 50,000,000","€ 1,000,000,000",Reserve,F,LW,22,Spain,Barcelona
26,Marco Asensio,,"€ 189,038","€ 9,830,000",,"Jun 30, 2023",1-yr,"€ 9,830,000","€ 700,000,000",Reserve,F,RW,26,Spain,Real Madrid
27,Álvaro Morata,,"€ 188,462","€ 9,800,000",,"Jun 30, 2024",2-yrs,"€ 19,600,000",,Reserve,F,CF,29,Spain,Atletico Madrid
28,Pedri,,"€ 180,385","€ 9,380,000",,"Jun 30, 2026",4-yrs,"€ 37,520,000","€ 1,000,000,000",Starter,M,CM,19,Spain,Barcelona
29,Ferland Mendy,,"€ 180,385","€ 9,380,000",,"Jun 30, 2025",3-yrs,"€ 28,140,000",,Starter,D,LB,27,France,Real Madrid
30,Daniel Carvajal,,"€ 176,731","€ 9,190,000",,"Jun 30, 2025",3-yrs,"€ 27,570,000","€ 350,000,000",Starter,D,RB,30,Spain,Real Madrid
31,Andreas Christensen,,"€ 173,077","€ 9,000,000","€ 4,000,000","Jun 30, 2026",4-yrs,"€ 36,000,000","€ 500,000,000",Reserve,D,CB,26,Denmark,Barcelona
32,Franck Kessié,,"€ 173,077","€ 9,000,000","€ 4,000,000","Jun 30, 2026",4-yrs,"€ 36,000,000","€ 500,000,000",Reserve,M,CM,25,Cote d'Ivoire,Barcelona
33,Marc-André ter Stegen,,"€ 173,077","€ 9,000,000",,"Jun 30, 2025",3-yrs,"€ 27,000,000","€ 500,000,000",Starter,K,GK,30,Germany,Barcelona
34,Lucas Vázquez,,"€ 162,308","€ 8,440,000",,"Jun 30, 2024",2-yrs,"€ 16,880,000","€ 150,000,000",Reserve,F,RW,31,Spain,Real Madrid
35,Axel Witsel,,"€ 160,192","€ 8,330,000",,"Jun 30, 2023",1-yr,"€ 8,330,000",,Starter,M,DM,33,Belgium,Atletico Madrid
36,Federico Valverde,,"€ 160,192","€ 8,330,000",,"Jun 30, 2027",5-yrs,"€ 41,650,000","€ 1,000,000,000",Starter,M,CM,24,Uruguay,Real Madrid
37,Eduardo Camavinga,,"€ 160,192","€ 8,330,000",,"Jun 30, 2027",5-yrs,"€ 41,650,000","€ 700,000,000",Reserve,M,CM,19,France,Real Madrid
38,Raúl García,,"€ 160,000","€ 8,320,000",,"Jun 30, 2023",1-yr,"€ 8,320,000",,Reserve,F,CF,36,Spain,Athletic Club
39,Francis Coquelin,,"€ 148,269","€ 7,710,000",,"Jun 30, 2024",2-yrs,"€ 15,420,000",,Starter,M,DM,31,France,Villarreal
40,Nacho Fernández,,"€ 147,885","€ 7,690,000",,"Jun 30, 2023",1-yr,"€ 7,690,000","€ 200,000,000",Reserve,D,CB,32,Spain,Real Madrid
41,Felipe,,"€ 145,385","€ 7,560,000",,"Jun 30, 2023",1-yr,"€ 7,560,000",,Starter,D,CB,33,Brazil,Atletico Madrid
42,Yannick Carrasco,,"€ 145,385","€ 7,560,000",,"Jun 30, 2024",2-yrs,"€ 15,120,000","€ 60,000,000",Starter,F,LW,29,Belgium,Atletico Madrid
43,Mariano Díaz,,"€ 144,231","€ 7,500,000",,"Jun 30, 2023",1-yr,"€ 7,500,000",,Reserve,F,CF,29,Dominican Republic,Real Madrid
44,Gerard Moreno,,"€ 144,231","€ 7,500,000",,"Jun 30, 2027",5-yrs,"€ 37,500,000","€ 100,000,000",Reserve,F,CF,30,Spain,Villarreal
45,Aurélien Tchouameni,,"€ 144,231","€ 7,500,000",,"Jun 30, 2028",6-yrs,"€ 45,000,000",,Starter,M,DM,22,France,Real Madrid
46,Rodrygo,,"€ 144,231","€ 7,500,000",,"Jun 30, 2025",3-yrs,"€ 22,500,000","€ 1,000,000,000",Reserve,F,RW,21,Brazil,Real Madrid
47,Pau Torres,,"€ 144,231","€ 7,500,000",,"Jun 30, 2024",2-yrs,"€ 15,000,000","€ 60,000,000",Starter,D,CB,25,Spain,Villarreal
48,Óliver Torres,,"€ 143,269","€ 7,450,000",,"Jun 30, 2024",2-yrs,"€ 14,900,000",,Starter,M,CM,27,Spain,Sevilla
49,Éder Militão,,"€ 140,192","€ 7,290,000","€ 1,040,000","Jun 30, 2025",3-yrs,"€ 21,870,000","€ 500,000,000",Starter,D,CB,24,Brazil,Real Madrid
50,Álvaro Odriozola,,"€ 140,192","€ 7,290,000",,"Jun 30, 2024",2-yrs,"€ 14,580,000",,Reserve,D,RB,26,Spain,Real Madrid
51,Ronald Araújo,,"€ 134,615","€ 7,000,000",,"Jun 30, 2026",4-yrs,"€ 28,000,000","€ 1,000,000,000",Starter,D,CB,23,Uruguay,Barcelona
52,Geoffrey Kondogbia,,"€ 132,692","€ 6,900,000",,"Jun 30, 2024",2-yrs,"€ 13,800,000",,Starter,M,DM,29,Central African Republic,Atletico Madrid
53,Nabil Fekir,,"€ 132,692","€ 6,900,000",,"Jun 30, 2026",4-yrs,"€ 27,600,000",,Reserve,F,AM,29,France,Real Betis
54,Gavi,,"€ 130,769","€ 6,800,000",,"Jun 30, 2026",4-yrs,"€ 27,200,000","€ 1,000,000,000",Starter,M,CM,18,Spain,Barcelona
55,Rodrigo de Paul,,"€ 128,269","€ 6,670,000",,"Jun 30, 2026",4-yrs,"€ 26,680,000",,Starter,M,CM,28,Argentina,Atletico Madrid
56,Héctor Bellerín,,"€ 128,269","€ 6,670,000",,"Jun 30, 2023",1-yr,"€ 6,670,000","€ 50,000,000",Reserve,D,RB,27,Spain,Barcelona
57,Youssef En-Nesyri,,"€ 123,462","€ 6,420,000",,"Jun 30, 2025",3-yrs,"€ 19,260,000",,Reserve,F,CF,25,Morocco,Sevilla
58,Suso,,"€ 121,154","€ 6,300,000",,"Jun 30, 2025",3-yrs,"€ 18,900,000",,Reserve,F,RW,28,Spain,Sevilla
59,Marcos Alonso,,"€ 120,192","€ 6,250,000",,"Jun 30, 2023",1-yr,"€ 6,250,000","€ 50,000,000",Reserve,D,LB,31,Spain,Barcelona
60,Papu Gómez,,"€ 120,192","€ 6,250,000",,"Jun 30, 2024",2-yrs,"€ 12,500,000",,Starter,F,AM,34,Argentina,Sevilla
61,Eric García,,"€ 115,385","€ 6,000,000",,"Jun 30, 2026",4-yrs,"€ 24,000,000","€ 400,000,000",Starter,D,CB,21,Spain,Barcelona
62,Ander Herrera,,"€ 115,385","€ 6,000,000",,"Jun 30, 2023",1-yr,"€ 6,000,000",,Reserve,M,CM,33,Spain,Athletic Club
63,Iñaki Williams,,"€ 114,808","€ 5,970,000",,"Jun 30, 2028",6-yrs,"€ 35,820,000",,Starter,F,CF,28,Ghana,Athletic Club
64,Luiz Felipe,,"€ 112,115","€ 5,830,000",,"Jun 30, 2027",5-yrs,"€ 29,150,000",,Starter,D,CB,25,Italy,Real Betis
65,José Gayà,,"€ 112,115","€ 5,830,000",,"Jun 30, 2027",5-yrs,"€ 29,150,000","€ 100,000,000",Starter,D,LB,27,Spain,Valencia
66,Gerónimo Rulli,,"€ 104,231","€ 5,420,000",,"Jun 30, 2024",2-yrs,"€ 10,840,000",,Starter,K,GK,30,Argentina,Villarreal
67,Gabriel Paulista,,"€ 102,500","€ 5,330,000",,"Jun 30, 2024",2-yrs,"€ 10,660,000",,Reserve,D,CB,31,Brazil,Valencia
68,Iñigo Martínez,,"€ 96,154","€ 5,000,000",,"Jun 30, 2023",1-yr,"€ 5,000,000",,Starter,D,CB,31,Spain,Athletic Club
69,Sergi Roberto,,"€ 96,154","€ 5,000,000",,"Jun 30, 2023",1-yr,"€ 5,000,000","€ 400,000,000",Reserve,D,RB,30,Spain,Barcelona
70,Fernando,,"€ 93,654","€ 4,870,000",,"Jun 30, 2024",2-yrs,"€ 9,740,000",,Starter,M,DM,35,Brazil,Sevilla
71,Borja Mayoral,,"€ 92,115","€ 4,790,000",,"Jun 30, 2027",5-yrs,"€ 23,950,000","€ 20,000,000",Starter,F,CF,25,Spain,Getafe
72,Raúl Albiol,,"€ 92,115","€ 4,790,000",,"Jun 30, 2023",1-yr,"€ 4,790,000",,Starter,D,CB,37,Spain,Villarreal
73,Aïssa Mandi,,"€ 92,115","€ 4,790,000",,"Jun 30, 2025",3-yrs,"€ 14,370,000",,Reserve,D,CB,30,Algeria,Villarreal
74,Joan Jordán,,"€ 90,769","€ 4,720,000",,"Jun 30, 2027",5-yrs,"€ 23,600,000",,Starter,M,CM,28,Spain,Sevilla
75,Denis Suárez,,"€ 90,000","€ 4,680,000",,"Jun 30, 2024",2-yrs,"€ 9,360,000",,Reserve,F,AM,28,Spain,Celta Vigo
76,Juan Foyth,,"€ 88,077","€ 4,580,000",,"Jun 30, 2026",4-yrs,"€ 18,320,000","€ 42,000,000",Reserve,D,RB,24,Argentina,Villarreal
77,Stefan Savic,,"€ 86,538","€ 4,500,000",,"Jun 30, 2024",2-yrs,"€ 9,000,000",,Reserve,D,CB,31,Montenegro,Atletico Madrid
78,Iker Muniain,,"€ 84,615","€ 4,400,000",,"Jun 30, 2024",2-yrs,"€ 8,800,000",,Starter,F,LW,29,Spain,Athletic Club
79,Asier Illarramendi,,"€ 83,846","€ 4,360,000",,"Jun 30, 2023",1-yr,"€ 4,360,000",,Reserve,M,DM,32,Spain,Real Sociedad
80,Unai Simón,,"€ 83,654","€ 4,350,000",,"Jun 30, 2025",3-yrs,"€ 13,050,000",,Starter,K,GK,25,Spain,Athletic Club
81,Giovani Lo Celso,,"€ 80,962","€ 4,210,000",,"Jun 30, 2023",1-yr,"€ 4,210,000",,Starter,M,CM,26,Argentina,Villarreal
82,Yuri Berchiche,,"€ 80,769","€ 4,200,000",,"Jun 30, 2024",2-yrs,"€ 8,400,000",,Reserve,D,LB,32,Spain,Athletic Club
83,Edinson Cavani,,"€ 80,192","€ 4,170,000",,"Jun 30, 2024",2-yrs,"€ 8,340,000",,Starter,F,CF,35,Uruguay,Valencia
84,Alex Telles,,"€ 80,192","€ 4,170,000",,"Jun 30, 2023",1-yr,"€ 4,170,000",,Reserve,D,LB,29,Brazil,Sevilla
85,Germán Pezzella,,"€ 80,192","€ 4,170,000",,"Jun 30, 2025",3-yrs,"€ 12,510,000",,Starter,D,CB,31,Argentina,Real Betis
86,Tanguy Nianzou,,"€ 80,192","€ 4,170,000",,"Jun 30, 2027",5-yrs,"€ 20,850,000","€ 90,000,000",Starter,D,CB,20,France,Sevilla
87,Carles Pérez,,"€ 80,192","€ 4,170,000",,"Jun 30, 2023",1-yr,"€ 4,170,000",,Reserve,F,RW,24,Spain,Celta Vigo
88,Roque Mesa,,"€ 80,000","€ 4,160,000",,"Jun 30, 2023",1-yr,"€ 4,160,000",,Starter,M,CM,33,Spain,Valladolid
89,José Giménez,,"€ 76,923","€ 4,000,000",,"Jun 30, 2025",3-yrs,"€ 12,000,000",,Reserve,D,CB,27,Uruguay,Atletico Madrid
90,Jesús Navas,,"€ 76,923","€ 4,000,000",,"Jun 30, 2024",2-yrs,"€ 8,000,000",,Starter,D,RB,36,Spain,Sevilla
91,Alfonso Pedraza,,"€ 76,154","€ 3,960,000",,"Jun 30, 2026",4-yrs,"€ 15,840,000",,Starter,D,LB,26,Spain,Villarreal
92,Mikel Merino,,"€ 75,192","€ 3,910,000",,"Jun 30, 2025",3-yrs,"€ 11,730,000",,Starter,M,CM,26,Spain,Real Sociedad
93,Justin Kluivert,,"€ 72,115","€ 3,750,000",,"Jun 30, 2023",1-yr,"€ 3,750,000",,Reserve,F,LW,23,Netherlands,Valencia
94,Mikel Oyarzabal,,"€ 67,885","€ 3,530,000",,"Jun 30, 2024",2-yrs,"€ 7,060,000",,Reserve,F,LW,25,Spain,Real Sociedad
95,Ángel Correa,,"€ 67,308","€ 3,500,000",,"Jun 30, 2026",4-yrs,"€ 14,000,000",,Reserve,F,SS,27,Argentina,Atletico Madrid
96,Thomas Delaney,,"€ 66,731","€ 3,470,000",,"Jun 30, 2025",3-yrs,"€ 10,410,000",,Reserve,M,CM,31,Denmark,Sevilla
97,Igor Zubeldia,,"€ 65,769","€ 3,420,000",,"Jun 30, 2024",2-yrs,"€ 6,840,000",,Reserve,D,CB,25,Spain,Real Sociedad
98,Alberto Moreno,,"€ 64,038","€ 3,330,000",,"Jun 30, 2024",2-yrs,"€ 6,660,000",,Reserve,D,LB,30,Spain,Villarreal
99,Thomas Lemar,,"€ 62,500","€ 3,250,000",,"Jun 30, 2027",5-yrs,"€ 16,250,000",,Reserve,F,AM,26,France,Atletico Madrid
100,Sergio Reguilón,,"€ 61,346","€ 3,190,000",,"Jun 30, 2023",1-yr,"€ 3,190,000",,Reserve,D,LB,25,Spain,Atletico Madrid
101,Arnaut Danjuma,,"€ 60,192","€ 3,130,000",,"Jun 30, 2026",4-yrs,"€ 12,520,000",,Reserve,F,CF,25,Netherlands,Villarreal
102,Benjamin Lecomte,,"€ 59,423","€ 3,090,000",,"Jun 30, 2023",1-yr,"€ 3,090,000",,Reserve,K,GK,31,France,Espanyol
103,Willian José,,"€ 57,692","€ 3,000,000",,"Jun 30, 2026",4-yrs,"€ 12,000,000",,Reserve,F,CF,30,Brazil,Real Betis
104,Álex Collado,,"€ 57,692","€ 3,000,000",,"Jun 30, 2023",1-yr,"€ 3,000,000",,Reserve,F,AM,23,Spain,Elche
105,Yeremi Pino,,"€ 57,692","€ 3,000,000",,"Jun 30, 2027",5-yrs,"€ 15,000,000","€ 80,000,000",Starter,F,RW,19,Spain,Villarreal
106,Matheus Cunha,,"€ 57,692","€ 3,000,000",,"Jun 30, 2026",4-yrs,"€ 12,000,000","€ 60,000,000",Reserve,F,CF,23,Brazil,Atletico Madrid
107,Kasper Dolberg,,"€ 57,692","€ 3,000,000",,"Jun 30, 2023",1-yr,"€ 3,000,000",,Reserve,F,CF,24,Denmark,Sevilla
108,Martín Zubimendi,,"€ 57,692","€ 3,000,000",,"Jun 30, 2027",5-yrs,"€ 15,000,000","€ 60,000,000",Starter,M,DM,23,Spain,Real Sociedad
109,Étienne Capoue,,"€ 56,154","€ 2,920,000",,"Jun 30, 2024",2-yrs,"€ 5,840,000",,Starter,M,DM,34,France,Villarreal
110,David Silva,,"€ 55,769","€ 2,900,000",,"Jun 30, 2023",1-yr,"€ 2,900,000",,Starter,F,AM,36,Spain,Real Sociedad
111,Hugo Duro,,"€ 55,577","€ 2,890,000",,"Jun 30, 2026",4-yrs,"€ 11,560,000",,Reserve,F,CF,22,Spain,Valencia
112,Álex Berenguer,,"€ 54,808","€ 2,850,000",,"Jun 30, 2024",2-yrs,"€ 5,700,000",,Starter,F,RW,27,Spain,Athletic Club
113,Marcos Acuña,,"€ 54,615","€ 2,840,000",,"Jun 30, 2025",3-yrs,"€ 8,520,000",,Starter,D,LB,30,Argentina,Sevilla
114,Dani Ceballos,,"€ 54,231","€ 2,820,000",,"Jun 30, 2023",1-yr,"€ 2,820,000",,Reserve,M,CM,26,Spain,Real Madrid
115,Dani García,,"€ 53,269","€ 2,770,000",,"Jun 30, 2024",2-yrs,"€ 5,540,000",,Starter,M,CM,32,Spain,Athletic Club
116,Martin Braithwaite,,"€ 51,923","€ 2,700,000",,"Jun 30, 2025",3-yrs,"€ 8,100,000",,Starter,F,CF,31,Denmark,Espanyol
117,Raúl de Tomás,,"€ 51,731","€ 2,690,000",,"Jun 30, 2026",4-yrs,"€ 10,760,000",,Reserve,F,CF,27,Spain,Espanyol
118,Guido Rodríguez,,"€ 51,538","€ 2,680,000",,"Jun 30, 2024",2-yrs,"€ 5,360,000",,Starter,M,DM,28,Argentina,Real Betis
119,Nemanja Gudelj,,"€ 50,769","€ 2,640,000",,"Jun 30, 2023",1-yr,"€ 2,640,000",,Starter,M,DM,30,Serbia,Sevilla
120,Erik Lamela,,"€ 50,577","€ 2,630,000",,"Jun 30, 2024",2-yrs,"€ 5,260,000",,Reserve,F,RW,30,Argentina,Sevilla
121,Iago Aspas,,"€ 50,000","€ 2,600,000",,"Jun 30, 2025",3-yrs,"€ 7,800,000",,Starter,F,CF,35,Spain,Celta Vigo
122,Hugo Mallo,,"€ 49,808","€ 2,590,000",,"Jun 30, 2023",1-yr,"€ 2,590,000",,Starter,D,RB,31,Spain,Celta Vigo
123,Yeray Álvarez,,"€ 49,231","€ 2,560,000",,"Jun 30, 2026",4-yrs,"€ 10,240,000",,Starter,D,CB,27,Spain,Athletic Club
124,Andriy Lunin,,"€ 48,654","€ 2,530,000",,"Jun 30, 2024",2-yrs,"€ 5,060,000",,Reserve,K,GK,23,Ukraine,Real Madrid
125,Manu Trigueros,,"€ 48,077","€ 2,500,000",,"Jun 30, 2025",3-yrs,"€ 7,500,000",,Reserve,M,CM,30,Spain,Villarreal
126,Samu Castillejo,,"€ 48,077","€ 2,500,000",,"Jun 30, 2025",3-yrs,"€ 7,500,000",,Starter,F,RW,27,Spain,Valencia
127,Franco Cervi,,"€ 48,077","€ 2,500,000",,"Jun 30, 2024",2-yrs,"€ 5,000,000",,Starter,F,LW,28,Argentina,Celta Vigo
128,Nico Williams,,"€ 45,192","€ 2,350,000",,"Jun 30, 2024",2-yrs,"€ 4,700,000","€ 50,000,000",Starter,F,RW,20,Spain,Athletic Club
129,Sergi Darder,,"€ 44,038","€ 2,290,000",,"Jun 30, 2026",4-yrs,"€ 9,160,000",,Starter,M,CM,28,Spain,Espanyol
130,Unai Núñez,,"€ 43,077","€ 2,240,000",,"Jun 30, 2023",1-yr,"€ 2,240,000",,Starter,D,CB,25,Spain,Celta Vigo
131,Álex Remiro,,"€ 42,885","€ 2,230,000",,"Jun 30, 2027",5-yrs,"€ 11,150,000",,Starter,K,GK,27,Spain,Real Sociedad
132,Djené,,"€ 42,308","€ 2,200,000",,"Jun 30, 2023",1-yr,"€ 2,200,000",,Reserve,D,CB,30,Togo,Getafe
133,Jaime Mata,,"€ 41,154","€ 2,140,000",,"Jun 30, 2024",2-yrs,"€ 4,280,000",,Reserve,F,CF,33,Spain,Getafe
134,Aritz Elustondo,,"€ 40,577","€ 2,110,000",,"Jun 30, 2024",2-yrs,"€ 4,220,000",,Starter,D,CB,28,Spain,Real Sociedad
135,Portu,,"€ 40,577","€ 2,110,000",,"Jun 30, 2023",1-yr,"€ 2,110,000",,Reserve,F,RW,30,Spain,Getafe
136,Jaume Doménech,,"€ 40,577","€ 2,110,000",,"Jun 30, 2023",1-yr,"€ 2,110,000",,Reserve,K,GK,31,Spain,Valencia
137,Mario Hermoso,,"€ 40,385","€ 2,100,000",,"Jun 30, 2024",2-yrs,"€ 4,200,000",,Reserve,D,CB,27,Spain,Atletico Madrid
138,Marcos Llorente,,"€ 40,385","€ 2,100,000",,"Jun 30, 2027",5-yrs,"€ 10,500,000","€ 120,000,000",Starter,M,CM,27,Spain,Atletico Madrid
139,Nemanja Maksimovic,,"€ 40,000","€ 2,080,000",,"Jun 30, 2024",2-yrs,"€ 4,160,000",,Starter,M,DM,27,Serbia,Getafe
140,Iñaki Peña,,"€ 38,462","€ 2,000,000",,"Jun 30, 2023",1-yr,"€ 2,000,000","€ 60,000,000",Reserve,K,GK,23,Spain,Barcelona
141,Marcos André,,"€ 38,462","€ 2,000,000",,"Jun 30, 2026",4-yrs,"€ 8,000,000",,Reserve,F,CF,25,Brazil,Valencia
142,Jon Morcillo,,"€ 38,462","€ 2,000,000","€ 500,000","Jun 30, 2024",2-yrs,"€ 4,000,000",,Reserve,F,LW,23,Spain,Athletic Club
143,Martín Montoya,,"€ 38,269","€ 1,990,000",,"Jun 30, 2024",2-yrs,"€ 3,980,000",,Starter,D,RB,31,Spain,Real Betis
144,Joseph Aidoo,,"€ 37,500","€ 1,950,000",,"Jun 30, 2026",4-yrs,"€ 7,800,000",,Starter,D,CB,26,Ghana,Celta Vigo
145,Hugo Guillamón,,"€ 36,923","€ 1,920,000",,"Jun 30, 2026",4-yrs,"€ 7,680,000","€ 50,000,000",Starter,M,DM,22,Spain,Valencia
146,Andrés Guardado,,"€ 36,731","€ 1,910,000",,"Jun 30, 2023",1-yr,"€ 1,910,000",,Reserve,M,CM,35,Mexico,Real Betis
147,Samuel Chukwueze,,"€ 36,154","€ 1,880,000",,"Jun 30, 2024",2-yrs,"€ 3,760,000",,Reserve,F,RW,23,Nigeria,Villarreal
148,Dimitri Foulquier,,"€ 35,962","€ 1,870,000",,"Jun 30, 2025",3-yrs,"€ 5,610,000",,Reserve,D,RB,29,Guadeloupe,Valencia
149,Óscar de Marcos,,"€ 35,577","€ 1,850,000",,"Jun 30, 2023",1-yr,"€ 1,850,000",,Starter,D,RB,33,Spain,Athletic Club
150,Thierry Correia,,"€ 35,385","€ 1,840,000",,"Jun 30, 2026",4-yrs,"€ 7,360,000",,Starter,D,RB,23,Portugal,Valencia
151,Asier Villalibre,,"€ 34,038","€ 1,770,000",,"Jun 30, 2023",1-yr,"€ 1,770,000",,Reserve,F,CF,24,Spain,Athletic Club
152,Toni Lato,,"€ 33,846","€ 1,760,000",,"Jun 30, 2023",1-yr,"€ 1,760,000",,Reserve,D,LB,24,Spain,Valencia
153,William Carvalho,,"€ 33,654","€ 1,750,000",,"Jun 30, 2026",4-yrs,"€ 7,000,000",,Starter,M,DM,30,Portugal,Real Betis
154,Bono,,"€ 31,923","€ 1,660,000",,"Jun 30, 2025",3-yrs,"€ 4,980,000","€ 30,000,000",Starter,K,GK,31,Morocco,Sevilla
155,Mikel Balenziaga,,"€ 31,731","€ 1,650,000",,"Jun 30, 2023",1-yr,"€ 1,650,000",,Reserve,D,LB,34,Spain,Athletic Club
156,Jesús Vallejo,,"€ 31,538","€ 1,640,000",,"Jun 30, 2025",3-yrs,"€ 4,920,000",,Reserve,D,CB,25,Spain,Real Madrid
157,Ilaix Moriba,,"€ 31,154","€ 1,620,000",,"Jun 30, 2023",1-yr,"€ 1,620,000",,Starter,M,CM,19,Guinea,Valencia
158,Claudio Bravo,,"€ 30,769","€ 1,600,000",,"Jun 30, 2023",1-yr,"€ 1,600,000",,Reserve,K,GK,39,Chile,Real Betis
159,Iñigo Lekue,,"€ 29,808","€ 1,550,000",,"Jun 30, 2023",1-yr,"€ 1,550,000",,Starter,D,RB,29,Spain,Athletic Club
160,Mauro Arambarri,,"€ 29,423","€ 1,530,000",,"Jun 30, 2023",1-yr,"€ 1,530,000",,Starter,M,CM,26,Uruguay,Getafe
161,Jorge Cuenca,,"€ 29,423","€ 1,530,000",,"Jun 30, 2025",3-yrs,"€ 4,590,000",,Reserve,D,CB,22,Spain,Villarreal
162,David Soria,,"€ 29,038","€ 1,510,000",,"Jun 30, 2023",1-yr,"€ 1,510,000",,Starter,K,GK,29,Spain,Getafe
163,Yunus Musah,,"€ 28,846","€ 1,500,000",,"Jun 30, 2026",4-yrs,"€ 6,000,000",,Reserve,M,CM,19,United States,Valencia
164,Javi Galán,,"€ 28,846","€ 1,500,000",,"Jun 30, 2026",4-yrs,"€ 6,000,000","€ 18,000,000",Starter,D,LB,27,Spain,Celta Vigo
165,Javier Pastore,,"€ 28,846","€ 1,500,000",,"Jun 30, 2023",1-yr,"€ 1,500,000",,Reserve,F,AM,33,Argentina,Elche
166,Ezequiel Ponce,,"€ 28,846","€ 1,500,000",,"Jun 30, 2026",4-yrs,"€ 6,000,000",,Reserve,F,CF,25,Argentina,Elche
