,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
145,Marc Cucurella,"€ 45,962","€ 2,390,000","€ 2,390,000",M,22,Spain,Getafe
146,Rubén Blanco,"€ 45,000","€ 2,340,000","€ 2,340,000",K,25,Spain,Celta Vigo
147,Pervis Estupiñán,"€ 44,038","€ 2,290,000","€ 2,290,000",D,22,Ecuador,Villarreal
148,Unai Núñez,"€ 43,077","€ 2,240,000","€ 2,240,000",D,23,Spain,Athletic Club
149,Álex Remiro,"€ 42,885","€ 2,230,000","€ 2,230,000",K,25,Spain,Real Sociedad
150,Djené,"€ 42,308","€ 2,200,000","€ 2,200,000",D,28,Togo,Getafe
151,Jeison Murillo,"€ 42,115","€ 2,190,000","€ 2,190,000",D,28,Colombia,Celta Vigo
152,Rubén Sobrino,"€ 41,923","€ 2,180,000","€ 2,180,000",F,28,Spain,Valencia
153,Rubén Sobrino,"€ 41,923","€ 2,180,000","€ 2,180,000",F,28,Spain,Cadiz
154,Kenan Kodro,"€ 41,154","€ 2,140,000","€ 2,140,000",F,27,Bosnia-Herzegovina,Valladolid
155,Kenan Kodro,"€ 41,154","€ 2,140,000","€ 2,140,000",F,27,Bosnia-Herzegovina,Athletic Club
156,Jaime Mata,"€ 41,154","€ 2,140,000","€ 2,140,000",F,31,Spain,Getafe
157,Jon Morcillo,"€ 41,154","€ 2,140,000","€ 2,140,000",F,22,Spain,Athletic Club
158,Portu,"€ 40,577","€ 2,110,000","€ 2,110,000",F,28,Spain,Real Sociedad
159,Aritz Elustondo,"€ 40,577","€ 2,110,000","€ 2,110,000",D,26,Spain,Real Sociedad
160,Jaume Doménech,"€ 40,577","€ 2,110,000","€ 2,110,000",K,29,Spain,Valencia
161,Marcos Llorente,"€ 40,385","€ 2,100,000","€ 2,100,000",F,25,Spain,Atletico Madrid
162,Carlos Soler,"€ 40,385","€ 2,100,000","€ 2,100,000",M,23,Spain,Valencia
163,Mario Hermoso,"€ 40,385","€ 2,100,000","€ 2,100,000",D,25,Spain,Atletico Madrid
164,Denis Vavro,"€ 40,000","€ 2,080,000","€ 2,080,000",D,24,Slovakia,Huesca
165,Nemanja Maksimovic,"€ 40,000","€ 2,080,000","€ 2,080,000",M,25,Serbia,Getafe
166,Ander Capa,"€ 38,462","€ 2,000,000","€ 2,000,000",D,28,Spain,Athletic Club
167,Kieran Trippier,"€ 38,462","€ 2,000,000","€ 2,000,000",D,30,England,Atletico Madrid
168,Aarón Martín,"€ 38,462","€ 2,000,000","€ 2,000,000",D,23,Spain,Celta Vigo
169,Martín Montoya,"€ 38,269","€ 1,990,000","€ 1,990,000",D,29,Spain,Real Betis
170,Miguel Ángel Moyá,"€ 37,885","€ 1,970,000","€ 1,970,000",K,36,Spain,Real Sociedad
171,Joseph Aidoo,"€ 37,500","€ 1,950,000","€ 1,950,000",D,25,Ghana,Celta Vigo
