,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
14,2020-12-01,21:30,Segunda División,Matchweek 16,Tue,Home,W,1,0,CD Mirandés,39.0,,Cristhian Stuani,4-4-2,Francisco Hernández,Match Report,
15,2020-12-06,18:15,Segunda División,Matchweek 17,Sun,Away,W,2,0,Albacete,58.0,,Bernardo Espinosa,4-4-2,David Gálvez,Match Report,
16,2020-12-10,19:00,Segunda División,Matchweek 2,Thu,Home,W,2,0,UD Logroñés,52.0,,Cristhian Stuani,4-4-2,Dámaso Arcediano,Match Report,
17,2020-12-14,19:00,Segunda División,Matchweek 18,Mon,Home,D,0,0,Rayo Vallecano,47.0,,Cristhian Stuani,4-4-2,Alejandro Muñíz,Match Report,
18,2020-12-17,19:00,Copa del Rey,First round,Thu,Away,W,2,0,Gimnástica Segoviana,,800.0,,4-4-2,Álvaro Moreno,Match Report,
19,2020-12-21,20:30,Segunda División,Matchweek 19,Mon,Away,L,0,2,Tenerife,64.0,,Cristhian Stuani,4-4-2,Javier Toca,Match Report,
20,2021-01-04,18:30,Segunda División,Matchweek 20,Mon,Home,D,0,0,Sabadell,44.0,,Aday,4-4-2,Gorka Sagues,Match Report,
21,2021-01-07,19:00,Copa del Rey,Second round,Thu,Home,W,2,1,Lugo,64.0,,Jonás Ramalho,4-4-2,Eduardo Prieto,Match Report,Required Extra Time
22,2021-01-11,19:00,Segunda División,Matchweek 21,Mon,Away,D,1,1,Ponferradina,50.0,,Aday,4-1-4-1,Saúl Ais,Match Report,
23,2021-01-16,16:00,Copa del Rey,Round of 32,Sat,Home,W,2,0,Cádiz,54.0,,Jonás Ramalho,4-4-2,Valentín Pizarro,Match Report,
24,2021-01-23,18:15,Segunda División,Matchweek 22,Sat,Home,W,1,0,Espanyol,36.0,,Aday,4-4-2,Juan Pulido,Match Report,
25,2021-01-26,21:00,Copa del Rey,Round of 16,Tue,Home,L,0,1,Villarreal,44.0,,Jonás Ramalho,4-4-2,Ricardo de Burgos,Match Report,
26,2021-01-30,20:30,Segunda División,Matchweek 23,Sat,Away,L,0,1,Mallorca,46.0,,Aday,4-4-2,Alejandro Muñíz,Match Report,
27,2021-02-07,14:00,Segunda División,Matchweek 24,Sun,Home,L,0,2,Leganés,57.0,,Cristhian Stuani,4-2-3-1,Eduardo Prieto,Match Report,
28,2021-02-13,18:15,Segunda División,Matchweek 25,Sat,Away,D,3,3,CD Mirandés,54.0,,Cristhian Stuani,4-1-4-1,Luis Milla,Match Report,
29,2021-02-21,18:15,Segunda División,Matchweek 26,Sun,Home,W,2,1,Castellón,48.0,,Cristhian Stuani,4-3-3,Daniel Trujillo,Match Report,
30,2021-02-28,14:00,Segunda División,Matchweek 27,Sun,Away,D,1,1,Fuenlabrada,46.0,,Cristhian Stuani,4-1-4-1,José López,Match Report,
31,2021-03-07,21:00,Segunda División,Matchweek 28,Sun,Home,L,0,1,Almería,47.0,,Aday,5-4-1,Javier Villanueva,Match Report,
32,2021-03-13,18:15,Segunda División,Matchweek 29,Sat,Home,D,1,1,Lugo,57.0,,Aday,5-4-1,Aitor Gorostegui,Match Report,
33,2021-03-19,20:00,Segunda División,Matchweek 30,Fri,Away,W,2,1,Las Palmas,47.0,,Aday,3-5-2,Álvaro Moreno,Match Report,
34,2021-03-28,16:00,Segunda División,Matchweek 31,Sun,Home,W,2,1,Albacete,54.0,,Aday,4-1-4-1,David Gálvez,Match Report,
35,2021-03-31,19:00,Segunda División,Matchweek 32,Wed,Away,D,2,2,Sabadell,61.0,,Bernardo Espinosa,3-1-4-2,Francisco Hernández,Match Report,
36,2021-04-03,16:00,Segunda División,Matchweek 33,Sat,Home,W,3,1,Ponferradina,42.0,,Cristhian Stuani,5-3-2,Dámaso Arcediano,Match Report,
37,2021-04-10,18:15,Segunda División,Matchweek 34,Sat,Away,L,1,2,Rayo Vallecano,52.0,,Aday,3-5-2,Juan Pulido,Match Report,
38,2021-04-16,21:00,Segunda División,Matchweek 35,Fri,Home,W,3,0,Zaragoza,47.0,,Aday,3-5-2,José López,Match Report,
39,2021-04-25,14:00,Segunda División,Matchweek 36,Sun,Away,W,1,0,Oviedo,55.0,,Juanpe,3-1-4-2,Gorka Sagues,Match Report,
40,2021-05-01,16:00,Segunda División,Matchweek 37,Sat,Home,W,1,0,Tenerife,52.0,,Cristhian Stuani,5-3-2,Rubén Ávalos,Match Report,
41,2021-05-09,18:15,Segunda División,Matchweek 38,Sun,Away,W,4,1,UD Logroñés,46.0,,Cristhian Stuani,3-5-2,Rafael Sánchez,Match Report,
42,2021-05-17,21:00,Segunda División,Matchweek 39,Mon,Home,W,1,0,Sporting Gijón,58.0,,Cristhian Stuani,5-3-2,Alejandro Muñíz,Match Report,
43,2021-05-20,19:00,Segunda División,Matchweek 40,Thu,Away,W,1,0,Málaga,73.0,,Cristhian Stuani,5-3-2,Álvaro Moreno,Match Report,
44,2021-05-24,21:00,Segunda División,Matchweek 41,Mon,Home,W,1,0,Alcorcón,69.0,,Juanpe,3-4-3,Gorka Sagues,Match Report,
45,2021-05-30,21:00,Segunda División,Matchweek 42,Sun,Away,D,1,1,Cartagena,46.0,2032.0,Aday,4-4-2,Daniel Trujillo,Match Report,
46,2021-06-02,21:00,Segunda División,Semi-finals,Wed,Home,W,3,0,Almería,38.0,,Juanpe,3-5-2,Alejandro Muñíz,Match Report,Leg 1 of 2
47,2021-06-05,21:00,Segunda División,Semi-finals,Sat,Away,D,0,0,Almería,32.0,,Juanpe,3-5-2,Miguel Ángel Ortiz Arias,Match Report,Leg 2 of 2; Girona won
48,2021-06-13,21:00,Segunda División,Final,Sun,Away,W,2,1,Rayo Vallecano,39.0,,Juanpe,3-5-2,Juan Pulido,Match Report,Leg 1 of 2
49,2021-06-20,21:00,Segunda División,Final,Sun,Home,L,0,2,Rayo Vallecano,66.0,1429.0,Juanpe,3-5-2,Javier Villanueva,Match Report,Leg 2 of 2; Rayo Vallecano won
