,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
431,Sandro Ramírez,es  ESP,"FW,MF",Huesca,25,1995,20,16,1285,14.3,5,1,5,0,0,2,0,0.35,0.07,0.42,0.35,0.42,2.4,2.4,0.4,2.8,0.17,0.03,0.20,0.17,0.20
432,Sergio Ramos,es  ESP,DF,Real Madrid,34,1986,15,15,1275,14.2,2,0,0,2,2,3,0,0.14,0.00,0.14,0.00,0.00,3.8,2.3,0.2,2.5,0.27,0.02,0.28,0.16,0.18
433,Recio,es  ESP,MF,Eibar,29,1991,17,8,734,8.2,1,0,0,1,1,5,0,0.12,0.00,0.12,0.00,0.00,1.2,0.5,0.7,1.2,0.15,0.09,0.24,0.06,0.14
434,Francisco Reis Ferreira,pt  POR,DF,Valencia,23,1997,3,2,181,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
435,Karim Rekik,nl  NED,DF,Sevilla,25,1994,11,6,653,7.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.02,0.05,0.03,0.05
436,Álex Remiro,es  ESP,GK,Real Sociedad,25,1995,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
437,Oriol Rey,es  ESP,MF,Valladolid,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
438,Ricard,es  ESP,DF,Atlético Madrid,20,2000,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07
439,Mikel Rico,es  ESP,MF,Huesca,35,1984,32,27,2183,24.3,1,4,1,0,0,2,0,0.04,0.16,0.21,0.04,0.21,2.3,2.3,1.5,3.8,0.09,0.06,0.16,0.09,0.16
440,Emiliano Rigoni,ar  ARG,"MF,FW",Elche,27,1993,23,12,1139,12.7,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,2.6,2.6,1.9,4.4,0.20,0.15,0.35,0.20,0.35
