,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
27,Anaitz Arbilla,es  ESP,DF,Eibar,33,1987,31.2,1875,1601,274,83,2,232,150,30,3,1,2,0,955,350,570,417,1088,126,188,6,1444,2,72,28,30
28,Unai Arietaleanizbeaskoa,es  ESP,"FW,MF",Eibar,21,1999,0.5,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,2,0,0,4,0,0,0,1
29,Sergio Arribas,es  ESP,"FW,DF",Real Madrid,18,2001,1.5,92,90,2,0,0,20,0,1,0,0,0,0,77,9,6,80,8,1,2,0,76,1,0,1,5
30,Sergio Asenjo,es  ESP,GK,Villarreal,31,1989,36.0,1307,945,362,77,0,103,36,0,0,0,0,0,776,53,478,200,882,1,0,191,1033,3,25,8,1
31,Marco Asensio,es  ESP,"FW,MF",Real Madrid,24,1996,20.8,1007,944,63,11,4,155,39,76,33,8,6,3,748,120,139,851,109,14,19,8,808,3,16,21,48
32,Iago Aspas,es  ESP,FW,Celta Vigo,32,1987,31.8,1254,1208,46,15,9,256,29,39,1,1,0,0,974,169,111,885,285,50,11,7,965,11,17,51,56
33,Miguel Atienza,es  ESP,MF,Eibar,21,1999,9.3,336,333,3,3,0,77,9,3,0,0,0,0,227,40,69,25,259,27,0,3,270,1,10,12,5
34,Ezequiel Ávila,ar  ARG,"MF,FW",Osasuna,26,1994,2.2,57,56,1,0,0,7,4,2,0,0,0,0,18,21,18,14,27,8,0,5,32,0,1,3,2
35,Ramon Azeez,ng  NGA,"MF,DF",Granada,27,1992,1.1,38,37,1,0,0,5,0,1,0,0,0,0,28,2,8,5,27,3,1,0,28,0,1,1,0
36,Carlos Bacca,co  COL,FW,Villarreal,33,1986,8.7,165,152,13,0,1,50,5,6,0,0,0,0,105,38,22,5,140,6,1,3,111,0,6,4,9
37,Édgar Badía,es  ESP,GK,Elche,28,1992,30.0,1147,776,371,86,0,100,17,0,0,0,0,0,553,51,543,109,828,0,2,144,867,1,19,6,2
38,Alex Baena,es  ESP,MF,Villarreal,19,2001,1.5,55,53,2,2,0,10,0,3,0,0,0,0,42,9,4,4,45,5,0,1,42,1,1,2,2
39,Miguel Baeza,es  ESP,"MF,FW",Celta Vigo,20,2000,6.0,217,204,13,3,1,47,3,6,6,3,1,0,148,33,36,165,26,11,4,3,177,0,2,6,6
40,Mikel Balenziaga,es  ESP,DF,Athletic Club,32,1988,18.8,936,743,193,23,0,93,14,27,0,0,0,0,529,187,220,642,69,48,170,1,710,3,18,28,43
41,Barcia,es  ESP,DF,Granada,19,2000,1.0,34,25,9,0,0,6,0,1,0,0,0,0,10,9,15,1,19,3,9,0,13,0,1,1,2
42,Enis Bardhi,mk  MKD,MF,Levante,25,1995,18.7,905,815,90,30,2,184,40,35,48,11,11,3,616,106,183,148,725,13,11,4,678,11,19,27,32
