,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType.value,cardType.displayName,blockedX,blockedY,isGoal,venue
1403,2269699905.0,11841,81,,77,97.3,68.6,82,[],[60],False,2,SecondHalf,10000,OffsideGiven,0,Unsuccessful,254352.0,,,,,,,,,,,,,Renato Dall'Ara
1404,2269688453.0,834,81,4.0,77,55.6,0.0,82,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.7'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.7'}]","[90, 211, 34, 36, 215]",True,2,SecondHalf,1,Pass,1,Successful,275698.0,43.7,8.7,,,,,,,,,,,Renato Dall'Ara
1405,2269688481.0,835,81,6.0,77,53.5,5.2,82,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[90, 119, 123, 127, 35, 36, 216, 217]",True,2,SecondHalf,1,Pass,0,Unsuccessful,288767.0,74.9,64.4,,,,,,,,,,,Renato Dall'Ara
1406,2269688497.0,690,81,9.0,71,22.6,36.9,82,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '836'}]","[196, 199]",False,2,SecondHalf,44,Aerial,1,Successful,377276.0,,,,,,,,,,,,,Renato Dall'Ara
1407,2269688489.0,836,81,9.0,77,77.4,63.1,82,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '690'}]","[197, 198]",False,2,SecondHalf,44,Aerial,0,Unsuccessful,243254.0,,,,,,,,,,,,,Renato Dall'Ara
1408,2269688539.0,691,81,9.0,71,20.0,38.2,82,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.6'}, {'type': {'value': 15, 'displayName': 'Head'}}]","[90, 93, 94, 56, 214]",True,2,SecondHalf,12,Clearance,1,Successful,377276.0,32.6,33.0,,,,,,,,,,,Renato Dall'Ara
1409,2269688601.0,837,81,14.0,77,71.3,72.5,82,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 211, 'displayName': 'OverRun'}}]","[90, 203]",True,2,SecondHalf,3,TakeOn,0,Unsuccessful,54968.0,,,,,,,,,,,,,Renato Dall'Ara
1410,2269688641.0,693,81,16.0,71,22.6,21.0,82,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '838'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 52]",True,2,SecondHalf,3,TakeOn,0,Unsuccessful,377276.0,,,,,,,,,,,,,Renato Dall'Ara
1411,2269688609.0,838,81,16.0,77,77.4,79.0,82,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '693'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[90, 141]",True,2,SecondHalf,7,Tackle,0,Unsuccessful,54968.0,,,,,,,,,,,,,Renato Dall'Ara
1412,2269688671.0,694,81,17.0,71,12.2,9.1,82,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 68]",True,2,SecondHalf,61,BallTouch,0,Unsuccessful,331555.0,,,,,,,,,,,,,Renato Dall'Ara
1413,2269688863.0,840,81,30.0,77,89.9,100.0,82,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.6'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '70.7'}]","[90, 211, 35, 37, 216]",True,2,SecondHalf,1,Pass,1,Successful,26168.0,90.6,70.7,,,,,,,,,,,Renato Dall'Ara
1414,2269689061.0,697,81,31.0,71,6.3,44.0,82,[],[61],False,2,SecondHalf,55,OffsideProvoked,1,Successful,118142.0,,,,,,,,,,,,,Renato Dall'Ara
1415,2269688905.0,841,81,31.0,77,90.3,71.7,82,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '254352'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '97.3'}]","[90, 216]",True,2,SecondHalf,2,OffsidePass,1,Successful,22466.0,97.3,68.6,,,,,,,,,,,Renato Dall'Ara
1416,2269689387.0,698,82,7.0,71,4.9,50.4,83,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 241, 'displayName': 'IndirectFreekickTaken'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '55.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.1'}]","[90, 118, 116, 126, 131, 35, 37, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,77397.0,53.1,16.5,,,,,,,,,,,Renato Dall'Ara
1417,2269689401.0,699,82,10.0,71,53.8,21.6,83,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '844'}]","[196, 198]",False,2,SecondHalf,44,Aerial,1,Successful,19580.0,,,,,,,,,,,,,Renato Dall'Ara
1418,2269689395.0,844,82,10.0,77,46.2,78.4,83,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '699'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[197, 199]",False,2,SecondHalf,44,Aerial,0,Unsuccessful,243254.0,,,,,,,,,,,,,Renato Dall'Ara
