,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
349,Lucas Olaza,uy  URU,DF,Celta Vigo,25,1994,34.9,2302,109,752,1136,540,20,1918,15,26,57.7,16,1,1379,5821,3288,133,48,3,19,17,1461,1375,94.1,41
350,Oier Olazábal,es  ESP,GK,Espanyol,29,1989,2.0,64,62,64,0,0,0,50,0,0,,0,0,37,213,95,0,0,0,0,0,32,31,96.9,0
351,Kiko Olivas,es  ESP,DF,Valladolid,30,1988,32.7,1555,225,845,774,37,18,1493,12,12,100.0,12,0,935,6182,3171,78,10,0,8,15,933,911,97.6,11
352,Paulo Oliveira,pt  POR,DF,Eibar,27,1992,23.2,1048,136,487,582,33,15,1024,3,3,100.0,3,0,468,2780,1140,22,3,0,1,4,500,491,98.2,11
353,Mathías Olivera,uy  URU,DF,Getafe,21,1997,20.8,1170,49,287,588,345,33,912,20,33,60.6,22,0,420,2292,1424,66,25,5,20,21,489,396,81.0,34
354,Kenneth Omeruo,ng  NGA,DF,Leganés,25,1993,20.8,884,134,500,390,20,11,867,3,3,100.0,3,0,372,1513,574,16,3,0,1,5,351,343,97.7,4
355,Javier Ontiveros,es  ESP,"FW,MF",Villarreal,21,1997,9.9,680,14,104,354,288,45,649,29,59,49.2,30,1,512,3103,1913,112,34,21,23,28,568,491,86.4,69
356,Fabián Orellana,cl  CHI,"MF,FW",Eibar,33,1986,26.6,1485,2,101,639,869,111,1364,70,135,51.9,76,5,1127,5757,3393,204,59,32,84,104,1394,1083,77.7,281
357,Aimar Oroz,es  ESP,FW,Osasuna,17,2001,0.1,7,0,0,4,3,1,7,0,0,,0,0,4,2,0,0,0,0,0,0,6,5,83.3,1
358,Mikel Oyarzabal,es  ESP,"FW,MF",Real Sociedad,22,1997,33.9,1571,19,187,758,747,125,1497,61,89,68.5,62,3,1113,5863,3016,176,61,12,78,74,1546,1116,72.2,288
359,Fernando Pacheco,es  ESP,GK,Alavés,27,1992,26.2,864,753,861,3,2,2,519,0,0,,0,0,341,2097,1481,0,0,0,0,1,273,271,99.3,0
360,Jon Pacheco,es  ESP,DF,Real Sociedad,18,2001,0.9,45,4,22,26,1,0,43,1,1,100.0,1,0,26,180,109,5,0,0,0,0,24,24,100.0,0
361,Daniel Parejo,es  ESP,MF,Valencia,30,1989,33.6,2689,71,623,1611,596,19,2394,40,57,70.2,42,2,1763,8570,3920,152,41,4,28,33,1993,1884,94.5,56
362,Miquel Parera,es  ESP,GK,Mallorca,23,1996,1.0,28,25,28,0,0,0,23,0,0,,0,0,15,74,46,0,0,0,0,0,15,15,100.0,0
363,Thomas Partey,gh  GHA,MF,Atlético Madrid,26,1993,28.3,1990,87,452,1341,304,15,1928,47,56,83.9,48,2,1380,6285,3312,134,26,4,20,15,1371,1324,96.6,24
