,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
15,José Ángel,es  ESP,DF,Eibar,29,1989,26.2,62,31,30,29,3,25,43,58.1,18,251,83,33.1,107,108,36,40,6,0,34,27,89,102,0
16,Antoñito,es  ESP,"DF,MF",Valladolid,31,1987,11.4,25,16,18,7,0,12,27,44.4,15,150,49,32.7,88,47,15,24,0,0,24,19,44,25,0
17,Vitorino Antunes,pt  POR,MF,Getafe,32,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,0,0,0
18,Anuar,ma  MAR,"MF,FW",Valladolid,24,1995,2.1,4,4,2,2,0,1,3,33.3,2,37,7,18.9,13,21,3,6,3,0,3,3,7,1,0
19,Mauro Arambarri,uy  URU,MF,Getafe,23,1995,34.1,74,49,28,38,8,21,64,32.8,43,799,206,25.8,169,516,114,69,6,0,63,26,100,49,0
20,Néstor Araujo,mx  MEX,DF,Celta Vigo,27,1991,32.1,47,27,37,9,1,15,32,46.9,17,217,71,32.7,144,64,9,43,22,0,21,38,85,205,0
21,Ronald Araújo,uy  URU,DF,Barcelona,20,1999,2.6,4,2,2,2,0,3,4,75.0,1,26,8,30.8,18,8,0,9,3,0,6,0,4,11,0
22,Anaitz Arbilla,es  ESP,DF,Eibar,32,1987,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,15,48,136,2
23,Alphonse Areola,fr  FRA,GK,Real Madrid,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
24,Santiago Arias,co  COL,DF,Atlético Madrid,27,1992,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,9,39,35,0
25,Sergio Asenjo,es  ESP,GK,Villarreal,30,1989,34.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0
26,Marco Asensio,es  ESP,FW,Real Madrid,23,1996,3.7,5,4,3,2,0,1,6,16.7,5,34,11,32.4,12,13,9,2,0,0,2,2,7,3,0
27,Iago Aspas,es  ESP,FW,Celta Vigo,31,1987,36.2,29,21,7,11,11,12,34,35.3,22,537,146,27.2,80,222,235,24,4,0,20,19,48,6,0
28,Roger Assalé,ci  CIV,"FW,MF",Leganés,25,1993,5.9,3,1,2,0,1,0,4,0.0,4,70,18,25.7,8,30,32,6,0,0,6,0,3,1,0
29,Miguel Atienza,es  ESP,MF,Eibar,20,1999,0.3,1,1,0,1,0,1,1,100.0,0,15,4,26.7,6,6,3,2,1,0,1,1,2,2,0
30,Ezequiel Ávila,ar  ARG,FW,Osasuna,25,1994,17.7,19,16,6,10,3,5,15,33.3,10,342,92,26.9,22,141,179,17,0,0,17,4,23,7,0
31,Javier Avilés,es  ESP,"MF,FW",Leganés,21,1997,2.0,7,3,3,3,1,4,7,57.1,3,52,11,21.2,17,24,11,4,0,0,4,1,8,2,0
32,Chidozie Awaziem,ng  NGA,DF,Leganés,22,1997,22.2,39,26,32,7,0,12,25,48.0,13,204,71,34.8,126,72,6,38,15,0,23,12,51,141,2
33,Ramon Azeez,ng  NGA,MF,Granada,26,1992,15.1,17,14,3,11,3,4,13,30.8,9,330,82,24.8,58,191,81,17,2,0,15,15,32,15,0
34,Iddrisu Baba,gh  GHA,MF,Mallorca,23,1996,32.3,68,45,33,31,4,17,69,24.6,52,580,188,32.4,231,307,42,34,8,0,26,23,91,71,1
35,Carlos Bacca,co  COL,"FW,MF",Villarreal,32,1986,7.6,3,1,1,0,2,1,7,14.3,6,84,21,25.0,10,37,37,5,0,0,5,1,4,5,0
36,Alex Baena,es  ESP,MF,Villarreal,18,2001,0.2,1,0,1,0,0,0,1,0.0,1,4,0,0.0,2,1,1,0,0,0,0,0,1,0,0
37,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,30,1989,12.1,10,7,5,2,3,4,16,25.0,12,105,30,28.6,20,47,38,16,2,0,14,4,14,9,0
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,31,1988,6.3,11,5,2,7,2,5,8,62.5,3,83,23,27.7,36,38,9,17,3,0,14,4,15,19,0
39,Éver Banega,ar  ARG,MF,Sevilla,31,1988,27.5,51,30,16,24,11,23,68,33.8,45,452,122,27.0,127,245,80,20,2,0,18,14,65,11,0
40,Federico Barba,it  ITA,DF,Valladolid,25,1993,5.0,11,8,9,2,0,7,8,87.5,1,42,13,31.0,20,15,7,13,3,0,10,5,16,23,0
41,Enis Bardhi,mk  MKD,MF,Levante,24,1995,23.5,34,27,10,19,5,8,34,23.5,26,405,93,23.0,128,187,90,25,4,0,21,15,49,17,1
42,Kike Barja,es  ESP,"MF,FW",Osasuna,22,1997,3.5,1,1,1,0,0,1,2,50.0,1,48,10,20.8,7,24,17,5,1,0,4,0,1,1,0
43,Antonio Barragán,es  ESP,DF,Betis,32,1987,7.1,3,1,1,1,1,1,6,16.7,5,47,11,23.4,21,17,9,9,2,0,7,5,8,28,0
44,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,17,2001,4.9,11,6,4,6,1,3,9,33.3,6,128,39,30.5,32,60,36,5,0,0,5,0,11,5,0
45,Marc Bartra,es  ESP,"DF,MF",Betis,28,1991,28.0,62,37,41,21,0,16,37,43.2,21,339,112,33.0,175,149,15,59,27,0,32,25,87,181,0
46,Gil Bastião Dias,pt  POR,"DF,MF",Granada,22,1996,4.0,19,10,10,6,3,5,15,33.3,10,95,22,23.2,43,32,20,4,1,0,3,2,21,8,0
47,Fran Beltrán,es  ESP,MF,Celta Vigo,20,1999,20.3,34,24,14,14,6,7,27,25.9,20,358,110,30.7,115,193,50,19,1,0,18,11,45,21,0
48,Hatem Ben Arfa,fr  FRA,"MF,FW",Valladolid,32,1987,1.8,0,0,0,0,0,0,3,0.0,3,37,8,21.6,6,21,10,1,0,0,1,0,0,0,0
49,Karim Benzema,fr  FRA,FW,Real Madrid,31,1987,34.9,17,13,2,9,6,7,25,28.0,18,319,83,26.0,23,135,161,16,3,0,13,11,28,25,1
50,Yuri Berchiche,es  ESP,DF,Athletic Club,29,1990,31.7,50,31,33,15,2,24,45,53.3,21,408,135,33.1,195,156,57,75,5,0,70,22,72,69,0
51,Markel Bergara,es  ESP,MF,Getafe,33,1986,0.8,0,0,0,0,0,0,0,,0,11,5,45.5,0,8,3,1,0,0,1,0,0,2,0
52,Sergio Bermejo,es  ESP,FW,Celta Vigo,21,1997,0.1,0,0,0,0,0,0,0,,0,4,2,50.0,1,1,2,0,0,0,0,0,0,0,0
53,Pedro Bigas,es  ESP,DF,Eibar,28,1990,19.7,18,14,9,9,0,8,20,40.0,12,143,48,33.6,83,53,7,28,13,1,15,16,34,133,1
54,Rubén Blanco,es  ESP,GK,Celta Vigo,24,1995,32.9,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,2,1
55,Pablo de Blasis,ar  ARG,"DF,MF",Eibar,31,1988,17.8,42,30,24,13,5,25,61,41.0,36,284,82,28.9,104,116,64,33,1,0,32,16,58,25,0
56,Alejandro Blesa,es  ESP,MF,Levante,17,2002,0.0,0,0,0,0,0,0,1,0.0,1,5,3,60.0,2,3,0,1,0,0,1,0,0,0,0
57,Yassine Bounou,ma  MAR,GK,Sevilla,28,1991,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
58,Filip Bradarić,hr  CRO,MF,Celta Vigo,27,1992,7.8,18,13,5,11,2,3,7,42.9,4,132,46,34.8,49,66,17,17,3,0,14,11,29,17,0
59,Brandon,es  ESP,FW,Osasuna,24,1995,4.5,4,2,0,3,1,0,5,0.0,5,121,21,17.4,12,63,46,5,0,0,5,1,5,1,0
60,Darko Brašanac,rs  SRB,MF,Osasuna,27,1992,24.9,40,27,13,24,3,10,40,25.0,30,430,122,28.4,86,220,124,21,4,0,17,16,56,28,0
61,Yan Brice Eteki,cm  CMR,MF,Granada,21,1997,16.7,33,19,17,12,4,6,28,21.4,22,406,95,23.4,143,216,47,24,4,0,20,14,47,27,0
62,Ante Budimir,hr  CRO,FW,Mallorca,28,1991,30.7,31,21,4,21,6,3,19,15.8,16,477,112,23.5,42,246,189,25,10,0,15,3,34,24,0
63,Esteban Burgos,ar  ARG,DF,Eibar,27,1992,12.4,15,9,14,1,0,7,11,63.6,4,75,27,36.0,45,28,2,23,10,0,13,12,27,84,1
64,Burgui,es  ESP,MF,Alavés,25,1993,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,0,4,1,0,0,0,0,0,0,0,0
65,Oliver Burke,sco  SCO,"MF,FW",Alavés,22,1997,15.9,20,5,7,8,5,9,23,39.1,14,270,56,20.7,49,145,76,25,2,0,23,6,26,14,0
66,Sergio Busquets,es  ESP,MF,Barcelona,31,1988,27.6,78,63,24,44,10,32,63,50.8,31,491,146,29.7,124,272,95,52,5,0,47,36,114,40,2
67,Unai Bustinza,es  ESP,DF,Leganés,27,1992,29.8,76,47,46,22,8,30,57,52.6,27,374,131,35.0,192,142,40,45,10,0,35,39,115,153,0
68,Ariday Cabrera,es  ESP,"MF,FW",Mallorca,30,1988,0.4,1,1,1,0,0,0,0,,0,5,1,20.0,0,2,3,2,0,0,2,0,1,0,0
69,Fernando Calero,es  ESP,DF,Espanyol,23,1995,11.6,14,8,9,4,1,6,13,46.2,7,102,29,28.4,62,36,4,18,4,1,14,4,18,81,0
70,Jonathan Calleri,ar  ARG,FW,Espanyol,25,1993,20.1,16,9,5,8,3,5,17,29.4,12,284,83,29.2,28,132,124,14,4,0,10,7,23,22,0
71,Víctor Camarasa,es  ESP,MF,Alavés,25,1994,14.4,17,14,8,8,1,6,19,31.6,13,254,65,25.6,59,163,32,16,3,0,13,10,27,18,0
72,Sergio Camello,es  ESP,FW,Atlético Madrid,18,2001,0.3,1,1,0,1,0,0,0,,0,4,0,0.0,0,4,0,0,0,0,0,0,1,0,0
73,José Campaña,es  ESP,MF,Levante,26,1993,35.1,39,25,19,12,8,18,65,27.7,47,599,156,26.0,192,281,126,51,8,0,43,26,65,55,0
74,Xisco Campos,es  ESP,DF,Mallorca,37,1982,5.3,7,5,4,3,0,3,9,33.3,6,63,22,34.9,39,22,2,10,4,0,6,9,16,36,1
75,Víctor Campuzano,es  ESP,FW,Espanyol,22,1997,9.7,14,13,2,8,4,1,13,7.7,12,215,53,24.7,19,109,87,5,0,0,5,1,15,4,0
76,Sergio Canales,es  ESP,"MF,FW",Betis,28,1991,35.1,30,25,12,12,6,8,37,21.6,29,379,85,22.4,112,180,87,44,3,0,41,8,38,17,0
77,Ander Capa,es  ESP,DF,Athletic Club,27,1992,31.9,58,32,38,16,4,17,55,30.9,38,438,113,25.8,221,141,76,56,6,0,50,20,78,99,0
78,Marc Cardona,es  ESP,FW,Osasuna,24,1995,7.8,2,2,1,1,0,0,7,0.0,7,150,47,31.3,10,77,63,7,0,0,7,0,2,4,0
79,Diego Carlos,br  BRA,DF,Sevilla,26,1993,34.8,45,34,28,16,1,16,29,55.2,13,187,75,40.1,108,71,8,57,29,0,28,18,63,240,3
80,Yannick Carrasco,be  BEL,"MF,FW",Atlético Madrid,25,1993,7.0,13,7,6,4,3,5,16,31.3,11,148,38,25.7,39,64,45,11,0,0,11,5,18,2,0
81,Daniel Carriço,pt  POR,DF,Sevilla,30,1988,9.4,11,9,7,3,1,3,8,37.5,5,47,14,29.8,22,20,5,10,3,0,7,3,14,44,1
82,Guido Carrillo,ar  ARG,FW,Leganés,28,1991,13.5,16,10,2,11,3,2,12,16.7,10,251,64,25.5,11,122,118,14,3,0,11,3,19,15,0
83,Dani Carvajal,es  ESP,DF,Real Madrid,27,1992,30.4,70,53,30,31,9,19,47,40.4,28,442,132,29.9,143,206,93,71,14,0,57,39,109,36,1
84,William Carvalho,pt  POR,MF,Betis,27,1992,9.9,10,7,3,4,3,4,12,33.3,8,105,28,26.7,33,56,16,13,5,0,8,2,12,13,0
85,Casemiro,br  BRA,MF,Real Madrid,27,1992,34.3,112,75,54,46,12,38,99,38.4,61,605,219,36.2,255,301,49,83,13,1,70,37,149,79,0
86,Santi Cazorla,es  ESP,MF,Villarreal,34,1984,27.2,44,28,14,27,3,18,58,31.0,40,476,131,27.5,134,259,83,35,2,0,33,13,57,9,0
87,Sofian Chakla,ma  MAR,DF,Villarreal,25,1993,2.0,0,0,0,0,0,0,1,0.0,1,11,5,45.5,8,3,0,1,1,0,0,1,1,9,0
88,Charles,br  BRA,FW,Eibar,35,1984,14.5,13,6,2,7,4,2,13,15.4,11,228,52,22.8,11,101,116,12,3,0,9,3,16,7,0
89,Pablo Chavarría,ar  ARG,"FW,MF",Mallorca,31,1988,2.3,2,1,1,1,0,0,2,0.0,2,69,10,14.5,18,22,29,3,1,0,2,0,2,2,0
90,Pape Cheikh Diop,sn  SEN,MF,Celta Vigo,21,1997,6.7,12,6,6,4,2,3,14,21.4,11,143,38,26.6,44,72,27,3,2,0,1,2,14,4,0
91,Chema,es  ESP,DF,Getafe,27,1992,3.4,2,2,0,2,0,0,0,,0,23,12,52.2,7,15,1,3,0,0,3,2,4,18,0
92,Denis Cheryshev,ru  RUS,"MF,FW",Valencia,28,1990,10.3,12,7,5,3,4,4,22,18.2,18,173,37,21.4,55,84,34,24,1,0,23,8,20,9,0
93,Samuel Chukwueze,ng  NGA,"MF,FW",Villarreal,20,1999,22.8,18,15,8,5,5,7,21,33.3,14,347,97,28.0,75,157,115,29,1,0,28,9,27,8,1
94,Churripi,es  ESP,GK,Valladolid,25,1994,2.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
95,Jasper Cillessen,nl  NED,GK,Valencia,30,1989,23.3,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0
96,Óscar Clemente,es  ESP,MF,Atlético Madrid,20,1999,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,1,0,0,1,0,0,0,0
97,Carlos Clerc,es  ESP,DF,Levante,27,1992,20.5,37,19,18,17,2,12,25,48.0,13,256,75,29.3,115,108,33,48,10,0,38,17,54,69,0
98,Coke,es  ESP,DF,Levante,32,1987,11.0,25,15,15,7,3,9,26,34.6,17,120,37,30.8,64,41,15,16,3,0,13,6,31,31,0
99,Álex Collado,es  ESP,DF,Barcelona,20,1999,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,0,0,2,0,0,0,0,0,0,0,0
100,Francis Coquelin,fr  FRA,MF,Valencia,28,1991,21.2,34,24,20,13,1,11,31,35.5,20,284,79,27.8,144,115,25,30,10,0,20,29,63,32,0
101,Sébastien Corchia,fr  FRA,DF,Espanyol,28,1990,3.0,2,0,2,0,0,1,3,33.3,2,17,5,29.4,7,5,5,12,1,0,11,2,4,6,0
102,Iñigo Córdoba,es  ESP,FW,Athletic Club,22,1997,16.0,26,14,14,11,1,10,52,19.2,42,396,104,26.3,120,166,110,39,1,0,38,10,36,11,0
103,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,24,1995,22.9,23,15,8,5,10,6,40,15.0,34,410,123,30.0,71,189,150,39,6,0,33,12,35,20,0
104,Rober Correa,es  ESP,DF,Eibar,26,1992,10.3,16,9,10,4,2,7,14,50.0,7,92,25,27.2,30,41,21,21,5,0,16,5,21,49,0
105,Thierry Correia,pt  POR,DF,Valencia,20,1999,2.9,7,5,5,2,0,1,3,33.3,2,32,15,46.9,20,11,1,6,0,0,6,1,8,13,0
106,Antonio Cortés,es  ESP,"FW,MF",Granada,19,2000,2.0,3,3,2,1,0,0,1,0.0,1,41,12,29.3,6,13,22,2,0,0,2,0,3,0,0
107,Diego Costa,es  ESP,FW,Atlético Madrid,30,1988,15.0,10,9,2,5,3,2,10,20.0,8,200,59,29.5,18,94,88,14,3,0,11,3,13,12,0
108,Jaume Costa,es  ESP,DF,Valencia,31,1988,15.4,26,18,16,8,2,12,28,42.9,16,149,39,26.2,78,51,20,37,6,0,31,8,34,64,0
109,David Costas,es  ESP,DF,Celta Vigo,24,1995,3.8,7,4,6,1,0,0,3,0.0,3,26,9,34.6,19,4,3,6,4,0,2,7,14,19,0
110,Thibaut Courtois,be  BEL,GK,Real Madrid,27,1992,34.0,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,3,2
111,Sebastián Cristóforo,uy  URU,MF,Eibar,25,1993,9.7,42,24,14,17,11,9,28,32.1,19,257,80,31.1,68,127,62,31,3,0,28,7,49,2,0
112,Cucho,co  COL,"FW,MF",Mallorca,20,1999,16.5,19,11,9,9,1,4,15,26.7,11,259,61,23.6,58,120,81,20,2,0,18,9,28,14,0
113,Marc Cucurella,es  ESP,"MF,DF",Getafe,21,1998,36.0,88,62,31,45,12,27,82,32.9,55,938,303,32.3,229,461,248,76,8,1,68,29,117,41,0
114,Iván Cuéllar,es  ESP,GK,Leganés,35,1984,27.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,3,1
115,Moanes Dabour,il  ISR,FW,Sevilla,27,1992,0.3,1,1,0,0,1,0,0,,0,5,3,60.0,0,1,4,0,0,0,0,0,1,1,0
116,Sergi Darder,es  ESP,"MF,FW",Espanyol,25,1993,29.5,48,25,12,26,10,12,48,25.0,36,630,153,24.3,131,344,155,33,0,0,33,20,68,28,1
117,Ousmane Dembélé,fr  FRA,FW,Barcelona,22,1997,4.0,0,0,0,0,0,0,3,0.0,3,58,10,17.2,9,31,18,4,0,0,4,0,0,0,0
118,Deyverson,br  BRA,FW,Getafe,28,1991,2.3,0,0,0,0,0,0,2,0.0,2,44,7,15.9,4,14,26,2,1,0,1,1,1,5,0
119,Mouctar Diakhaby,fr  FRA,DF,Valencia,22,1996,16.0,14,10,10,3,1,3,10,30.0,7,124,39,31.5,77,42,5,23,14,0,9,4,18,101,1
120,Brahim Díaz,es  ESP,"FW,MF",Real Madrid,19,1999,0.7,1,1,0,1,0,0,0,,0,14,2,14.3,4,6,4,1,0,0,1,2,3,0,0
121,Víctor Díaz,es  ESP,DF,Granada,31,1988,32.0,79,45,35,39,5,27,67,40.3,40,405,120,29.6,180,169,56,88,24,0,64,27,106,131,0
122,Papakouli Diop,sn  SEN,MF,Eibar,33,1986,25.0,43,27,10,27,6,15,44,34.1,29,414,113,27.3,92,254,68,37,8,0,29,20,63,50,1
123,Djené,tg  TOG,DF,Getafe,27,1991,34.0,51,28,35,16,0,16,29,55.2,13,274,101,36.9,163,101,10,24,9,0,15,32,83,232,0
124,Naïs Djouahra,fr  FRA,FW,Real Sociedad,19,1999,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,3,1,0,0,0,0,0,0,0,0
125,Marko Dmitrović,rs  SRB,GK,Eibar,27,1992,35.0,0,0,0,0,0,0,3,0.0,3,5,0,0.0,5,0,0,1,0,0,1,0,0,2,0
126,Jaume Doménech,es  ESP,GK,Valencia,28,1990,14.7,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2
127,Domingos Duarte,pt  POR,DF,Granada,24,1995,34.3,35,21,27,8,0,7,16,43.8,9,208,74,35.6,124,82,2,49,24,0,25,15,50,234,0
128,Óscar Duarte,cr  CRC,DF,Levante,30,1989,5.4,11,7,10,1,0,2,3,66.7,1,49,19,38.8,34,14,1,11,6,0,5,3,14,45,1
129,Rubén Duarte,es  ESP,DF,Alavés,23,1995,29.6,69,38,41,23,5,30,55,54.5,25,348,104,29.9,153,149,46,62,9,0,53,19,88,128,1
130,Hugo Duro,es  ESP,"FW,MF",Getafe,19,1999,4.2,5,2,2,1,2,2,8,25.0,6,98,29,29.6,5,55,38,4,0,0,4,1,6,2,0
131,Aritz Elustondo,es  ESP,DF,Real Sociedad,25,1994,16.8,31,13,19,11,1,13,26,50.0,13,140,39,27.9,75,59,6,28,9,0,19,14,45,122,0
132,Rodrigo Ely,br  BRA,DF,Alavés,25,1993,23.6,27,16,18,9,0,10,27,37.0,17,160,49,30.6,112,47,1,38,20,0,18,12,39,178,1
133,Adri Embarba,es  ESP,"MF,FW",Espanyol,27,1992,15.2,28,18,16,8,4,12,34,35.3,22,322,95,29.5,85,144,93,37,4,0,33,11,39,6,0
134,Emerson,br  BRA,DF,Betis,20,1999,31.5,83,45,54,23,6,25,73,34.2,48,469,118,25.2,222,164,83,57,9,0,48,17,100,80,0
135,Sergi Enrich,es  ESP,FW,Eibar,29,1990,20.7,21,17,5,8,8,0,13,0.0,13,446,137,30.7,25,175,246,30,4,0,26,5,26,13,0
136,Javier Eraso,es  ESP,"MF,FW",Leganés,29,1990,9.1,9,8,3,4,2,4,16,25.0,12,200,51,25.5,48,98,54,15,0,0,15,4,13,10,0
137,Gonzalo Escalante,ar  ARG,MF,Eibar,26,1993,18.6,41,29,13,24,4,17,38,44.7,21,323,101,31.3,79,189,55,35,5,0,30,15,56,31,0
138,Aarón Escandell,es  ESP,GK,Granada,23,1995,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
139,Sergio Escudero,es  ESP,DF,Sevilla,29,1989,8.6,26,13,15,10,1,13,22,59.1,9,123,38,30.9,51,55,17,19,1,0,18,6,32,36,0
140,Bernardo Espinosa,co  COL,DF,Espanyol,30,1989,25.1,27,19,19,6,2,11,29,37.9,18,172,70,40.7,104,59,9,31,11,0,20,12,39,174,1
141,Vicente Esquerdo,es  ESP,MF,Valencia,20,1999,0.2,0,0,0,0,0,0,0,,0,4,1,25.0,1,3,0,1,0,0,1,0,0,0,0
142,Pervis Estupiñán,ec  ECU,DF,Osasuna,21,1998,33.1,87,57,58,24,5,37,72,51.4,35,497,167,33.6,236,197,64,58,8,1,50,44,131,86,2
143,Oghenekaro Etebo,ng  NGA,MF,Getafe,23,1995,6.4,20,14,9,8,3,7,13,53.8,6,117,36,30.8,42,60,15,9,1,0,8,10,30,16,1
144,Beñat Etxebarria,es  ESP,MF,Athletic Club,32,1987,4.4,7,4,2,3,2,1,10,10.0,9,82,19,23.2,21,52,9,8,1,0,7,3,10,8,0
145,Xabier Etxeita,es  ESP,DF,Getafe,31,1987,16.1,22,11,8,13,1,9,20,45.0,11,140,46,32.9,55,71,14,21,6,0,15,7,29,158,0
146,Edu Expósito,es  ESP,MF,Eibar,22,1996,25.7,56,41,11,29,16,16,58,27.6,42,480,148,30.8,103,290,87,28,6,0,22,20,76,36,0
147,Fabricio,es  ESP,GK,Mallorca,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
148,Fayçal Fajr,ma  MAR,MF,Getafe,30,1988,4.5,1,1,0,1,0,0,6,0.0,6,75,24,32.0,13,41,21,7,0,0,7,4,5,8,0
149,Eliseo Falcon,es  ESP,"DF,MF",Levante,22,1997,0.8,1,0,1,0,0,0,1,0.0,1,7,1,14.3,1,6,0,0,0,0,0,0,1,3,0
150,Ansu Fati,es  ESP,"FW,DF",Barcelona,16,2002,11.4,19,10,4,7,8,6,16,37.5,10,224,68,30.4,39,95,90,16,1,0,15,2,21,3,0
151,Aleix Febas,es  ESP,MF,Mallorca,23,1996,18.8,40,25,19,18,3,10,29,34.5,19,366,95,26.0,108,196,62,16,1,0,15,19,59,3,0
152,Zouhair Feddal,ma  MAR,DF,Betis,30,1989,15.9,17,11,9,7,1,4,10,40.0,6,124,41,33.1,60,59,5,19,10,0,9,9,26,113,0
153,Ljubomir Fejsa,rs  SRB,MF,Alavés,30,1988,8.7,27,17,13,14,0,7,27,25.9,20,213,55,25.8,76,125,12,9,1,0,8,4,31,15,0
154,Nabil Fekir,fr  FRA,"MF,FW",Betis,26,1993,29.3,43,26,18,16,9,7,31,22.6,24,598,146,24.4,102,303,193,36,5,0,31,12,55,6,0
155,Felipe,br  BRA,DF,Atlético Madrid,30,1989,23.4,33,18,26,7,0,14,25,56.0,11,160,58,36.3,100,52,8,29,16,1,13,24,57,186,1
156,João Félix,pt  POR,"FW,MF",Atlético Madrid,19,1999,19.4,9,4,2,4,3,0,14,0.0,14,211,47,22.3,23,122,66,11,1,0,10,2,11,9,0
157,Matheus Fernandes,br  BRA,MF,Valladolid,21,1998,1.8,6,4,2,3,1,3,6,50.0,3,34,12,35.3,10,18,6,2,0,0,2,0,6,2,0
