club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season
Brighton & Hove Albion,Anthony Barness,32,England,Right-Back,RB,-,Bolton,England,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Bojan Djordjic,23,Sweden,Left Winger,LW,-,Rangers,Scotland,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Rufus Brevett,35,England,Left-Back,LB,-,West Ham,England,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Taribo West,31,Nigeria,Left-Back,LB,-,Al-Arabi SC,Qatar,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Nuno Mendes,27,Portugal,Centre-Back,CB,-,Santa Clara,Portugal,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Chris Zebroski,18,England,attack,attack,-,Cirencester,England,free transfer,in,summer,championship,2005
Brighton & Hove Albion,Matt Derbyshire,19,England,Centre-Forward,CF,€400Th.,Blackburn Res.,England,loan transfer,in,summer,championship,2005
Brighton & Hove Albion,Peter Gilbert,21,Wales,Left-Back,LB,-,Leicester,England,€300Th.,out,summer,championship,2005
Brighton & Hove Albion,Steven Milne,25,Scotland,Centre-Forward,CF,-,St. Johnstone,Scotland,free transfer,out,summer,championship,2005
Brighton & Hove Albion,David Worrell,27,Ireland,Right-Back,RB,-,Rotherham,England,free transfer,out,summer,championship,2005
Brighton & Hove Albion,Graham Coughlan,30,Ireland,Centre-Back,CB,-,Sheff Wed,England,free transfer,out,summer,championship,2005
Brighton & Hove Albion,Gary Sawyer,20,England,Centre-Back,CB,-,Exeter City,England,loan transfer,out,summer,championship,2005
Brighton & Hove Albion,Leon Clarke,21,England,Centre-Forward,CF,€300Th.,Wolves,England,?,out,summer,championship,2005
Brighton & Hove Albion,Anthony Pulis,21,Wales,Central Midfield,CM,-,Stoke City,England,"End of loanMay 1, 2006",out,summer,championship,2005
Brighton & Hove Albion,Vincent Péricard,23,France,Centre-Forward,CF,-,Portsmouth,England,"End of loanMay 1, 2006",out,summer,championship,2005
Brighton & Hove Albion,Dexter Blackstock,19,Antigua and Barbuda,Centre-Forward,CF,-,Southampton,England,"End of loanJun 30, 2005",out,summer,championship,2005
Brighton & Hove Albion,Lilian Nalis,34,France,Central Midfield,CM,-,Sheff Utd,England,free transfer,in,winter,championship,2005
Brighton & Hove Albion,Leon Clarke,21,England,Centre-Forward,CF,€300Th.,Wolves,England,free transfer,in,winter,championship,2005
Brighton & Hove Albion,Elliott Ward,20,England,Centre-Back,CB,-,West Ham,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Jason Jarrett,26,England,Central Midfield,CM,-,Norwich,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Anthony Pulis,21,Wales,Central Midfield,CM,-,Stoke City,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Vincent Péricard,23,France,Centre-Forward,CF,-,Portsmouth,England,loan transfer,in,winter,championship,2005
Brighton & Hove Albion,Scott Taylor,29,England,Centre-Forward,CF,-,MK Dons,England,€150Th.,out,winter,championship,2005
Brighton & Hove Albion,Bjarni Gudjónsson,26,Iceland,Right Midfield,RM,-,ÍA Akranes,Iceland,free transfer,out,winter,championship,2005
Brighton & Hove Albion,Rufus Brevett,36,England,Left-Back,LB,-,Leicester,England,loan transfer,out,winter,championship,2005
Brighton & Hove Albion,Keith Lasley,26,Scotland,Defensive Midfield,DM,-,Blackpool,England,loan transfer,out,winter,championship,2005
Brighton & Hove Albion,Jason Jarrett,26,England,Central Midfield,CM,-,Norwich,England,"End of loanDec 31, 2005",out,winter,championship,2005
Brighton & Hove Albion,Elliott Ward,21,England,Centre-Back,CB,-,West Ham,England,"End of loanFeb 1, 2006",out,winter,championship,2005
Brighton & Hove Albion,Matt Derbyshire,19,England,Centre-Forward,CF,€400Th.,Blackburn Res.,England,"End of loanDec 31, 2005",out,winter,championship,2005
Burnley FC,Sammy Igoe,29,England,Central Midfield,CM,-,Swindon Town,England,free transfer,in,summer,championship,2005
Burnley FC,Jamie Vincent,30,England,Left-Back,LB,-,Derby,England,free transfer,in,summer,championship,2005
Burnley FC,Carl Asaba,32,England,Centre-Forward,CF,-,Stoke City,England,free transfer,in,summer,championship,2005
Burnley FC,Fangueiro,28,Portugal,Right Winger,RW,-,Leiria,Portugal,free transfer,in,summer,championship,2005
Burnley FC,Don Hutchison,34,Scotland,Attacking Midfield,AM,-,West Ham,England,free transfer,in,summer,championship,2005
Burnley FC,Paul Jones,38,Wales,Goalkeeper,GK,-,Wolves,England,loan transfer,in,summer,championship,2005
Burnley FC,Philip Ifil,18,England,Right-Back,RB,-,Spurs,England,loan transfer,in,summer,championship,2005
Burnley FC,Adrian Williams,34,Wales,Centre-Back,CB,-,Coventry,England,loan transfer,in,summer,championship,2005
Burnley FC,Darren Ward,26,England,Centre-Back,CB,-,Crystal Palace,England,€1.65m,out,summer,championship,2005
Burnley FC,Paul Ifill,25,Barbados,Right Winger,RW,-,Sheff Utd,England,€1.20m,out,summer,championship,2005
Burnley FC,Peter Sweeney,20,Scotland,Central Midfield,CM,-,Stoke City,England,€325Th.,out,summer,championship,2005
Burnley FC,Danny Dichio,30,England,Centre-Forward,CF,-,Preston,England,€250Th.,out,summer,championship,2005
Burnley FC,Alex Tiesse,19,England,Centre-Forward,CF,-,Woking,England,free transfer,out,summer,championship,2005
Burnley FC,Bob Peeters,31,Belgium,Centre-Forward,CF,-,KRC Genk,Belgium,free transfer,out,summer,championship,2005
Burnley FC,Kevin Muscat,31,Australia,Centre-Back,CB,-,Melbourne,Australia,free transfer,out,summer,championship,2005
Burnley FC,Joe Dolan,25,Northern Ireland,Centre-Back,CB,-,Leyton Orient,England,free transfer,out,summer,championship,2005
Burnley FC,Dennis Wise,38,England,Attacking Midfield,AM,-,Southampton,England,free transfer,out,summer,championship,2005
Burnley FC,John Sutton,21,England,Centre-Forward,CF,-,St. Mirren,Scotland,free transfer,out,summer,championship,2005
Burnley FC,Trevor Robinson,21,England,midfield,midfield,-,Tamworth,England,loan transfer,out,summer,championship,2005
Burnley FC,Aboubacar Fofana,22,France,Left Midfield,LM,-,Jeanne d'Arc,Senegal,?,out,summer,championship,2005
Burnley FC,Charley Hearn,21,England,attack,attack,-,,,-,out,summer,championship,2005
Burnley FC,Mark Quigley,19,Ireland,Centre-Forward,CF,-,Shamrock Rovers,Ireland,loan transfer,out,summer,championship,2005
Burnley FC,Jo Tessem,33,Norway,Central Midfield,CM,-,Southampton,England,"End of loanJun 30, 2005",out,summer,championship,2005
Burnley FC,Philip Ifil,19,England,Right-Back,RB,-,Spurs,England,"End of loanMay 1, 2006",out,summer,championship,2005
Burnley FC,Colin Doyle,20,Ireland,Goalkeeper,GK,€100Th.,Birmingham,England,"End of loanMay 1, 2006",out,summer,championship,2005
Burnley FC,Jamie Vincent,30,England,Left-Back,LB,-,Yeovil Town,England,"End of loanMay 1, 2006",out,summer,championship,2005
Burnley FC,Zak Whitbread,22,United States,Centre-Back,CB,-,Liverpool,England,"End of loanMay 31, 2006",out,summer,championship,2005
Burnley FC,Berry Powel,25,Netherlands,Centre-Forward,CF,-,FC Den Bosch,Netherlands,€220Th.,in,winter,championship,2005
Burnley FC,Lloyd Dyer,23,England,Left Midfield,LM,-,West Brom,England,€200Th.,in,winter,championship,2005
Burnley FC,Kevin Braniff,22,Northern Ireland,Centre-Forward,CF,-,Canvey Island,England,free transfer,in,winter,championship,2005
Burnley FC,Zak Whitbread,21,United States,Centre-Back,CB,-,Liverpool,England,loan transfer,in,winter,championship,2005
Burnley FC,Jamie Vincent,30,England,Left-Back,LB,-,Yeovil Town,England,loan transfer,in,winter,championship,2005
Burnley FC,Lenny Pidgeley,21,England,Goalkeeper,GK,-,Chelsea,England,loan transfer,in,winter,championship,2005
Burnley FC,Colin Doyle,20,Ireland,Goalkeeper,GK,€100Th.,Birmingham,England,loan transfer,in,winter,championship,2005
Burnley FC,Colin Cameron,33,Scotland,Central Midfield,CM,-,Wolves,England,loan transfer,in,winter,championship,2005
Burnley FC,Bruce Dyer,30,England,Centre-Forward,CF,-,Stoke City,England,loan transfer,in,winter,championship,2005
Burnley FC,Scott Dobie,27,Scotland,Centre-Forward,CF,-,Nottm Forest,England,€1.00m,out,winter,championship,2005
Burnley FC,Mark Quigley,20,Ireland,Centre-Forward,CF,-,St. Patricks,Ireland,free transfer,out,winter,championship,2005
Burnley FC,Trevor Robinson,21,England,midfield,midfield,-,Cambridge Utd.,England,free transfer,out,winter,championship,2005
Burnley FC,Jamie Vincent,30,England,Left-Back,LB,-,Yeovil Town,England,free transfer,out,winter,championship,2005
Burnley FC,Don Hutchison,34,Scotland,Attacking Midfield,AM,-,Coventry,England,free transfer,out,winter,championship,2005
Burnley FC,Terry Masterson,19,Ireland,Goalkeeper,GK,-,Bray Wanderers,Ireland,free transfer,out,winter,championship,2005
Burnley FC,Adrian Serioux,26,Canada,Defensive Midfield,DM,-,Red Bulls,United States,free transfer,out,winter,championship,2005
Burnley FC,Joe Healy,19,England,Left Winger,LW,-,Walton & Hersham FC,England,loan transfer,out,winter,championship,2005
Burnley FC,Sammy Igoe,30,England,Central Midfield,CM,-,Bristol Rovers,England,loan transfer,out,winter,championship,2005
Burnley FC,Michael Bostwick,17,England,Centre-Back,CB,€325Th.,Crawley Town,England,loan transfer,out,winter,championship,2005
Burnley FC,Lloyd Dyer,23,England,Left Midfield,LM,-,Without Club,,-,out,winter,championship,2005
Burnley FC,Colin Cameron,33,Scotland,Central Midfield,CM,-,Wolves,England,"End of loanApr 1, 2006",out,winter,championship,2005
Burnley FC,Lenny Pidgeley,21,England,Goalkeeper,GK,-,Chelsea,England,"End of loanDec 1, 2005",out,winter,championship,2005
Burnley FC,Bruce Dyer,30,England,Centre-Forward,CF,-,Stoke City,England,"End of loanDec 31, 2005",out,winter,championship,2005
Burnley FC,Adrian Williams,34,Wales,Centre-Back,CB,-,Coventry,England,"End of loanDec 1, 2005",out,winter,championship,2005
Burnley FC,Paul Jones,38,Wales,Goalkeeper,GK,-,Wolves,England,"End of loanNov 1, 2005",out,winter,championship,2005
Cardiff City,Danny Dichio,30,England,Centre-Forward,CF,-,Millwall,England,€250Th.,in,summer,championship,2005
Cardiff City,Joe Anyinsah,20,England,Right Winger,RW,-,Bristol City,England,free transfer,in,summer,championship,2005
Cardiff City,Adam Nowland,23,England,Attacking Midfield,AM,-,Nottm Forest,England,free transfer,in,summer,championship,2005
Cardiff City,Dave Hibbert,19,England,Centre-Forward,CF,-,Port Vale,England,free transfer,in,summer,championship,2005
Cardiff City,David Jones,20,England,Central Midfield,CM,-,Man Utd,England,loan transfer,in,summer,championship,2005
Cardiff City,Jemal Johnson,20,United States,Left Winger,LW,-,Blackburn,England,loan transfer,in,summer,championship,2005
Cardiff City,Lewis Neal,23,England,Central Midfield,CM,-,Stoke City,England,?,in,summer,championship,2005
Cardiff City,Richard Cresswell,27,England,Centre-Forward,CF,-,Leeds,England,€1.73m,out,summer,championship,2005
Cardiff City,Eddie Lewis,31,United States,Left Midfield,LM,-,Leeds,England,free transfer,out,summer,championship,2005
Cardiff City,Joe O'Neill,22,Scotland,attack,attack,-,York City,England,free transfer,out,summer,championship,2005
Cardiff City,Andy Smith,24,Northern Ireland,Centre-Forward,CF,-,Motherwell FC,Scotland,loan transfer,out,summer,championship,2005
Cardiff City,Andy Lonergan,21,England,Goalkeeper,GK,€250Th.,Wycombe,England,loan transfer,out,summer,championship,2005
Cardiff City,David Elebert,19,Ireland,Centre-Back,CB,-,Scarborough Athletic,England,loan transfer,out,summer,championship,2005
Cardiff City,Mark Jackson,19,England,attack,attack,-,Shrewsbury,England,loan transfer,out,summer,championship,2005
Cardiff City,Marlon Broomes,27,England,Centre-Back,CB,-,Stoke City,England,?,out,summer,championship,2005
Cardiff City,Michael Brown,20,England,midfield,midfield,-,Unknown,,?,out,summer,championship,2005
Cardiff City,Simon Lynch,23,Scotland,Centre-Forward,CF,-,Without Club,,-,out,summer,championship,2005
Cardiff City,Marcus Stewart,33,England,Centre-Forward,CF,-,Bristol City,England,"End of loanMay 1, 2006",out,summer,championship,2005
Cardiff City,Simon Whaley,20,England,Attacking Midfield,AM,-,Bury,England,€300Th.,in,winter,championship,2005
Cardiff City,Brian Stock,24,Wales,Central Midfield,CM,-,Bournemouth,England,€175Th.,in,winter,championship,2005
Cardiff City,Brett Ormerod,29,England,Centre-Forward,CF,-,Southampton,England,free transfer,in,winter,championship,2005
Cardiff City,Jason Jarrett,26,England,Central Midfield,CM,-,Norwich,England,free transfer,in,winter,championship,2005
Cardiff City,Kelvin Wilson,20,England,Centre-Back,CB,-,Notts County,England,free transfer,in,winter,championship,2005
Cardiff City,Marcus Stewart,33,England,Centre-Forward,CF,-,Bristol City,England,loan transfer,in,winter,championship,2005
Cardiff City,Dickson Etuhu,23,Nigeria,Defensive Midfield,DM,-,Norwich,England,€600Th.,out,winter,championship,2005
Cardiff City,Chris Lucketti,34,England,Centre-Back,CB,-,Sheff Utd,England,€450Th.,out,winter,championship,2005
Cardiff City,Eric Skora,24,France,Attacking Midfield,AM,-,Kilmarnock FC,Scotland,free transfer,out,winter,championship,2005
Cardiff City,David Elebert,19,Ireland,Centre-Back,CB,-,Hamilton Acad.,Scotland,free transfer,out,winter,championship,2005
Cardiff City,Alan McCormack,21,Ireland,Defensive Midfield,DM,-,Motherwell FC,Scotland,loan transfer,out,winter,championship,2005
Cardiff City,Joe Anyinsah,21,England,Right Winger,RW,-,Bury,England,loan transfer,out,winter,championship,2005
Cardiff City,Dickson Etuhu,23,Nigeria,Defensive Midfield,DM,-,Norwich,England,loan transfer,out,winter,championship,2005
Cardiff City,Mark Jackson,20,England,attack,attack,-,Southport,England,loan transfer,out,winter,championship,2005
Cardiff City,David Jones,21,England,Central Midfield,CM,-,Man Utd,England,"End of loanDec 1, 2005",out,winter,championship,2005
Cardiff City,Jemal Johnson,20,United States,Left Winger,LW,-,Blackburn,England,"End of loanNov 1, 2005",out,winter,championship,2005
Crewe Alexandra,Marlon King,25,Jamaica,Centre-Forward,CF,-,Nottm Forest,England,€650Th.,in,summer,championship,2005
Crewe Alexandra,Darius Henderson,23,England,Centre-Forward,CF,-,Gillingham FC,England,€550Th.,in,summer,championship,2005
Crewe Alexandra,Matthew Spring,25,England,Central Midfield,CM,-,Leeds,England,€225Th.,in,summer,championship,2005
Crewe Alexandra,Clarke Carlisle,25,England,Centre-Back,CB,-,Leeds,England,€150Th.,in,summer,championship,2005
Crewe Alexandra,Jordan Stewart,23,England,Left-Back,LB,-,Leicester,England,€150Th.,in,summer,championship,2005
Crewe Alexandra,Martin Devaney,25,England,Right Midfield,RM,-,Cheltenham,England,free transfer,in,summer,championship,2005
Crewe Alexandra,Francino Francis,18,Jamaica,defence,defence,-,Stoke City,England,free transfer,in,summer,championship,2005
Crewe Alexandra,Ben Gill,17,England,Centre-Back,CB,-,Arsenal U18,England,free transfer,in,summer,championship,2005
Crewe Alexandra,Júnior,29,Brazil,Centre-Forward,CF,-,Derby,England,free transfer,in,summer,championship,2005
Crewe Alexandra,Malky Mackay,33,Scotland,Centre-Back,CB,-,West Ham,England,free transfer,in,summer,championship,2005
Crewe Alexandra,Adam Griffiths,25,Australia,Centre-Back,CB,-,KV Oostende,Belgium,free transfer,in,summer,championship,2005
Crewe Alexandra,Sietes,31,Spain,Left-Back,LB,-,Real Murcia,Spain,free transfer,in,summer,championship,2005
Crewe Alexandra,Les Ferdinand,38,England,Centre-Forward,CF,-,Reading,England,free transfer,in,summer,championship,2005
Crewe Alexandra,Gabriel Agbonlahor,18,England,Centre-Forward,CF,-,Aston Villa,England,loan transfer,in,summer,championship,2005
Crewe Alexandra,Ben Foster,22,England,Goalkeeper,GK,€300Th.,Man Utd,England,loan transfer,in,summer,championship,2005
Crewe Alexandra,Carl Fletcher,25,Wales,Defensive Midfield,DM,-,West Ham,England,loan transfer,in,summer,championship,2005
Crewe Alexandra,Toumani Diagouraga,18,France,Defensive Midfield,DM,€400Th.,Paris SG U19,France,?,in,summer,championship,2005
Crewe Alexandra,Heidar Helguson,27,Iceland,Centre-Forward,CF,-,Fulham,England,€2.00m,out,summer,championship,2005
Crewe Alexandra,Danny Webber,23,England,Centre-Forward,CF,-,Sheff Utd,England,€750Th.,out,summer,championship,2005
Crewe Alexandra,Brynjar Gunnarsson,29,Iceland,Defensive Midfield,DM,-,Reading,England,€350Th.,out,summer,championship,2005
Crewe Alexandra,Paul Mayo,23,England,Left-Back,LB,-,Lincoln City,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Andy Ferrell,21,England,Left Midfield,LM,-,Hereford Utd.,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Steven Graham,20,England,Goalkeeper,GK,-,Barton Rovers,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Júnior,29,Brazil,Centre-Forward,CF,-,Odense BK,Denmark,free transfer,out,summer,championship,2005
Crewe Alexandra,Omari Coleman,23,England,Centre-Forward,CF,-,Lincoln City,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Neil Cox,33,England,Centre-Back,CB,-,Cardiff,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Gary Fisken,23,England,Central Midfield,CM,-,Swansea,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Martin Devaney,25,England,Right Midfield,RM,-,Barnsley FC,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Jason Norville,21,Trinidad and Tobago,Centre-Forward,CF,-,Barnet,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Bruce Dyer,30,England,Centre-Forward,CF,-,Stoke City,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Sean Dyche,34,England,Centre-Back,CB,-,Northampton,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Jack Smith,21,England,Right-Back,RB,-,Swindon Town,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Jermaine Darlington,31,England,Right-Back,RB,-,Cardiff,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Elliott Godfrey,22,Canada,Centre-Forward,CF,-,Hampton & Rich.,England,free transfer,out,summer,championship,2005
Crewe Alexandra,Richard Lee,22,England,Goalkeeper,GK,-,Blackburn,England,loan transfer,out,summer,championship,2005
Crewe Alexandra,Hameur Bouazza,20,Algeria,Right Winger,RW,-,Swindon Town,England,loan transfer,out,summer,championship,2005
Crewe Alexandra,Gabriel Agbonlahor,19,England,Centre-Forward,CF,-,Aston Villa,England,"End of loanOct 22, 2005",out,summer,championship,2005
Crewe Alexandra,Chris Eagles,20,England,Right Winger,RW,-,Man Utd,England,"End of loanMay 1, 2006",out,summer,championship,2005
Crewe Alexandra,Carl Fletcher,25,Wales,Defensive Midfield,DM,-,West Ham,England,"End of loanOct 16, 2005",out,summer,championship,2005
Crewe Alexandra,Yves Makabu-Makalambay,20,DR Congo,Goalkeeper,GK,-,Chelsea Res.,England,loan transfer,in,winter,championship,2005
Crewe Alexandra,Chris Eagles,20,England,Right Winger,RW,-,Man Utd,England,loan transfer,in,winter,championship,2005
Crewe Alexandra,Adam Griffiths,26,Australia,Centre-Back,CB,-,Brentford,England,free transfer,out,winter,championship,2005
Crewe Alexandra,Paul Devlin,33,Scotland,Attacking Midfield,AM,-,Walsall,England,free transfer,out,winter,championship,2005
Crewe Alexandra,Sietes,31,Spain,Left-Back,LB,-,CD Numancia,Spain,free transfer,out,winter,championship,2005
Crewe Alexandra,Jamie Hand,21,England,Central Midfield,CM,-,Peterborough,England,loan transfer,out,winter,championship,2005
Crewe Alexandra,Junior Osborne,17,England,Left-Back,LB,-,Kidderminster,England,loan transfer,out,winter,championship,2005
Crewe Alexandra,Toumani Diagouraga,18,France,Defensive Midfield,DM,€400Th.,Swindon Town,England,loan transfer,out,winter,championship,2005
Crewe Alexandra,Francino Francis,19,Jamaica,defence,defence,-,Kidderminster,England,loan transfer,out,winter,championship,2005
Crewe Alexandra,Francino Francis,19,Jamaica,defence,defence,-,Wealdstone,England,loan transfer,out,winter,championship,2005
Crewe Alexandra,Yves Makabu-Makalambay,20,DR Congo,Goalkeeper,GK,-,Chelsea Res.,England,"End of loanMar 1, 2006",out,winter,championship,2005
Crystal Palace,Matt Heath,23,England,Centre-Back,CB,-,Leicester,England,€75Th.,in,summer,championship,2005
Crystal Palace,Youssef Sofiane,21,France,Centre-Forward,CF,-,West Ham,England,free transfer,in,summer,championship,2005
Crystal Palace,Paul Watson,30,England,Right-Back,RB,-,Brighton,England,free transfer,in,summer,championship,2005
Crystal Palace,Andy Impey,33,England,Defensive Midfield,DM,-,Nottm Forest,England,free transfer,in,summer,championship,2005
Crystal Palace,James Scowcroft,29,England,Centre-Forward,CF,-,Leicester,England,free transfer,in,summer,championship,2005
Crystal Palace,Clayton Ince,32,Trinidad and Tobago,Goalkeeper,GK,-,Crewe Alexandra,England,free transfer,in,summer,championship,2005
Crystal Palace,Márton Fülöp,22,Hungary,Goalkeeper,GK,-,Spurs,England,loan transfer,in,summer,championship,2005
Crystal Palace,Willo Flood,20,Ireland,Central Midfield,CM,-,Man City,England,loan transfer,in,summer,championship,2005
Crystal Palace,Stephen Bywater,24,England,Goalkeeper,GK,-,West Ham,England,loan transfer,in,summer,championship,2005
Crystal Palace,Lilian Nalis,34,France,Central Midfield,CM,-,Sheff Utd,England,loan transfer,in,summer,championship,2005
Crystal Palace,Richard Duffy,19,Wales,Centre-Back,CB,-,Portsmouth,England,loan transfer,in,summer,championship,2005
Crystal Palace,Kevin Pressman,37,England,Goalkeeper,GK,-,Mansfield Town,England,free transfer,out,summer,championship,2005
Crystal Palace,Sean Cooney,21,Australia,Centre-Back,CB,-,Bohemians,Ireland,free transfer,out,summer,championship,2005
Crystal Palace,Ben Mackey,18,England,Centre-Forward,CF,-,Linfield,Northern Ireland,free transfer,out,summer,championship,2005
Crystal Palace,Steve Staunton,36,Ireland,Left-Back,LB,-,Walsall,England,free transfer,out,summer,championship,2005
Crystal Palace,Scott Shearer,24,Scotland,Goalkeeper,GK,-,Bristol Rovers,England,free transfer,out,summer,championship,2005
Crystal Palace,Trevor Benjamin,26,Jamaica,Centre-Forward,CF,-,Peterborough,England,free transfer,out,summer,championship,2005
Crystal Palace,Patrick Suffo,27,Cameroon,Centre-Forward,CF,-,Odd Grenland,Norway,free transfer,out,summer,championship,2005
Crystal Palace,Graham Barrett,23,Ireland,Centre-Forward,CF,-,Livingston FC,Scotland,loan transfer,out,summer,championship,2005
Crystal Palace,Stern John,28,Trinidad and Tobago,Centre-Forward,CF,-,Derby,England,loan transfer,out,summer,championship,2005
Crystal Palace,Adrian Williams,34,Wales,Centre-Back,CB,-,Millwall,England,loan transfer,out,summer,championship,2005
Crystal Palace,Tim Sherwood,36,England,Central Midfield,CM,-,,,-,out,summer,championship,2005
Crystal Palace,Richard Duffy,20,Wales,Centre-Back,CB,-,Portsmouth,England,"End of loanMay 1, 2006",out,summer,championship,2005
Crystal Palace,Florent Laville,31,France,Centre-Back,CB,-,Bolton,England,"End of loanJun 30, 2005",out,summer,championship,2005
Crystal Palace,Shaun Goater,35,Bermuda,Centre-Forward,CF,-,Reading,England,"End of loanJun 30, 2005",out,summer,championship,2005
Crystal Palace,Stephen Bywater,24,England,Goalkeeper,GK,-,West Ham,England,"End of loanOct 1, 2005",out,summer,championship,2005
Crystal Palace,Don Hutchison,34,Scotland,Attacking Midfield,AM,-,Millwall,England,free transfer,in,winter,championship,2005
Crystal Palace,Dennis Wise,39,England,Attacking Midfield,AM,-,Southampton,England,free transfer,in,winter,championship,2005
Crystal Palace,Paul Watson,30,England,Right-Back,RB,-,Woking,England,free transfer,out,winter,championship,2005
Crystal Palace,Neil Wood,22,England,Central Midfield,CM,-,Blackpool,England,free transfer,out,winter,championship,2005
Crystal Palace,Youssef Sofiane,21,France,Centre-Forward,CF,-,AA La Louviere,Belgium,free transfer,out,winter,championship,2005
Crystal Palace,Richard Brush,21,England,Goalkeeper,GK,€10Th.,Shrewsbury,England,free transfer,out,winter,championship,2005
Crystal Palace,Craig Reid,20,England,Centre-Forward,CF,-,Tamworth,England,loan transfer,out,winter,championship,2005
Crystal Palace,Willo Flood,20,Ireland,Central Midfield,CM,-,Man City,England,"End of loanNov 1, 2005",out,winter,championship,2005
Crystal Palace,Lilian Nalis,34,France,Central Midfield,CM,-,Sheff Utd,England,"End of loanJan 12, 2006",out,winter,championship,2005
Derby County,Clinton Morrison,26,Ireland,Centre-Forward,CF,-,Birmingham,England,€3.00m,in,summer,championship,2005
Derby County,Darren Ward,26,England,Centre-Back,CB,-,Millwall,England,€1.65m,in,summer,championship,2005
Derby County,Jon Macken,27,Ireland,Centre-Forward,CF,-,Man City,England,€1.00m,in,summer,championship,2005
Derby County,Jobi McAnuff,23,Jamaica,Left Winger,LW,-,Cardiff,England,€800Th.,in,summer,championship,2005
Derby County,Marco Reich,27,Germany,Left Midfield,LM,-,Without Club,,-,in,summer,championship,2005
Derby County,Wayne Routledge,20,England,Left Winger,LW,-,Spurs,England,€3.00m,out,summer,championship,2005
Derby County,Sándor Torghelle,23,Hungary,Centre-Forward,CF,-,Panathinaikos,Greece,Loan fee:€300Th.,out,summer,championship,2005
Derby County,Vasilios Lakis,28,Greece,Right Midfield,RM,-,AEK Athens,Greece,free transfer,out,summer,championship,2005
Derby County,Darren Powell,29,England,Centre-Back,CB,-,Southampton,England,free transfer,out,summer,championship,2005
Derby County,Lance Cronin,19,England,Goalkeeper,GK,-,Barnet,England,free transfer,out,summer,championship,2005
Derby County,Neil Shipperley,30,England,Centre-Forward,CF,-,Sheff Utd,England,free transfer,out,summer,championship,2005
Derby County,Tyrone Berry,18,England,Centre-Forward,CF,-,Notts County,England,loan transfer,out,summer,championship,2005
Derby County,Kit Symons,34,Wales,Centre-Back,CB,-,,,-,out,summer,championship,2005
Derby County,Nicola Ventola,27,Italy,Centre-Forward,CF,-,Inter,Italy,"End of loanJun 30, 2005",out,summer,championship,2005
Derby County,Joonas Kolkka,31,Finland,Right Winger,RW,-,ADO Den Haag,Netherlands,free transfer,out,winter,championship,2005
Derby County,Tyrone Berry,18,England,Centre-Forward,CF,-,Rush. & Diamon.,England,free transfer,out,winter,championship,2005
Derby County,Sam Togwell,21,England,Defensive Midfield,DM,-,Port Vale,England,loan transfer,out,winter,championship,2005
Derby County,Tommy Black,26,England,Right Midfield,RM,-,Gillingham FC,England,loan transfer,out,winter,championship,2005
Hull City,Colin Kazim-Richards,18,Turkey,Centre-Forward,CF,€500Th.,Bury,England,€300Th.,in,summer,championship,2005
Hull City,Jason Dodd,34,England,Right-Back,RB,-,Southampton,England,free transfer,in,summer,championship,2005
Hull City,Doug Loft,18,England,Central Midfield,CM,-,Hastings Utd,England,free transfer,in,summer,championship,2005
Hull City,Alexandre Frutos,23,France,Left Winger,LW,-,FC Metz,France,free transfer,in,summer,championship,2005
Hull City,Sébastien Carole,22,Martinique,Right Winger,RW,-,Monaco,France,free transfer,in,summer,championship,2005
Hull City,Alan Blayney,23,Northern Ireland,Goalkeeper,GK,-,Southampton,England,loan transfer,in,summer,championship,2005
Hull City,Florent Chaigneau,21,France,Goalkeeper,GK,-,Stade Rennais,France,loan transfer,in,summer,championship,2005
Hull City,Paul McShane,19,Ireland,Centre-Back,CB,€400Th.,Man Utd Res.,England,loan transfer,in,summer,championship,2005
Hull City,Wayne Henderson,21,Ireland,Goalkeeper,GK,-,Aston Villa,England,€50Th.,in,summer,championship,2005
Hull City,Federico Turienzo,22,Argentina,Centre-Forward,CF,-,SSC Venezia,Italy,?,in,summer,championship,2005
Hull City,Adam Virgo,22,Scotland,Centre-Back,CB,-,Celtic,Scotland,€2.20m,out,summer,championship,2005
Hull City,Dan Harding,21,England,Left-Back,LB,-,Leeds,England,€1.25m,out,summer,championship,2005
