,Player,Nation_x,Pos_x,Age_x,MP,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
10,Raphinha,br  BRA,FW,25-321,11,6,534.0,5.9,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.17,0.34,0.51,0.17,0.51,2.5,2.5,2.7,5.2,0.42,0.45,0.87,0.42,0.87,br  BRA,FW,25-321,5.9,1,24,5,20.8,4.04,0.84,0.04,0.2,18.6,4,0,0,2.5,2.5,0.1,-1.5,-1.5,br  BRA,FW,25-321,5.9,247,346,71.4,4006,1096,130,155,83.9,76,93,81.7,30,63,47.6,2,2.7,2.9,-0.7,19,9,24,7,31,br  BRA,FW,25-321,5.9,346,290,53,5,4,6,46,10,38,15,9,1,247,3,13,br  BRA,FW,25-321,5.9,38,6.39,26,6,1,3,1,1,6,1.01,6,0,0,0,0,0,br  BRA,FW,25-321,5.9,9,7,2,1,6,5,9,55.6,4,13,1,12,5,14,1,0,br  BRA,FW,25-321,5.9,430,3,19,127,287,53,430,11,24,45.8,18,5,301,53,br  BRA,FW,25-321,5.9,1,0,0,5,7,2,46,5,7,0,0,0,27,2,1,66.7
11,Ronald Araújo,uy  URU,DF,23-238,6,6,510.0,5.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.7,0.1,0.03,0.13,0.1,0.13,uy  URU,DF,23-238,5.7,0,3,0,0.0,0.53,0.0,0.0,,14.0,0,0,0,0.6,0.6,0.19,-0.6,-0.6,uy  URU,DF,23-238,5.7,302,349,86.5,5699,1801,110,121,90.9,161,175,92.0,28,45,62.2,0,0.2,0.2,-0.2,1,34,1,0,17,uy  URU,DF,23-238,5.7,349,318,29,15,0,5,1,14,0,0,0,0,302,2,1,uy  URU,DF,23-238,5.7,6,1.06,5,0,0,1,0,0,2,0.35,2,0,0,0,0,0,uy  URU,DF,23-238,5.7,8,7,4,4,0,2,3,66.7,1,1,0,1,7,15,11,0,uy  URU,DF,23-238,5.7,382,19,112,255,17,7,382,1,1,100.0,3,1,269,3,uy  URU,DF,23-238,5.7,2,0,0,2,3,1,1,7,7,0,0,0,19,12,8,60.0
12,Jordi Alba,es  ESP,DF,33-224,8,5,502.0,5.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,0.2,0.2,1.0,1.1,0.03,0.18,0.2,0.03,0.2,es  ESP,DF,33-224,5.6,0,4,0,0.0,0.72,0.0,0.0,,24.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,es  ESP,DF,33-224,5.6,479,550,87.1,7427,2367,275,297,92.6,152,170,89.4,37,55,67.3,1,1.0,1.7,0.0,12,62,16,3,46,es  ESP,DF,33-224,5.6,550,482,68,16,3,4,20,52,0,0,0,0,479,0,7,es  ESP,DF,33-224,5.6,21,3.76,17,2,1,0,0,1,2,0.36,2,0,0,0,0,0,es  ESP,DF,33-224,5.6,10,7,7,3,0,6,10,60.0,4,2,1,1,4,14,9,0,es  ESP,DF,33-224,5.6,579,11,101,328,154,10,579,1,3,33.3,1,3,433,13,es  ESP,DF,33-224,5.6,1,0,0,5,2,2,20,4,7,0,0,0,38,1,4,20.0
13,Ferrán Torres,es  ESP,"FW,MF",22-244,11,4,432.0,4.8,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.42,0.0,0.42,0.42,0.42,2.5,2.5,1.2,3.7,0.53,0.25,0.78,0.53,0.78,es  ESP,"FW,MF",22-244,4.8,2,18,6,33.3,3.75,1.25,0.11,0.33,14.6,0,0,0,2.5,2.5,0.14,-0.5,-0.5,es  ESP,"FW,MF",22-244,4.8,139,172,80.8,1883,386,90,101,89.1,39,45,86.7,6,11,54.5,0,1.2,1.4,-1.2,4,5,4,1,11,es  ESP,"FW,MF",22-244,4.8,172,163,8,3,0,1,9,4,1,0,0,0,139,1,8,es  ESP,"FW,MF",22-244,4.8,13,2.71,7,1,3,2,0,0,1,0.21,1,0,0,0,0,0,es  ESP,"FW,MF",22-244,4.8,3,2,0,2,1,1,5,20.0,4,4,1,3,0,3,2,0,es  ESP,"FW,MF",22-244,4.8,235,4,22,76,139,34,235,9,24,37.5,14,9,197,37,es  ESP,"FW,MF",22-244,4.8,2,0,0,5,12,2,9,0,2,0,0,0,18,1,2,33.3
14,Ansu Fati,es  ESP,FW,20-000,12,3,426.0,4.7,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.63,0.63,1.27,0.63,1.27,4.3,4.3,0.9,5.2,0.9,0.19,1.1,0.9,1.1,es  ESP,FW,20-000,4.7,3,26,8,30.8,5.49,1.69,0.12,0.38,13.1,1,0,0,4.3,4.3,0.19,-1.3,-1.3,es  ESP,FW,20-000,4.7,165,194,85.1,1879,257,124,137,90.5,27,33,81.8,3,4,75.0,3,0.9,0.6,2.1,6,6,2,0,6,es  ESP,FW,20-000,4.7,194,191,1,0,0,0,3,0,1,0,0,0,165,2,5,es  ESP,FW,20-000,4.7,18,3.8,10,0,5,3,0,0,5,1.06,3,0,1,1,0,0,es  ESP,FW,20-000,4.7,4,4,2,1,1,2,5,40.0,3,6,0,6,3,7,2,0,es  ESP,FW,20-000,4.7,272,4,18,82,174,51,272,11,22,50.0,12,10,211,45,es  ESP,FW,20-000,4.7,0,0,0,5,4,4,3,3,4,0,0,0,21,2,3,40.0
15,Sergi Roberto,es  ESP,DF,30-266,9,3,377.0,4.2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,0.8,0.8,0.5,1.3,0.19,0.12,0.31,0.19,0.31,es  ESP,DF,30-266,4.2,2,5,3,60.0,1.19,0.72,0.4,0.67,13.8,0,0,0,0.8,0.8,0.16,1.2,1.2,es  ESP,DF,30-266,4.2,284,311,91.3,4336,940,170,177,96.0,87,97,89.7,23,28,82.1,0,0.5,0.6,-0.5,3,32,4,3,11,es  ESP,DF,30-266,4.2,311,267,42,4,0,2,10,38,0,0,0,0,284,2,2,es  ESP,DF,30-266,4.2,9,2.17,7,0,0,2,0,0,1,0.24,1,0,0,0,0,0,es  ESP,DF,30-266,4.2,5,5,3,1,1,3,3,100.0,0,2,1,1,8,13,7,0,es  ESP,DF,30-266,4.2,346,10,54,185,109,11,346,1,4,25.0,3,1,256,18,es  ESP,DF,30-266,4.2,1,0,0,5,4,1,10,8,5,0,0,0,16,0,0,
16,Gerard Piqué,es  ESP,DF,35-271,5,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.16,0.0,0.16,0.16,0.16,es  ESP,DF,35-271,3.3,0,2,0,0.0,0.6,0.0,0.0,,6.5,0,0,0,0.5,0.5,0.27,-0.5,-0.5,es  ESP,DF,35-271,3.3,290,318,91.2,5931,1826,87,95,91.6,159,164,97.0,43,53,81.1,0,0.0,0.1,0.0,0,35,0,0,13,es  ESP,DF,35-271,3.3,318,307,9,4,0,4,0,0,0,0,0,0,290,2,2,es  ESP,DF,35-271,3.3,4,1.2,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,es  ESP,DF,35-271,3.3,3,3,1,2,0,3,3,100.0,0,1,0,1,2,5,16,0,es  ESP,DF,35-271,3.3,347,31,112,229,7,3,347,1,1,100.0,1,1,269,0,es  ESP,DF,35-271,3.3,2,0,0,6,0,0,0,2,3,0,0,0,18,16,5,76.2
17,Andreas Christensen,dk  DEN,DF,26-204,3,3,239.0,2.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06,dk  DEN,DF,26-204,2.7,0,1,0,0.0,0.38,0.0,0.0,,4.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2,dk  DEN,DF,26-204,2.7,235,251,93.6,4222,1272,90,98,91.8,127,130,97.7,15,20,75.0,0,0.0,0.0,0.0,0,9,0,0,5,dk  DEN,DF,26-204,2.7,251,242,9,6,2,1,0,2,0,0,0,0,235,0,0,dk  DEN,DF,26-204,2.7,2,0.75,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,dk  DEN,DF,26-204,2.7,4,2,2,2,0,1,1,100.0,0,1,0,1,3,7,7,0,dk  DEN,DF,26-204,2.7,266,16,106,156,5,1,266,0,0,,0,0,221,0,dk  DEN,DF,26-204,2.7,1,0,0,1,2,0,0,3,2,0,0,0,15,4,0,100.0
18,Marcos Alonso,es  ESP,DF,31-307,5,2,270.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,es  ESP,DF,31-307,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,es  ESP,DF,31-307,3.0,226,249,90.8,4396,1577,75,78,96.2,126,134,94.0,23,31,74.2,0,0.0,0.3,0.0,1,17,2,0,12,es  ESP,DF,31-307,3.0,249,237,12,4,1,2,4,2,6,1,3,0,226,0,2,es  ESP,DF,31-307,3.0,3,1.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,es  ESP,DF,31-307,3.0,4,3,3,1,0,3,4,75.0,1,2,2,0,5,9,5,0,es  ESP,DF,31-307,3.0,272,20,90,166,16,3,272,1,1,100.0,3,0,209,1,es  ESP,DF,31-307,3.0,1,0,0,3,2,0,4,5,3,0,0,0,16,3,2,60.0
19,Franck Kessié,ci  CIV,"MF,FW",25-316,7,2,216.0,2.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,0.28,0.05,0.33,0.28,0.33,ci  CIV,"MF,FW",25-316,2.4,0,6,0,0.0,2.5,0.0,0.0,,13.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,ci  CIV,"MF,FW",25-316,2.4,92,105,87.6,1341,191,58,64,90.6,26,28,92.9,6,6,100.0,0,0.1,0.0,-0.1,2,3,0,0,5,ci  CIV,"MF,FW",25-316,2.4,105,102,2,1,1,3,0,1,0,0,0,0,92,1,2,ci  CIV,"MF,FW",25-316,2.4,3,1.25,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,ci  CIV,"MF,FW",25-316,2.4,3,2,1,2,0,1,3,33.3,2,5,1,4,1,4,1,0,ci  CIV,"MF,FW",25-316,2.4,132,6,22,80,31,9,132,0,1,0.0,6,2,104,7,ci  CIV,"MF,FW",25-316,2.4,3,0,0,6,3,1,0,1,2,0,0,0,11,0,0,
20,Memphis Depay,nl  NED,FW,28-260,2,2,114.0,1.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.79,0.0,0.79,0.79,0.79,0.9,0.9,0.1,1.0,0.68,0.11,0.79,0.68,0.79,nl  NED,FW,28-260,1.3,1,6,3,50.0,4.74,2.37,0.17,0.33,11.6,0,0,0,0.9,0.9,0.14,0.1,0.1,nl  NED,FW,28-260,1.3,53,66,80.3,735,209,34,38,89.5,14,16,87.5,3,7,42.9,0,0.1,0.2,-0.1,3,3,2,0,4,nl  NED,FW,28-260,1.3,66,60,6,1,1,0,4,0,4,0,2,0,53,0,1,nl  NED,FW,28-260,1.3,7,5.53,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,nl  NED,FW,28-260,1.3,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,nl  NED,FW,28-260,1.3,86,0,6,26,55,13,86,2,7,28.6,7,4,69,12,nl  NED,FW,28-260,1.3,0,0,0,2,2,1,4,0,1,0,0,0,7,1,2,33.3
