,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
271,Dylan Lempereur,fr  FRA,DF,Metz,18,1998,1.6,65,9,22,25,18,0,49,1,1,100.0,1,0,22,98,36,2,0,0,0,0,25,23,92.0,1
272,Lukas Lerager,dk  DEN,MF,Bordeaux,24,1993,36.5,2000,62,500,1107,510,81,1978,9,14,64.3,9,0,1217,5933,2657,94,37,2,32,23,1443,1261,87.4,159
273,Alexandre Letellier,fr  FRA,GK,Angers,26,1990,13.0,304,269,303,2,0,0,211,0,0,,0,0,141,852,515,0,0,0,0,0,94,94,100.0,0
274,Igor Lewczuk,pl  POL,DF,Bordeaux,32,1985,4.9,227,18,96,92,49,3,210,0,0,,0,0,108,563,237,10,2,0,1,2,131,126,96.2,2
275,Dimitri Liénard,fr  FRA,MF,Strasbourg,29,1988,28.9,2017,45,447,1031,709,30,1765,34,46,73.9,36,1,1325,7858,3940,191,62,6,42,36,1310,1198,91.5,107
276,Lucas Lima,br  BRA,"DF,FW",Nantes,25,1991,29.5,1884,95,529,738,730,26,1538,26,59,44.1,32,1,1054,5245,2984,131,44,5,48,38,1097,938,85.5,75
277,Giovani Lo Celso,ar  ARG,MF,Paris S-G,21,1996,19.7,1806,41,383,1097,490,36,1780,31,48,64.6,31,3,1453,9867,5375,203,56,4,23,27,1472,1393,94.6,93
278,Enzo Loiodice,fr  FRA,MF,Dijon,16,2000,1.9,115,0,20,87,16,1,115,1,2,50.0,1,0,91,443,236,9,2,0,1,2,93,87,93.5,10
279,Anthony Lopes,pt  POR,GK,Lyon,26,1990,34.0,976,840,967,10,0,0,799,0,0,,0,0,479,2213,1221,0,0,0,0,0,445,445,100.0,0
280,Rony Lopes,pt  POR,"FW,MF",Monaco,21,1995,28.1,1220,11,152,450,729,136,1197,46,82,56.1,57,5,920,6047,3686,183,51,42,78,51,1185,878,74.1,251
281,Maxime Lopez,fr  FRA,MF,Marseille,19,1997,15.3,1518,12,296,955,381,17,1468,4,11,36.4,5,0,1194,6209,3326,154,48,3,12,9,1295,1229,94.9,46
282,Arnaud Lusamba,fr  FRA,MF,Nice,20,1997,1.8,123,3,29,63,45,0,122,7,8,87.5,7,0,94,352,171,5,6,0,6,6,96,86,89.6,7
283,Cheikh M'Bengue,sn  SEN,DF,Saint-Étienne,29,1988,5.4,265,29,127,106,42,1,220,0,0,,0,0,121,517,204,5,0,0,0,3,129,117,90.7,5
284,Raïs M'Bolhi,dz  ALG,GK,Rennes,31,1986,1.0,24,18,24,0,0,0,19,0,0,,0,0,10,70,47,0,0,0,0,0,6,6,100.0,0
285,Yann M'Vila,fr  FRA,MF,Saint-Étienne,27,1990,16.4,1420,71,471,925,134,3,1403,5,8,62.5,5,0,1036,5760,2406,72,13,0,5,6,1069,1050,98.2,17
286,Zinédine Machach,fr  FRA,"FW,MF",Toulouse,21,1996,2.1,84,2,19,35,37,6,83,6,10,60.0,8,1,58,343,182,8,2,1,5,6,73,48,65.8,16
287,Hicham Mahou,fr  FRA,"FW,MF",Nice,18,1999,0.6,33,0,3,15,19,4,32,0,0,,0,0,29,334,253,13,3,4,4,1,31,24,77.4,1
288,Thiago Maia,br  BRA,"MF,DF",Lille,20,1997,27.4,1979,74,573,1207,335,16,1935,33,46,71.7,35,1,1457,8034,3734,133,38,3,28,35,1410,1325,94.0,56
289,Habib Maïga,ci  CIV,"MF,DF",Saint-Étienne,21,1996,7.9,472,16,164,238,116,7,454,15,20,75.0,16,1,324,2266,1152,41,14,3,12,13,303,277,91.4,18
290,Mike Maignan,fr  FRA,GK,Lille,21,1995,33.7,1052,912,1049,7,1,0,881,10,10,100.0,10,0,588,3139,1876,0,0,0,0,1,473,472,99.8,0
291,Jean-Victor Makengo,fr  FRA,"FW,MF",Nice,19,1998,2.7,145,3,19,82,59,7,145,11,18,61.1,12,0,136,757,403,24,4,0,6,10,135,119,88.1,13
