,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Match Report
34,2022-12-29,Thu,La Liga,Matchweek 15,Home,W 2–0,Atlético Madrid,Elche,Y,"AM,FW",78,50.0,47.0,3.0,1.0,0.0,0.0,5,0.0,2.0,0.0,2.0,0.0,38.0,0.0,0.0,Match Report
35,2023-01-04,Wed,Copa del Rey,Round of 32,Away,W 2–0,Atlético Madrid,Oviedo,Y,FW,90,,,,,,,1,,,,,,,,,Match Report
36,2023-01-08,Sun,La Liga,Matchweek 16,Home,L 0–1,Atlético Madrid,Barcelona,Y,"FW,LM",90,26.0,22.0,4.0,1.0,0.0,0.0,4,0.0,3.0,3.0,0.0,0.0,11.0,0.0,3.0,Match Report
37,2023-01-15,Sun,La Liga,Matchweek 17,Away,D 1–1,Atlético Madrid,Almería,Y,"CM,LM",90,33.0,26.0,6.0,2.0,2.0,0.0,6,0.0,4.0,3.0,0.0,0.0,20.0,1.0,1.0,Match Report
38,2023-01-18,Wed,Copa del Rey,Round of 16,Away,W 2–0,Atlético Madrid,Levante,Y,FW,90,,,,,,,2,,,,,,,,,Match Report
39,2023-01-21,Sat,La Liga,Matchweek 18,Home,W 3–0,Atlético Madrid,Valladolid,Y,LM,55,42.0,40.0,1.0,1.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,Match Report
40,2023-01-26,Thu,Copa del Rey,Quarter-finals,Away,L 1–3,Atlético Madrid,Real Madrid,Y,AM,90,,,,,,,1,,,,,,,,,Match Report
41,2023-01-29,Sun,La Liga,Matchweek 19,Away,W 1–0,Atlético Madrid,Osasuna,Y,"FW,RM",90,41.0,37.0,4.0,1.0,0.0,0.0,2,0.0,3.0,2.0,0.0,0.0,33.0,0.0,0.0,Match Report
42,2023-02-04,Sat,La Liga,Matchweek 20,Home,D 1–1,Atlético Madrid,Getafe,Y,FW,90,51.0,42.0,9.0,3.0,0.0,1.0,10,0.0,4.0,2.0,1.0,0.0,32.0,0.0,2.0,Match Report
43,2023-02-12,Sun,La Liga,Matchweek 21,Away,W 1–0,Atlético Madrid,Celta Vigo,Y,"LW,AM",65,39.0,37.0,2.0,0.0,0.0,1.0,4,0.0,1.0,0.0,1.0,0.0,31.0,0.0,2.0,Match Report
44,2023-02-19,Sun,La Liga,Matchweek 22,Home,W 1–0,Atlético Madrid,Athletic Club,Y,"FW,LM",89,59.0,53.0,6.0,1.0,0.0,2.0,6,1.0,4.0,2.0,1.0,0.0,36.0,0.0,2.0,Match Report
45,2023-02-25,Sat,La Liga,Matchweek 23,Away,D 1–1,Atlético Madrid,Real Madrid,Y,"FW,CM",90,51.0,48.0,3.0,1.0,0.0,1.0,3,0.0,1.0,1.0,0.0,0.0,45.0,0.0,3.0,Match Report
46,,,,,,22-11-13,,,34/46,,3149,1418.0,1253.0,158.0,46.0,16.0,19.0,192,7.0,89.0,57.0,19.0,1.0,1080.0,7.0,31.0,
