,Id,Name,Age,Nationality,Club,Height,Weight,Value,Wage,Overall,Potential
27,192448,Marc-André ter Stegen,29,Germany,FC Barcelona,187,85,€70M,€230K,88,89
28,182521,Toni Kroos,31,Germany,Real Madrid CF,183,76,€75M,€310K,88,88
29,177003,Luka Modrić,35,Croatia,Real Madrid CF,172,66,€36.5M,€230K,88,88
30,231866,Rodrigo Hernández Cascante,25,Spain,Manchester City,191,82,€90M,€190K,87,89
31,231281,Trent Alexander-Arnold,22,England,Liverpool,180,69,€102.5M,€150K,87,90
32,228702,Frenkie de Jong,24,Netherlands,FC Barcelona,180,74,€119.5M,€210K,87,92
33,218667,Bernardo Mota Carvalho e Silva,26,Portugal,Manchester City,173,64,€94M,€220K,87,88
34,216267,Andrew Robertson,27,Scotland,Liverpool,178,64,€77M,€175K,87,87
35,212198,Bruno Miguel Borges Fernandes,26,Portugal,Manchester United,179,69,€94M,€210K,87,88
36,211110,Paulo Dybala,27,Argentina,Juventus,177,75,€86.5M,€160K,87,87
37,209499,Fábio Henrique Tavares,27,Brazil,Liverpool,188,78,€81.5M,€175K,87,88
38,202652,Raheem Sterling,26,England,Manchester City,170,69,€87M,€240K,87,87
39,199556,Marco Verratti,28,Italy,Paris Saint-Germain,165,60,€79.5M,€155K,87,87
40,193080,David De Gea Quintana,30,Spain,Manchester United,192,76,€53M,€150K,87,87
41,189596,Thomas Müller,31,Germany,FC Bayern München,185,76,€66M,€140K,87,87
42,167948,Hugo Lloris,34,France,Tottenham Hotspur,188,82,€13.5M,€125K,87,87
43,234642,Édouard Mendy,29,Senegal,Chelsea,197,86,€52M,€140K,86,87
44,232411,Christopher Nkunku,23,France,RB Leipzig,175,73,€93M,€110K,86,89
45,232363,Milan Škriniar,26,Slovakia,Inter,188,80,€70M,€150K,86,87
46,222492,Leroy Sané,25,Germany,FC Bayern München,183,80,€81M,€120K,86,87
47,212218,Aymeric Laporte,27,Spain,Manchester City,191,85,€72.5M,€185K,86,88
48,208830,Jamie Vardy,34,England,Leicester City,179,74,€33M,€180K,86,86
49,208093,Gerard Moreno Balagueró,29,Spain,Villarreal CF,180,77,€68M,€73K,86,86
50,205452,Antonio Rüdiger,28,Germany,Chelsea,190,85,€64.5M,€170K,86,87
51,204485,Riyad Mahrez,30,Algeria,Manchester City,179,67,€65.5M,€220K,86,86
52,201024,Kalidou Koulibaly,30,Senegal,Napoli,187,89,€55.5M,€105K,86,86
53,195864,Paul Pogba,28,France,Manchester United,191,84,€68M,€200K,86,86
54,192505,Romelu Lukaku,28,Belgium,Chelsea,191,94,€69.5M,€200K,86,86
55,192387,Ciro Immobile,31,Italy,Lazio,185,85,€57.5M,€115K,86,86
56,189513,Daniel Parejo Muñoz,32,Spain,Villarreal CF,182,74,€53.5M,€64K,86,86
57,189509,Thiago Alcântara,30,Spain,Liverpool,174,70,€65M,€180K,86,86
58,186153,Wojciech Szczęsny,31,Poland,Juventus,195,90,€36M,€100K,86,86
59,176580,Luis Suárez,34,Uruguay,Atlético de Madrid,182,86,€33M,€105K,86,86
60,164240,Thiago Emiliano da Silva,36,Brazil,Chelsea,183,79,€12M,€115K,86,86
61,235243,Matthijs de Ligt,21,Netherlands,Juventus,189,89,€71M,€81K,85,89
62,235212,Achraf Hakimi,22,Morocco,Paris Saint-Germain,181,73,€73M,€100K,85,89
63,233049,Jadon Sancho,21,England,Manchester United,180,76,€78.5M,€145K,85,89
64,231478,Lautaro Martínez,23,Argentina,Inter,174,72,€78M,€145K,85,89
65,230142,Mikel Oyarzabal Ugarte,24,Spain,Real Sociedad,181,79,€73.5M,€57K,85,88
66,226161,Marcos Llorente Moreno,26,Spain,Atlético de Madrid,184,74,€63M,€89K,85,86
67,224458,Diogo José Teixeira da Silva,24,Portugal,Liverpool,178,73,€78M,€155K,85,89
68,224232,Nicolò Barella,24,Italy,Inter,172,68,€73M,€130K,85,88
69,223848,Sergej Milinković-Savić,26,Serbia,Lazio,191,76,€63M,€100K,85,86
70,216594,Nabil Fekir,27,France,Real Betis Balompié,173,75,€57.5M,€46K,85,85
71,215698,Mike Maignan,25,France,AC Milan,191,89,€63M,€49K,85,90
72,213345,Kingsley Coman,25,France,FC Bayern München,180,76,€64.5M,€110K,85,86
73,206113,Serge Gnabry,25,Germany,FC Bayern München,176,77,€60M,€110K,85,85
74,205498,Luiz Frello Filho Jorge,29,Italy,Chelsea,180,68,€52.5M,€170K,85,85
75,202556,Memphis Depay,27,Netherlands,FC Barcelona,176,78,€58.5M,€220K,85,85
76,201942,Roberto Firmino Barbosa de Oliveira,29,Brazil,Liverpool,181,76,€54M,€185K,85,85
77,201535,Raphaël Varane,28,France,Manchester United,191,81,€51M,€170K,85,86
78,198219,Lorenzo Insigne,30,Italy,Toronto FC,163,59,€52M,€20K,85,85
79,197445,David Alaba,29,Austria,Real Madrid CF,180,78,€45M,€210K,85,85
80,194765,Antoine Griezmann,30,France,Atlético de Madrid,176,73,€53M,€220K,85,85
81,193747,Jorge Resurrección,29,Spain,Atlético de Madrid,176,77,€52.5M,€90K,85,85
82,192984,Koen Casteels,29,Belgium,VfL Wolfsburg,197,86,€41.5M,€81K,85,86
83,188567,Pierre-Emerick Aubameyang,32,Gabon,FC Barcelona,187,80,€43.5M,€220K,85,85
84,188377,Kyle Walker,31,England,Manchester City,183,83,€39M,€170K,85,85
85,188350,Marco Reus,32,Germany,Borussia Dortmund,180,71,€43M,€95K,85,85
86,186942,İlkay Gündoğan,30,Germany,Manchester City,180,80,€51.5M,€185K,85,85
87,185122,Péter Gulácsi,31,Hungary,RB Leipzig,191,86,€28.5M,€87K,85,85
88,184344,Leonardo Bonucci,34,Italy,Juventus,190,85,€17.5M,€110K,85,85
89,183898,Ángel Di María,33,Argentina,Paris Saint-Germain,180,69,€33.5M,€135K,85,85
90,177683,Yann Sommer,32,Switzerland,Borussia Mönchengladbach,183,79,€26.5M,€40K,85,85
91,162835,Samir Handanovič,36,Slovenia,Inter,193,92,€6M,€72K,85,85
92,155862,Sergio Ramos García,35,Spain,Paris Saint-Germain,184,82,€14.5M,€82K,85,85
93,138956,Giorgio Chiellini,36,Italy,Los Angeles FC,187,85,€9.5M,€12K,85,85
94,251854,Pedro González López,18,Spain,FC Barcelona,174,61,€88.5M,€66K,84,92
95,241084,Luis Díaz,24,Colombia,Liverpool,180,73,€57.5M,€145K,84,87
96,238794,Vinícius José de Oliveira Júnior,20,Brazil,Real Madrid CF,176,73,€83.5M,€165K,84,91
97,237692,Phil Foden,21,England,Manchester City,171,69,€94.5M,€140K,84,92
98,235805,Federico Chiesa,23,Italy,Juventus,175,70,€66.5M,€81K,84,90
99,235790,Kai Havertz,22,Germany,Chelsea,189,82,€85.5M,€130K,84,91
100,234396,Alphonso Davies,20,Canada,FC Bayern München,183,75,€58.5M,€70K,84,89
101,232656,Theo Hernández,23,France,AC Milan,184,81,€59.5M,€51K,84,89
102,230938,Franck Yannick Kessié,24,Côte d'Ivoire,AC Milan,183,88,€49.5M,€51K,84,86
103,226790,Wilfred Ndidi,24,Nigeria,Leicester City,183,74,€49.5M,€110K,84,86
104,224334,Marcos Acuña,29,Argentina,Sevilla FC,172,69,€37M,€45K,84,84
105,220814,Lucas Hernández,25,France,FC Bayern München,184,79,€47M,€95K,84,86
106,216460,José María Giménez,26,Uruguay,Atlético de Madrid,185,80,€49M,€74K,84,87
107,216393,Youri Tielemans,24,Belgium,Leicester City,176,72,€57M,€125K,84,87
108,216352,Marcelo Brozović,28,Croatia,Inter,181,68,€37M,€130K,84,84
109,215333,Duván Zapata,30,Colombia,Atalanta,189,88,€41.5M,€84K,84,84
110,212190,Niklas Süle,25,Germany,FC Bayern München,195,99,€47M,€95K,84,86
111,209989,Thomas Partey,28,Ghana,Arsenal,185,77,€37M,€115K,84,84
112,208574,Filip Kostić,28,Serbia,Eintracht Frankfurt,184,84,€42.5M,€52K,84,84
113,208418,Yannick Carrasco,27,Belgium,Atlético de Madrid,185,73,€45M,€81K,84,84
114,207410,Mateo Kovačić,27,Croatia,Chelsea,176,80,€44.5M,€150K,84,84
115,206517,Jack Grealish,25,England,Manchester City,180,81,€50.5M,€180K,84,85
116,204963,Daniel Carvajal Ramos,29,Spain,Real Madrid CF,173,73,€37M,€195K,84,84
117,204639,Stefan Savić,30,Montenegro,Atlético de Madrid,187,81,€34.5M,€74K,84,84
118,202811,Emiliano Martínez,28,Argentina,Aston Villa,195,88,€30M,€81K,84,84
119,199434,Dušan Tadić,32,Serbia,Ajax,181,76,€33.5M,€32K,84,84
120,198176,Stefan de Vrij,29,Netherlands,Inter,189,78,€35.5M,€130K,84,84
121,197061,Joel Matip,29,Cameroon,Liverpool,194,90,€35.5M,€145K,84,84
122,192629,Iago Aspas Juncal,33,Spain,RC Celta de Vigo,176,67,€27M,€46K,84,84
123,189575,Iker Muniain Goñi,28,Spain,Athletic Club de Bilbao,170,66,€42.5M,€49K,84,84
124,189511,Sergio Busquets Burgos,32,Spain,FC Barcelona,189,76,€28M,€175K,84,84
125,189332,Jordi Alba Ramos,32,Spain,FC Barcelona,170,68,€29M,€175K,84,84
126,188943,Kevin Trapp,30,Germany,Eintracht Frankfurt,189,84,€28M,€37K,84,84
127,186345,Kieran Trippier,30,England,Newcastle United,173,71,€36.5M,€63K,84,84
128,184134,Fernando Reges Mouta,33,Brazil,Sevilla FC,183,76,€21M,€43K,84,84
129,183277,Eden Hazard,30,Belgium,Real Madrid CF,175,74,€40.5M,€220K,84,84
130,180930,Edin Džeko,35,Bosnia and Herzegovina,Inter,193,80,€18M,€115K,84,84
131,178603,Mats Hummels,32,Germany,Borussia Dortmund,191,94,€27.5M,€79K,84,84
132,175943,Dries Mertens,34,Belgium,Napoli,169,61,€20.5M,€105K,84,84
133,168542,David Josué Jiménez Silva,35,Spain,Real Sociedad,173,67,€17.5M,€40K,84,84
134,152729,Gerard Piqué Bernabeu,34,Spain,FC Barcelona,194,85,€13.5M,€175K,84,84
135,146536,Jesús Navas González,35,Spain,Sevilla FC,172,60,€13M,€30K,84,84
136,143076,Alejandro Gómez,33,Argentina,Sevilla FC,167,68,€26.5M,€47K,84,84
137,246430,Dušan Vlahović,21,Serbia,Juventus,190,75,€74.5M,€85K,83,90
138,242444,João Félix Sequeira,21,Portugal,Atlético de Madrid,181,70,€82M,€61K,83,91
139,241852,Moussa Diaby,21,France,Bayer 04 Leverkusen,170,68,€56M,€55K,83,88
140,241486,Jules Koundé,22,France,Sevilla FC,181,75,€53M,€33K,83,89
141,241461,Ferran Torres García,21,Spain,FC Barcelona,184,77,€58.5M,€140K,83,89
142,240130,Éder Gabriel Militão,23,Brazil,Real Madrid CF,186,78,€67.5M,€145K,83,90
143,239053,Federico Valverde,22,Uruguay,Real Madrid CF,182,78,€58M,€160K,83,89
144,238074,Reece James,21,England,Chelsea,178,87,€49.5M,€90K,83,87
145,237383,Alessandro Bastoni,22,Italy,Inter,190,75,€53M,€100K,83,89
146,234378,Declan Rice,22,England,West Ham United,185,80,€51M,€76K,83,88
147,234236,Patrik Schick,25,Czech Republic,Bayer 04 Leverkusen,191,85,€46M,€77K,83,85
148,233419,Raphael Dias Belloli,24,Brazil,Leeds United,176,68,€49.5M,€95K,83,86
149,233064,Mason Mount,22,England,Chelsea,180,74,€58.5M,€120K,83,89
150,231443,Ousmane Dembélé,24,France,FC Barcelona,178,67,€49.5M,€165K,83,86
151,230666,Gabriel Fernando de Jesus,24,Brazil,Manchester City,175,73,€49.5M,€150K,83,86
152,230481,Ronaldo Jailson Cabrais Petri,29,Brazil,Grêmio,177,75,€35.5M,€49K,83,83
153,229984,Ben Chilwell,24,England,Chelsea,180,77,€46M,€105K,83,86
154,228941,André Miguel Valente da Silva,25,Portugal,RB Leipzig,185,84,€44M,€100K,83,84
155,228618,Ferland Mendy,26,France,Real Madrid CF,180,73,€43.5M,€170K,83,86
156,228251,Lorenzo Pellegrini,25,Italy,Roma,186,77,€50.5M,€72K,83,87
157,225850,Presnel Kimpembe,25,France,Paris Saint-Germain,189,80,€45.5M,€90K,83,87
158,225193,Mikel Merino Zazón,25,Spain,Real Sociedad,189,83,€50M,€47K,83,87
159,224293,Rúben Diogo da Silva Neves,24,Portugal,Wolverhampton Wanderers,180,80,€54.5M,€95K,83,88
160,223697,Robin Gosens,26,Germany,Inter,183,76,€36M,€65K,83,83
161,222665,Martin Ødegaard,22,Norway,Arsenal,178,68,€58.5M,€95K,83,89
162,220834,Marco Asensio Willemsen,25,Spain,Real Madrid CF,182,76,€43.5M,€190K,83,84
163,220651,José Ángel Esmoris Tasende,24,Spain,RB Leipzig,175,69,€43.5M,€77K,83,85
164,214997,Ángel Correa,26,Argentina,Atlético de Madrid,171,70,€43.5M,€80K,83,84
165,213648,Pierre-Emile Højbjerg,25,Denmark,Tottenham Hotspur,187,84,€41M,€105K,83,85
166,213565,Thomas Lemar,25,France,Atlético de Madrid,171,63,€47.5M,€71K,83,86
167,212616,Rodrigo Javier De Paul,27,Argentina,Atlético de Madrid,180,70,€41.5M,€74K,83,84
168,212188,Timo Werner,25,Germany,Chelsea,180,76,€48.5M,€145K,83,86
169,211688,José Luís Gayà Peña,26,Spain,Valencia CF,172,66,€43.5M,€48K,83,86
170,210935,Domenico Berardi,26,Italy,U.S. Sassuolo Calcio,183,72,€39.5M,€52K,83,83
171,210243,Ricardo Barbosa Pereira,27,Portugal,Leicester City,175,70,€35M,€115K,83,83
172,209889,Raphaël Guerreiro,27,Portugal,Borussia Dortmund,170,71,€35M,€72K,83,83
173,208670,Hakim Ziyech,28,Morocco,Chelsea,181,65,€36.5M,€155K,83,83
174,207863,Felipe Augusto de Almeida Monteiro,32,Brazil,Atlético de Madrid,190,83,€23.5M,€68K,83,83
175,207862,Matthias Ginter,27,Germany,Borussia Mönchengladbach,191,86,€36.5M,€41K,83,84
176,203574,John Stones,27,England,Manchester City,188,76,€41M,€140K,83,86
177,202884,Leonardo Spinazzola,28,Italy,Roma,186,75,€33M,€72K,83,83
178,200458,Lucas Digne,27,France,Aston Villa,178,74,€35M,€86K,83,83
179,199845,Francesco Acerbi,33,Italy,Lazio,192,88,€17.5M,€75K,83,83
180,199451,Wissam Ben Yedder,30,France,AS Monaco,170,68,€35.5M,€80K,83,83
181,198706,Luis Alberto Romero Alconchel,28,Spain,Lazio,183,74,€36.5M,€86K,83,83
182,197655,Sebastián Coates,30,Uruguay,Sporting CP,196,94,€30M,€21K,83,83
183,193698,Oliver Baumann,31,Germany,TSG Hoffenheim,187,82,€19M,€40K,83,83
184,193082,Juan Cuadrado,33,Colombia,Juventus,179,72,€19M,€95K,83,83
185,190941,Lukáš Hrádecký,31,Finland,Bayer 04 Leverkusen,192,83,€19M,€55K,83,83
186,190286,Sergio Canales Madrazo,30,Spain,Real Betis Balompié,176,65,€35M,€38K,83,83
187,184432,César Azpilicueta Tanco,31,Spain,Chelsea,178,77,€25M,€125K,83,83
188,184087,Toby Alderweireld,32,Belgium,,186,81,€0,€0,83,83
189,183711,Jordan Henderson,31,England,Liverpool,182,80,€30M,€135K,83,83
190,179645,Simon Kjær,32,Denmark,AC Milan,190,86,€23.5M,€54K,83,83
191,163587,Kasper Schmeichel,34,Denmark,Leicester City,189,89,€6M,€95K,83,83
192,41236,Zlatan Ibrahimović,39,Sweden,AC Milan,195,102,€12.5M,€46K,83,83
193,256630,Florian Wirtz,18,Germany,Bayer 04 Leverkusen,176,70,€64M,€24K,82,90
194,255475,Antony Matheus dos Santos,21,Brazil,Ajax,174,63,€62M,€21K,82,89
195,253163,Ronald Araujo,22,Uruguay,FC Barcelona,192,91,€57.5M,€125K,82,89
196,252371,Jude Bellingham,18,England,Borussia Dortmund,186,75,€64M,€25K,82,90
197,246669,Bukayo Saka,19,England,Arsenal,178,65,€59.5M,€58K,82,89
198,244260,Daniel Olmo Carvajal,23,Spain,RB Leipzig,179,72,€46M,€78K,82,87
199,241721,Rafael da Conceição Leão,22,Portugal,AC Milan,188,81,€68.5M,€52K,82,90
200,241464,Pau Francisco Torres,24,Spain,Villarreal CF,191,80,€56.5M,€35K,82,89
201,241096,Sandro Tonali,21,Italy,AC Milan,181,79,€64.5M,€35K,82,90
202,236792,Tomáš Souček,26,Czech Republic,West Ham United,192,86,€34M,€81K,82,84
203,236401,Noussair Mazraoui,23,Morocco,Ajax,183,62,€40.5M,€20K,82,86
204,235410,Youssef En-Nesyri,24,Morocco,Sevilla FC,188,78,€44M,€37K,82,86
205,235073,Gregor Kobel,23,Switzerland,Borussia Dortmund,195,88,€37M,€44K,82,87
206,233731,Alexander Isak,21,Sweden,Real Sociedad,192,77,€45M,€37K,82,86
207,232756,Fikayo Tomori,23,England,AC Milan,185,79,€43.5M,€42K,82,88
208,232488,Cristian Romero,23,Argentina,Tottenham Hotspur,185,79,€41.5M,€51K,82,87
209,232293,Victor Osimhen,22,Nigeria,Napoli,185,78,€49.5M,€77K,82,88
210,231969,Ruslan Malinovskyi,28,Ukraine,Atalanta,181,79,€31M,€73K,82,82
211,231677,Marcus Rashford,23,England,Manchester United,186,70,€43.5M,€130K,82,86
212,230869,Unai Simón Mendibil,24,Spain,Athletic Club de Bilbao,190,89,€32.5M,€24K,82,85
213,230375,Josué Durval Chiamulera Vaz,29,Brazil,Grêmio,185,80,€25.5M,€41K,82,82
214,230168,Raphael William Anjos Rochedo,33,Brazil,RB Bragantino,190,85,€10M,€20K,82,82
215,229668,Mario Hermoso Canseco,26,Spain,Atlético de Madrid,184,75,€35.5M,€62K,82,85
216,229558,Dayot Upamecano,22,France,FC Bayern München,186,90,€42.5M,€70K,82,87
217,229391,João Maria Palhinha Gonçalves,25,Portugal,Sporting CP,190,85,€36.5M,€18K,82,85
218,229237,Manuel Akanji,25,Switzerland,Borussia Dortmund,187,91,€34M,€63K,82,84
219,227796,Christian Pulisic,22,United States,Chelsea,177,69,€49M,€120K,82,88
220,226753,André Onana,25,Cameroon,Ajax,190,93,€31M,€17K,82,85
221,226271,Fabián Ruiz Peña,25,Spain,Napoli,189,70,€38M,€77K,82,84
222,225375,Konrad Laimer,24,Austria,RB Leipzig,180,72,€35.5M,€70K,82,84
223,222077,Manuel Locatelli,23,Italy,Juventus,185,75,€40M,€74K,82,86
224,220697,James Maddison,24,England,Leicester City,175,73,€39.5M,€100K,82,84
225,219693,Diego Carlos Santos Silva,28,Brazil,Sevilla FC,185,86,€29M,€37K,82,83
226,216547,Rafael A. Ferreira Silva,28,Portugal,SL Benfica,170,63,€30.5M,€22K,82,82
227,216354,Andrej Kramarić,30,Croatia,TSG Hoffenheim,177,73,€30M,€54K,82,82
228,213661,Andreas Christensen,25,Denmark,Chelsea,188,81,€38M,€110K,82,86
229,212523,Anderson Souza Conceição,27,Brazil,Al Nassr,190,80,€33M,€61K,82,82
230,212194,Julian Brandt,25,Germany,Borussia Dortmund,185,83,€40.5M,€69K,82,85
231,210411,Otávio Edmilson da Silva Monteiro,26,Portugal,FC Porto,172,71,€33.5M,€21K,82,82
232,210406,Piotr Zieliński,27,Poland,Napoli,180,75,€35M,€80K,82,83
233,210315,Raúl De Tomás Gómez,26,Spain,RCD Espanyol de Barcelona,180,79,€36.5M,€32K,82,83
234,210035,Alejandro Grimaldo García,25,Spain,SL Benfica,171,69,€37M,€18K,82,85
235,209981,Yassine Bounou,30,Morocco,Sevilla FC,192,78,€20.5M,€29K,82,82
236,208333,Emre Can,27,Germany,Borussia Dortmund,186,86,€32M,€72K,82,82
237,208128,Hakan Çalhanoğlu,27,Turkey,Inter,178,76,€32M,€115K,82,82
238,205988,Luke Shaw,25,England,Manchester United,181,75,€35M,€115K,82,84
239,205693,Sébastien Haller,27,Côte d'Ivoire,Ajax,190,82,€33M,€27K,82,82
240,205632,Lucas Ocampos,26,Argentina,Sevilla FC,188,84,€33.5M,€42K,82,82
241,204838,Raúl Jiménez,30,Mexico,Wolverhampton Wanderers,188,81,€30M,€110K,82,82
242,201305,Gabriel Armando de Abreu,30,Brazil,Valencia CF,185,72,€25M,€44K,82,82
243,200647,Josip Iličić,33,Slovenia,Atalanta,190,79,€19.5M,€70K,82,82
244,200260,Steven Berghuis,29,Netherlands,Ajax,182,75,€30M,€26K,82,82
245,199482,Anthony Lopes,30,Portugal,Olympique Lyonnais,184,81,€20.5M,€60K,82,82
246,199110,Luis Muriel,30,Colombia,Atalanta,179,79,€30M,€70K,82,82
247,198717,Wilfried Zaha,28,Côte d'Ivoire,Crystal Palace,180,66,€30.5M,€85K,82,82
248,197781,Francisco Román Alarcón Suárez,29,Spain,Real Madrid CF,176,79,€30M,€175K,82,82
249,193474,Idrissa Gueye,31,Senegal,Paris Saint-Germain,174,66,€21.5M,€88K,82,82
250,193301,Alexandre Lacazette,30,France,Arsenal,175,73,€30M,€110K,82,82
251,192774,Kostas Manolas,30,Greece,Olympiacos CFP,189,83,€25M,€2K,82,82
252,190460,Christian Eriksen,29,Denmark,Brentford,181,76,€29.5M,€71K,82,82
253,189242,Philippe Coutinho Correia,29,Brazil,Aston Villa,172,68,€30M,€165K,82,82
254,183512,Yuri Berchiche Izeta,31,Spain,Athletic Club de Bilbao,181,80,€22M,€35K,82,82
255,181458,Ivan Perišić,32,Croatia,Inter,186,80,€24M,€115K,82,82
256,181291,Georginio Wijnaldum,30,Netherlands,Paris Saint-Germain,175,74,€29M,€95K,82,82
257,179813,Edinson Cavani,34,Uruguay,Manchester United,185,77,€15M,€145K,82,82
258,178562,Éver Banega,33,Argentina,Al Shabab,174,75,€18.5M,€51K,82,82
259,178005,Rui Pedro dos Santos Patrício,33,Portugal,Roma,190,84,€10M,€51K,82,82
260,177388,Dimitri Payet,34,France,Olympique de Marseille,175,77,€14.5M,€54K,82,82
261,168651,Ivan Rakitić,33,Croatia,Sevilla FC,184,78,€18.5M,€39K,82,82
262,164835,Łukasz Fabiański,36,Poland,West Ham United,190,83,€3.4M,€43K,82,82
263,120533,Képler Laveran Lima Ferreira,38,Portugal,FC Porto,188,80,€5.5M,€14K,82,82
264,251573,Renan Augusto Lodi dos Santos,23,Brazil,Atlético de Madrid,173,68,€36.5M,€49K,81,86
265,242516,Cody Gakpo,22,Netherlands,PSV,189,76,€39.5M,€22K,81,86
266,241637,Aurélien Tchouaméni,21,France,AS Monaco,187,81,€52M,€46K,81,88
267,240950,Pedro António Pereira Gonçalves,23,Portugal,Sporting CP,173,77,€51.5M,€19K,81,88
268,237238,Scott McTominay,24,Scotland,Manchester United,193,88,€32M,€95K,81,84
269,236480,Yves Bissouma,24,Mali,Brighton & Hove Albion,182,80,€35.5M,€57K,81,86
270,234943,Florian Neuhaus,24,Germany,Borussia Mönchengladbach,185,74,€36.5M,€33K,81,85
271,234153,Carlos Soler Barragán,24,Spain,Valencia CF,180,76,€38.5M,€39K,81,86
272,233934,Aaron Ramsdale,23,England,Arsenal,191,77,€31M,€58K,81,86
273,233927,Lucas Tolentino Coelho de Lima,23,Brazil,Olympique Lyonnais,180,72,€39M,€65K,81,86
274,233096,Denzel Dumfries,25,Netherlands,Inter,188,80,€29.5M,€90K,81,83
275,232580,Gabriel dos S. Magalhães,23,Brazil,Arsenal,190,87,€37M,€74K,81,87
276,231943,Richarlison de Andrade,24,Brazil,Everton,181,71,€39.5M,€90K,81,86
277,231352,Tammy Abraham,23,England,Roma,190,80,€39.5M,€61K,81,86
278,230658,Arthur Henrique Ramos Oliveira Melo,24,Brazil,Juventus,171,73,€33M,€76K,81,83
279,230430,Marvin Oswaldo Rangel Azevedo,29,Brazil,Flamengo,184,79,€25.5M,€56K,81,81
280,230347,Welington Kauê Dano Nascimento,21,Brazil,Clube Atlético Mineiro,178,69,€27.5M,€31K,81,81
281,230294,Lourival Adnan Beretta Barbosa,29,Brazil,RB Bragantino,188,83,€25.5M,€28K,81,81
282,230258,Rosberto J. Dourado Santos,21,Brazil,Sport Club Corinthians Paulista,175,70,€27M,€26K,81,81
283,230256,Adryan Juliano Zonta Torres,29,Brazil,RB Bragantino,172,68,€22.5M,€24K,81,81
284,230225,Juan Everton Mestres de Mesquita,25,Brazil,Clube Atlético Mineiro,181,82,€25M,€41K,81,81
285,229906,Leon Bailey,23,Jamaica,Aston Villa,178,77,€35M,€70K,81,84
286,229261,Denis Zakaria,24,Switzerland,Juventus,191,81,€35.5M,€68K,81,86
287,227928,Nélson Cabral Semedo,27,Portugal,Wolverhampton Wanderers,177,69,€25M,€86K,81,81
288,227127,Alejandro Remiro Gargallo,26,Spain,Real Sociedad,192,79,€27.5M,€31K,81,85
289,226754,Ismaël Bennacer,23,Algeria,AC Milan,175,70,€33.5M,€39K,81,85
290,226491,Kieran Tierney,24,Scotland,Arsenal,178,70,€38M,€74K,81,87
291,225100,Joe Gomez,24,England,Liverpool,188,77,€35M,€90K,81,86
292,224411,Gonçalo Manuel Ganchinho Guedes,24,Portugal,Valencia CF,179,68,€39.5M,€43K,81,86
293,224081,Kalvin Phillips,25,England,Leeds United,178,72,€32.5M,€82K,81,85
294,223952,David Soria Solís,28,Spain,Getafe CF,192,85,€20.5M,€30K,81,82
295,221992,Hirving Lozano,25,Mexico,Napoli,175,70,€31M,€77K,81,82
