,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
21,José Ángel,es  ESP,DF,Villarreal,26,1989,7.0,0,7,0,0.0,1.00,0.00,0.00,,,0,0
22,José Antonio Reyes,es  ESP,"MF,FW",Espanyol,32,1983,9.6,3,15,6,40.0,1.56,0.62,0.13,0.33,,1,1
23,Sergio Araujo,ar  ARG,FW,Las Palmas,24,1992,6.0,2,17,10,58.8,2.85,1.68,0.12,0.20,,0,0
24,Anaitz Arbilla,es  ESP,DF,Eibar,29,1987,17.5,0,9,2,22.2,0.51,0.11,0.00,0.00,,0,0
25,Markel Areitio,es  ESP,GK,Eibar,19,1996,0.5,0,0,0,,0.00,0.00,,,,0,0
26,Alejandro Arribas,es  ESP,DF,La Coruña,27,1989,21.3,0,14,4,28.6,0.66,0.19,0.00,0.00,,0,0
27,Kepa Arrizabalaga,es  ESP,GK,Athletic Club,21,1994,22.4,0,0,0,,0.00,0.00,,,,0,0
28,Aythami Artiles,es  ESP,DF,Las Palmas,30,1986,9.3,0,4,2,50.0,0.43,0.22,0.00,0.00,,0,0
29,Sergio Asenjo,es  ESP,GK,Villarreal,27,1989,23.4,0,0,0,,0.00,0.00,,,,0,0
30,Marco Asensio,es  ESP,"FW,MF",Real Madrid,20,1996,12.0,3,26,12,46.2,2.16,1.00,0.12,0.25,,0,0
31,Iago Aspas,es  ESP,"FW,MF",Celta Vigo,28,1987,25.7,19,78,41,52.6,3.03,1.59,0.17,0.32,,6,6
32,Omer Atzili,il  ISR,MF,Granada,23,1993,4.1,0,1,0,0.0,0.25,0.00,0.00,,,0,0
33,Ryan Babel,nl  NED,"MF,FW",La Coruña,29,1986,6.3,4,13,7,53.8,2.07,1.11,0.31,0.57,,0,1
34,Jean-Sylvain Babin,mq  MTQ,DF,Sporting Gijón,29,1986,19.0,1,9,3,33.3,0.47,0.16,0.11,0.33,,0,0
35,Cédric Bakambu,cd  COD,FW,Villarreal,25,1991,17.4,11,48,24,50.0,2.75,1.38,0.23,0.46,,0,0
36,Zakaria Bakkali,be  BEL,FW,Valencia,20,1996,3.4,1,6,2,33.3,1.78,0.59,0.17,0.50,,0,0
37,Gareth Bale,wal  WAL,FW,Real Madrid,27,1989,15.8,7,64,26,40.6,4.06,1.65,0.11,0.27,,0,0
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,28,1988,31.6,1,10,1,10.0,0.32,0.03,0.10,1.00,,0,0
39,Léo Baptistão,br  BRA,"FW,MF",Espanyol,23,1992,15.9,6,33,21,63.6,2.07,1.32,0.18,0.29,,0,0
40,David Barral,es  ESP,FW,Granada,33,1983,3.5,0,10,2,20.0,2.82,0.56,0.00,0.00,,0,0
41,Diego Barrios,es  ESP,GK,Leganés,22,1994,0.7,0,0,0,,0.00,0.00,,,,0,0
42,Jon Bautista,es  ESP,FW,Real Sociedad,21,1995,3.6,3,13,4,30.8,3.66,1.13,0.23,0.75,,0,0
43,Claudio Beauvue,GPE,FW,Celta Vigo,28,1988,7.4,1,19,5,26.3,2.58,0.68,0.05,0.20,,0,0
44,Bebé,pt  POR,"MF,FW",Eibar,26,1990,7.7,3,23,10,43.5,2.97,1.29,0.13,0.30,,0,0
45,Wissam Ben Yedder,fr  FRA,FW,Sevilla,25,1990,18.4,11,44,25,56.8,2.40,1.36,0.23,0.40,,1,1
46,Karim Benzema,fr  FRA,FW,Real Madrid,28,1987,21.1,11,69,37,53.6,3.27,1.75,0.16,0.30,,0,0
47,Yuri Berchiche,es  ESP,DF,Real Sociedad,26,1990,34.3,3,40,9,22.5,1.17,0.26,0.08,0.33,,0,0
48,Álex Berenguer,es  ESP,"DF,MF",Osasuna,21,1995,24.2,1,16,7,43.8,0.66,0.29,0.06,0.14,,0,0
49,Álex Bergantiños,es  ESP,"MF,DF",La Coruña,31,1985,6.2,1,3,1,33.3,0.49,0.16,0.33,1.00,,0,0
50,Markel Bergara,es  ESP,MF,Real Sociedad,30,1986,3.2,0,0,0,,0.00,0.00,,,,0,0
51,Pedro Bigas,es  ESP,DF,Las Palmas,25,1990,29.4,4,19,7,36.8,0.65,0.24,0.21,0.57,,0,0
52,Rubén Blanco,es  ESP,GK,Celta Vigo,21,1995,11.0,0,0,0,,0.00,0.00,,,,0,0
53,Kevin-Prince Boateng,gh  GHA,"FW,MF",Las Palmas,29,1987,22.0,10,75,33,44.0,3.41,1.50,0.13,0.30,,0,0
54,Jeremie Boga,ci  CIV,"MF,FW",Granada,19,1997,16.3,2,29,9,31.0,1.78,0.55,0.07,0.22,,0,0
55,Daniele Bonera,it  ITA,DF,Villarreal,35,1981,6.0,0,0,0,,0.00,0.00,,,,0,0
56,Theo Bongonda,be  BEL,"MF,FW",Celta Vigo,20,1995,24.0,1,32,9,28.1,1.33,0.37,0.03,0.11,,0,0
57,Tano Bonnín,do  DOM,DF,Osasuna,26,1990,8.2,0,0,0,,0.00,0.00,,,,0,0
58,Celso Borges,cr  CRC,MF,La Coruña,28,1988,30.1,6,41,14,34.1,1.36,0.47,0.10,0.29,,2,3
59,Rafael Borré,co  COL,FW,Villarreal,20,1995,4.1,2,11,9,81.8,2.70,2.21,0.18,0.22,,0,0
60,Eneko Bóveda,es  ESP,DF,Athletic Club,27,1988,17.3,0,2,0,0.0,0.12,0.00,0.00,,,0,0
61,Denys Boyko,ua  UKR,GK,Málaga,28,1988,3.0,0,0,0,,0.00,0.00,,,,0,0
62,Darko Brašanac,rs  SRB,MF,Betis,24,1992,18.6,1,15,3,20.0,0.81,0.16,0.07,0.33,,0,0
63,Claudio Bravo,cl  CHI,GK,Barcelona,33,1983,1.0,0,0,0,,0.00,0.00,,,,0,0
64,Alberto Brignoli,it  ITA,GK,Leganés,24,1991,0.7,0,0,0,,0.00,0.00,,,,0,0
65,Aitor Buñuel,es  ESP,"DF,MF",Osasuna,18,1998,11.5,0,6,0,0.0,0.52,0.00,0.00,,,0,0
66,Burgui,es  ESP,"MF,FW",Sporting Gijón,22,1993,22.0,2,51,25,49.0,2.31,1.13,0.04,0.08,,0,0
67,Sergio Busquets,es  ESP,MF,Barcelona,28,1988,29.8,0,4,0,0.0,0.13,0.00,0.00,,,0,0
68,Unai Bustinza,es  ESP,DF,Leganés,24,1992,19.9,0,14,3,21.4,0.70,0.15,0.00,0.00,,0,0
69,Gustavo Cabral,ar  ARG,DF,Celta Vigo,30,1985,24.2,2,19,8,42.1,0.79,0.33,0.11,0.25,,0,0
70,Felipe Caicedo,ec  ECU,FW,Espanyol,27,1988,14.2,2,15,6,40.0,1.06,0.42,0.13,0.33,,0,1
71,Ignacio Camacho,es  ESP,MF,Málaga,26,1990,34.9,4,40,14,35.0,1.15,0.40,0.10,0.29,,0,0
72,Víctor Camarasa,es  ESP,MF,Alavés,22,1994,27.6,3,32,9,28.1,1.16,0.33,0.09,0.33,,0,0
73,Sergio Canales,es  ESP,"MF,FW",Real Sociedad,25,1991,11.2,0,20,6,30.0,1.78,0.53,0.00,0.00,,0,0
74,João Cancelo,pt  POR,"DF,MF",Valencia,22,1994,27.0,1,22,10,45.5,0.81,0.37,0.05,0.10,,0,0
75,Roberto Canella,es  ESP,DF,Sporting Gijón,28,1988,19.5,2,11,2,18.2,0.57,0.10,0.18,1.00,,0,0
76,Aitor Cantalapiedra,es  ESP,"FW,MF",Villarreal,20,1996,0.1,0,0,0,,0.00,0.00,,,,0,0
77,Ander Capa,es  ESP,DF,Eibar,24,1992,28.4,0,9,2,22.2,0.32,0.07,0.00,0.00,,0,0
78,Mehdi Carcela,ma  MAR,"MF,FW",Granada,27,1989,19.4,5,30,15,50.0,1.55,0.77,0.17,0.33,,0,0
79,José Carlos,es  ESP,DF,Betis,20,1996,5.5,0,0,0,,0.00,0.00,,,,0,0
80,Carlos Carmona,es  ESP,"MF,FW",Sporting Gijón,29,1987,20.6,8,34,15,44.1,1.65,0.73,0.24,0.53,,0,0
81,Yannick Carrasco,be  BEL,"MF,FW",Atlético Madrid,22,1993,25.6,10,84,36,42.9,3.28,1.41,0.12,0.28,,0,1
82,Daniel Carriço,pt  POR,DF,Sevilla,27,1988,5.0,0,0,0,,0.00,0.00,,,,0,0
83,Federico Cartabia,ar  ARG,"MF,FW",Valencia,23,1993,1.7,0,2,0,0.0,1.19,0.00,0.00,,,0,0
84,Dani Carvajal,es  ESP,DF,Real Madrid,24,1992,22.4,0,9,4,44.4,0.40,0.18,0.00,0.00,,0,0
85,Casemiro,br  BRA,MF,Real Madrid,24,1992,18.9,4,15,4,26.7,0.79,0.21,0.27,1.00,,0,0
86,Nacho Cases,es  ESP,MF,Sporting Gijón,28,1987,16.3,2,11,4,36.4,0.67,0.25,0.18,0.50,,0,0
87,Kiko Casilla,es  ESP,GK,Real Madrid,29,1986,11.0,0,0,0,,0.00,0.00,,,,0,0
88,Dani Castellano,es  ESP,DF,Las Palmas,28,1987,23.4,0,9,3,33.3,0.38,0.13,0.00,0.00,,0,0
89,Javi Castellano,es  ESP,"DF,MF",Las Palmas,28,1987,1.1,0,0,0,,0.00,0.00,,,,0,0
90,Samu Castillejo,es  ESP,MF,Villarreal,21,1995,22.7,2,33,14,42.4,1.45,0.62,0.06,0.14,,0,0
91,Carlos Castro,es  ESP,FW,Sporting Gijón,21,1995,11.4,4,16,10,62.5,1.40,0.88,0.25,0.40,,0,0
92,Chory Castro,uy  URU,"MF,FW",Málaga,31,1984,19.9,1,31,13,41.9,1.56,0.65,0.03,0.08,,0,0
93,Jonny Castro,es  ESP,DF,Celta Vigo,22,1994,24.7,0,13,4,30.8,0.53,0.16,0.00,0.00,,0,0
94,Rubén Castro,es  ESP,FW,Betis,35,1981,30.9,13,117,49,41.9,3.79,1.59,0.09,0.22,,2,2
95,Goran Čaušić,rs  SRB,MF,Osasuna,24,1992,22.3,1,15,4,26.7,0.67,0.18,0.07,0.25,,0,0
96,Dani Ceballos,es  ESP,MF,Betis,19,1996,26.0,2,37,17,45.9,1.42,0.65,0.05,0.12,,0,0
97,Álvaro Cejudo,es  ESP,"MF,FW",Betis,32,1984,9.1,1,16,3,18.8,1.75,0.33,0.06,0.33,,0,0
98,Alessio Cerci,it  ITA,"FW,MF",Atlético Madrid,29,1987,0.2,0,0,0,,0.00,0.00,,,,0,0
99,Nereo Champagne,ar  ARG,GK,Leganés,31,1985,4.0,0,0,0,,0.00,0.00,,,,0,0
100,Charles,br  BRA,FW,Málaga,32,1984,12.7,3,38,15,39.5,2.99,1.18,0.08,0.20,,0,0
101,Pape Cheikh Diop,sn  SEN,"MF,FW",Celta Vigo,18,1997,6.4,1,1,1,100.0,0.16,0.16,1.00,1.00,,0,0
102,Denis Cheryshev,ru  RUS,MF,Villarreal,25,1990,3.8,0,8,3,37.5,2.08,0.78,0.00,0.00,,0,0
103,Michaël Ciani,fr  FRA,DF,Espanyol,32,1984,0.6,0,0,0,,0.00,0.00,,,,0,0
104,Jasper Cillessen,nl  NED,GK,Barcelona,27,1989,1.0,0,0,0,,0.00,0.00,,,,0,0
105,Carlos Clerc,es  ESP,"DF,MF",Osasuna,24,1992,21.6,1,7,2,28.6,0.32,0.09,0.14,0.50,,0,0
106,Fábio Coentrão,pt  POR,DF,Real Madrid,28,1988,1.9,0,1,0,0.0,0.53,0.00,0.00,,,0,0
107,Emre Çolak,tr  TUR,MF,La Coruña,25,1991,27.4,3,42,13,31.0,1.54,0.48,0.07,0.23,,0,1
108,David Concha,es  ESP,MF,Real Sociedad,19,1996,1.4,0,2,0,0.0,1.46,0.00,0.00,,,0,0
109,Duje Čop,hr  CRO,FW,Sporting Gijón,26,1990,25.2,9,65,26,40.0,2.58,1.03,0.09,0.23,,3,4
110,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,21,1995,13.8,4,37,16,43.2,2.68,1.16,0.11,0.25,,0,0
111,Joaquín Correa,ar  ARG,"MF,FW",Sevilla,21,1994,14.6,4,34,13,38.2,2.32,0.89,0.12,0.31,,0,0
112,Jaume Costa,es  ESP,DF,Villarreal,28,1988,29.8,1,10,3,30.0,0.34,0.10,0.10,0.33,,0,0
113,David Costas,es  ESP,DF,Celta Vigo,21,1995,1.0,0,0,0,,0.00,0.00,,,,0,0
114,Iván Cuéllar,es  ESP,GK,Sporting Gijón,32,1984,36.0,0,0,0,,0.00,0.00,,,,0,0
115,Isaac Cuenca,es  ESP,"MF,DF",Granada,25,1991,19.4,2,18,7,38.9,0.93,0.36,0.11,0.29,,0,0
116,Danilo,br  BRA,DF,Real Madrid,25,1991,16.5,1,11,4,36.4,0.67,0.24,0.09,0.25,,0,0
117,Deyverson,br  BRA,FW,Alavés,25,1991,28.6,7,56,24,42.9,1.96,0.84,0.13,0.29,,0,0
118,Marcelo Díaz,cl  CHI,MF,Celta Vigo,29,1986,18.3,1,12,3,25.0,0.65,0.16,0.08,0.33,,0,0
119,Víctor Díaz,es  ESP,DF,Leganés,28,1988,20.1,1,15,6,40.0,0.75,0.30,0.07,0.17,,0,0
120,Didier Digard,fr  FRA,MF,Osasuna,30,1986,2.1,0,1,0,0.0,0.48,0.00,0.00,,,0,0
121,Lucas Digne,fr  FRA,DF,Barcelona,23,1993,13.0,0,5,1,20.0,0.38,0.08,0.00,0.00,,0,0
122,Papakouli Diop,sn  SEN,MF,Espanyol,30,1986,10.1,0,4,0,0.0,0.39,0.00,0.00,,,0,0
123,Jaume Doménech,es  ESP,GK,Valencia,25,1990,3.0,0,0,0,,0.00,0.00,,,,0,0
124,Ryan Donk,sr  SUR,"MF,DF",Betis,30,1986,9.6,0,3,0,0.0,0.31,0.00,0.00,,,0,0
125,Jonathan dos Santos,mx  MEX,MF,Villarreal,26,1990,24.7,2,41,9,22.0,1.66,0.36,0.05,0.22,,0,0
126,Mauro dos Santos,ar  ARG,DF,Eibar,27,1989,8.5,0,3,0,0.0,0.35,0.00,0.00,,,0,0
127,Douglas,br  BRA,"DF,MF",Sporting Gijón,25,1990,19.1,3,15,5,33.3,0.79,0.26,0.20,0.60,,0,0
128,Óscar Duarte,cr  CRC,DF,Espanyol,27,1989,12.5,0,6,1,16.7,0.48,0.08,0.00,0.00,,0,0
129,Rubén Duarte,es  ESP,DF,Espanyol,20,1995,1.1,0,0,0,,0.00,0.00,,,,0,0
130,Duda,pt  POR,MF,Málaga,36,1980,4.2,1,6,2,33.3,1.42,0.47,0.17,0.50,,0,0
131,Riza Durmisi,dk  DEN,DF,Betis,22,1994,26.5,1,22,5,22.7,0.83,0.19,0.05,0.20,,0,0
132,Elderson Echiéjilé,ng  NGA,DF,Sporting Gijón,28,1988,2.2,1,2,1,50.0,0.90,0.45,0.50,1.00,,0,0
133,Aritz Elustondo,es  ESP,DF,Real Sociedad,22,1994,5.2,0,4,0,0.0,0.78,0.00,0.00,,,0,0
134,Gorka Elustondo,es  ESP,DF,Athletic Club,29,1987,1.2,0,1,1,100.0,0.85,0.85,0.00,0.00,,0,0
135,Rodrigo Ely,br  BRA,DF,Alavés,22,1993,8.8,1,8,1,12.5,0.91,0.11,0.13,1.00,,0,0
136,Youssef En-Nesyri,ma  MAR,FW,Málaga,19,1997,3.8,1,15,7,46.7,3.90,1.82,0.07,0.14,,0,0
137,Sergi Enrich,es  ESP,FW,Eibar,26,1990,31.4,11,64,29,45.3,2.04,0.92,0.17,0.38,,0,0
138,Juanan Entrena,es  ESP,MF,Granada,20,1996,1.2,0,,2,,,1.73,,0.00,,0,0
139,Javier Eraso,es  ESP,MF,Athletic Club,26,1990,4.2,0,5,0,0.0,1.20,0.00,0.00,,,0,0
140,Gonzalo Escalante,ar  ARG,MF,Eibar,23,1993,22.4,2,24,6,25.0,1.07,0.27,0.08,0.33,,0,0
141,Sergio Escudero,es  ESP,"DF,MF",Sevilla,26,1989,25.4,0,33,12,36.4,1.30,0.47,0.00,0.00,,0,0
142,Cristian Espinoza,ar  ARG,MF,Alavés,21,1995,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,,0,0
143,Pervis Estupiñán,ec  ECU,DF,Granada,18,1998,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,,0,0
144,Beñat Etxebarria,es  ESP,MF,Athletic Club,29,1987,26.6,1,35,12,34.3,1.32,0.45,0.03,0.08,,0,0
145,Xabier Etxeita,es  ESP,DF,Athletic Club,28,1987,7.9,0,3,1,33.3,0.38,0.13,0.00,0.00,,0,0
146,Edu Expósito,es  ESP,MF,La Coruña,19,1996,0.5,0,1,0,0.0,2.00,0.00,0.00,,,0,0
147,Erik Expósito,es  ESP,FW,Las Palmas,20,1996,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,,0,0
148,Fayçal Fajr,ma  MAR,MF,La Coruña,27,1988,13.5,0,20,8,40.0,1.49,0.59,0.00,0.00,,0,1
149,Zouhair Feddal,ma  MAR,DF,Alavés,27,1989,24.9,2,10,4,40.0,0.40,0.16,0.20,0.50,,0,0
150,Kiko Femenía,es  ESP,DF,Alavés,25,1991,27.8,0,5,1,20.0,0.18,0.04,0.00,0.00,,0,0
151,Álvaro Fernández,es  ESP,GK,Osasuna,18,1998,0.5,0,0,0,,0.00,0.00,,,,0,0
152,Andrés Fernández,es  ESP,GK,Villarreal,29,1986,14.6,0,0,0,,0.00,0.00,,,,0,0
153,Augusto Fernández,ar  ARG,MF,Atlético Madrid,30,1986,1.5,0,0,0,,0.00,0.00,,,,0,0
154,Carlos Fernández,es  ESP,FW,Sevilla,20,1996,1.0,1,3,1,33.3,2.97,0.99,0.33,1.00,,0,0
155,Mario Fernández,es  ESP,GK,Osasuna,28,1988,6.5,0,0,0,,0.00,0.00,,,,0,0
156,Pablo Fernández,es  ESP,MF,Sporting Gijón,19,1996,0.2,0,1,0,0.0,4.09,0.00,0.00,,,0,0
157,Javier Flaño,es  ESP,DF,Osasuna,31,1984,1.5,0,1,0,0.0,0.68,0.00,0.00,,,0,0
158,Miguel Flaño,es  ESP,DF,Osasuna,31,1984,11.5,1,6,2,33.3,0.52,0.17,0.17,0.50,,0,0
159,Andreu Fontàs,es  ESP,DF,Celta Vigo,26,1989,16.2,1,3,2,66.7,0.18,0.12,0.33,0.50,,0,0
160,Pablo Fornals,es  ESP,MF,Málaga,20,1996,29.6,6,41,10,24.4,1.38,0.34,0.15,0.60,,0,0
161,Dimitri Foulquier,fr  FRA,DF,Granada,23,1993,20.8,0,3,0,0.0,0.14,0.00,0.00,,,0,0
162,Javi Fuego,es  ESP,MF,Espanyol,32,1984,28.5,1,10,3,30.0,0.35,0.11,0.10,0.33,,0,0
163,Gabi,es  ESP,MF,Atlético Madrid,33,1983,32.1,0,25,5,20.0,0.78,0.16,0.00,0.00,,0,1
164,Gabriel,br  BRA,"MF,FW",Leganés,22,1993,30.3,5,56,17,30.4,1.85,0.56,0.09,0.29,,0,0
165,Nicolás Gaitán,ar  ARG,MF,Atlético Madrid,28,1988,11.5,3,10,6,60.0,0.87,0.52,0.30,0.50,,0,0
166,Álex Gálvez,es  ESP,DF,Eibar,27,1989,14.8,0,5,2,40.0,0.34,0.13,0.00,0.00,,0,0
167,Bruno Gama,pt  POR,MF,La Coruña,28,1987,16.0,0,27,8,29.6,1.69,0.50,0.00,0.00,,0,0
168,Kévin Gameiro,fr  FRA,FW,Atlético Madrid,29,1987,18.6,12,50,24,48.0,2.69,1.29,0.22,0.46,,1,1
169,Ganso,br  BRA,MF,Sevilla,26,1989,5.4,2,11,6,54.5,2.03,1.11,0.18,0.33,,0,0
170,Ezequiel Garay,ar  ARG,DF,Valencia,29,1986,26.0,4,12,7,58.3,0.46,0.27,0.33,0.57,,0,0
171,Dani García,es  ESP,MF,Eibar,26,1990,35.4,1,20,4,20.0,0.57,0.11,0.05,0.25,,0,0
172,Imanol García,es  ESP,"MF,DF",Osasuna,20,1995,5.8,0,5,0,0.0,0.86,0.00,0.00,,,0,0
173,Manu García,es  ESP,MF,Alavés,30,1986,22.3,3,25,7,28.0,1.12,0.31,0.08,0.29,,1,1
174,Mateo García,ar  ARG,"FW,MF",Las Palmas,19,1996,8.1,2,8,3,37.5,0.98,0.37,0.25,0.67,,0,0
175,Samu García,es  ESP,MF,Leganés,26,1990,5.9,0,8,1,12.5,1.35,0.17,0.00,0.00,,0,0
176,Unai García,es  ESP,DF,Osasuna,24,1992,20.8,0,9,1,11.1,0.43,0.05,0.00,0.00,,0,0
177,Mario Gaspar,es  ESP,DF,Villarreal,25,1990,36.0,0,33,11,33.3,0.92,0.31,0.00,0.00,,0,0
178,Jon Gaztañaga,es  ESP,"DF,MF",Real Sociedad,25,1991,0.3,0,1,0,0.0,3.46,0.00,0.00,,,0,0
179,Carles Gil,es  ESP,MF,La Coruña,23,1992,15.6,1,17,6,35.3,1.09,0.38,0.06,0.17,,0,0
180,Nacho Gil,es  ESP,MF,Valencia,20,1995,0.1,0,0,0,,0.00,0.00,,,,0,0
181,Dani Giménez,es  ESP,GK,Betis,33,1983,1.0,0,0,0,,0.00,0.00,,,,0,0
182,Diego Godín,uy  URU,DF,Atlético Madrid,30,1986,30.1,3,29,7,24.1,0.96,0.23,0.10,0.43,,0,0
183,André Gomes,pt  POR,MF,Barcelona,23,1993,17.5,3,19,7,36.8,1.09,0.40,0.16,0.43,,0,0
184,Ibai Gómez,es  ESP,MF,Alavés,26,1989,20.1,5,51,23,45.1,2.54,1.14,0.10,0.22,,0,0
185,Moi Gómez,es  ESP,MF,Sporting Gijón,22,1994,20.5,2,21,8,38.1,1.02,0.39,0.05,0.13,,1,1
186,Sergi Gómez,es  ESP,DF,Celta Vigo,24,1992,21.2,0,3,1,33.3,0.14,0.05,0.00,0.00,,0,0
187,Vicente Gómez,es  ESP,MF,Las Palmas,27,1988,25.6,2,23,11,47.8,0.90,0.43,0.09,0.18,,0,0
188,Adrián González,es  ESP,MF,Eibar,28,1988,16.9,7,43,25,58.1,2.54,1.48,0.05,0.08,,5,5
189,Bruno González,es  ESP,DF,Betis,26,1990,14.8,1,3,1,33.3,0.20,0.07,0.33,1.00,,0,0
190,Diego González,es  ESP,DF,Sevilla,21,1995,0.4,0,0,0,,0.00,0.00,,,,0,0
191,Mario González,es  ESP,FW,Villarreal,20,1996,0.3,0,0,0,,0.00,0.00,,,,0,0
192,Mikel González,es  ESP,DF,Real Sociedad,30,1985,7.4,0,2,0,0.0,0.27,0.00,0.00,,,0,0
193,Esteban Granero,es  ESP,MF,Real Sociedad,29,1987,7.9,0,10,3,30.0,1.27,0.38,0.00,0.00,,0,0
194,Antoine Griezmann,fr  FRA,FW,Atlético Madrid,25,1991,33.8,16,88,44,50.0,2.61,1.30,0.18,0.36,,0,2
195,John Guidetti,se  SWE,FW,Celta Vigo,24,1992,11.8,4,19,8,42.1,1.61,0.68,0.16,0.38,,1,1
196,Guilherme,br  BRA,MF,La Coruña,25,1991,25.4,2,29,6,20.7,1.14,0.24,0.07,0.33,,0,0
197,Jon Guridi,es  ESP,MF,Real Sociedad,21,1995,0.8,0,0,0,,0.00,0.00,,,,0,0
198,Felipe Gutiérrez,cl  CHI,MF,Betis,25,1990,8.8,1,7,3,42.9,0.80,0.34,0.14,0.33,,0,0
199,Alen Halilović,hr  CRO,"MF,FW",Las Palmas,20,1996,7.3,0,17,6,35.3,2.32,0.82,0.00,0.00,,0,0
200,Uche Henry Agbo,ng  NGA,MF,Granada,20,1995,26.4,0,13,4,30.8,0.49,0.15,0.00,0.00,,0,0
201,Hernán,es  ESP,MF,Las Palmas,25,1990,3.3,0,6,1,16.7,1.82,0.30,0.00,0.00,,0,0
202,Lucas Hernández,fr  FRA,DF,Atlético Madrid,20,1996,14.0,0,1,0,0.0,0.07,0.00,0.00,,,0,0
203,Luis Hernández,es  ESP,DF,Málaga,27,1989,18.6,1,4,3,75.0,0.21,0.16,0.25,0.33,,0,0
204,Pablo Hernández,cl  CHI,MF,Celta Vigo,29,1986,21.2,1,13,5,38.5,0.61,0.24,0.08,0.20,,0,0
205,Theo Hernández,fr  FRA,DF,Alavés,18,1997,30.3,1,26,9,34.6,0.86,0.30,0.04,0.11,,0,0
206,Iago Herrerín,es  ESP,GK,Leganés,28,1988,20.3,0,0,0,,0.00,0.00,,,,0,0
207,Andrew Hjulsager,dk  DEN,MF,Celta Vigo,21,1995,2.9,1,9,3,33.3,3.09,1.03,0.11,0.33,,0,0
208,Martin Hongla,cm  CMR,"DF,MF",Granada,18,1998,8.8,0,4,1,25.0,0.45,0.11,0.00,0.00,,0,0
209,Robert Ibáñez,es  ESP,MF,Leganés,23,1993,1.9,2,8,3,37.5,4.14,1.55,0.25,0.67,,0,0
210,Vicente Iborra,es  ESP,MF,Sevilla,28,1988,16.6,7,31,17,54.8,1.87,1.02,0.19,0.35,,1,1
211,Asier Illarramendi,es  ESP,MF,Real Sociedad,26,1990,33.4,1,19,5,26.3,0.57,0.15,0.05,0.20,,0,0
