,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
17,Florin Andone,ro  ROU,FW,La Coruña,23,1993,37,32,2908,32.3,12,2,12,0,0,6,0,0.37,0.06,0.43,0.37,0.43
18,Victorien Angban,ci  CIV,MF,Granada,19,1996,10,8,678,7.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
19,Miguel Ángel Guerrero,es  ESP,FW,Leganés,26,1990,31,25,2164,24.0,5,1,4,1,1,3,0,0.21,0.04,0.25,0.17,0.21
20,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,32,1984,9,8,771,8.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
21,José Ángel,es  ESP,DF,Villarreal,26,1989,7,7,630,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
22,José Antonio Reyes,es  ESP,"MF,FW",Espanyol,32,1983,21,10,867,9.6,3,4,2,1,1,1,0,0.31,0.42,0.73,0.21,0.62
23,Sergio Araujo,ar  ARG,FW,Las Palmas,24,1992,11,5,536,6.0,2,1,2,0,0,2,0,0.34,0.17,0.50,0.34,0.50
24,Anaitz Arbilla,es  ESP,DF,Eibar,29,1987,22,17,1574,17.5,0,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11
25,Markel Areitio,es  ESP,GK,Eibar,19,1996,1,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
26,Alejandro Arribas,es  ESP,DF,La Coruña,27,1989,23,20,1914,21.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
27,Kepa Arrizabalaga,es  ESP,GK,Athletic Club,21,1994,23,23,2015,22.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
28,Aythami Artiles,es  ESP,DF,Las Palmas,30,1986,11,8,836,9.3,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00
29,Sergio Asenjo,es  ESP,GK,Villarreal,27,1989,24,24,2104,23.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
30,Marco Asensio,es  ESP,"FW,MF",Real Madrid,20,1996,23,11,1083,12.0,3,2,3,0,0,0,0,0.25,0.17,0.42,0.25,0.42
31,Iago Aspas,es  ESP,"FW,MF",Celta Vigo,28,1987,32,25,2317,25.7,19,6,13,6,6,9,2,0.74,0.23,0.97,0.50,0.74
32,Omer Atzili,il  ISR,MF,Granada,23,1993,9,3,365,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
33,Ryan Babel,nl  NED,"MF,FW",La Coruña,29,1986,11,5,566,6.3,4,1,4,0,1,3,0,0.64,0.16,0.80,0.64,0.80
34,Jean-Sylvain Babin,mq  MTQ,DF,Sporting Gijón,29,1986,22,20,1712,19.0,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
35,Cédric Bakambu,cd  COD,FW,Villarreal,25,1991,26,17,1570,17.4,11,1,11,0,0,5,0,0.63,0.06,0.69,0.63,0.69
36,Zakaria Bakkali,be  BEL,FW,Valencia,20,1996,18,1,303,3.4,1,0,1,0,0,2,0,0.30,0.00,0.30,0.30,0.30
37,Gareth Bale,wal  WAL,FW,Real Madrid,27,1989,19,17,1419,15.8,7,2,7,0,0,3,1,0.44,0.13,0.57,0.44,0.57
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,28,1988,33,33,2845,31.6,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06
39,Léo Baptistão,br  BRA,"FW,MF",Espanyol,23,1992,21,16,1433,15.9,6,4,6,0,0,1,0,0.38,0.25,0.63,0.38,0.63
40,David Barral,es  ESP,FW,Granada,33,1983,8,2,319,3.5,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28
41,Diego Barrios,es  ESP,GK,Leganés,22,1994,1,0,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
42,Jon Bautista,es  ESP,FW,Real Sociedad,21,1995,12,2,320,3.6,3,0,3,0,0,0,0,0.84,0.00,0.84,0.84,0.84
43,Claudio Beauvue,GPE,FW,Celta Vigo,28,1988,13,5,664,7.4,1,2,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41
44,Bebé,pt  POR,"MF,FW",Eibar,26,1990,20,8,696,7.7,3,2,3,0,0,2,0,0.39,0.26,0.65,0.39,0.65
45,Wissam Ben Yedder,fr  FRA,FW,Sevilla,25,1990,31,20,1652,18.4,11,4,10,1,1,0,0,0.60,0.22,0.82,0.54,0.76
46,Karim Benzema,fr  FRA,FW,Real Madrid,28,1987,29,23,1898,21.1,11,5,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76
47,Yuri Berchiche,es  ESP,DF,Real Sociedad,26,1990,35,35,3086,34.3,3,2,3,0,0,9,0,0.09,0.06,0.15,0.09,0.15
48,Álex Berenguer,es  ESP,"DF,MF",Osasuna,21,1995,29,22,2176,24.2,1,6,1,0,0,3,0,0.04,0.25,0.29,0.04,0.29
49,Álex Bergantiños,es  ESP,"MF,DF",La Coruña,31,1985,8,6,554,6.2,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16
50,Markel Bergara,es  ESP,MF,Real Sociedad,30,1986,6,3,289,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
51,Pedro Bigas,es  ESP,DF,Las Palmas,25,1990,32,31,2647,29.4,4,1,4,0,0,5,2,0.14,0.03,0.17,0.14,0.17
52,Rubén Blanco,es  ESP,GK,Celta Vigo,21,1995,11,11,990,11.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
53,Kevin-Prince Boateng,gh  GHA,"FW,MF",Las Palmas,29,1987,28,25,1978,22.0,10,4,10,0,0,11,3,0.46,0.18,0.64,0.46,0.64
54,Jeremie Boga,ci  CIV,"MF,FW",Granada,19,1997,26,14,1467,16.3,2,1,2,0,0,0,0,0.12,0.06,0.18,0.12,0.18
55,Daniele Bonera,it  ITA,DF,Villarreal,35,1981,6,6,540,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
56,Theo Bongonda,be  BEL,"MF,FW",Celta Vigo,20,1995,30,26,2160,24.0,1,3,1,0,0,3,0,0.04,0.12,0.17,0.04,0.17
57,Tano Bonnín,do  DOM,DF,Osasuna,26,1990,11,9,734,8.2,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00
58,Celso Borges,cr  CRC,MF,La Coruña,28,1988,34,30,2709,30.1,6,0,4,2,3,5,0,0.20,0.00,0.20,0.13,0.13
59,Rafael Borré,co  COL,FW,Villarreal,20,1995,17,2,367,4.1,2,1,2,0,0,0,0,0.49,0.25,0.74,0.49,0.74
60,Eneko Bóveda,es  ESP,DF,Athletic Club,27,1988,19,18,1554,17.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
61,Denys Boyko,ua  UKR,GK,Málaga,28,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
62,Darko Brašanac,rs  SRB,MF,Betis,24,1992,25,19,1674,18.6,1,1,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11
63,Claudio Bravo,cl  CHI,GK,Barcelona,33,1983,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
64,Alberto Brignoli,it  ITA,GK,Leganés,24,1991,1,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
65,Aitor Buñuel,es  ESP,"DF,MF",Osasuna,18,1998,15,10,1031,11.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
66,Burgui,es  ESP,"MF,FW",Sporting Gijón,22,1993,32,21,1984,22.0,2,4,2,0,0,6,0,0.09,0.18,0.27,0.09,0.27
67,Sergio Busquets,es  ESP,MF,Barcelona,28,1988,33,33,2681,29.8,0,2,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07
68,Unai Bustinza,es  ESP,DF,Leganés,24,1992,22,21,1791,19.9,0,1,0,0,0,10,0,0.00,0.05,0.05,0.00,0.05
69,Gustavo Cabral,ar  ARG,DF,Celta Vigo,30,1985,25,25,2175,24.2,2,1,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12
70,Felipe Caicedo,ec  ECU,FW,Espanyol,27,1988,27,14,1278,14.2,2,1,2,0,1,4,2,0.14,0.07,0.21,0.14,0.21
71,Ignacio Camacho,es  ESP,MF,Málaga,26,1990,35,35,3144,34.9,4,2,4,0,0,15,0,0.11,0.06,0.17,0.11,0.17
72,Víctor Camarasa,es  ESP,MF,Alavés,22,1994,31,28,2480,27.6,3,2,3,0,0,4,0,0.11,0.07,0.18,0.11,0.18
73,Sergio Canales,es  ESP,"MF,FW",Real Sociedad,25,1991,31,7,1011,11.2,0,3,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27
74,João Cancelo,pt  POR,"DF,MF",Valencia,22,1994,35,27,2434,27.0,1,4,1,0,0,6,2,0.04,0.15,0.18,0.04,0.18
75,Roberto Canella,es  ESP,DF,Sporting Gijón,28,1988,20,20,1751,19.5,2,1,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15
76,Aitor Cantalapiedra,es  ESP,"FW,MF",Villarreal,20,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
77,Ander Capa,es  ESP,DF,Eibar,24,1992,31,29,2552,28.4,0,3,0,0,0,9,2,0.00,0.11,0.11,0.00,0.11
78,Mehdi Carcela,ma  MAR,"MF,FW",Granada,27,1989,22,20,1742,19.4,5,1,5,0,0,6,0,0.26,0.05,0.31,0.26,0.31
79,José Carlos,es  ESP,DF,Betis,20,1996,6,6,494,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
80,Carlos Carmona,es  ESP,"MF,FW",Sporting Gijón,29,1987,25,21,1856,20.6,8,2,8,0,0,5,0,0.39,0.10,0.48,0.39,0.48
81,Yannick Carrasco,be  BEL,"MF,FW",Atlético Madrid,22,1993,35,27,2302,25.6,10,4,10,0,1,5,0,0.39,0.16,0.55,0.39,0.55
82,Daniel Carriço,pt  POR,DF,Sevilla,27,1988,6,6,451,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
83,Federico Cartabia,ar  ARG,"MF,FW",Valencia,23,1993,4,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
84,Dani Carvajal,es  ESP,DF,Real Madrid,24,1992,23,21,2018,22.4,0,4,0,0,0,11,0,0.00,0.18,0.18,0.00,0.18
85,Casemiro,br  BRA,MF,Real Madrid,24,1992,25,20,1703,18.9,4,1,4,0,0,9,0,0.21,0.05,0.26,0.21,0.26
86,Nacho Cases,es  ESP,MF,Sporting Gijón,28,1987,21,16,1469,16.3,2,1,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18
87,Kiko Casilla,es  ESP,GK,Real Madrid,29,1986,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
88,Dani Castellano,es  ESP,DF,Las Palmas,28,1987,27,25,2105,23.4,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04
89,Javi Castellano,es  ESP,"DF,MF",Las Palmas,28,1987,5,0,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
90,Samu Castillejo,es  ESP,MF,Villarreal,21,1995,33,24,2044,22.7,2,3,2,0,0,2,0,0.09,0.13,0.22,0.09,0.22
91,Carlos Castro,es  ESP,FW,Sporting Gijón,21,1995,25,10,1027,11.4,4,1,4,0,0,1,0,0.35,0.09,0.44,0.35,0.44
92,Chory Castro,uy  URU,"MF,FW",Málaga,31,1984,29,21,1790,19.9,1,3,1,0,0,5,2,0.05,0.15,0.20,0.05,0.20
93,Jonny Castro,es  ESP,DF,Celta Vigo,22,1994,30,23,2221,24.7,0,3,0,0,0,8,0,0.00,0.12,0.12,0.00,0.12
94,Rubén Castro,es  ESP,FW,Betis,35,1981,35,32,2778,30.9,13,3,11,2,2,3,0,0.42,0.10,0.52,0.36,0.45
95,Goran Čaušić,rs  SRB,MF,Osasuna,24,1992,26,22,2007,22.3,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09
96,Dani Ceballos,es  ESP,MF,Betis,19,1996,30,24,2341,26.0,2,2,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15
97,Álvaro Cejudo,es  ESP,"MF,FW",Betis,32,1984,17,6,822,9.1,1,1,1,0,0,9,0,0.11,0.11,0.22,0.11,0.22
98,Alessio Cerci,it  ITA,"FW,MF",Atlético Madrid,29,1987,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
99,Nereo Champagne,ar  ARG,GK,Leganés,31,1985,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
100,Charles,br  BRA,FW,Málaga,32,1984,21,11,1145,12.7,3,1,3,0,0,5,0,0.24,0.08,0.31,0.24,0.31
101,Pape Cheikh Diop,sn  SEN,"MF,FW",Celta Vigo,18,1997,16,5,580,6.4,1,0,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16
102,Denis Cheryshev,ru  RUS,MF,Villarreal,25,1990,11,2,346,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
103,Michaël Ciani,fr  FRA,DF,Espanyol,32,1984,1,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
104,Jasper Cillessen,nl  NED,GK,Barcelona,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
105,Carlos Clerc,es  ESP,"DF,MF",Osasuna,24,1992,25,22,1948,21.6,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05
106,Fábio Coentrão,pt  POR,DF,Real Madrid,28,1988,3,2,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
107,Emre Çolak,tr  TUR,MF,La Coruña,25,1991,33,29,2462,27.4,3,6,3,0,1,5,0,0.11,0.22,0.33,0.11,0.33
108,David Concha,es  ESP,MF,Real Sociedad,19,1996,8,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
109,Duje Čop,hr  CRO,FW,Sporting Gijón,26,1990,31,27,2269,25.2,9,3,6,3,4,6,0,0.36,0.12,0.48,0.24,0.36
110,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,21,1995,31,10,1241,13.8,4,7,4,0,0,6,0,0.29,0.51,0.80,0.29,0.80
111,Joaquín Correa,ar  ARG,"MF,FW",Sevilla,21,1994,26,15,1318,14.6,4,0,4,0,0,6,0,0.27,0.00,0.27,0.27,0.27
112,Jaume Costa,es  ESP,DF,Villarreal,28,1988,31,30,2681,29.8,1,3,1,0,0,13,2,0.03,0.10,0.13,0.03,0.13
113,David Costas,es  ESP,DF,Celta Vigo,21,1995,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
114,Iván Cuéllar,es  ESP,GK,Sporting Gijón,32,1984,36,36,3240,36.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
115,Isaac Cuenca,es  ESP,"MF,DF",Granada,25,1991,25,18,1749,19.4,2,0,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10
116,Danilo,br  BRA,DF,Real Madrid,25,1991,17,17,1484,16.5,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18
117,Deyverson,br  BRA,FW,Alavés,25,1991,32,29,2577,28.6,7,1,7,0,0,14,0,0.24,0.03,0.28,0.24,0.28
118,Marcelo Díaz,cl  CHI,MF,Celta Vigo,29,1986,26,17,1649,18.3,1,2,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
119,Víctor Díaz,es  ESP,DF,Leganés,28,1988,23,20,1811,20.1,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10
120,Didier Digard,fr  FRA,MF,Osasuna,30,1986,3,3,189,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
121,Lucas Digne,fr  FRA,DF,Barcelona,23,1993,17,14,1170,13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
122,Papakouli Diop,sn  SEN,MF,Espanyol,30,1986,18,9,913,10.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
123,Jaume Doménech,es  ESP,GK,Valencia,25,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
124,Ryan Donk,sr  SUR,"MF,DF",Betis,30,1986,16,9,865,9.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
125,Jonathan dos Santos,mx  MEX,MF,Villarreal,26,1990,34,22,2222,24.7,2,3,2,0,0,4,0,0.08,0.12,0.20,0.08,0.20
126,Mauro dos Santos,ar  ARG,DF,Eibar,27,1989,11,8,765,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
127,Douglas,br  BRA,"DF,MF",Sporting Gijón,25,1990,21,20,1717,19.1,3,0,3,0,0,6,0,0.16,0.00,0.16,0.16,0.16
128,Óscar Duarte,cr  CRC,DF,Espanyol,27,1989,15,13,1125,12.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
129,Rubén Duarte,es  ESP,DF,Espanyol,20,1995,3,1,103,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
130,Duda,pt  POR,MF,Málaga,36,1980,15,2,380,4.2,1,1,1,0,0,3,0,0.24,0.24,0.47,0.24,0.47
131,Riza Durmisi,dk  DEN,DF,Betis,22,1994,27,27,2382,26.5,1,4,1,0,0,4,0,0.04,0.15,0.19,0.04,0.19
132,Elderson Echiéjilé,ng  NGA,DF,Sporting Gijón,28,1988,3,2,199,2.2,1,0,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45
133,Aritz Elustondo,es  ESP,DF,Real Sociedad,22,1994,9,4,464,5.2,0,1,0,0,0,0,1,0.00,0.19,0.19,0.00,0.19
134,Gorka Elustondo,es  ESP,DF,Athletic Club,29,1987,2,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
135,Rodrigo Ely,br  BRA,DF,Alavés,22,1993,10,8,790,8.8,1,0,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11
136,Youssef En-Nesyri,ma  MAR,FW,Málaga,19,1997,13,0,346,3.8,1,1,1,0,0,1,0,0.26,0.26,0.52,0.26,0.52
137,Sergi Enrich,es  ESP,FW,Eibar,26,1990,38,31,2826,31.4,11,6,11,0,0,5,0,0.35,0.19,0.54,0.35,0.54
138,Juanan Entrena,es  ESP,MF,Granada,20,1996,3,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
139,Javier Eraso,es  ESP,MF,Athletic Club,26,1990,6,4,374,4.2,0,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24
140,Gonzalo Escalante,ar  ARG,MF,Eibar,23,1993,30,24,2016,22.4,2,1,2,0,0,10,1,0.09,0.04,0.13,0.09,0.13
141,Sergio Escudero,es  ESP,"DF,MF",Sevilla,26,1989,26,25,2283,25.4,0,3,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12
142,Cristian Espinoza,ar  ARG,MF,Alavés,21,1995,6,1,163,1.8,0,1,0,0,0,1,0,0.00,0.55,0.55,0.00,0.55
143,Pervis Estupiñán,ec  ECU,DF,Granada,18,1998,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
144,Beñat Etxebarria,es  ESP,MF,Athletic Club,29,1987,32,28,2390,26.6,1,5,1,0,0,9,0,0.04,0.19,0.23,0.04,0.23
145,Xabier Etxeita,es  ESP,DF,Athletic Club,28,1987,10,7,712,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
146,Edu Expósito,es  ESP,MF,La Coruña,19,1996,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
147,Erik Expósito,es  ESP,FW,Las Palmas,20,1996,2,2,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
148,Fayçal Fajr,ma  MAR,MF,La Coruña,27,1988,24,14,1211,13.5,0,2,0,0,1,3,2,0.00,0.15,0.15,0.00,0.15
149,Zouhair Feddal,ma  MAR,DF,Alavés,27,1989,27,27,2242,24.9,2,1,2,0,0,8,4,0.08,0.04,0.12,0.08,0.12
150,Kiko Femenía,es  ESP,DF,Alavés,25,1991,31,28,2499,27.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
151,Álvaro Fernández,es  ESP,GK,Osasuna,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
152,Andrés Fernández,es  ESP,GK,Villarreal,29,1986,15,14,1316,14.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
153,Augusto Fernández,ar  ARG,MF,Atlético Madrid,30,1986,3,2,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
154,Carlos Fernández,es  ESP,FW,Sevilla,20,1996,3,1,91,1.0,1,0,1,0,0,0,0,0.99,0.00,0.99,0.99,0.99
155,Mario Fernández,es  ESP,GK,Osasuna,28,1988,7,7,585,6.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
156,Pablo Fernández,es  ESP,MF,Sporting Gijón,19,1996,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
157,Javier Flaño,es  ESP,DF,Osasuna,31,1984,4,2,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
158,Miguel Flaño,es  ESP,DF,Osasuna,31,1984,12,12,1034,11.5,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09
159,Andreu Fontàs,es  ESP,DF,Celta Vigo,26,1989,17,17,1460,16.2,1,0,1,0,0,7,2,0.06,0.00,0.06,0.06,0.06
160,Pablo Fornals,es  ESP,MF,Málaga,20,1996,32,31,2667,29.6,6,2,6,0,0,6,0,0.20,0.07,0.27,0.20,0.27
161,Dimitri Foulquier,fr  FRA,DF,Granada,23,1993,22,21,1874,20.8,0,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10
162,Javi Fuego,es  ESP,MF,Espanyol,32,1984,31,29,2563,28.5,1,0,1,0,0,9,2,0.04,0.00,0.04,0.04,0.04
163,Gabi,es  ESP,MF,Atlético Madrid,33,1983,34,33,2887,32.1,0,0,0,0,1,9,0,0.00,0.00,0.00,0.00,0.00
164,Gabriel,br  BRA,"MF,FW",Leganés,22,1993,34,33,2730,30.3,5,2,5,0,0,9,0,0.16,0.07,0.23,0.16,0.23
165,Nicolás Gaitán,ar  ARG,MF,Atlético Madrid,28,1988,23,11,1032,11.5,3,2,3,0,0,1,0,0.26,0.17,0.44,0.26,0.44
166,Álex Gálvez,es  ESP,DF,Eibar,27,1989,19,14,1334,14.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
167,Bruno Gama,pt  POR,MF,La Coruña,28,1987,22,18,1437,16.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
168,Kévin Gameiro,fr  FRA,FW,Atlético Madrid,29,1987,30,21,1670,18.6,12,5,11,1,1,0,0,0.65,0.27,0.92,0.59,0.86
169,Ganso,br  BRA,MF,Sevilla,26,1989,10,5,487,5.4,2,1,2,0,0,0,0,0.37,0.18,0.55,0.37,0.55
170,Ezequiel Garay,ar  ARG,DF,Valencia,29,1986,27,27,2337,26.0,4,0,4,0,0,7,0,0.15,0.00,0.15,0.15,0.15
171,Dani García,es  ESP,MF,Eibar,26,1990,36,36,3182,35.4,1,1,1,0,0,9,1,0.03,0.03,0.06,0.03,0.06
172,Imanol García,es  ESP,"MF,DF",Osasuna,20,1995,8,6,526,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
173,Manu García,es  ESP,MF,Alavés,30,1986,25,23,2008,22.3,3,1,2,1,1,6,0,0.13,0.04,0.18,0.09,0.13
174,Mateo García,ar  ARG,"FW,MF",Las Palmas,19,1996,19,8,731,8.1,2,0,2,0,0,0,0,0.25,0.00,0.25,0.25,0.25
175,Samu García,es  ESP,MF,Leganés,26,1990,11,5,535,5.9,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17
176,Unai García,es  ESP,DF,Osasuna,24,1992,22,20,1875,20.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
