,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
42,Gareth Bale,wal  WAL,FW,Real Madrid,27,1989,19,1419,75,41.5,15.8,17,,9,2,,0,2.16,43,14,+29,+1.84,+0.22
43,Mikel Balenziaga,es  ESP,DF,Athletic Club,28,1988,33,2845,86,83.2,31.6,33,,29,0,,1,1.73,45,34,+11,+0.35,+0.50
44,Léo Baptistão,br  BRA,"FW,MF",Espanyol,23,1992,21,1433,68,41.9,15.9,16,,7,5,,0,1.48,22,19,+3,+0.19,+0.37
45,Mariano Barbosa,ar  ARG,GK,Villarreal,32,1984,0,,,,,0,,0,0,,16,,,,,,
46,Ander Bardají,es  ESP,GK,Real Sociedad,21,1995,0,,,,,0,,0,0,,5,,,,,,
47,Keidi Bare,al  ALB,MF,Atlético Madrid,18,1997,0,,,,,0,,0,0,,4,,,,,,
48,Kike Barja,es  ESP,MF,Osasuna,19,1997,0,,,,,0,,0,0,,2,,,,,,
49,Bernabé Barragán,es  ESP,GK,Atlético Madrid,23,1993,0,,,,,0,,0,0,,2,,,,,,
50,David Barral,es  ESP,FW,Granada,33,1983,8,319,40,9.3,3.5,2,,2,6,,1,0.38,2,11,-9,-2.54,-1.29
51,Manu Barreiro,es  ESP,FW,Alavés,30,1986,0,,,,,0,,0,0,,1,,,,,,
52,Diego Barrios,es  ESP,GK,Leganés,22,1994,1,63,63,1.8,0.7,0,,0,1,,4,1.00,0,1,-1,-1.43,-0.95
53,Jon Bautista,es  ESP,FW,Real Sociedad,21,1995,12,320,27,9.4,3.6,2,,0,10,,12,1.50,8,5,+3,+0.84,+0.76
54,Claudio Beauvue,GPE,FW,Celta Vigo,28,1988,13,664,51,19.4,7.4,5,,3,8,,2,0.77,6,13,-7,-0.95,-0.65
55,Bebé,pt  POR,"MF,FW",Eibar,26,1990,20,696,35,20.4,7.7,8,,1,12,,13,1.45,14,10,+4,+0.52,+0.48
56,Wissam Ben Yedder,fr  FRA,FW,Sevilla,25,1990,31,1652,53,48.3,18.4,20,,2,11,,5,2.06,39,20,+19,+1.04,+0.98
57,Karim Benzema,fr  FRA,FW,Real Madrid,28,1987,29,1898,65,55.5,21.1,23,,6,6,,3,2.28,49,22,+27,+1.28,-0.97
58,Yuri Berchiche,es  ESP,DF,Real Sociedad,26,1990,35,3086,88,90.2,34.3,35,,33,0,,0,1.74,56,47,+9,+0.26,+1.07
59,Álex Berenguer,es  ESP,"DF,MF",Osasuna,21,1995,29,2176,75,63.6,24.2,22,,18,7,,1,0.62,27,55,-28,-1.16,+0.72
60,Álex Bergantiños,es  ESP,"MF,DF",La Coruña,31,1985,8,554,69,16.2,6.2,6,,5,2,,15,0.88,5,13,-8,-1.30,-0.99
61,Markel Bergara,es  ESP,MF,Real Sociedad,30,1986,6,289,48,8.5,3.2,3,,2,3,,5,0.67,1,6,-5,-1.56,-1.87
62,Pedro Bigas,es  ESP,DF,Las Palmas,25,1990,32,2647,83,77.4,29.4,31,,26,1,,0,1.13,44,55,-11,-0.37,+0.79
63,Rubén Blanco,es  ESP,GK,Celta Vigo,21,1995,11,990,90,28.9,11.0,11,,11,0,,5,1.64,19,15,+4,+0.36,+1.10
64,Kevin-Prince Boateng,gh  GHA,"FW,MF",Las Palmas,29,1987,28,1978,71,57.8,22.0,25,,11,3,,1,1.25,32,39,-7,-0.32,+0.56
65,Jeremie Boga,ci  CIV,"MF,FW",Granada,19,1997,26,1467,56,42.9,16.3,14,,9,12,,5,0.46,15,34,-19,-1.17,+0.36
66,Daniele Bonera,it  ITA,DF,Villarreal,35,1981,6,540,90,15.8,6.0,6,,6,0,,10,1.83,10,5,+5,+0.83,+0.27
67,Theo Bongonda,be  BEL,"MF,FW",Celta Vigo,20,1995,30,2160,72,63.2,24.0,26,,14,4,,5,1.13,24,39,-15,-0.62,-0.55
68,Tano Bonnín,do  DOM,DF,Osasuna,26,1990,11,734,67,21.5,8.2,9,,5,2,,9,0.09,9,26,-17,-2.08,-0.84
69,Celso Borges,cr  CRC,MF,La Coruña,28,1988,34,2709,80,79.2,30.1,30,,25,4,,1,0.97,33,43,-10,-0.33,+0.68
70,Rafael Borré,co  COL,FW,Villarreal,20,1995,17,367,22,10.7,4.1,2,,0,15,,13,1.53,8,3,+5,+1.23,+0.70
71,Zakaria Boulahia,dz  ALG,FW,Atlético Madrid,19,1997,0,,,,,0,,0,0,,1,,,,,,
72,Eneko Bóveda,es  ESP,DF,Athletic Club,27,1988,19,1554,82,45.4,17.3,18,,15,1,,11,1.74,21,17,+4,+0.23,-0.06
73,Denys Boyko,ua  UKR,GK,Málaga,28,1988,3,270,90,7.9,3.0,3,,3,0,,33,0.67,4,7,-3,-1.00,-0.91
74,Darko Brašanac,rs  SRB,MF,Betis,24,1992,25,1674,67,48.9,18.6,19,,7,6,,5,1.28,22,28,-6,-0.32,+0.55
75,Claudio Bravo,cl  CHI,GK,Barcelona,33,1983,1,90,90,2.6,1.0,1,,1,0,,0,3.00,6,2,+4,+4.00,+1.97
76,Alberto Brignoli,it  ITA,GK,Leganés,24,1991,1,62,62,1.8,0.7,0,,0,1,,13,0.00,0,3,-3,-4.35,-3.93
77,Aitor Buñuel,es  ESP,"DF,MF",Osasuna,18,1998,15,1031,69,30.1,11.5,10,,6,5,,9,0.93,11,26,-15,-1.31,+0.16
78,Burgui,es  ESP,"MF,FW",Sporting Gijón,22,1993,32,1984,62,58.0,22.0,21,,6,11,,0,0.88,27,37,-10,-0.45,+0.80
79,Sergio Busquets,es  ESP,MF,Barcelona,28,1988,33,2681,81,78.4,29.8,33,,24,0,,1,2.33,90,31,+59,+1.98,-0.46
80,Unai Bustinza,es  ESP,DF,Leganés,24,1992,22,1791,81,52.4,19.9,21,,19,1,,12,1.05,13,32,-19,-0.95,-0.95
81,Gustavo Cabral,ar  ARG,DF,Celta Vigo,30,1985,25,2175,87,63.6,24.2,25,,23,0,,8,1.28,40,53,-13,-0.54,-0.32
82,Felipe Caicedo,ec  ECU,FW,Espanyol,27,1988,27,1278,47,37.4,14.2,14,,2,13,,5,1.33,14,19,-5,-0.35,-0.52
83,Ignacio Camacho,es  ESP,MF,Málaga,26,1990,35,3144,90,91.9,34.9,35,,34,0,,0,1.26,47,50,-3,-0.09,+0.89
84,Víctor Camarasa,es  ESP,MF,Alavés,22,1994,31,2480,80,72.5,27.6,28,,13,3,,4,1.42,24,26,-2,-0.07,-0.07
85,Sergio Canales,es  ESP,"MF,FW",Real Sociedad,25,1991,31,1011,33,29.6,11.2,7,,2,24,,2,1.74,17,22,-5,-0.45,-0.86
86,João Cancelo,pt  POR,"DF,MF",Valencia,22,1994,35,2434,70,71.2,27.0,27,,21,8,,0,1.20,43,49,-6,-0.22,+0.05
87,Roberto Canella,es  ESP,DF,Sporting Gijón,28,1988,20,1751,88,51.2,19.5,20,,17,0,,10,1.00,20,27,-7,-0.36,+0.88
88,Aitor Cantalapiedra,es  ESP,"FW,MF",Villarreal,20,1996,1,5,5,0.1,0.1,0,,0,1,,1,1.00,0,0,0,0.00,-0.61
89,Ander Capa,es  ESP,DF,Eibar,24,1992,31,2552,82,74.6,28.4,29,,26,2,,5,1.48,42,37,+5,+0.18,+0.18
90,Àlex Carbonell,es  ESP,MF,Barcelona,18,1997,0,,,,,0,,0,0,,1,,,,,,
91,Mehdi Carcela,ma  MAR,"MF,FW",Granada,27,1989,22,1742,79,50.9,19.4,20,,13,2,,1,0.73,20,36,-16,-0.83,+1.10
92,Marc Cardona,es  ESP,FW,Barcelona,21,1995,0,,,,,0,,0,0,,1,,,,,,
93,José Carlos Lazo,es  ESP,MF,Villarreal,20,1996,0,,,,,0,,0,0,,1,,,,,,
94,José Carlos,es  ESP,DF,Betis,20,1996,6,494,82,14.4,5.5,6,,4,0,,2,1.17,7,7,0,0.00,+0.71
95,Carlos Carmona,es  ESP,"MF,FW",Sporting Gijón,29,1987,25,1856,74,54.3,20.6,21,,12,4,,6,0.88,24,33,-9,-0.44,+0.77
96,Yannick Carrasco,be  BEL,"MF,FW",Atlético Madrid,22,1993,35,2302,66,67.3,25.6,27,,8,8,,0,1.97,41,18,+23,+0.90,-0.71
97,Daniel Carriço,pt  POR,DF,Sevilla,27,1988,6,451,75,13.2,5.0,6,,4,0,,10,1.00,6,10,-4,-0.80,-1.53
98,Federico Cartabia,ar  ARG,"MF,FW",Valencia,23,1993,4,151,38,4.4,1.7,2,,0,2,,4,0.50,1,5,-4,-2.38,-2.25
99,Dani Carvajal,es  ESP,DF,Real Madrid,24,1992,23,2018,88,59.0,22.4,21,,21,2,,7,2.09,53,24,+29,+1.29,-1.02
100,Casemiro,br  BRA,MF,Real Madrid,24,1992,25,1703,68,49.8,18.9,20,,14,5,,2,2.48,52,20,+32,+1.69,-0.04
101,Nacho Cases,es  ESP,MF,Sporting Gijón,28,1987,21,1469,70,43.0,16.3,16,,10,5,,7,0.73,19,41,-22,-1.35,-0.98
102,Kiko Casilla,es  ESP,GK,Real Madrid,29,1986,11,990,90,28.9,11.0,11,,11,0,,27,2.64,33,10,+23,+2.09,+0.54
103,Dani Castellano,es  ESP,DF,Las Palmas,28,1987,27,2105,78,61.5,23.4,25,,20,2,,3,1.22,41,42,-1,-0.04,+1.33
104,Javi Castellano,es  ESP,"DF,MF",Las Palmas,28,1987,5,102,20,3.0,1.1,0,,0,5,,3,0.00,0,1,-1,-0.88,-0.34
105,Samu Castillejo,es  ESP,MF,Villarreal,21,1995,33,2044,62,59.8,22.7,24,,13,9,,1,1.67,31,19,+12,+0.53,-0.19
106,Carlos Castro,es  ESP,FW,Sporting Gijón,21,1995,25,1027,41,30.0,11.4,10,,4,15,,8,0.92,15,32,-17,-1.49,-1.00
107,Chory Castro,uy  URU,"MF,FW",Málaga,31,1984,29,1790,62,52.3,19.9,21,,10,8,,7,1.07,29,32,-3,-0.15,+0.01
108,Jonny Castro,es  ESP,DF,Celta Vigo,22,1994,30,2221,74,64.9,24.7,23,,23,7,,3,1.37,38,47,-9,-0.36,+0.16
109,Rubén Castro,es  ESP,FW,Betis,35,1981,35,2778,79,81.2,30.9,32,,25,3,,1,0.91,34,56,-22,-0.71,-0.57
110,Goran Čaušić,rs  SRB,MF,Osasuna,24,1992,26,2007,77,58.7,22.3,22,,19,4,,1,0.58,21,54,-33,-1.48,-0.14
111,Dani Ceballos,es  ESP,MF,Betis,19,1996,30,2341,78,68.5,26.0,24,,22,6,,3,0.97,29,40,-11,-0.42,+0.58
112,Kike Cebriá,es  ESP,GK,Eibar,21,1995,0,,,,,0,,0,0,,1,,,,,,
113,Álvaro Cejudo,es  ESP,"MF,FW",Betis,32,1984,17,822,48,24.0,9.1,6,,5,11,,12,1.12,13,21,-8,-0.88,-0.36
114,Alessio Cerci,it  ITA,"FW,MF",Atlético Madrid,29,1987,1,17,17,0.5,0.2,0,,0,1,,7,3.00,0,0,0,0.00,-1.14
115,Nereo Champagne,ar  ARG,GK,Leganés,31,1985,4,360,90,10.5,4.0,4,,4,0,,18,0.75,2,4,-2,-0.50,0.00
116,Charles,br  BRA,FW,Málaga,32,1984,21,1145,55,33.5,12.7,11,,7,10,,3,1.10,11,16,-5,-0.39,-0.35
117,Pape Cheikh Diop,sn  SEN,"MF,FW",Celta Vigo,18,1997,16,580,36,17.0,6.4,5,,3,11,,11,1.06,6,15,-9,-1.40,-1.17
118,Denis Cheryshev,ru  RUS,MF,Villarreal,25,1990,11,346,31,10.1,3.8,2,,0,9,,2,1.64,1,4,-3,-0.78,-1.54
119,Churripi,es  ESP,GK,Sevilla,22,1994,0,,,,,0,,0,0,,4,,,,,,
120,Michaël Ciani,fr  FRA,DF,Espanyol,32,1984,1,55,55,1.6,0.6,0,,0,1,,0,0.00,2,4,-2,-3.27,-3.30
121,Jasper Cillessen,nl  NED,GK,Barcelona,27,1989,1,90,90,2.6,1.0,1,,1,0,,32,0.00,1,2,-1,-1.00,-3.16
122,Carlos Clerc,es  ESP,"DF,MF",Osasuna,24,1992,25,1948,78,57.0,21.6,22,,18,3,,5,0.52,21,53,-32,-1.48,-0.13
123,Fábio Coentrão,pt  POR,DF,Real Madrid,28,1988,3,169,56,4.9,1.9,2,,1,1,,6,3.00,5,2,+3,+1.60,-0.12
124,Emre Çolak,tr  TUR,MF,La Coruña,25,1991,33,2462,75,72.0,27.4,29,,16,4,,4,0.88,32,39,-7,-0.26,+0.78
125,David Concha,es  ESP,MF,Real Sociedad,19,1996,8,123,15,3.6,1.4,1,,0,7,,14,1.13,0,3,-3,-2.20,-2.44
126,Duje Čop,hr  CRO,FW,Sporting Gijón,26,1990,31,2269,73,66.3,25.2,27,,16,4,,1,0.84,30,39,-9,-0.36,+1.29
127,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,21,1995,31,1241,40,36.3,13.8,10,,3,21,,6,1.97,34,12,+22,+1.60,+0.73
128,Joaquín Correa,ar  ARG,"MF,FW",Sevilla,21,1994,26,1318,51,38.5,14.6,15,,8,11,,10,1.81,25,22,+3,+0.20,-0.52
129,Jaume Costa,es  ESP,DF,Villarreal,28,1988,31,2681,86,78.4,29.8,30,,28,1,,3,1.81,45,29,+16,+0.54,-0.32
130,David Costas,es  ESP,DF,Celta Vigo,21,1995,1,90,90,2.6,1.0,1,,1,0,,2,3.00,2,1,+1,+1.00,+1.46
131,Iván Cuéllar,es  ESP,GK,Sporting Gijón,32,1984,36,3240,90,94.7,36.0,36,,36,0,,0,0.78,38,69,-31,-0.86,-1.36
132,Isaac Cuenca,es  ESP,"MF,DF",Granada,25,1991,25,1749,70,51.1,19.4,18,,16,7,,7,0.72,13,43,-30,-1.54,-0.36
133,Eric Curbelo,es  ESP,DF,Las Palmas,22,1994,0,,,,,0,,0,0,,1,,,,,,
134,Danilo,br  BRA,DF,Real Madrid,25,1991,17,1484,87,43.4,16.5,17,,15,0,,15,2.76,52,18,+34,+2.06,+0.62
135,Deyverson,br  BRA,FW,Alavés,25,1991,32,2577,81,75.4,28.6,29,,23,3,,2,1.38,30,32,-2,-0.07,-0.07
136,Marcelo Díaz,cl  CHI,MF,Celta Vigo,29,1986,26,1649,63,48.2,18.3,17,,13,9,,3,1.35,25,36,-11,-0.60,-0.35
137,Víctor Díaz,es  ESP,DF,Leganés,28,1988,23,1811,79,53.0,20.1,20,,17,3,,4,0.78,13,33,-20,-0.99,-1.05
138,Didier Digard,fr  FRA,MF,Osasuna,30,1986,3,189,63,5.5,2.1,3,,1,0,,0,1.33,5,5,0,0.00,+1.50
139,Lucas Digne,fr  FRA,DF,Barcelona,23,1993,17,1170,69,34.2,13.0,14,,8,3,,19,2.47,37,10,+27,+2.08,0.00
140,Papakouli Diop,sn  SEN,MF,Espanyol,30,1986,18,913,51,26.7,10.1,9,,8,9,,10,1.39,11,22,-11,-1.08,-1.44
141,Jaume Doménech,es  ESP,GK,Valencia,25,1990,3,270,90,7.9,3.0,3,,3,0,,32,2.00,6,4,+2,+0.67,+0.98
142,Ryan Donk,sr  SUR,"MF,DF",Betis,30,1986,16,865,54,25.3,9.6,9,,6,7,,10,1.19,9,11,-2,-0.21,+0.53
143,Josué Dorrio,es  ESP,MF,Eibar,22,1994,0,,,,,0,,0,0,,3,,,,,,
144,Jonathan dos Santos,mx  MEX,MF,Villarreal,26,1990,34,2222,65,65.0,24.7,22,,17,12,,0,1.82,32,23,+9,+0.36,-0.69
145,Mauro dos Santos,ar  ARG,DF,Eibar,27,1989,11,765,70,22.4,8.5,8,,7,3,,18,1.00,9,21,-12,-1.41,-1.99
146,Óscar Duarte,cr  CRC,DF,Espanyol,27,1989,15,1125,75,32.9,12.5,13,,11,2,,7,1.13,18,22,-4,-0.32,-0.44
147,Rubén Duarte,es  ESP,DF,Espanyol,20,1995,3,103,34,3.0,1.1,1,,0,2,,24,1.33,4,6,-2,-1.75,-1.77
148,Duda,pt  POR,MF,Málaga,36,1980,15,380,25,11.1,4.2,2,,0,13,,12,1.25,8,7,+1,+0.24,+0.44
149,Riza Durmisi,dk  DEN,DF,Betis,22,1994,27,2382,88,69.6,26.5,27,,24,0,,5,1.00,30,43,-13,-0.49,+0.38
150,Elderson Echiéjilé,ng  NGA,DF,Sporting Gijón,28,1988,3,199,66,5.8,2.2,2,,2,1,,6,0.33,2,10,-8,-3.62,-3.00
151,Aritz Elustondo,es  ESP,DF,Real Sociedad,22,1994,9,464,52,13.6,5.2,4,,2,5,,20,1.78,10,9,+1,+0.19,+0.04
152,Gorka Elustondo,es  ESP,DF,Athletic Club,29,1987,2,106,53,3.1,1.2,1,,1,1,,11,0.50,1,1,0,0.00,-0.27
153,Rodrigo Ely,br  BRA,DF,Alavés,22,1993,10,790,79,23.1,8.8,8,,7,2,,2,1.70,10,8,+2,+0.23,+0.36
154,Youssef En-Nesyri,ma  MAR,FW,Málaga,19,1997,13,346,27,10.1,3.8,0,,0,13,,3,1.00,9,4,+5,+1.30,+1.62
155,Sergi Enrich,es  ESP,FW,Eibar,26,1990,38,2826,74,82.6,31.4,31,,23,7,,0,1.42,47,41,+6,+0.19,+0.34
156,Javier Eraso,es  ESP,MF,Athletic Club,26,1990,6,374,62,10.9,4.2,4,,3,2,,7,1.00,2,6,-4,-0.96,-1.38
157,Gonzalo Escalante,ar  ARG,MF,Eibar,23,1993,30,2016,67,58.9,22.4,24,,14,6,,4,1.37,35,34,+1,+0.04,-0.21
158,Aarón Escandell,es  ESP,GK,Málaga,20,1995,0,,,,,0,,0,0,,2,,,,,,
159,Sergio Escudero,es  ESP,"DF,MF",Sevilla,26,1989,26,2283,88,66.8,25.4,25,,24,1,,2,2.12,48,32,+16,+0.63,+0.31
160,Cristian Espinoza,ar  ARG,MF,Alavés,21,1995,6,163,27,4.8,1.8,1,,0,5,,3,1.67,0,2,-2,-1.10,-1.10
161,Pervis Estupiñán,ec  ECU,DF,Granada,18,1998,2,180,90,5.3,2.0,2,,2,0,,6,0.50,1,3,-2,-1.00,+0.39
162,Beñat Etxebarria,es  ESP,MF,Athletic Club,29,1987,32,2390,75,69.9,26.6,28,,13,4,,3,1.72,37,30,+7,+0.26,0.00
163,Xabier Etxeita,es  ESP,DF,Athletic Club,28,1987,10,712,71,20.8,7.9,7,,6,3,,13,1.00,6,9,-3,-0.38,-0.81
164,Edu Expósito,es  ESP,MF,La Coruña,19,1996,1,45,45,1.3,0.5,1,,0,0,,2,0.00,0,2,-2,-4.00,-3.57
165,Erik Expósito,es  ESP,FW,Las Palmas,20,1996,2,165,83,4.8,1.8,2,,1,0,,4,0.00,0,4,-4,-2.18,-1.71
166,Fayçal Fajr,ma  MAR,MF,La Coruña,27,1988,24,1211,50,35.4,13.5,14,,8,10,,4,0.88,8,21,-13,-0.97,-0.76
167,Zouhair Feddal,ma  MAR,DF,Alavés,27,1989,27,2242,83,65.6,24.9,27,,23,0,,0,1.48,27,25,+2,+0.08,+0.39
168,Kiko Femenía,es  ESP,DF,Alavés,25,1991,31,2499,81,73.1,27.8,28,,23,3,,2,1.39,23,25,-2,-0.07,-0.07
169,Álvaro Fernández,es  ESP,GK,Osasuna,18,1998,1,45,45,1.3,0.5,0,,0,1,,4,0.00,0,0,0,0.00,+1.44
170,Andrés Fernández,es  ESP,GK,Villarreal,29,1986,15,1316,88,38.5,14.6,14,,14,1,,21,1.87,26,18,+8,+0.55,-0.09
171,Augusto Fernández,ar  ARG,MF,Atlético Madrid,30,1986,3,138,46,4.0,1.5,2,,0,1,,1,2.33,2,0,+2,+1.30,+0.18
172,Carlos Fernández,es  ESP,FW,Sevilla,20,1996,3,91,30,2.7,1.0,1,,0,2,,1,2.00,3,1,+2,+1.98,+1.49
173,Mario Fernández,es  ESP,GK,Osasuna,28,1988,7,585,84,17.1,6.5,7,,6,0,,21,0.57,10,14,-4,-0.62,+0.97
174,Pablo Fernández,es  ESP,MF,Sporting Gijón,19,1996,2,22,11,0.6,0.2,0,,0,2,,1,0.00,1,0,+1,+4.09,+4.91
175,Javier Flaño,es  ESP,DF,Osasuna,31,1984,4,132,33,3.9,1.5,2,,1,2,,0,0.50,3,2,+1,+0.68,+2.19
176,Miguel Flaño,es  ESP,DF,Osasuna,31,1984,12,1034,86,30.2,11.5,12,,11,0,,1,0.50,12,25,-13,-1.13,+0.41
177,Andreu Fontàs,es  ESP,DF,Celta Vigo,26,1989,17,1460,86,42.7,16.2,17,,15,0,,11,1.47,26,24,+2,+0.12,+0.95
178,Pablo Fornals,es  ESP,MF,Málaga,20,1996,32,2667,83,78.0,29.6,31,,23,1,,3,1.28,38,43,-5,-0.17,-0.05
179,Dimitri Foulquier,fr  FRA,DF,Granada,23,1993,22,1874,85,54.8,20.8,21,,20,1,,2,0.73,20,42,-22,-1.06,+0.69
180,Javi Fuego,es  ESP,MF,Espanyol,32,1984,31,2563,83,74.9,28.5,29,,25,2,,4,1.45,32,32,0,0.00,+0.11
