,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
16,Iván Cuéllar,es  ESP,GK,Sporting Gijón,32,1984,36,36,3240,36.0,69,1.92,202,133,68.8,6,10,20,7,19.4,8,6,2,0,25.0
17,Jaume Doménech,es  ESP,GK,Valencia,25,1990,3,3,270,3.0,4,1.33,12,8,66.7,2,0,1,1,33.3,0,0,0,0,
18,Álvaro Fernández,es  ESP,GK,Osasuna,18,1998,1,0,45,0.5,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
19,Andrés Fernández,es  ESP,GK,Villarreal,29,1986,15,14,1316,14.6,18,1.23,76,58,81.6,9,1,5,5,35.7,4,4,0,0,0.0
20,Mario Fernández,es  ESP,GK,Osasuna,28,1988,7,7,585,6.5,14,2.15,37,23,64.9,0,4,3,1,14.3,3,1,2,0,66.7
21,Dani Giménez,es  ESP,GK,Betis,33,1983,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
22,Iago Herrerín,es  ESP,GK,Leganés,28,1988,21,21,1827,20.3,25,1.23,75,50,70.7,4,6,10,6,28.6,4,3,1,0,25.0
23,Gorka Iraizoz,es  ESP,GK,Athletic Club,35,1981,16,15,1405,15.6,21,1.35,64,43,68.8,5,4,7,2,13.3,3,1,2,0,66.7
24,Carlos Kameni,cm  CMR,GK,Málaga,32,1984,35,35,3150,35.0,48,1.37,152,104,72.4,12,8,15,8,22.9,7,6,1,0,14.3
25,Raúl Lizoain,es  ESP,GK,Las Palmas,25,1991,13,13,1170,13.0,28,2.15,72,44,66.7,3,4,6,3,23.1,4,4,0,0,0.0
26,Diego López,es  ESP,GK,Espanyol,34,1981,35,35,3110,34.6,38,1.10,153,115,76.5,15,9,11,11,31.4,2,2,0,0,0.0
27,Germán Lux,ar  ARG,GK,La Coruña,34,1982,25,25,2205,24.5,38,1.55,116,78,69.0,5,7,13,6,24.0,2,2,0,0,0.0
28,Diego Mariño,es  ESP,GK,Sporting Gijón,26,1990,2,2,180,2.0,3,1.50,12,9,83.3,1,0,1,0,0.0,1,1,0,0,0.0
29,Keylor Navas,cr  CRC,GK,Real Madrid,29,1986,27,27,2430,27.0,31,1.15,119,88,74.8,20,4,3,5,18.5,2,1,0,1,0.0
30,Jan Oblak,si  SVN,GK,Atlético Madrid,23,1993,30,30,2649,29.4,21,0.71,90,69,80.0,17,7,5,15,50.0,4,3,1,0,25.0
31,Guillermo Ochoa,mx  MEX,GK,Granada,31,1985,38,38,3420,38.0,82,2.16,268,186,70.1,4,8,26,3,7.9,4,2,1,1,33.3
32,Adrián Ortolá,es  ESP,GK,Alavés,22,1993,2,2,180,2.0,1,0.50,8,7,87.5,1,1,0,1,50.0,0,0,0,0,
33,Fernando Pacheco,es  ESP,GK,Alavés,24,1992,36,36,3240,36.0,42,1.17,169,127,77.5,13,12,11,11,30.6,6,4,2,0,33.3
34,Nauzet Pérez,es  ESP,GK,Osasuna,31,1985,13,13,1170,13.0,29,2.23,70,41,60.0,1,3,9,0,0.0,1,1,0,0,0.0
35,Sergio Rico,es  ESP,GK,Sevilla,22,1993,35,35,3150,35.0,45,1.29,162,117,74.1,20,8,7,12,34.3,4,3,1,0,25.0
36,Asier Riesgo,es  ESP,GK,Eibar,32,1983,16,16,1250,13.9,19,1.37,56,37,71.4,5,3,6,4,25.0,3,3,0,0,0.0
37,Roberto,es  ESP,GK,Espanyol,30,1986,4,3,310,3.4,12,3.48,23,11,47.8,0,2,1,0,0.0,0,0,0,0,
38,Davy Roef,be  BEL,GK,La Coruña,22,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
39,Gerónimo Rulli,ar  ARG,GK,Real Sociedad,24,1992,38,38,3420,38.0,53,1.39,166,113,70.5,19,7,12,10,26.3,7,4,1,2,20.0
40,Mathew Ryan,au  AUS,GK,Valencia,24,1992,2,2,180,2.0,5,2.50,11,6,63.6,0,0,2,0,0.0,2,1,1,0,50.0
41,David Soria,es  ESP,GK,Sevilla,23,1993,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
42,Marc-André ter Stegen,de  GER,GK,Barcelona,24,1992,36,36,3240,36.0,33,0.92,162,129,79.6,27,6,3,13,36.1,0,0,0,0,
43,Przemysław Tytoń,pl  POL,GK,La Coruña,29,1987,13,12,1125,12.5,23,1.84,58,35,62.1,2,5,5,2,16.7,1,1,0,0,0.0
44,Javi Varas,es  ESP,GK,Las Palmas,33,1982,25,25,2250,25.0,47,1.88,125,78,68.0,7,5,13,2,8.0,7,7,0,0,0.0
45,Iván Villar,es  ESP,GK,Celta Vigo,19,1997,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
46,Yoel,es  ESP,GK,Eibar,27,1988,25,22,2124,23.6,32,1.36,121,89,75.2,10,6,8,6,27.3,3,2,1,0,33.3
