,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
53,Éver Banega,ar  ARG,MF,Sevilla,26,1988,34,2200,65,64.3,24.4,23,,16,11,,2,2.03,48,32,+16,+0.65,-0.08
54,Léo Baptistão,br  BRA,"FW,MF",Rayo Vallecano,21,1992,25,1776,71,51.9,19.7,22,,8,3,,1,1.24,22,34,-12,-0.61,-0.06
55,Mariano Barbosa,ar  ARG,GK,Sevilla,30,1984,2,164,82,4.8,1.8,1,,1,1,,8,2.00,3,2,+1,+0.55,-0.14
56,Ander Bardají,es  ESP,GK,Real Sociedad,19,1995,0,,,,,0,,0,0,,10,,,,,,
57,Antonio Barragán,es  ESP,"DF,MF",Valencia,27,1987,34,2845,84,83.2,31.6,32,,29,2,,2,2.00,57,28,+29,+0.92,-0.49
58,Bernabé Barragán,es  ESP,GK,Atlético Madrid,21,1993,0,,,,,0,,0,0,,3,,,,,,
59,David Barral,es  ESP,FW,Levante,31,1983,35,2624,75,76.7,29.2,32,,18,3,,1,1.03,29,51,-22,-0.75,+0.49
60,Marc Bartra,es  ESP,DF,Barcelona,23,1991,14,1036,74,30.3,11.5,11,,9,3,,16,2.71,38,3,+35,+3.04,+1.00
61,Bebé,pt  POR,"FW,MF",Córdoba,24,1990,18,1461,81,42.7,16.2,16,,13,2,,1,0.33,7,25,-18,-1.11,+0.18
62,Karim Benzema,fr  FRA,FW,Real Madrid,26,1987,29,2278,79,66.6,25.3,29,,7,0,,2,2.31,67,21,+46,+1.82,-0.86
63,Yuri Berchiche,es  ESP,DF,Real Sociedad,24,1990,21,1469,70,43.0,16.3,17,,13,4,,12,1.33,19,22,-3,-0.18,0.00
64,Álex Bergantiños,es  ESP,MF,La Coruña,29,1985,33,2647,80,77.4,29.4,29,,27,4,,5,0.94,29,52,-23,-0.78,-0.55
65,Markel Bergara,es  ESP,MF,Real Sociedad,28,1986,30,2128,71,62.2,23.6,24,,19,6,,4,1.30,25,30,-5,-0.21,-0.07
66,Saúl Berjón,es  ESP,"FW,MF",Eibar,28,1986,34,2387,70,69.8,26.5,30,,12,4,,1,0.91,28,40,-12,-0.45,+0.33
67,Beto,pt  POR,GK,Sevilla,32,1982,18,1444,80,42.2,16.0,18,,15,0,,4,1.83,25,19,+6,+0.37,-0.54
68,Thievy Bifouma,cg  CGO,"FW,MF",Almería,22,1992,29,1776,61,51.9,19.7,21,,7,8,,1,0.97,20,36,-16,-0.81,-0.10
69,Rubén Blanco,es  ESP,GK,Celta Vigo,19,1995,1,70,70,2.0,0.8,0,,0,1,,36,3.00,3,2,+1,+1.29,+1.23
70,Derek Boateng,gh  GHA,MF,Eibar,31,1983,13,729,56,21.3,8.1,8,,6,5,,17,1.00,9,11,-2,-0.25,+0.39
71,Arthur Boka,ci  CIV,DF,Málaga,31,1983,23,1708,74,49.9,19.0,18,,18,5,,4,1.30,22,30,-8,-0.42,-0.53
72,Theo Bongonda,be  BEL,"FW,MF",Celta Vigo,18,1995,8,140,18,4.1,1.6,0,,0,8,,12,0.75,2,2,0,0.00,-0.08
73,Celso Borges,cr  CRC,"FW,MF",La Coruña,26,1988,17,1468,86,42.9,16.3,17,,14,0,,0,1.00,16,25,-9,-0.55,+0.19
74,Iago Bouzón,es  ESP,DF,Córdoba,31,1983,3,225,75,6.6,2.5,3,,2,0,,8,0.00,2,9,-7,-2.80,-1.70
75,Eneko Bóveda,es  ESP,DF,Eibar,25,1988,35,3136,90,91.7,34.8,35,,34,0,,0,0.97,32,48,-16,-0.46,+1.13
76,Claudio Bravo,cl  CHI,GK,Barcelona,31,1983,37,3330,90,97.4,37.0,37,,37,0,,1,2.51,108,19,+89,+2.41,+2.41
77,Emi Buendía,ar  ARG,"FW,MF",Getafe,17,1996,6,135,23,3.9,1.5,1,,1,5,,5,0.17,0,7,-7,-4.67,-4.01
78,Alberto Bueno,es  ESP,"FW,MF",Rayo Vallecano,26,1988,36,2864,80,83.7,31.8,35,,22,1,,1,1.36,41,54,-13,-0.41,+1.05
79,Sergio Busquets,es  ESP,MF,Barcelona,26,1988,33,2475,75,72.4,27.5,29,,21,4,,0,2.45,76,16,+60,+2.18,-0.58
80,Unai Bustinza,es  ESP,DF,Athletic Club,22,1992,2,98,49,2.9,1.1,1,,0,1,,11,2.00,0,0,0,0.00,-0.03
81,Edu Caballer,es  ESP,DF,Córdoba,32,1981,14,1085,78,31.7,12.1,12,,,2,,0,,,,,,
82,Carlos Caballero,es  ESP,MF,Córdoba,29,1984,2,9,5,0.3,0.1,0,,0,2,,1,0.50,0,0,0,0.00,+1.21
83,Gustavo Cabral,ar  ARG,DF,Celta Vigo,28,1985,35,3078,88,90.0,34.2,35,,31,0,,0,1.40,45,38,+7,+0.20,+1.26
84,Felipe Caicedo,ec  ECU,"FW,MF",Espanyol,25,1988,35,1887,54,55.2,21.0,25,,4,10,,2,1.37,23,26,-3,-0.14,-0.08
85,Cala,es  ESP,DF,Granada,24,1989,7,517,74,15.1,5.7,6,,5,1,,8,0.57,4,16,-12,-2.09,-1.38
86,Ignacio Camacho,es  ESP,MF,Málaga,24,1990,25,2205,88,64.5,24.5,25,,24,0,,0,1.60,31,30,+1,+0.04,+0.56
87,Víctor Camarasa,es  ESP,MF,Levante,20,1994,24,1805,75,52.8,20.1,20,,14,4,,5,1.08,20,39,-19,-0.95,-0.17
88,Eduard Campabadal,es  ESP,DF,Córdoba,21,1993,0,,,,,0,,0,0,,9,,,,,,
89,Joel Campbell,cr  CRC,"FW,MF",Villarreal,22,1992,16,1197,75,35.0,13.3,16,,8,0,,1,1.31,6,14,-8,-0.60,-1.37
90,Álex Campos,es  ESP,GK,Rayo Vallecano,23,1991,0,,,,,0,,0,0,,3,,,,,,
91,Sergio Canales,es  ESP,"FW,MF",Real Sociedad,23,1991,36,2532,70,74.0,28.1,31,,11,5,,0,1.11,31,37,-6,-0.21,-0.11
92,José Cañas,es  ESP,MF,Espanyol,27,1987,29,2212,76,64.7,24.6,24,,21,5,,3,1.31,29,31,-2,-0.08,+0.07
93,João Cancelo,pt  POR,"DF,MF",Valencia,20,1994,10,525,53,15.4,5.8,5,,4,5,,21,2.00,13,5,+8,+1.37,+0.44
94,Daniel Candeias,pt  POR,"FW,MF",Granada,26,1988,11,530,48,15.5,5.9,5,,2,6,,3,0.64,2,19,-17,-2.89,-2.33
95,Roberto Canella,es  ESP,DF,La Coruña,26,1988,9,446,50,13.0,5.0,5,,3,4,,6,0.67,4,9,-5,-1.01,-0.40
96,Ander Capa,es  ESP,"DF,MF",Eibar,22,1992,34,2401,71,70.2,26.7,27,,13,7,,3,0.94,25,39,-14,-0.52,+0.09
97,Eneko Capilla,es  ESP,MF,Real Sociedad,19,1995,2,13,7,0.4,0.1,0,,0,2,,2,1.50,0,1,-1,-6.92,-6.76
98,José Carlos,es  ESP,"FW,MF",Córdoba,27,1987,1,20,20,0.6,0.2,0,,1,1,,0,2.00,2,0,+2,+9.00,+10.27
99,Daniel Carriço,pt  POR,"DF,MF",Sevilla,25,1988,28,2517,90,73.6,28.0,28,,27,0,,3,2.04,55,36,+19,+0.68,-0.02
100,Federico Cartabia,ar  ARG,MF,Córdoba,21,1993,30,2159,72,63.1,24.0,24,,15,6,,2,0.57,17,35,-18,-0.75,+1.25
101,Dani Carvajal,es  ESP,DF,Real Madrid,22,1992,30,2271,76,66.4,25.2,25,,20,5,,3,2.37,70,24,+46,+1.82,-0.84
102,Víctor Casadesús,es  ESP,FW,Levante,29,1985,35,2436,70,71.2,27.1,26,,21,9,,3,1.06,24,45,-21,-0.78,+0.32
103,Kiko Casilla,es  ESP,GK,Espanyol,27,1986,37,3280,89,95.9,36.4,37,,36,0,,0,1.32,45,48,-3,-0.08,+0.56
104,Iker Casillas,es  ESP,GK,Real Madrid,33,1981,32,2880,90,84.2,32.0,32,,32,0,,6,2.31,96,35,+61,+1.91,-1.26
105,Samu Castillejo,es  ESP,"FW,MF",Málaga,19,1995,34,2339,69,68.4,26.0,28,,13,6,,2,1.29,33,30,+3,+0.12,+0.86
106,Chory Castro,uy  URU,"FW,MF",Real Sociedad,29,1984,32,1810,57,52.9,20.1,22,,3,10,,4,1.28,27,28,-1,-0.05,+0.29
107,Diego Castro,es  ESP,"FW,MF",Getafe,32,1982,32,2253,70,65.9,25.0,25,,13,7,,3,0.94,22,40,-18,-0.72,+0.28
108,Jonny Castro,es  ESP,"DF,MF",Celta Vigo,20,1994,36,2970,83,86.8,33.0,32,,31,4,,1,1.31,40,38,+2,+0.06,-0.14
109,Zé Castro,pt  POR,DF,Rayo Vallecano,31,1983,28,2409,86,70.4,26.8,28,,24,0,,0,1.43,38,47,-9,-0.34,+0.82
110,Ivan Cavaleiro,pt  POR,"FW,MF",La Coruña,20,1993,34,2384,70,69.7,26.5,27,,14,7,,1,0.85,24,40,-16,-0.60,+0.18
111,Alessio Cerci,it  ITA,"FW,MF",Atlético Madrid,27,1987,6,125,21,3.7,1.4,0,,0,6,,5,1.67,0,1,-1,-0.72,-1.79
112,Charles,br  BRA,FW,Celta Vigo,30,1984,28,1117,40,32.7,12.4,12,,3,16,,9,1.29,11,13,-2,-0.16,-0.36
113,Chechu,es  ESP,DF,Villarreal,32,1982,15,1149,77,33.6,12.8,13,,10,2,,14,1.60,14,13,+1,+0.08,-0.32
114,Pape Cheikh Diop,sn  SEN,MF,Celta Vigo,16,1997,0,,,,,0,,0,0,,1,,,,,,
115,Denis Cheryshev,ru  RUS,"FW,MF",Villarreal,23,1990,26,1687,65,49.3,18.7,18,,8,8,,0,1.81,34,15,+19,+1.01,+1.43
116,Chiri,es  ESP,GK,Elche,21,1992,0,,,,,0,,0,0,,3,,,,,,
117,Domingo Cisma,es  ESP,DF,Elche,32,1982,25,2158,86,63.1,24.0,24,,22,1,,11,1.12,24,40,-16,-0.67,+0.12
118,Pablo Clavería,es  ESP,MF,Rayo Vallecano,18,1996,1,11,11,0.3,0.1,0,,0,1,,0,0.00,0,0,0,0.00,+0.58
119,David Cobeño,es  ESP,GK,Rayo Vallecano,32,1982,3,246,82,7.2,2.7,2,,2,1,,19,1.00,4,5,-1,-0.37,+0.23
120,Jordi Codina,es  ESP,GK,Getafe,32,1982,5,450,90,13.2,5.0,5,,5,0,,15,0.60,6,14,-8,-1.60,-0.90
121,Fábio Coentrão,pt  POR,DF,Real Madrid,26,1988,9,418,46,12.2,4.6,5,,3,4,,11,2.11,9,8,+1,+0.22,-2.15
122,Coke,es  ESP,DF,Sevilla,27,1987,22,1811,82,53.0,20.1,21,,16,1,,11,2.00,34,22,+12,+0.60,-0.19
123,Diego Colotto,ar  ARG,DF,Espanyol,33,1981,23,1974,86,57.7,21.9,22,,21,1,,13,1.25,28,33,-5,-0.23,-0.29
124,Adrián Colunga,es  ESP,"FW,MF",Granada,29,1984,4,219,55,6.4,2.4,3,,0,1,,0,0.50,1,1,0,0.00,+0.98
125,Jhon Córdoba,co  COL,FW,Granada,21,1993,26,1409,54,41.2,15.7,16,,4,10,,4,0.85,10,24,-14,-0.89,+0.05
126,Ferran Corominas,es  ESP,"FW,MF",Elche,31,1983,34,1214,36,35.5,13.5,14,,2,20,,4,1.12,8,33,-25,-1.85,-1.77
127,Corona,es  ESP,MF,Almería,33,1981,31,2025,65,59.2,22.5,23,,14,8,,3,0.77,22,44,-22,-0.98,-0.53
128,Hélder Costa,pt  POR,"FW,MF",La Coruña,20,1994,6,150,25,4.4,1.7,0,,0,6,,2,0.83,3,3,0,0.00,+0.69
129,Jaume Costa,es  ESP,DF,Villarreal,26,1988,29,2427,84,71.0,27.0,28,,24,1,,1,1.70,37,25,+12,+0.44,+0.54
130,David Costas,es  ESP,DF,Celta Vigo,19,1995,1,90,90,2.6,1.0,1,,1,0,,12,1.00,1,1,0,0.00,-0.08
131,Agustín Cousillas,ar  ARG,GK,Málaga,24,1990,0,,,,,0,,0,0,,1,,,,,,
132,Isaac Cuenca,es  ESP,"FW,MF",La Coruña,23,1991,27,1456,54,42.6,16.2,14,,6,13,,4,0.81,14,27,-13,-0.80,-0.25
133,Julián Cuesta,es  ESP,GK,Almería,23,1991,15,1350,90,39.5,15.0,15,,15,0,,23,1.00,12,26,-14,-0.93,-0.28
134,Teerasil Dangda,th  THA,FW,Almería,26,1988,6,144,24,4.2,1.6,0,,0,6,,4,0.33,1,3,-2,-1.25,-0.51
135,Sergi Darder,es  ESP,MF,Málaga,20,1993,34,2743,81,80.2,30.5,33,,21,1,,1,1.44,36,31,+5,+0.16,+1.63
136,Rodrigo De Paul,ar  ARG,"FW,MF",Valencia,20,1994,25,743,30,21.7,8.3,6,,0,19,,8,1.96,16,9,+7,+0.85,-0.19
137,Deivid,es  ESP,"DF,MF",Córdoba,25,1989,21,1797,86,52.5,20.0,21,,17,0,,2,0.67,12,37,-25,-1.25,-0.09
138,Manu del Moral,es  ESP,FW,Eibar,30,1984,28,1678,60,49.1,18.6,21,,5,7,,0,0.89,15,31,-16,-0.86,-0.60
139,Gerard Deulofeu,es  ESP,"FW,MF",Sevilla,20,1994,17,782,46,22.9,8.7,10,,1,7,,13,1.88,13,13,0,0.00,-0.89
140,Modibo Diakité,fr  FRA,DF,La Coruña,27,1987,2,180,90,5.3,2.0,2,,2,0,,7,0.00,2,10,-8,-4.00,-3.53
141,Baba Diawara,sn  SEN,FW,Getafe,26,1988,21,585,28,17.1,6.5,5,,0,16,,5,0.76,8,15,-7,-1.08,-0.32
142,Stole Dimitrievski,mk  MKD,GK,Granada,20,1993,1,90,90,2.6,1.0,1,,1,0,,1,3.00,2,1,+1,+1.00,+1.97
143,Papakouli Diop,sn  SEN,MF,Levante,28,1986,19,1538,81,45.0,17.1,18,,13,1,,1,0.89,16,38,-22,-1.29,-0.76
144,Marcelo Djaló,gw  GNB,DF,Granada,20,1993,0,,,,,0,,0,0,,5,,,,,,
145,Juan Domínguez,es  ESP,MF,La Coruña,24,1990,22,1256,57,36.7,14.0,13,,8,9,,8,0.91,13,25,-12,-0.86,-0.32
146,Giovani dos Santos,mx  MEX,"FW,MF",Villarreal,25,1989,26,1390,53,40.6,15.4,15,,5,11,,0,1.54,15,18,-3,-0.19,-0.81
147,Jonathan dos Santos,mx  MEX,MF,Villarreal,24,1990,28,1640,59,48.0,18.2,17,,10,11,,5,1.71,24,13,+11,+0.60,+0.60
148,Mauro dos Santos,ar  ARG,DF,Almería,25,1989,29,2296,79,67.1,25.5,27,,22,2,,5,1.00,22,36,-14,-0.55,+0.65
149,Douglas,br  BRA,DF,Barcelona,23,1990,2,100,50,2.9,1.1,1,,0,1,,1,1.00,0,2,-2,-1.80,-4.27
150,Rubén Duarte,es  ESP,DF,Espanyol,18,1995,11,990,90,28.9,11.0,11,,11,0,,1,1.18,11,10,+1,+0.09,+0.28
151,Sebastián Dubarbier,ar  ARG,"DF,FW",Almería,28,1986,32,2761,86,80.7,30.7,32,,26,0,,1,0.81,28,45,-17,-0.55,+1.08
152,Duda,pt  POR,"DF,FW",Málaga,34,1980,25,882,35,25.8,9.8,9,,0,16,,9,1.32,10,13,-3,-0.31,-0.20
153,Patrick Ekeng,cm  CMR,MF,Córdoba,24,1990,14,756,54,22.1,8.4,8,,5,6,,7,0.79,4,15,-11,-1.31,-0.13
154,Borja Ekiza,es  ESP,DF,Eibar,26,1988,11,926,84,27.1,10.3,11,,9,0,,18,0.92,9,22,-13,-1.26,-0.97
155,Aritz Elustondo,es  ESP,DF,Real Sociedad,20,1994,4,316,79,9.2,3.5,4,,2,0,,3,0.75,2,5,-3,-0.85,-0.74
156,Gorka Elustondo,es  ESP,"DF,MF",Real Sociedad,27,1987,19,1162,61,34.0,12.9,12,,10,7,,9,1.16,16,21,-5,-0.39,-0.31
157,Adri Embarba,es  ESP,"FW,MF",Rayo Vallecano,22,1992,14,836,60,24.4,9.3,9,,5,5,,4,1.64,15,15,0,0.00,+0.77
158,Jon Errasti,es  ESP,MF,Eibar,26,1988,25,1725,69,50.4,19.2,19,,14,6,,5,1.20,20,30,-10,-0.52,+0.06
159,Sergio Escudero,es  ESP,"DF,MF",Getafe,24,1989,30,2207,74,64.5,24.5,26,,18,4,,4,1.03,24,37,-13,-0.53,+0.81
160,Dani Estrada,es  ESP,"DF,MF",Real Sociedad,27,1987,0,,,,,0,,0,0,,6,,,,,,
161,Beñat Etxebarria,es  ESP,MF,Athletic Club,27,1987,28,1711,61,50.0,19.0,20,,10,8,,10,1.48,26,17,+9,+0.47,+0.89
162,Xabier Etxeita,es  ESP,DF,Athletic Club,26,1987,24,1971,82,57.6,21.9,22,,20,2,,6,1.68,28,22,+6,+0.27,+0.58
163,Fabricio,es  ESP,GK,La Coruña,26,1987,31,2790,90,81.6,31.0,31,,31,0,,6,1.06,28,41,-13,-0.42,+1.29
164,Fayçal Fajr,ma  MAR,MF,Elche,25,1988,34,2564,75,75.0,28.5,29,,19,5,,3,1.06,25,39,-14,-0.49,+0.88
165,Luis Fariña,ar  ARG,"FW,MF",La Coruña,23,1991,21,1186,56,34.7,13.2,15,,4,6,,2,0.71,14,26,-12,-0.91,-0.39
166,Mohammed Fatau,gh  GHA,MF,Rayo Vallecano,21,1992,10,699,70,20.4,7.8,9,,4,1,,4,1.30,8,14,-6,-0.77,-0.24
167,Sofiane Feghouli,dz  ALG,"FW,MF",Valencia,24,1989,33,1928,58,56.4,21.4,20,,7,13,,0,2.03,43,15,+28,+1.31,+0.70
168,Alex Felip,es  ESP,MF,Getafe,22,1992,10,95,10,2.8,1.1,0,,0,10,,9,1.30,0,4,-4,-3.79,-3.06
169,Aitor Fernández,es  ESP,GK,Villarreal,23,1991,0,,,,,0,,0,0,,5,,,,,,
170,Álex Fernández,es  ESP,"DF,MF",Espanyol,21,1992,5,167,33,4.9,1.9,2,,0,3,,5,1.40,0,3,-3,-1.62,-1.59
171,Augusto Fernández,ar  ARG,MF,Celta Vigo,28,1986,30,2114,70,61.8,23.5,24,,18,6,,0,1.37,30,28,+2,+0.09,+0.02
172,Carlos Fernández,es  ESP,FW,Sevilla,18,1996,1,9,9,0.3,0.1,0,,0,1,,1,3.00,0,0,0,0.00,-0.69
173,Flávio Ferreira,pt  POR,"DF,MF",Málaga,22,1991,0,,,,,0,,0,0,,1,,,,,,
174,Fidel,es  ESP,MF,Córdoba,24,1989,25,1425,57,41.7,15.8,17,,4,8,,7,0.52,7,37,-30,-1.89,-1.17
175,Diogo Figueiras,pt  POR,"DF,MF",Sevilla,23,1991,24,1832,76,53.6,20.4,19,,17,5,,12,1.88,39,34,+5,+0.25,-0.94
176,Egor Filipenko,by  BLR,DF,Málaga,26,1988,0,,,,,0,,0,0,,5,,,,,,
177,Alfreð Finnbogason,is  ISL,FW,Real Sociedad,25,1989,25,817,33,23.9,9.1,6,,3,19,,8,1.00,12,8,+4,+0.44,+0.82
178,Andreu Fontàs,es  ESP,DF,Celta Vigo,24,1989,34,2985,88,87.3,33.2,33,,32,1,,1,1.29,41,40,+1,+0.03,-0.38
179,Dimitri Foulquier,fr  FRA,"DF,MF",Granada,21,1993,25,1697,68,49.6,18.9,18,,17,7,,7,0.96,12,43,-31,-1.64,-1.44
