,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
86,Ander Capa,es  ESP,"DF,MF",Eibar,22,1992,26.7,6,0,,59,,,,,,,,
87,Eneko Capilla,es  ESP,MF,Real Sociedad,19,1995,0.1,0,0,,0,,,,,,,,
88,José Carlos,es  ESP,"FW,MF",Córdoba,27,1987,0.2,0,0,,1,,,,,,,,
89,Daniel Carriço,pt  POR,"DF,MF",Sevilla,25,1988,28.0,9,1,,34,,,,,,,,
90,Federico Cartabia,ar  ARG,MF,Córdoba,21,1993,24.0,11,2,,33,,,,,,,,
91,Dani Carvajal,es  ESP,DF,Real Madrid,22,1992,25.2,12,0,,37,,,,,,,,
92,Víctor Casadesús,es  ESP,FW,Levante,29,1985,27.1,6,0,,51,,,,,,,,
93,Kiko Casilla,es  ESP,GK,Espanyol,27,1986,36.4,4,1,,0,,,,,,,,
94,Iker Casillas,es  ESP,GK,Real Madrid,33,1981,32.0,0,0,,0,,,,,,,,
95,Samu Castillejo,es  ESP,"FW,MF",Málaga,19,1995,26.0,5,0,,55,,,,,,,,
96,Chory Castro,uy  URU,"FW,MF",Real Sociedad,29,1984,20.1,2,0,,20,,,,,,,,
97,Diego Castro,es  ESP,"FW,MF",Getafe,32,1982,25.0,6,0,,52,,,,,,,,
98,Jonny Castro,es  ESP,"DF,MF",Celta Vigo,20,1994,33.0,9,0,,54,,,,,,,,
99,Zé Castro,pt  POR,DF,Rayo Vallecano,31,1983,26.8,6,0,,24,,,,,,,,
100,Ivan Cavaleiro,pt  POR,"FW,MF",La Coruña,20,1993,26.5,6,0,,38,,,,,,,,
101,Alessio Cerci,it  ITA,"FW,MF",Atlético Madrid,27,1987,1.4,1,1,,3,,,,,,,,
102,Charles,br  BRA,FW,Celta Vigo,30,1984,12.4,6,0,,27,,,,,,,,
103,Chechu,es  ESP,DF,Villarreal,32,1982,12.8,3,0,,4,,,,,,,,
104,Denis Cheryshev,ru  RUS,"FW,MF",Villarreal,23,1990,18.7,7,0,,52,,,,,,,,
105,Domingo Cisma,es  ESP,DF,Elche,32,1982,24.0,10,1,,37,,,,,,,,
106,Pablo Clavería,es  ESP,MF,Rayo Vallecano,18,1996,0.1,0,0,,0,,,,,,,,
107,David Cobeño,es  ESP,GK,Rayo Vallecano,32,1982,2.7,1,0,,0,,,,,,,,
108,Jordi Codina,es  ESP,GK,Getafe,32,1982,5.0,0,0,,0,,,,,,,,
109,Fábio Coentrão,pt  POR,DF,Real Madrid,26,1988,4.6,1,1,,7,,,,,,,,
110,Coke,es  ESP,DF,Sevilla,27,1987,20.1,6,0,,32,,,,,,,,
111,Diego Colotto,ar  ARG,DF,Espanyol,33,1981,21.9,2,1,,21,,,,,,,,
112,Adrián Colunga,es  ESP,"FW,MF",Granada,29,1984,2.4,0,1,,3,,,,,,,,
113,Jhon Córdoba,co  COL,FW,Granada,21,1993,15.7,7,0,,47,,,,,,,,
114,Ferran Corominas,es  ESP,"FW,MF",Elche,31,1983,13.5,3,0,,14,,,,,,,,
115,Corona,es  ESP,MF,Almería,33,1981,22.5,4,0,,17,,,,,,,,
116,Hélder Costa,pt  POR,"FW,MF",La Coruña,20,1994,1.7,0,0,,5,,,,,,,,
117,Jaume Costa,es  ESP,DF,Villarreal,26,1988,27.0,8,1,,49,,,,,,,,
118,David Costas,es  ESP,DF,Celta Vigo,19,1995,1.0,1,0,,2,,,,,,,,
119,Isaac Cuenca,es  ESP,"FW,MF",La Coruña,23,1991,16.2,1,0,,14,,,,,,,,
120,Julián Cuesta,es  ESP,GK,Almería,23,1991,15.0,2,0,,0,,,,,,,,
121,Teerasil Dangda,th  THA,FW,Almería,26,1988,1.6,0,0,,0,,,,,,,,
122,Sergi Darder,es  ESP,MF,Málaga,20,1993,30.5,10,1,,35,,,,,,,,
123,Rodrigo De Paul,ar  ARG,"FW,MF",Valencia,20,1994,8.3,3,1,,15,,,,,,,,
124,Deivid,es  ESP,"DF,MF",Córdoba,25,1989,20.0,4,0,,15,,,,,,,,
125,Manu del Moral,es  ESP,FW,Eibar,30,1984,18.6,2,0,,23,,,,,,,,
126,Gerard Deulofeu,es  ESP,"FW,MF",Sevilla,20,1994,8.7,0,0,,3,,,,,,,,
127,Modibo Diakité,fr  FRA,DF,La Coruña,27,1987,2.0,0,0,,2,,,,,,,,
128,Baba Diawara,sn  SEN,FW,Getafe,26,1988,6.5,2,0,,8,,,,,,,,
129,Stole Dimitrievski,mk  MKD,GK,Granada,20,1993,1.0,0,0,,0,,,,,,,,
130,Papakouli Diop,sn  SEN,MF,Levante,28,1986,17.1,7,0,,47,,,,,,,,
