,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
13,Julián Cuesta,es  ESP,GK,Almería,23,1991,15,15,1350,15.0,26,1.73,96,70,72.9,4,3,8,4,26.7,,,,,
14,Stole Dimitrievski,mk  MKD,GK,Granada,20,1993,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,,,,,
15,Fabricio,es  ESP,GK,La Coruña,26,1987,31,31,2790,31.0,41,1.32,145,104,71.7,6,13,12,11,35.5,,,,,
16,Vicente Guaita,es  ESP,GK,Getafe,27,1987,29,29,2610,29.0,44,1.52,122,78,63.9,7,7,15,5,17.2,,,,,
17,Manu Herrera,es  ESP,GK,Elche,32,1981,7,6,559,6.2,15,2.42,41,26,63.4,1,1,5,0,0.0,,,,,
18,Iago Herrerín,es  ESP,GK,Athletic Club,26,1988,4,4,360,4.0,3,0.75,11,8,72.7,2,2,0,2,50.0,,,,,
19,Gorka Iraizoz,es  ESP,GK,Athletic Club,33,1981,34,34,3060,34.0,38,1.12,129,91,70.5,13,8,13,12,35.3,,,,,
20,Xabi Irureta,es  ESP,GK,Eibar,28,1986,33,33,2970,33.0,48,1.45,166,118,71.1,9,7,17,7,21.2,,,,,
21,Jaime,es  ESP,GK,Eibar,33,1980,5,5,450,5.0,7,1.40,27,20,74.1,0,1,4,1,20.0,,,,,
22,Jesús,es  ESP,GK,Levante,26,1988,6,6,540,6.0,12,2.00,30,18,60.0,1,1,4,2,33.3,,,,,
23,Carlos Kameni,cm  CMR,GK,Málaga,30,1984,38,38,3420,38.0,48,1.26,152,104,68.4,14,8,16,10,26.3,,,,,
24,Jonathan López,es  ESP,GK,Getafe,33,1981,4,4,360,4.0,6,1.50,17,11,64.7,2,0,2,0,0.0,,,,,
25,Pau López,es  ESP,GK,Espanyol,19,1994,2,1,140,1.6,3,1.93,7,4,57.1,0,0,2,0,0.0,,,,,
26,Germán Lux,ar  ARG,GK,La Coruña,32,1982,7,7,630,7.0,19,2.71,40,21,52.5,1,1,5,1,14.3,,,,,
27,Diego Mariño,es  ESP,GK,Levante,24,1990,32,32,2880,32.0,55,1.72,150,95,63.3,8,9,15,5,15.6,,,,,
28,Jordi Masip,es  ESP,GK,Barcelona,25,1989,1,1,90,1.0,2,2.00,2,0,0.0,0,1,0,0,0.0,,,,,
29,Keylor Navas,cr  CRC,GK,Real Madrid,27,1986,6,6,540,6.0,3,0.50,14,11,78.6,6,0,0,3,50.0,,,,,
30,Jan Oblak,si  SVN,GK,Atlético Madrid,21,1993,11,11,990,11.0,6,0.55,24,18,75.0,6,4,1,7,63.6,,,,,
31,Oier Olazábal,es  ESP,GK,Granada,24,1989,14,14,1260,14.0,27,1.93,63,36,57.1,3,4,7,4,28.6,,,,,
32,Sergio Rico,es  ESP,GK,Sevilla,20,1993,21,19,1812,20.1,24,1.19,85,61,71.8,12,3,3,7,36.8,,,,,
33,Roberto,es  ESP,GK,Granada,35,1979,23,23,2070,23.0,36,1.57,95,59,62.1,3,10,10,7,30.4,,,,,
34,Rubén,es  ESP,GK,Almería,30,1984,23,23,2070,23.0,38,1.65,117,79,67.5,4,5,14,4,17.4,,,,,
35,Gerónimo Rulli,ar  ARG,GK,Real Sociedad,22,1992,22,22,1980,22.0,27,1.23,92,65,70.7,8,8,6,6,27.3,,,,,
36,Mikel Saizar,es  ESP,GK,Córdoba,31,1983,6,6,540,6.0,12,2.00,37,25,67.6,0,0,6,0,0.0,,,,,
37,Toño,es  ESP,GK,Rayo Vallecano,34,1979,21,20,1724,19.2,30,1.57,89,59,66.3,8,2,9,8,40.0,,,,,
38,Przemysław Tytoń,pl  POL,GK,Elche,27,1987,32,32,2856,31.7,47,1.48,139,92,66.2,10,7,14,10,31.3,,,,,
39,Yoel,es  ESP,GK,Valencia,25,1988,2,1,109,1.2,3,2.48,6,3,50.0,0,1,1,0,0.0,,,,,
40,Eñaut Zubikarai,es  ESP,GK,Real Sociedad,30,1984,16,16,1440,16.0,24,1.50,78,54,69.2,3,5,8,2,12.5,,,,,
