,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
33,2016-01-31,Sun,Bundesliga,Matchweek 19,Home,W 2–0,Bayern Munich,Hoffenheim,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
34,2016-02-06,Sat,Bundesliga,Matchweek 20,Away,D 0–0,Bayern Munich,Leverkusen,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
35,2016-02-10,Wed,DFB-Pokal,Quarter-finals,Away,W 3–0,Bayern Munich,Bochum,Y,GK,90,,0,,,1,0,0,0,0,Match Report
36,2016-02-14,Sun,Bundesliga,Matchweek 21,Away,W 3–1,Bayern Munich,Augsburg,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
37,2016-02-20,Sat,Bundesliga,Matchweek 22,Home,W 3–1,Bayern Munich,Darmstadt 98,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
38,2016-02-23,Tue,Champions Lg,Round of 16,Away,D 2–2,de  Bayern Munich,it  Juventus,Y,GK,90,5,2,5,60.0,0,0,0,0,0,Match Report
39,2016-02-27,Sat,Bundesliga,Matchweek 23,Away,W 2–0,Bayern Munich,Wolfsburg,Y,GK,90,8,0,8,100.0,1,0,0,0,0,Match Report
40,2016-03-02,Wed,Bundesliga,Matchweek 24,Home,L 1–2,Bayern Munich,Mainz 05,Y*,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
41,2016-03-05,Sat,Bundesliga,Matchweek 25,Away,D 0–0,Bayern Munich,Dortmund,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
42,2016-03-12,Sat,Bundesliga,Matchweek 26,Home,W 5–0,Bayern Munich,Werder Bremen,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
43,2016-03-16,Wed,Champions Lg,Round of 16,Home,W 4–2,de  Bayern Munich,it  Juventus,Y,GK,120,9,2,9,77.8,0,0,0,0,0,Match Report
44,2016-03-19,Sat,Bundesliga,Matchweek 27,Away,W 1–0,Bayern Munich,Köln,Y*,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
45,2016-03-26,Sat,Friendlies (M),Friendlies (M),Home,L 2–3,de  Germany,eng  England,Y,GK,90,,3,,,0,0,0,0,0,Match Report
46,2016-04-02,Sat,Bundesliga,Matchweek 28,Home,W 1–0,Bayern Munich,Eint Frankfurt,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
47,2016-04-05,Tue,Champions Lg,Quarter-finals,Home,W 1–0,de  Bayern Munich,pt  Benfica,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
48,2016-04-09,Sat,Bundesliga,Matchweek 29,Away,W 3–1,Bayern Munich,Stuttgart,Y*,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
49,2016-04-13,Wed,Champions Lg,Quarter-finals,Away,D 2–2,de  Bayern Munich,pt  Benfica,Y,GK,90,3,2,3,33.3,0,0,0,0,0,Match Report
50,2016-04-16,Sat,Bundesliga,Matchweek 30,Home,W 3–0,Bayern Munich,Schalke 04,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
51,2016-04-19,Tue,DFB-Pokal,Semi-finals,Home,W 2–0,Bayern Munich,Werder Bremen,Y,GK,90,,0,,,1,0,0,0,0,Match Report
52,2016-04-23,Sat,Bundesliga,Matchweek 31,Away,W 2–0,Bayern Munich,Hertha BSC,Y*,GK,90,0,0,0,,1,0,0,0,0,Match Report
53,2016-04-27,Wed,Champions Lg,Semi-finals,Away,L 0–1,de  Bayern Munich,es  Atlético Madrid,Y,GK,90,4,1,4,75.0,0,0,0,0,0,Match Report
54,2016-04-30,Sat,Bundesliga,Matchweek 32,Home,D 1–1,Bayern Munich,M'Gladbach,Y*,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
55,2016-05-03,Tue,Champions Lg,Semi-finals,Home,W 2–1,de  Bayern Munich,es  Atlético Madrid,Y,GK,90,2,1,2,50.0,0,1,0,1,0,Match Report
56,2016-05-07,Sat,Bundesliga,Matchweek 33,Away,W 2–1,Bayern Munich,Ingolstadt 04,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
57,2016-05-14,Sat,Bundesliga,Matchweek 34,Home,W 3–1,Bayern Munich,Hannover 96,Y,GK,50,2,0,2,100.0,0,0,0,0,0,Match Report
58,2016-05-21,Sat,DFB-Pokal,Final,Home,D 0  (4)  –0  (3),Bayern Munich,Dortmund,Y,GK,120,,0,,,1,0,0,0,0,Match Report
59,2016-06-04,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,de  Germany,hu  Hungary,Y*,GK,90,,0,,,1,0,0,0,0,Match Report
60,2016-06-12,Sun,UEFA Euro,Group stage,Neutral,W 2–0,de  Germany,ua  Ukraine,Y*,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
61,2016-06-16,Thu,UEFA Euro,Group stage,Neutral,D 0–0,de  Germany,pl  Poland,Y*,GK,90,0,0,0,,1,0,0,0,0,Match Report
62,2016-06-21,Tue,UEFA Euro,Group stage,Neutral,W 1–0,de  Germany,nir  Northern Ireland,Y*,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
63,2016-06-26,Sun,UEFA Euro,Round of 16,Neutral,W 3–0,de  Germany,sk  Slovakia,Y*,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
64,,,,,,46-9-7,,,62/62,,5630,145,39,125,77.9,33,3,1,2,0,
