,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
48,2021-04-20,Tue,Bundesliga,Matchweek 30,Home,W 2–0,Bayern Munich,Leverkusen,Y*,GK,90,4,0,4,100.0,1,0.5,0,0,0,0,7,8,87.5,29,7,27.6,29.9,5,0.0,20.6,7,0,0.0,1,15.7,Match Report
49,2021-04-24,Sat,Bundesliga,Matchweek 31,Away,L 1–2,Bayern Munich,Mainz 05,Y*,GK,90,4,2,1,50.0,0,0.6,0,0,0,0,7,12,58.3,35,6,31.4,31.9,2,50.0,38.0,5,0,0.0,1,16.4,Match Report
50,2021-05-08,Sat,Bundesliga,Matchweek 32,Home,W 6–0,Bayern Munich,M'Gladbach,Y*,GK,90,3,0,3,100.0,1,0.7,0,0,0,0,2,5,40.0,30,9,16.7,28.6,9,0.0,19.4,10,1,10.0,1,11.7,Match Report
51,2021-05-15,Sat,Bundesliga,Matchweek 33,Away,D 2–2,Bayern Munich,Freiburg,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
52,2021-05-22,Sat,Bundesliga,Matchweek 34,Home,W 5–2,Bayern Munich,Augsburg,Y*,GK,90,3,2,1,33.3,0,2.0,1,0,1,0,4,4,100.0,26,4,11.5,28.4,4,25.0,25.5,7,0,0.0,3,22.5,Match Report
53,2021-06-02,Wed,Friendlies (M),Friendlies (M),Home,D 1–1,de  Germany,dk  Denmark,Y*,GK,90,,,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
54,2021-06-07,Mon,Friendlies (M),Friendlies (M),Home,W 7–1,de  Germany,lv  Latvia,Y*,GK,90,,,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
55,2021-06-15,Tue,UEFA Euro,Group stage,Neutral,L 0–1,de  Germany,fr  France,Y*,GK,90,1,1,1,0.0,0,0.0,0,0,0,0,8,11,72.7,30,5,36.7,33.6,2,0.0,24.5,2,0,0.0,0,17.5,Match Report
56,2021-06-19,Sat,UEFA Euro,Group stage,Neutral,W 4–2,de  Germany,pt  Portugal,Y*,GK,90,2,2,0,0.0,0,1.9,0,0,0,0,7,9,77.8,28,3,28.6,28.9,4,25.0,27.0,7,0,0.0,0,16.8,Match Report
57,2021-06-23,Wed,UEFA Euro,Group stage,Neutral,D 2–2,de  Germany,hu  Hungary,Y*,GK,90,3,2,1,33.3,0,1.5,0,0,0,0,4,6,66.7,27,5,18.5,28.0,3,33.3,27.0,3,0,0.0,0,9.4,Match Report
58,2021-06-29,Tue,UEFA Euro,Round of 16,Neutral,L 0–2,de  Germany,eng  England,Y*,GK,90,4,2,2,50.0,0,1.6,0,0,0,0,7,21,33.3,42,6,47.6,35.7,5,20.0,19.6,7,0,0.0,0,13.3,Match Report
59,,,,,,39-9-8,,,56/56,,5100,215,73,144,67.4,14,61.6,5,3,1,1,310,514,60.3,1527,264,30.1,31.8,245,22.0,29.2,295,15,5.1,54,16.8,
