,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
446,Charlie Taylor,eng  ENG,DF,Burnley,25,1993,21.6,1321,110,437,595,375,10,1048,19,39,48.7,22,3,613,4311,1953,76,21,4,12,17,657,614,93.5,19
447,Neil Taylor,wls  WAL,DF,Aston Villa,30,1989,12.1,631,62,232,298,120,5,532,2,3,66.7,2,0,303,1098,557,23,8,0,4,2,363,322,88.7,5
448,Nathan Tella,eng  ENG,FW,Southampton,20,1999,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,6,4,1,0,1,0,0,3,2,66.7,1
449,Alexander Tettey,no  NOR,"MF,DF",Norwich City,33,1986,26.0,1494,129,564,838,177,12,1482,16,24,66.7,19,0,951,4743,2137,66,26,0,22,12,983,948,96.4,12
450,Jordan Thomas,eng  ENG,FW,Norwich City,18,2001,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0
451,Luke Thomas,eng  ENG,DF,Leicester City,18,2001,3.0,220,5,42,98,92,5,195,2,3,66.7,2,0,142,584,315,14,2,2,4,2,153,144,94.1,12
452,Max Thompson,eng  ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0
453,Youri Tielemans,be  BEL,MF,Leicester City,22,1997,31.4,2141,31,328,1169,761,59,2049,30,46,65.2,31,2,1461,5683,3092,150,57,10,32,51,1773,1586,89.5,144
454,Kieran Tierney,sct  SCO,DF,Arsenal,22,1997,11.0,664,41,218,280,197,17,579,12,16,75.0,12,1,381,1838,909,38,8,5,12,6,422,385,91.2,21
455,James Tomkins,eng  ENG,DF,Crystal Palace,30,1989,17.6,857,156,563,294,34,21,829,1,1,100.0,1,0,399,1769,879,15,3,0,1,3,456,442,96.9,17
456,Fikayo Tomori,eng  ENG,DF,Chelsea,21,1997,14.3,1277,147,706,603,50,8,1261,7,11,63.6,9,0,936,4324,2076,52,10,0,4,5,959,944,98.4,6
457,Lucas Torreira,uy  URU,MF,Arsenal,23,1996,16.8,1091,58,306,663,186,31,1061,13,16,81.3,13,1,727,3220,1470,52,14,3,11,16,767,709,92.4,38
458,Andros Townsend,eng  ENG,MF,Crystal Palace,28,1991,14.4,647,15,117,313,302,28,618,36,51,70.6,38,1,515,3628,1752,102,40,9,28,36,547,419,76.6,55
459,Adama Traoré,es  ESP,"FW,MF",Wolves,23,1996,28.9,1400,28,151,666,767,118,1346,156,211,73.9,161,3,1252,9771,6426,330,101,70,82,90,1394,1045,75.0,192
460,Mark Travers,ie  IRL,GK,Bournemouth,20,1999,1.0,33,33,33,0,0,0,24,0,0,,0,0,14,62,30,0,0,0,0,0,17,17,100.0,0
461,Trézéguet,eg  EGY,"FW,MF",Aston Villa,24,1994,21.7,775,25,138,296,417,84,752,40,75,53.3,45,7,537,3298,2037,103,37,12,64,29,855,518,60.6,162
462,Leandro Trossard,be  BEL,"FW,MF",Brighton,24,1994,22.3,1039,21,131,419,573,117,1000,34,60,56.7,36,1,818,4589,2326,132,35,26,41,47,1030,768,74.6,197
463,Tom Trybull,de  GER,MF,Norwich City,26,1993,12.6,756,59,256,458,85,13,742,7,9,77.8,7,0,497,2179,812,23,5,0,11,10,513,475,92.6,8
464,Axel Tuanzebe,eng  ENG,DF,Manchester Utd,21,1997,2.1,166,8,59,95,26,0,154,0,3,0.0,0,0,111,753,394,8,4,0,1,2,113,109,96.5,0
465,Yan Valery,fr  FRA,DF,Southampton,20,1999,8.7,455,29,139,189,151,10,361,12,25,48.0,13,0,207,1129,556,32,9,3,13,19,243,180,74.1,23
466,Jesús Vallejo,es  ESP,DF,Wolves,22,1997,1.8,124,20,61,64,6,1,124,1,1,100.0,1,0,85,310,166,6,1,0,1,1,90,83,92.2,1
467,Jamie Vardy,eng  ENG,FW,Leicester City,32,1987,33.7,734,28,37,307,422,188,671,25,44,56.8,28,1,402,2425,1462,82,17,43,60,23,1223,503,41.1,266
468,Indiana Vassilev,us  USA,"FW,MF",Aston Villa,18,2001,0.6,16,0,0,3,14,3,15,1,2,50.0,2,0,15,69,18,1,1,0,1,1,31,10,32.3,5
469,Jan Vertonghen,be  BEL,DF,Tottenham,32,1987,18.3,1327,166,622,687,83,6,1227,2,5,40.0,2,0,785,3980,1990,58,3,0,4,6,833,819,98.3,9
